recordid,address,y,:@computed_region_f5dn_yrer,:@computed_region_efsh_h5xi,zip_new,house_number,borough,cb_new,location,support_structure,nta_2010
104,323A GREENWICH ST,200667.0301,56.0,12076.0,10013,,Manhattan,101,"{'latitude': '40.717461', 'longitude': '-74.010694'}",,MN24
421,375 HUDSON ST,204667.98,57.0,12077.0,10014,375.0,Manhattan,102,"{'latitude': '40.728443', 'longitude': '-74.007141'}",,MN24
419,180 W HOUSTON ST,204644.26,57.0,12077.0,10014,180.0,Manhattan,102,"{'latitude': '40.728378', 'longitude': '-74.002987'}",,MN23
760,51 ASTOR PL,205199.1101,70.0,11724.0,10003,51.0,Manhattan,103,"{'latitude': '40.7299', 'longitude': '-73.990676'}",,MN22
591,474 GREENWICH ST,203273.815,56.0,12076.0,10013,474.0,Manhattan,101,"{'latitude': '40.724616', 'longitude': '-74.009354'}",,MN24
790,317 E 9 ST,204878.1612,70.0,11724.0,10003,317.0,Manhattan,103,"{'latitude': '40.729019', 'longitude': '-73.986829'}",,MN22
677,246 W BROADWAY,201545.5001,56.0,12076.0,10013,246.0,Manhattan,101,"{'latitude': '40.719872', 'longitude': '-74.005808'}",,MN24
118,323A GREENWICH ST,200667.0301,56.0,12076.0,10013,,Manhattan,101,"{'latitude': '40.717461', 'longitude': '-74.010694'}",,MN24
53,290 BROADWAY,199680.6589,56.0,11728.0,10007,290.0,Manhattan,101,"{'latitude': '40.714754', 'longitude': '-74.005823'}",,MN24
150,199 CHAMBERS ST,200470.0634,56.0,12076.0,10013,199.0,Manhattan,101,"{'latitude': '40.71692', 'longitude': '-74.012281'}",,MN24
404,155 Avenue of the Amer,203561.4161,57.0,12075.0,10013,155.0,Manhattan,102,"{'latitude': '40.725406', 'longitude': '-74.004057'}",,MN24
953,218 E 14 ST,206368.443,71.0,11724.0,10003,218.0,Manhattan,103,"{'latitude': '40.73311', 'longitude': '-73.986746'}",,MN22
205,75 PARK PL,199510.5551,56.0,11728.0,10007,75.0,Manhattan,101,"{'latitude': '40.714287', 'longitude': '-74.011514'}",,MN24
663,260 W BROADWAY,201702.5606,56.0,12076.0,10013,260.0,Manhattan,101,"{'latitude': '40.720303', 'longitude': '-74.005466'}",,MN24
853,46 STUYVESANT ST,205209.463,70.0,11724.0,10003,46.0,Manhattan,103,"{'latitude': '40.729929', 'longitude': '-73.987722'}",,MN22
772,334 E 9 ST,204813.373,70.0,11724.0,10003,334.0,Manhattan,103,"{'latitude': '40.728841', 'longitude': '-73.986408'}",,MN22
9,80 N MOORE ST,201649.9518,56.0,12076.0,10013,80.0,Manhattan,101,"{'latitude': '40.720159', 'longitude': '-74.010532'}",,MN24
817,31 STUYVESANT ST,205207.2126,70.0,11724.0,10003,31.0,Manhattan,103,"{'latitude': '40.729922', 'longitude': '-73.988038'}",,MN22
36,290 BROADWAY,199680.6589,56.0,11728.0,10007,290.0,Manhattan,101,"{'latitude': '40.714754', 'longitude': '-74.005823'}",,MN24
458,340-344 HUDSON ST,204258.025,57.0,12076.0,10013,,Manhattan,102,"{'latitude': '40.727318', 'longitude': '-74.007322'}",,MN24
656,129 MULBERRY ST,200927.3752,57.0,12076.0,10013,129.0,Manhattan,102,"{'latitude': '40.718176', 'longitude': '-73.99792'}",,MN24
254,71 MURRAY ST,199599.4438,56.0,11728.0,10007,71.0,Manhattan,101,"{'latitude': '40.714531', 'longitude': '-74.01047'}",Stakes / Wires,MN24
304,202 SPRING ST,203506.4252,57.0,12075.0,10012,202.0,Manhattan,102,"{'latitude': '40.725255', 'longitude': '-74.003387'}",,MN24
756,51 ASTOR PL,205199.1101,70.0,11724.0,10003,51.0,Manhattan,103,"{'latitude': '40.7299', 'longitude': '-73.990676'}",,MN22
576,120 SPRING ST,202933.384,57.0,12075.0,10012,120.0,Manhattan,102,"{'latitude': '40.723682', 'longitude': '-74.000136'}",,MN24
628,200 HUDSON ST,202688.901,56.0,12076.0,10013,200.0,Manhattan,101,"{'latitude': '40.723011', 'longitude': '-74.00805'}",,MN24
742,390 GREENWICH ST,201828.2305,56.0,12076.0,10013,390.0,Manhattan,101,"{'latitude': '40.720648', 'longitude': '-74.010119'}",,MN24
900,175 2 AV,205377.4951,70.0,11724.0,10003,175.0,Manhattan,103,"{'latitude': '40.73039', 'longitude': '-73.986369'}",,MN22
263,94 WARREN ST,199967.2024,56.0,11728.0,10007,94.0,Manhattan,101,"{'latitude': '40.71554', 'longitude': '-74.010993'}",,MN24
615,369 BROOME ST,201656.2901,57.0,12076.0,10013,369.0,Manhattan,102,"{'latitude': '40.720177', 'longitude': '-73.99602'}",,MN24
299,81 SULLIVAN ST,203387.2322,57.0,12075.0,10012,81.0,Manhattan,102,"{'latitude': '40.724928', 'longitude': '-74.003648'}",,MN24
414,185 W HOUSTON ST,204652.6525,57.0,12077.0,10014,185.0,Manhattan,102,"{'latitude': '40.728401', 'longitude': '-74.003223'}",,MN24
149,199 CHAMBERS ST,200470.0634,56.0,12076.0,10013,199.0,Manhattan,101,"{'latitude': '40.71692', 'longitude': '-74.012281'}",,MN24
798,31 SPRING ST,202196.8431,57.0,12075.0,10012,31.0,Manhattan,102,"{'latitude': '40.72166', 'longitude': '-73.995564'}",,MN24
645,55 Avenue of the Amer,202040.3025,56.0,12076.0,10013,55.0,Manhattan,101,"{'latitude': '40.721231', 'longitude': '-74.005274'}",,MN24
898,166 2 AV,205297.0,70.0,11724.0,10003,166.0,Manhattan,103,"{'latitude': '40.730169', 'longitude': '-73.986573'}",,MN22
556,38 DOMINICK ST,203445.6273,57.0,12076.0,10013,38.0,Manhattan,102,"{'latitude': '40.725088', 'longitude': '-74.006478'}",,MN24
895,170 2 AV,205346.7436,70.0,11724.0,10003,170.0,Manhattan,103,"{'latitude': '40.730305', 'longitude': '-73.986445'}",,MN22
492,31 CHARLTON ST,204163.0,57.0,12077.0,10014,31.0,Manhattan,102,"{'latitude': '40.727057', 'longitude': '-74.004495'}",,MN24
146,166 CHAMBERS ST,200223.5852,56.0,11728.0,10007,166.0,Manhattan,101,"{'latitude': '40.716244', 'longitude': '-74.010836'}",,MN24
145,164 CHAMBERS ST,200206.1689,56.0,11728.0,10007,164.0,Manhattan,101,"{'latitude': '40.716196', 'longitude': '-74.010731'}",,MN24
730,390 GREENWICH ST,201828.2305,56.0,12076.0,10013,390.0,Manhattan,101,"{'latitude': '40.720648', 'longitude': '-74.010119'}",,MN24
939,160 1 AV,204753.3012,70.0,11724.0,10009,160.0,Manhattan,103,"{'latitude': '40.728676', 'longitude': '-73.984525'}",,MN22
749,390 GREENWICH ST,201828.2305,56.0,12076.0,10013,390.0,Manhattan,101,"{'latitude': '40.720648', 'longitude': '-74.010119'}",,MN24
664,260 W BROADWAY,201702.5606,56.0,12076.0,10013,260.0,Manhattan,101,"{'latitude': '40.720303', 'longitude': '-74.005466'}",,MN24
349,465 CANAL ST,202853.0982,57.0,12076.0,10013,465.0,Manhattan,102,"{'latitude': '40.723461', 'longitude': '-74.007555'}",,MN24
468,25 VAN DAM ST,203909.8389,57.0,12076.0,10013,25.0,Manhattan,102,"{'latitude': '40.726362', 'longitude': '-74.004811'}",,MN24
326,74 Avenue of the Amer,202503.5,57.0,12076.0,10013,74.0,Manhattan,102,"{'latitude': '40.722502', 'longitude': '-74.005204'}",,MN24
185,295 GREENWICH ST,200146.9039,56.0,11728.0,10007,295.0,Manhattan,101,"{'latitude': '40.716033', 'longitude': '-74.01102'}",,MN24
122,311 GREENWICH ST,200424.557,56.0,12076.0,10013,311.0,Manhattan,101,"{'latitude': '40.716795', 'longitude': '-74.010861'}",,MN24
863,113 E 10 ST,205460.5981,70.0,11724.0,10003,113.0,Manhattan,103,"{'latitude': '40.730618', 'longitude': '-73.988847'}",,MN22
613,438 BROOME ST,202210.2376,57.0,12076.0,10013,438.0,Manhattan,102,"{'latitude': '40.721697', 'longitude': '-73.999641'}",,MN24
142,61 CHAMBERS ST,199408.05,56.0,11728.0,10007,61.0,Manhattan,101,"{'latitude': '40.714006', 'longitude': '-74.005883'}",,MN24
966,229 E 14 ST,206334.4075,71.0,11724.0,10003,229.0,Manhattan,106,"{'latitude': '40.733016', 'longitude': '-73.986525'}",,MN21
196,275 GREENWICH ST,199844.3514,56.0,11728.0,10007,275.0,Manhattan,101,"{'latitude': '40.715203', 'longitude': '-74.011244'}",,MN24
614,378 BROOME ST,201702.6925,57.0,12076.0,10013,378.0,Manhattan,102,"{'latitude': '40.720304', 'longitude': '-73.996336'}",,MN24
279,351 W BROADWAY,202629.0001,57.0,12076.0,10013,351.0,Manhattan,102,"{'latitude': '40.722846', 'longitude': '-74.003373'}",,MN24
295,71 SULLIVAN ST,203276.0042,57.0,12075.0,10012,71.0,Manhattan,102,"{'latitude': '40.724622', 'longitude': '-74.003904'}",,MN24
401,145 Avenue of the Amer,203385.2701,57.0,12075.0,10013,145.0,Manhattan,102,"{'latitude': '40.724922', 'longitude': '-74.004183'}",,MN24
121,311 GREENWICH ST,200424.557,56.0,12076.0,10013,311.0,Manhattan,101,"{'latitude': '40.716795', 'longitude': '-74.010861'}",,MN24
182,199 CHAMBERS ST,200470.0634,56.0,12076.0,10013,199.0,Manhattan,101,"{'latitude': '40.71692', 'longitude': '-74.012281'}",Stakes / Wires,MN24
201,75 PARK PL,199510.5551,56.0,11728.0,10007,75.0,Manhattan,101,"{'latitude': '40.714287', 'longitude': '-74.011514'}",,MN24
445,560 WASHINGTON ST,204754.044,57.0,12077.0,10014,560.0,Manhattan,102,"{'latitude': '40.728679', 'longitude': '-74.009435'}",,MN24
247,83 MURRAY ST,199700.4159,56.0,11728.0,10007,83.0,Manhattan,101,"{'latitude': '40.714808', 'longitude': '-74.011115'}",,MN24
415,185 W HOUSTON ST,204652.6525,57.0,12077.0,10014,185.0,Manhattan,102,"{'latitude': '40.728401', 'longitude': '-74.003223'}",,MN24
940,158 1 AV,204719.0039,70.0,11724.0,10009,158.0,Manhattan,103,"{'latitude': '40.728582', 'longitude': '-73.984593'}",,MN22
775,21 SPRING ST,202133.2824,57.0,12075.0,10012,21.0,Manhattan,102,"{'latitude': '40.721486', 'longitude': '-73.995137'}",,MN24
915,148 2 AV,204985.7261,70.0,11724.0,10003,148.0,Manhattan,103,"{'latitude': '40.729314', 'longitude': '-73.987149'}",,MN22
845,159 2 AV,205125.8425,70.0,11724.0,10003,159.0,Manhattan,103,"{'latitude': '40.729699', 'longitude': '-73.986871'}",,MN22
896,170 2 AV,205346.7436,70.0,11724.0,10003,170.0,Manhattan,103,"{'latitude': '40.730305', 'longitude': '-73.986445'}",,MN22
128,152 READE ST,200314.0163,56.0,12076.0,10013,152.0,Manhattan,101,"{'latitude': '40.716492', 'longitude': '-74.009877'}",,MN24
642,55 Avenue of the Amer,202040.3025,56.0,12076.0,10013,55.0,Manhattan,101,"{'latitude': '40.721231', 'longitude': '-74.005274'}",,MN24
403,155 Avenue of the Amer,203561.4161,57.0,12075.0,10013,155.0,Manhattan,102,"{'latitude': '40.725406', 'longitude': '-74.004057'}",,MN24
794,105 E 9 ST,205383.23,70.0,11724.0,10003,105.0,Manhattan,103,"{'latitude': '40.730406', 'longitude': '-73.990002'}",,MN22
780,21 SPRING ST,202133.2824,57.0,12075.0,10012,21.0,Manhattan,102,"{'latitude': '40.721486', 'longitude': '-73.995137'}",,MN24
745,390 GREENWICH ST,201828.2305,56.0,12076.0,10013,390.0,Manhattan,101,"{'latitude': '40.720648', 'longitude': '-74.010119'}",,MN24
922,231 1 AV,205645.4694,70.0,11724.0,10003,231.0,Manhattan,103,"{'latitude': '40.731125', 'longitude': '-73.982736'}",,MN22
219,101 BARCLAY ST,199311.4118,56.0,11728.0,10007,101.0,Manhattan,101,"{'latitude': '40.71374', 'longitude': '-74.011889'}",,MN24
646,55 Avenue of the Amer,202040.3025,56.0,12076.0,10013,55.0,Manhattan,101,"{'latitude': '40.721231', 'longitude': '-74.005274'}",,MN24
923,228 1 AV,205635.0399,70.0,11724.0,10009,228.0,Manhattan,103,"{'latitude': '40.731096', 'longitude': '-73.982757'}",,MN22
762,125 ELIZABETH ST,201389.3969,57.0,12076.0,10013,125.0,Manhattan,102,"{'latitude': '40.719444', 'longitude': '-73.995431'}",,MN24
816,33 STUYVESANT ST,205207.8237,70.0,11724.0,10003,33.0,Manhattan,103,"{'latitude': '40.729924', 'longitude': '-73.987952'}",,MN22
927,174 1 AV,204927.0538,70.0,11724.0,10009,174.0,Manhattan,103,"{'latitude': '40.729153', 'longitude': '-73.984176'}",,MN22
629,200 HUDSON ST,202688.901,56.0,12076.0,10013,200.0,Manhattan,101,"{'latitude': '40.723011', 'longitude': '-74.00805'}",,MN24
883,229 E 10 ST,204914.0357,70.0,11724.0,10003,229.0,Manhattan,103,"{'latitude': '40.729117', 'longitude': '-73.985248'}",,MN22
770,318 E 9 ST,204870.7669,70.0,11724.0,10003,318.0,Manhattan,103,"{'latitude': '40.728999', 'longitude': '-73.986781'}",,MN22
387,160 Avenue of the Amer,203549.7858,57.0,12075.0,10013,160.0,Manhattan,102,"{'latitude': '40.725374', 'longitude': '-74.004066'}",,MN24
980,340 E 14 ST,205943.5371,71.0,11724.0,10003,340.0,Manhattan,103,"{'latitude': '40.731943', 'longitude': '-73.983963'}",Stakes / Wires,MN22
513,49 KING ST,204446.1022,57.0,12077.0,10014,49.0,Manhattan,102,"{'latitude': '40.727834', 'longitude': '-74.004979'}",,MN24
268,17 THOMPSON ST,202541.3963,57.0,12076.0,10013,17.0,Manhattan,102,"{'latitude': '40.722606', 'longitude': '-74.004543'}",,MN24
829,322 BOWERY,203555.9299,57.0,12075.0,10012,322.0,Manhattan,102,"{'latitude': '40.72539', 'longitude': '-73.992207'}",,MN23
448,535 GREENWICH ST,204086.3788,57.0,12076.0,10013,535.0,Manhattan,102,"{'latitude': '40.726846', 'longitude': '-74.008957'}",,MN24
499,210 Avenue of the Amer,204191.89,57.0,12077.0,10014,210.0,Manhattan,102,"{'latitude': '40.727136', 'longitude': '-74.003354'}",,MN24
112,323A GREENWICH ST,200667.0301,56.0,12076.0,10013,,Manhattan,101,"{'latitude': '40.717461', 'longitude': '-74.010694'}",,MN24
696,38 WEST ST,197002.675,56.0,10367.0,10006,38.0,Manhattan,101,"{'latitude': '40.707402', 'longitude': '-74.015628'}",,MN25
233,140 PARK PL,199764.7852,56.0,11728.0,10007,140.0,Manhattan,101,"{'latitude': '40.714984', 'longitude': '-74.013076'}",,MN24
878,233 E 10 ST,204880.493,70.0,11724.0,10003,233.0,Manhattan,103,"{'latitude': '40.729025', 'longitude': '-73.98503'}",,MN22
612,438 BROOME ST,202210.2376,57.0,12076.0,10013,438.0,Manhattan,102,"{'latitude': '40.721697', 'longitude': '-73.999641'}",,MN24
676,62 SPRING ST,202440.9,57.0,12075.0,10012,62.0,Manhattan,102,"{'latitude': '40.72233', 'longitude': '-73.997091'}",,MN24
374,550 BROOME ST,203167.6071,57.0,12076.0,10013,550.0,Manhattan,102,"{'latitude': '40.724325', 'longitude': '-74.005544'}",,MN24
989,327 E 14 ST,205993.3341,71.0,11724.0,10003,327.0,Manhattan,106,"{'latitude': '40.73208', 'longitude': '-73.984293'}",Stakes / Wires,MN21
852,300 BOWERY,203286.0726,57.0,12075.0,10012,300.0,Manhattan,102,"{'latitude': '40.72465', 'longitude': '-73.992441'}",,MN23
234,140 PARK PL,199764.7852,56.0,11728.0,10007,140.0,Manhattan,101,"{'latitude': '40.714984', 'longitude': '-74.013076'}",,MN24
795,52 SPRING ST,202343.9388,57.0,12075.0,10012,52.0,Manhattan,102,"{'latitude': '40.722064', 'longitude': '-73.996513'}",,MN24
681,80 N MOORE ST,201649.9518,56.0,12076.0,10013,80.0,Manhattan,101,"{'latitude': '40.720159', 'longitude': '-74.010532'}",,MN24
318,124 Avenue of the Amer,203139.8828,57.0,12075.0,10013,124.0,Manhattan,102,"{'latitude': '40.724249', 'longitude': '-74.004534'}",,MN24
653,129 MULBERRY ST,200927.3752,57.0,12076.0,10013,129.0,Manhattan,102,"{'latitude': '40.718176', 'longitude': '-73.99792'}",,MN24
410,227 Avenue of the Amer,204465.8686,57.0,12077.0,10014,227.0,Manhattan,102,"{'latitude': '40.727888', 'longitude': '-74.002991'}",,MN24
907,200 2 AV,205692.7626,70.0,11724.0,10003,200.0,Manhattan,103,"{'latitude': '40.731255', 'longitude': '-73.985739'}",,MN22
719,171 ELIZABETH ST,201984.8355,57.0,12075.0,10012,171.0,Manhattan,102,"{'latitude': '40.721078', 'longitude': '-73.994794'}",,MN24
359,76 Avenue of the Amer,202528.362,57.0,12076.0,10013,76.0,Manhattan,102,"{'latitude': '40.72257', 'longitude': '-74.005173'}",Stakes / Wires,MN24
259,83 WARREN ST,199891.295,56.0,11728.0,10007,83.0,Manhattan,101,"{'latitude': '40.715332', 'longitude': '-74.010533'}",,MN24
