dbn,principal,com_s_10,p_q11a,aca_t_10,p_q1a_5,p_q6d,p_q10e,p_q1b_3,n_s,p_q1a_1,p_q1c_4,p_q4b,nr_p,p_q1c_3,p_q3e,p_q1d_1,p_q12c,p_q3c,p_q11c,borough,p_q1a_2,p_q6f,p_q11b,p_q1b,p_q10a,p_q10d,p_q14a,p_q2a,p_q1a_3,aca_tot_10,rr_s,aca_s_10,p_q6h,saf_t_10,sch_type,p_q1g,nr_t,p_q3b
75K396,Nira Schwartz-Nyitray,5.9,6.9,6.5,0,6.9,8.2,3,28.0,52,0,,270,1,7.5,36,7.5,8.1,9.4,BROOKLYN,43,7.4,8.8,7.9,8.4,8.5,,7.8,3,7.3,30.0,7.8,7.5,7.1,ES/MS,8.5,62,7.2
75X186,AVA CARA KAPLAN,7.5,5.5,6.2,1,6.1,8.0,10,32.0,55,6,,437,6,6.1,46,7.2,6.7,8.2,BRONX,36,6.5,8.9,7.2,7.4,7.6,,6.3,4,7.2,30.0,8.4,6.3,6.2,ES/MS,8.3,92,5.0
75K004,Deborah Evans,,7.4,6.3,0,7.7,8.8,7,,65,0,,331,2,7.9,42,8.6,8.3,9.6,BROOKLYN,32,8.2,9.8,8.2,8.6,8.6,,8.5,3,7.3,,,8.0,7.4,ES,8.8,86,7.1
75X811,Caron Martin,6.2,7.4,7.2,1,7.4,8.3,6,90.0,55,1,,620,2,6.9,35,7.7,7.9,9.5,BRONX,40,7.6,9.5,7.9,8.5,8.1,,7.4,2,7.5,81.0,7.4,7.5,7.4,HS,8.5,118,7.5
75R025,JAMES MCKEON,6.0,5.9,8.1,0,7.8,8.0,2,257.0,56,1,,443,0,6.9,36,8.0,8.0,7.8,STATEN ISLAND,42,7.7,9.6,8.3,8.3,7.7,,7.4,2,7.8,63.0,7.3,7.9,7.5,ES/MS/HS,8.3,88,7.3
75M094,Ronnie Shuster,6.0,5.9,6.2,0,7.5,8.5,3,19.0,56,1,,193,2,7.0,30,8.0,7.9,8.6,MANHATTAN,38,7.9,9.1,7.8,8.0,7.8,,7.6,4,7.4,100.0,8.0,7.6,7.1,ES,8.5,60,6.2
75Q233,Debbie Edmonds,6.8,7.7,7.2,1,7.5,8.8,1,75.0,68,1,,367,0,7.0,36,8.4,8.3,9.4,QUEENS,31,7.9,9.8,8.7,8.7,8.3,,7.9,0,7.8,86.0,8.0,7.8,7.6,MS/HS,9.0,73,7.3
75K811,Antoinette Rose,7.8,7.3,6.8,1,6.9,8.1,4,100.0,45,2,,376,5,6.5,26,7.4,8.1,9.2,BROOKLYN,50,7.4,9.1,7.4,7.9,7.8,,7.3,1,7.5,26.0,8.4,7.3,6.9,HS,8.1,73,7.2
75K036,Johanna Schneider,5.8,5.2,6.4,0,6.8,7.2,5,12.0,50,5,,255,0,6.3,27,7.3,7.5,7.1,BROOKLYN,50,7.3,9.2,7.7,8.1,7.5,,6.6,0,6.9,8.0,7.3,7.2,6.9,ES/MS/HS,8.3,65,4.0
75K141,KUVANA JONES,6.5,7.3,5.9,0,6.8,8.7,7,72.0,59,2,,355,4,6.5,37,8.0,7.4,9.7,BROOKLYN,34,7.7,9.6,7.8,8.5,8.6,,7.5,5,7.1,35.0,7.8,6.9,6.4,ES/MS,8.6,74,5.9
75K721,Wendy Weiss,8.0,7.2,7.2,0,7.2,8.3,3,286.0,55,0,,469,1,6.8,24,7.5,7.9,9.5,BROOKLYN,43,7.6,9.6,7.9,8.3,8.2,,6.7,2,7.7,77.0,8.3,7.3,7.5,HS,8.3,86,7.5
75R037,William Fiorelli,9.9,7.1,7.2,1,7.3,8.7,4,7.0,58,0,,294,4,6.5,38,7.8,7.9,9.9,STATEN ISLAND,37,7.6,9.8,8.2,9.0,8.8,,8.1,4,8.0,58.0,9.1,7.5,7.7,ES/MS/HS,8.3,100,7.1
75X721,Jean Marie Chin,7.3,7.3,7.0,1,7.7,8.8,3,245.0,59,2,,509,2,7.6,42,8.0,8.2,9.3,BRONX,37,7.9,9.4,8.2,8.6,8.4,,7.3,3,7.5,48.0,7.5,7.6,7.6,HS,8.3,88,7.5
75K771,Denise D'Anna,7.2,7.8,7.8,1,7.4,8.5,2,71.0,63,1,,360,1,7.0,38,8.1,7.9,9.2,BROOKLYN,34,8.0,9.4,8.3,8.6,8.5,,7.8,1,8.1,88.0,8.4,7.7,8.1,ES/MS,8.7,85,6.1
