location_2,ecers_language_reasoning_rating,class_instructional_support_rating,trust_survey_percent_positive,survey_guardian_response_rate,ecers_activities_score,dual_language,ecers_interaction_rating,daily_start_time,class_classroom_organization_rating
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10038""}'}",3.0,2.0,1.0,0.35,3.7,,4.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11203""}'}",4.0,3.0,0.83,0.38,5.0,,4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11204""}'}",4.0,,,0.04,4.1,,3.0,0.34027777777777773,
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",3.0,2.0,1.0,1.0,4.5,,3.0,0.375,3.0
"{'human_address': '{""address"": """", ""city"": ""MASPETH"", ""state"": ""NY"", ""zip"": ""11378""}'}",4.0,2.0,1.0,0.28,5.4,,3.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10452""}'}",4.0,2.0,1.0,0.44,4.5,Dual Language (Spanish),3.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""BAYSIDE"", ""state"": ""NY"", ""zip"": ""11360""}'}",4.0,,1.0,0.47,4.2,,3.0,,
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11236""}'}",1.0,2.0,0.97,0.56,2.2,,3.0,0.3333333333333333,3.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11212""}'}",4.0,3.0,0.95,0.33,5.1,,3.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11221""}'}",4.0,3.0,0.87,0.19,4.0,,4.0,0.34027777777777773,4.0
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10019""}'}",2.0,2.0,1.0,0.45,2.6,,3.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11211""}'}",4.0,2.0,1.0,0.27,4.7,,4.0,Contact program,3.0
"{'human_address': '{""address"": """", ""city"": ""ELMHURST"", ""state"": ""NY"", ""zip"": ""11373""}'}",4.0,3.0,1.0,0.4,5.4,,4.0,0.3333333333333333,4.0
