program_code,location_2,enrollment,meals,effective_school_leadership_survey_percent_positive,ecers_activities_rating,late_pick_up_available,nan with location_1,No with location_1,Yes with location_1
30QBLF,"{'human_address': '{""address"": """", ""city"": ""ASTORIA"", ""state"": ""NY"", ""zip"": ""11102""}'}",12.0,Breakfast/Lunch/Snack(s),,3.0,No,,,27-17 27th Street
04MATB,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10029""}'}",20.0,Breakfast/Lunch/Snack(s),0.95,3.0,Yes,,1724-26 Madison Avenue,
15KBYJ,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",44.0,Breakfast/Lunch,0.9,4.0,Yes,,,383 3rd Avenue
28QBJK,"{'human_address': '{""address"": """", ""city"": ""JAMAICA"", ""state"": ""NY"", ""zip"": ""11451""}'}",14.0,Breakfast/Lunch,,3.0,No,,,94-12 160th Street
20KBPV,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11228""}'}",,,,4.0,,7104 13 Avenue,,
21KAOV,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11230""}'}",27.0,Contact program directly for details,1.0,4.0,No,,1102 Avenue L,
32K075,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11221""}'}",33.0,Breakfast/Lunch,0.8,3.0,No,,95 Grove Street,
14K031,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11222""}'}",69.0,Breakfast/Lunch,0.96,3.0,No,,75 Meserole Avenue,
17KBEZ,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11225""}'}",53.0,Breakfast/Lunch/Snack(s),0.96,4.0,No,,995 Carroll Street,
04M155,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10035""}'}",13.0,Breakfast/Lunch/Snack(s),,1.0,No,,319 East 117th Street,
01M064,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10009""}'}",21.0,Breakfast/Lunch/Snack(s),,1.0,Yes,,600 East 6th Street,
19K677,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11208""}'}",28.0,Breakfast/Lunch/Snack(s),,4.0,No,,605 Shepherd Avenue,
17KBJH,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11225""}'}",30.0,Breakfast/Lunch/Snack(s),0.91,3.0,Yes,,,420 Lefferts Avenue
30Q017,"{'human_address': '{""address"": """", ""city"": ""ASTORIA"", ""state"": ""NY"", ""zip"": ""11102""}'}",44.0,Breakfast/Lunch,0.99,3.0,Yes,,28-37 29th Street,
17K705,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11238""}'}",53.0,Breakfast/Lunch,0.99,3.0,Yes,,,443 St Marks Avenue
