unique_squirrel_id,tail_twitches,runs_from,running,kuks,:@computed_region_yeji_bk3q,foraging,specific_location,color_notes,hectare
7H-AM-1006-11,False,False,False,False,4,True,,,07H
4C-AM-1006-02,True,False,True,False,4,True,,,04C
31A-AM-1010-01,True,True,False,False,4,False,,,31A
32C-PM-1013-03,True,False,False,False,4,False,,,32C
29B-AM-1007-01,False,False,True,False,4,False,,,29B
10F-PM-1019-05,False,False,False,False,4,False,"Behind fence, tree",,10F
3E-AM-1006-04,False,True,False,False,4,True,,,03E
35C-PM-1013-03,False,True,False,False,4,True,,,35C
12F-PM-1007-05,False,False,False,False,4,True,,,12F
14F-PM-1012-06,True,False,False,False,4,True,,,14F
38B-PM-1018-02,False,False,False,False,4,True,,,38B
10G-PM-1017-08,False,False,False,False,4,False,,,10G
22C-AM-1013-03,False,True,False,False,4,True,,,22C
31H-PM-1008-02,True,False,True,False,4,False,,,31H
19A-PM-1013-03,False,False,False,False,4,True,,,19A
13E-AM-1017-09,False,False,False,False,4,True,,,13E
36A-AM-1018-01,False,False,False,False,4,False,,,36A
36I-AM-1017-05,False,True,False,False,4,True,,,36I
36H-AM-1010-02,False,False,False,False,4,True,,just outside hectare,36H
2E-AM-1010-01,True,False,False,False,4,True,,,02E
18I-PM-1007-09,False,False,False,False,4,False,,,18I
33F-AM-1008-02,False,False,False,False,4,True,,,33F
10G-AM-1006-01,True,False,False,False,4,False,,,10G
15G-PM-1019-03,False,True,True,False,4,False,,,15G
22F-AM-1007-07,True,False,False,False,4,False,,,22F
18C-PM-1018-05,False,False,False,False,4,True,,,18C
11D-AM-1010-05,False,False,False,False,4,True,,,11D
5C-AM-1006-05,False,False,False,False,4,True,,,05C
37I-AM-1010-01,False,True,False,False,4,True,,,37I
28D-AM-1012-02,False,True,False,False,4,True,,,28D
42D-PM-1013-03,False,False,False,False,4,False,in tree,,42D
40C-PM-1006-05,False,False,False,False,4,False,,,40C
36F-PM-1012-02,False,False,False,False,4,True,,,36F
12E-PM-1018-04,False,True,False,False,4,False,,,12E
13E-PM-1008-11,False,False,False,False,4,True,,,13E
4D-PM-1008-08,False,True,False,False,4,True,,,04D
37B-AM-1018-03,False,False,False,False,4,True,,,37B
32B-AM-1017-02,True,True,True,False,4,True,,Cinnamon on its head,32B
34F-AM-1007-01,False,True,True,False,4,False,,,34F
3E-PM-1008-07,False,False,False,False,4,True,,,03E
9A-PM-1010-03,False,False,False,False,4,False,,,09A
15D-PM-1017-04,False,False,True,False,4,False,on fence,,15D
15G-PM-1019-05,False,False,False,False,4,False,,,15G
8H-PM-1014-03,False,False,True,False,4,True,,,08H
4G-AM-1006-04,False,False,False,False,4,False,,,04G
32I-AM-1013-01,False,False,False,False,4,True,,,32I
35E-PM-1006-02,False,False,False,False,4,True,,,35E
39A-PM-1014-02,False,False,False,False,4,False,,,39A
22G-PM-1018-03,False,False,True,False,4,False,,,22G
27A-AM-1008-01,False,True,False,False,4,False,,,27A
27A-AM-1008-02,False,True,True,False,4,False,,,27A
3H-AM-1008-05,True,False,False,False,4,False,,,03H
12B-AM-1007-02,False,False,False,False,4,False,,,12B
31D-AM-1014-06,False,False,False,False,4,False,,,31D
42F-PM-1017-02,False,False,True,False,4,False,,,42F
38F-AM-1018-04,False,False,False,False,4,False,,,38F
15C-PM-1017-02,False,True,False,False,4,False,,,15C
21D-PM-1008-05,False,False,False,False,4,True,,,21D
20A-AM-1010-02,False,False,False,False,4,True,,,20A
7F-AM-1008-16,False,True,False,False,4,False,tree,,07F
