dbn,school_name,fax_number,prgdesc1,offer_rate8,eligibility10,school_email,seats9ge3,seats9swd3,website,interest4,council_district,grade9swdapplicants2,requirement1_1,code4,grade9geapplicantsperseat10,graduation_rate,requirement2_3,directions6,grade9geapplicants1,grade9geapplicantsperseat8,appperseat2specialized,seats9ge8,admissionspriority14,requirement2_8,seats105,grade9swdapplicantsperseat6,seats109,prgdesc4,psal_sports_coed,seats9ge2,directions7,grade9swdfilledflag9,applicants4specialized,campus_name,applicants2specialized,seats5specialized,offer_rate1,method2,appperseat6specialized,seats9ge10,community_board,requirement2_2,grade9gefilledflag7,code6,program2,method4,requirement8_1,school_10th_seats,applicants5specialized,eligibility2,prgdesc7,admissionspriority18,seats9swd9,directions1,admissionspriority35,seats9ge4,grade9swdapplicants9,grade9gefilledflag6
17K546,High School for Public Service: Heroes of Tomorrow,718-363-3206,"Criminal, civil and constitutional law, juvenile justice, corrections, and criminology. Students will explore education requirements of lawyers, paralegals, court reporters, judges, police officers, criminal psychologists, and criminal investigators with the aid of an assigned mentor. Course Sequence Includes: Global and US History, Intro to Legal Studies, Advanced Topics in Law, Constitutional Law, Law and Literature, Social Sciences and the Law, Argument and Debate, and The Art of Public Speaking.",,,dmiller24@schools.nyc.gov,21,4,highschoolforpublicservice.com,,40.0,43,Attendance,,,0.93,,,612.0,,,,,,,,,,Cricket,58,,,,George Wingate Educational Campus,,,-100% of offers went to this group,Screened,,,9.0,"Course Grades: English (65-100), Math (65-100)",,,Medical Science and Careers Academy,,,Y,,,,,,"To schedule a school tour and interview, please contact our parent coordinator, Eric Ferreira at EFerreira@schools.nyc.gov or call 718-756-5325 between 9am and 2pm, daily.",,,,
24Q267,High School of Applied Communication,718-389-3427,,,,24Q267@schools.nyc.gov,,,hsacny.com,,26.0,,,,,0.8,,,546.0,,,,,,,,,,,,,,,,,,-26% of offers went to this group,,,,2.0,,,,,,,,,,,,,,,,,
27Q260,Frederick Douglass Academy VI High School,718-471-2890,"Advanced Placement courses in: English Language and Composition, English Literature; Biology Dual college/high school credit in: Freshmen (College) English (through Medgar Evers College) CollegeNow (through York College): Introduction to Psychology, Introduction to Sociology, Introduction to Computer Science, Introduction to Health Professions College Preparation Courses through: AVID and OneGoal",,,cogundi@schools.nyc.gov,,,fdavi.org,,31.0,,,,,0.67,,,137.0,,,,,,,,,,Double Dutch,,,,,Far Rockaway Educational Campus,,,-63% of offers went to this group,,,,14.0,,,,,,,Y,,,,,,,,,,
05M157,The Urban Assembly School for Global Commerce,212-831-5206,Career program developed in response to future employment opportunity and potential for career growth; Mission-based learning in the field of global commerce in developing solutions for complex transportation and logistical systems; Professional development through work-based learning experiences and internships; Coursework culminates with a portfolio and Industry Standard certifications.,,,info@uaglobalcommerce.org,,,uaglobalcommerce.org,,9.0,,Participation in open house or recruitment event.,,,,,,160.0,,,,,,,,,,,,,,,,,,-50% of offers went to this group,,,,11.0,,,,,,,Y,,,,,,,,,,
10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions",718-796-7051,,,,10X237@schools.nyc.gov,,,schools.nyc.gov/SchoolPortals/10/X237,,14.0,,,,,0.73,,,584.0,,,,,,,,,,Stunt,,,,,,,,-31% of offers went to this group,,,,8.0,,,,,,,,,,,,,,,,,
10X524,Crotona International High School,718-561-8707,,,,crotona.ihs@gmail.com,,,crotonainternationalhs.org,,15.0,,,,,0.41,,,222.0,,,,,,,,,,,,,,,Grace Dodge Educational Campus,,,,,,,6.0,,,,,,,,,,,,,,,,,
07X334,International Community High School,718-665-4547,Each new student and family attends a comprehensive orientation session during the last week of August.,,,enrollment@ichsbronx.org,,,ichs.weebly.com,,8.0,,,,,0.66,,,219.0,,,,,,,,,,"Outdoor Track, Table Tennis",,,,,,,,,,,,1.0,,,,,,,Y,,,,,,,,,,
02M316,"Urban Assembly School of Business for Young Women, The",212-668-0635,"The NAF Academy of Information Technology will prepare our young women for careers in programming, database administration, web design and management, digital networks, and other areas in the digital workplace. In addition to studying a career focused curriculum and working on collaborative projects they also participate in job shadowing, mock interviews, and paid internships. They are also able to earn the NAFTrack Certification which will signify that they are both college and career ready.",,,pminaya@uasbyw.org,,,schools.nyc.gov/SchoolPortals/02/M316,,1.0,28,,,,0.69,,,85.0,,,,,,,,,,,75,,,,Broadway Educational Campus,,,-16% of offers went to this group,Limited Unscreened,,,1.0,,,,The Urban Assembly School of Business for Young Women,,,Y,,Open only to female students,,,,,,,,
14K474,PROGRESS High School for Professional Careers,718-782-0911,"Preparation for entry-level positions in the health field as well as admission to two- and four-year colleges. This program equips students with the knowledge, skills, and competencies for success in college pre-med programs. This four-year math and science program culminates in internships at various medical facilities. Students take advanced placement courses in biology, chemistry, anatomy, and physiology and participate in Health Occupation Students of America.",,,ecruz19@schools.nyc.gov,28,6,schools.nyc.gov/SchoolPortals/14/K474,Visual Art & Design,34.0,13,Demonstrated Interest: School Visit,K87I,,0.72,,,331.0,,,,Priority to Brooklyn students or residents who signed in at a fair or at an information session,,,,,"Courses in art history, drawing, painting, graphic arts, sculpture, stage design, and AP Studio Art (2-D & 3-D Design, Drawing). Two years training in traditional skills and disciplines, which include drawing, painting in water-based media, graphic design, and painting in oils and acrylics. After taking the core art courses, students take advanced courses in the subjects listed and with other elective offerings such as art history, ceramics, computer graphics, mural painting, and sculpture.",Golf,50,,,,Grand Street Educational Campus,,,-90% of offers went to this group,Ed. Opt.,,,1.0,,,,Gateway: Mathematics and Science Institute,Limited Unscreened,,Y,,,,,,,,28,,
02M580,Richard R. Green High School of Teaching,646-826-8175,Participation in a teaching program including elective courses and field experiences supporting careers in education. Internship is an offsite field experience--students leave the building to work directly with elementary and middle school children and teachers. A new program with SUNY Buffalo will provide a college education course onsite for college credit.,,,edarios@schools.nyc.gov,,,schools.nyc.gov/SchoolPortals/02/M580,,1.0,21,Demonstrated Interest: School Visit,,,0.68,,,200.0,,,,,,,,,,,67,,,,Broadway Educational Campus,,,,Ed. Opt.,,,1.0,,,,Liberal Arts Academy,,,Y,,,,,,,,,,
