location_name,tier_3_support_leader_name,community_district,grades_text,principal_title,latitude,fax_number,principal_name,location_category_description
Community Preparatory High School,,105,,,40.7444,212-889-8056,,High school
Achievement First Bushwick Charter School,,304,"0K,01,02,03,04,05,06,07,08,SE",Principal,40.697898,718-453-0428,Courtney Saretzky/Riley Bauling,K-12 all grades
The Math & Science Exploratory School,,302,"06,07,08,SE",I.A. Principal,40.683951,718-330-0944,Arin Rusch,Junior High-Intermediate-Middle
Coney Island Preparatory Public Charter School,,313,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",Principal,40.582518,718-513-6955,Jacob Mnookin/Evan Burns,K-12 all grades
Wadleigh Secondary School for the Performing & Vis,,110,"06,07,08,09,10,11,12,SE",Principal,40.80261,212-749-6463,Kyleema Norman,Secondary School
P.S. 399 Stanley Eugene Clark,Mauriciere de Govia,317,"0K,01,02,03,04,05,SE",Principal,40.648277,718-940-0702,Lakeasha Williams,Elementary
Bedford Academy High School,,303,"09,10,11,12,SE",Principal,40.685486,718-636-3819,ADOFO MUHAMMAD,High school
Brooklyn High School for Law and Technology,,303,"09,10,11,12,SE",Principal,40.688399,718-852-4593,Vernon Johnson,High school
IS 370m Learning Project Ms,,103,,,40.7297,212-673-9503,,Junior High-Intermediate-Middle
P.S. 134 Henrietta Szold,"CHU, YUET",103,"PK,0K,01,02,03,04,05,SE",I.A. Principal,40.714248,212-475-6142,ROBERT PERALES,Elementary
Capital Preparatory (CP) Harlem Charter School,,111,"06,07,08,09,10",Principal,40.793098,315-400-0930,DANITA JONES,Secondary School
P.S. 188 The Island School,"CHU, YUET",103,"PK,0K,01,02,03,04,05,06,07,08,SE",Principal,40.719888,212-228-3007,Suany Ramos,K-8
N.Y.C. Lab School for Collaborative Studies,"CHU, YUET",104,"09,10,11,12,SE",Principal,40.742512,212-691-2147,BROOKE JACKSON,High school
P.S. 132 Juan Pablo Duarte,"CHU, YUET",112,"0K,01,02,03,04,05,SE",I.A. Principal,40.850561,212-568-8163,Wendy Poveda,Elementary
The International Charter School of New York,,302,"0K,01,02,03,04,05",Principal,40.692434,,Ellen Borenstein,Elementary
Brooklyn Arts and Science Elementary School,Mauriciere de Govia,308,"PK,0K,01,02,03,04,05,SE",Principal,40.6771,,Sandra Beauvoir Soto,Elementary
P.S. 131 Brooklyn,,312,"PK,0K,01,02,03,04,05,SE",Principal,40.640728,718-431-1970,STAMATINA HATZIMICHALIS,Elementary
Democracy Prep Endurance Charter School,,110,"06,07,08,09,10,11,12",Principal,40.810499,,Emmanuel George/Katherine Perez,Secondary School
Cypress Hills Collegiate Preparatory School,,305,"09,10,11,12,SE",Principal,40.693002,718-647-6719,Amy Yager,High school
The Uft Charter School,,305,"09,10,11,12,SE",Principal,40.659934,718-922-0543,Justin A. Davis,High school
P.S./I.S. 217 Roosevelt Island,"CHU, YUET",108,"PK,0K,01,02,03,04,05,06,07,08",Principal,40.753598,212-980-1192,MANDANA BECKMAN,K-8
Academy of Innovative Technology,,305,"09,10,11,12,SE",Principal,40.693002,718-827-4013,Meghan Lynch,High school
P.S. 101 Andrew Draper,,111,"08,SE",,40.796098,212-860-6075,,Junior High-Intermediate-Middle
River East Elementary,"CHU, YUET",111,"PK,0K,01,02,03,04,05,SE",Principal,40.799265,212-289-9231,Michael Panetta,Elementary
P.S. 747 A Great Start Academy,,316,"0K,01,02,03,04,05,SE",,40.672216,,,Elementary
I.S. 136 Charles O. Dewey,,307,"06,07,08,SE",I.A. Principal,40.652127,718-840-1955,Amanda Bueno,Junior High-Intermediate-Middle
P.S. 018 Park Terrace,"CHU, YUET",112,"0K,01,02,03,04,05,06,07,08,SE",Principal,40.871456,212-304-1423,CONNIE MEJIA,K-8
P.S. 149 Sojourner Truth,"CHU, YUET",110,"PK,0K,01,02,03,04,05,06,07,08,SE",Principal,40.802649,212-360-5885,CLAUDIA AGUIRRE,K-8
ACORN Community High School,,308,"09,10,11,12,SE",I.A. Principal,40.678591,718-789-2260,Jean Little,High school
Harlem Village Academy East Charter School,,111,"0K,01,02,03,04,05,06,07,08,09,10,11,12",Principal,40.799265,212-996-1626,Yohana De Los Santos/Yaritza Cortes,K-12 all grades
P.S. 139 Alexine A. Fenty,Mauriciere de Govia,314,"PK,0K,01,02,03,04,05,SE",Principal,40.64134,718-940-1205,MARY MCDONALD,Elementary
School of Science & Technology,Mauriciere de Govia,314,"PK,0K,01,02,03,04,05,SE",Principal,40.632619,718-859-5965,Gina Smalley,Elementary
P.S. M169 - Robert F. Kennedy,Tillman Roberto,108,"0K,01,02,03,04,05,06,07,08,10,11,12,SE",Principal,40.780798,212-996-8245,ELEYNA RIVAS,K-12 all grades
M.S. 061 Dr. Gladstone H. Atwell,Mauriciere de Govia,309,"06,07,08,SE",Principal,40.663605,718-467-4335,Dewana Daids,Junior High-Intermediate-Middle
P.S. 333 Manhattan School for Children,"CHU, YUET",107,"0K,01,02,03,04,05,06,07,08,SE",Principal,40.791395,212-222-1828,Claire Lowenstein,K-8
Samuel J. Tilden High School,,317,"10,11,12,SE",,40.647728,718-629-0165,,High school
P.S. 219 Kennedy-King,Mauriciere de Govia,317,"PK,0K,01,02,03,04,05,SE",Principal,40.658834,949-397-9565,WINSOME SMITH,Elementary
Urban Assembly Institute of Math and Science for Y,,302,"06,07,08,09,10,11,12,SE",Principal,40.694629,718-260-2301,Kiri Soares,Secondary School
Bushwick Leaders High School for Academic Excellen,,304,"09,10,11,12,SE",Principal,40.695436,718-574-1103,CATHERINE REILLY,High school
J.H.S. 050 John D. Wells,,301,"06,07,08,SE",Principal,40.711915,718-302-2320,Benjamin Honoroff,Junior High-Intermediate-Middle
Success Academy Charter School - Bed Stuy 3,,303,"05,06",Principal,40.691472,,Rita Deng,Junior High-Intermediate-Middle
KAPPA IV,,110,"06,07,08,SE",PRINCIPAL,40.817228,212-690-8056,Juan Vives,Junior High-Intermediate-Middle
P.S. 205 Clarion,Mauriciere de Govia,311,"PK,0K,01,02,03,04,05,SE",I.A. Principal,40.614737,718-331-7299,Feiga Mandel,Elementary
Freedom Academy High School,,302,"09,10,11,12,SE",PRINCIPAL,40.698274,718-694-8360,ALYSON FORDE,High school
