american_indian_alaskan_native,asian_average_years_at_school,hispanic_average_years_in_2,american_indian_alaskan_native_6,black_african_american_average_5
*,,,*,7.5
*,,,*,6.4
*,,8.8,*,4.3
*,,,*,
*,3.1,3.2,*,
*,,6.5,*,
*,7.0,10.3,*,
*,4.7,13.9,*,13.4
*,,,*,
*,,9.8,*,
*,,,*,
*,,,*,
*,,10.4,*,
*,,,*,8.3
*,,12.7,*,
*,6.0,,*,
*,,,*,7.5
*,16.8,10.7,*,5.0
*,10.3,,*,
*,11.3,9.6,*,
*,16.3,,*,6.7
*,,7.2,*,5.8
*,,,*,
*,,,*,
*,,,*,9.5
*,,,*,4.0
*,4.7,7.5,*,
*,,8.8,*,
*,,,*,
*,,,*,7.2
*,3.2,,*,
*,,12.9,*,11.6
*,13.6,10.8,*,
*,6.5,5.9,*,
*,,,*,
*,,10.2,*,
*,,9.1,*,
*,,15.4,*,8.0
*,,9.5,*,
*,,,*,
*,,16.3,*,20.1
*,,,*,0.2
*,,,*,
*,,8.2,*,
*,,,*,8.7
*,,8.2,*,5.5
*,18.4,11.7,*,9.4
*,,,*,7.8
*,,8.7,*,3.8
*,3.7,8.1,*,
*,,9.5,*,
*,,,*,14.8
*,,10.6,*,8.2
*,,,*,4.9
*,,10.7,*,
*,,10.4,*,6.3
*,6.5,9.1,*,
*,2.1,,*,
*,6.3,6.1,*,
*,11.0,10.2,*,5.0
*,,,*,
*,,12.5,*,
*,,9.0,*,
*,,,*,
*,,10.3,*,
*,10.8,,*,
*,4.1,13.3,*,6.1
*,,,*,7.9
*,12.6,13.3,*,4.9
*,,,*,5.2
*,,15.8,*,9.3
*,,,*,
*,,,*,
*,,,*,7.0
*,,11.5,*,11.6
*,,,*,7.4
*,7.2,,*,
*,,6.1,*,
*,,5.8,*,
*,5.3,,*,4.5
*,,8.3,*,
*,,14.2,*,
*,,10.6,*,
*,,9.7,*,
*,,11.0,*,18.2
*,,,*,8.1
*,1.5,10.5,*,
*,,,*,6.3
*,9.3,8.4,*,
*,,,*,10.8
*,,,*,
*,,16.3,*,6.1
*,,4.0,*,
*,,,*,
*,,,*,
*,,13.0,*,4.5
*,,12.2,*,7.7
*,5.4,7.6,*,8.5
*,,7.3,*,
*,,6.6,*,6.8
*,7.2,,*,11.9
*,,,*,9.0
*,,11.3,*,
*,,,*,
*,,,*,
*,,,*,
*,,,*,4.0
*,,,*,
*,,,*,
*,7.2,,*,
*,5.6,,*,
*,,,*,
*,,12.1,*,8.8
*,,,*,
*,,13.1,*,
*,4.5,7.3,*,
*,,,*,
*,,,*,
*,,,*,
*,,,*,11.8
*,,11.1,*,
*,,,*,
*,,,*,
*,,10.1,*,
*,,,*,
*,,,*,2.8
*,,9.2,*,
*,,,*,
*,,8.4,*,10.1
*,,6.8,*,
*,4.8,,*,
*,,7.8,*,4.4
*,,8.4,*,
*,,,*,
*,,,*,14.0
*,,7.0,*,
*,,,*,
*,,,*,
*,,,*,10.1
*,,,*,
*,,,*,
*,,,*,
*,10.0,9.8,*,
*,,,*,
*,,,*,
*,,,*,11.3
*,1.0,,*,5.7
*,5.7,,*,
*,,15.2,*,
*,,13.3,*,6.5
*,,11.1,*,5.6
*,,4.2,*,3.1
*,,,*,13.6
*,5.1,8.8,*,
*,10.2,,*,7.7
*,,,*,3.5
*,,5.8,*,
*,7.7,,*,
*,,,*,
*,,,*,6.8
*,,,*,
*,,13.2,*,4.5
*,10.9,10.6,*,6.8
*,,17.0,*,
*,,,*,
*,,12.0,*,8.5
*,,,*,
*,,9.7,*,6.1
*,5.0,7.2,*,
*,,,*,7.0
*,,5.3,*,
*,,,*,
*,,11.8,*,
*,,,*,
*,,,*,
*,0.7,,*,
*,,,*,
*,,16.7,*,
*,,8.9,*,5.0
*,,8.0,*,
*,,,*,16.6
*,,,*,
*,,8.9,*,
*,,,*,6.0
*,,,*,
*,,7.8,*,
*,,,*,
*,9.0,,*,16.3
*,,13.6,*,
*,,10.7,*,
*,,7.6,*,
*,,9.2,*,
*,,8.0,*,
*,,12.7,*,13.1
*,11.9,7.5,*,13.3
*,,6.6,*,
*,8.2,,*,
*,,6.7,*,
*,,,*,7.8
*,,11.2,*,6.8
*,,,*,
*,,13.9,*,
*,,5.9,*,9.1
*,,13.5,*,
*,,,*,
*,,,*,6.1
*,,,*,
*,,,*,
*,,,*,
