dbn,phonenumber,languagesupports,bin,unaffiliatedstudentoffersnyc,earlylearnprogramyblank,y,borough,zip,duallanguage
06M187,212-927-8218,,1064371.0,,,251400,Manhattan,10040,
15K038,718-330-9305,,3001183.0,,,188937,Brooklyn,11217,
10XAPN,718-562-2915,,2013811.0,Some,,253691,Bronx,10468,
16KBKK,718-778-1498,,3036100.0,All,Y,184540,Brooklyn,11213,
08XAGF,718-542-7590,Spanish,2006496.0,All,Y,236135,Bronx,10474,
11XAPX,718-798-1262,,2057523.0,Some,,261325,Bronx,10467,
15K516,718-369-8330,,3337158.0,,,176375,Brooklyn,11232,Spanish
19KBVE,718-348-9349,,3398202.0,All,Y,178442,Brooklyn,11239,
20KBIS,718-514-8980,,3125932.0,,,172234,Brooklyn,11218,
16K628,718-573-2307,,3047054.0,,,187716,Brooklyn,11233,
19KBPG,718-498-4002,,3252577.0,All,Y,182328,Brooklyn,11207,
08XAKR,718-617-6100,,2094332.0,All,Y,236772,Bronx,10455,
13K067,718-834-6756,,3332507.0,,,192715,Brooklyn,11205,
04MASX,212-427-7644,,1054408.0,All,Y,231765,Manhattan,10035,
05M129,212-690-5932,,1059407.0,,,236075,Manhattan,10027,Spanish
02M089,212-571-5659,,1085568.0,,,200378,Manhattan,10282,
84M518,212-348-2518,,1089693.0,,,227196,Manhattan,10029,
10X207,718-796-9645,,2083138.0,,,259288,Bronx,10463,
14K257,718-384-7128,,3071571.0,,,195182,Brooklyn,11206,
02M124,212-966-7237,,1075787.0,,,199479,Manhattan,10002,
10X209,718-364-0085,,2103868.0,,,251421,Bronx,10458,
06M189,212-927-8303,,1076750.0,,,249922,Manhattan,10040,
06MATP,646-449-0814,,1061917.0,Some,Y,240026,Manhattan,10031,
02M340,917-305-1000,,1068261.0,,,208579,Manhattan,10011,
21K215,718-339-2464,,3178584.0,,,158633,Brooklyn,11223,
11XAEW,718-944-0958,,2057044.0,Some,,257666,Bronx,10467,
11XAWG,718-324-8300,,2070786.0,All,,266429,Bronx,10466,
20Z073,718-567-4220,,3148471.0,,,167403,Brooklyn,11228,Chinese
09X058,718-583-6866,,2009540.0,,,247573,Bronx,10457,
03MAZI,212-749-0291,,1079468.0,Some,,231311,Manhattan,10025,
02M040,212-475-5500,,1020513.0,,,207071,Manhattan,10003,
10XALT,718-884-3950,,2084024.0,Some,,262721,Bronx,10463,
21KABE,718-338-5600,,3129528.0,All,,166854,Brooklyn,11204,
05M123,212-342-6200,,1060726.0,,,237945,Manhattan,10030,
04M182,212-860-6031,,1052436.0,,,228264,Manhattan,10029,
07Z028,718-401-0510,,2117111.0,,,232856,Bronx,10454,
20KAJD,718-745-7643,,3152079.0,Some,,167090,Brooklyn,11209,
10X396,718-294-0862,,2014692.0,,,250680,Bronx,10453,
08X182,718-828-6607,,2021923.0,,,237412,Bronx,10473,
02MANH,212-410-2077,,1051451.0,,,226212,Manhattan,10029,
13K020,718-834-6744,,3058531.0,,,190942,Brooklyn,11205,
02Z089,212-422-6310,,1001672.0,,,199369,Manhattan,10007,
06MAXS,212-781-6910,,1063533.0,Some,Y,247360,Manhattan,10033,
19KCLM,718-342-7722,,3083450.0,All,,185198,Brooklyn,11207,
20KBAI,718-435-2554,,3140076.0,Some,,169166,Brooklyn,11219,
08XAEO,718-792-3688,,2046491.0,Some,,248811,Bronx,10461,
14KBKF,347-943-7682,,3341989.0,All,Y,196283,Brooklyn,11249,
09XAOK,718-901-0140,Spanish,2008989.0,All,Y,248518,Bronx,10453,
21K253,718-332-3331,,3244470.0,,,150445,Brooklyn,11235,
08X107,718-860-8760,,2021972.0,,,237494,Bronx,10473,
15KCOT,347-827-1372,,3023919.0,,,181729,Brooklyn,11215,
04M155,212-860-5885,,1052986.0,,,229762,Manhattan,10035,Spanish
02M217,212-980-0294,,1084848.0,,,217588,Manhattan,10044,
08X062,718-585-1617,,2005089.0,,,235866,Bronx,10455,
15KARS,718-854-7777,,3136635.0,,Y,172587,Brooklyn,11219,
02MAUH,212-679-2393,,1086515.0,,Y,208578,Manhattan,10016,
03M165,212-678-2873,,1056676.0,,,231803,Manhattan,10025,
15KCRS,718-858-6886,"Chinese,Spanish",3424561.0,,,172974,Brooklyn,11220,
12X458,718-860-5332,,2010786.0,,,243203,Bronx,10460,Spanish
11XAEL,718-597-3232,,2097353.0,Some,,246195,Bronx,10462,
