school_name,program4,grade9gefilledflag7,requirement_3_7,grade9gefilledflag1,common_audition1,prgdesc8,interest5,grade9geapplicantsperseat9,grade9geapplicants12,seats2specialized,grade9geapplicants7,state_code,seats108,seats9swd11,method1,requirement_2_2,prgdesc9,admissionspriority29,interest6,seats9swd6,seats9swd8,school_email,grade9geapplicantsperseat10,code2,grade9swdapplicants8,requirement_1_2,prgdesc12,grade9swdapplicants7,addtl_info1,borough,ptech,offer_rate2_4,council_district,eligibility1,admissionspriority15,grade9swdfilledflag11,auditioninformation6,offer_rate4_2,grade9swdfilledflag9,end_time,grade9swdapplicantsperseat6,girls,requirement_3_4,academicopportunities4,admissionspriority12,offer_rate4_1,prgdesc7,seats9ge1,common_audition4,requirement_1_7,psal_sports_boys,seats1010,admissionspriority18,grade9geapplicantsperseat7,prgdesc3,interest2,admissionspriority22,freshmanschedule,gradespan,requirement_2_1,attendance_rate,requirement_2_9,method2,grade9gefilledflag10,offer_rate1_9,admissionspriority14,interest11,admissionspriority11,seats101,offer_rate2_9,grade9geapplicants10,grade9swdapplicants9,admissionspriority41,auditioninformation7
Robert F. Kennedy Community High School,,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,abarbet@schools.nyc.gov,,,,,,,"College Trips,Community Service Expected,Extended Day Program,Extended Day Tutoring,Online Grading System,Orientation,Weekend Programs",QUEENS,,,24,Open only to District 25 students or residents,,,,,,2:19pm,,,,"Leadership, Conflict Resolution, Journalism, Yearbook Publication, Coding, Advanced Art, Computer Courses",,,,126,,,"Baseball, Basketball, Bowling, Fencing, Soccer, Wrestling",,,,,,,8:00am-2:19pm,9 to 12,,0.89999998,,,,,,,,0.0,,,,,
N.Y.C. Lab School for Collaborative Studies,,,,Y,,,,,,,,NY,,,Screened,,,,,,,jkoch2@nyclabschool.org,,M74Y,,,,,"College Trips,Community Service Expected,Diversity in Admissions,Orientation,Weekend Programs",MANHATTAN,,,3,,,,,,,3:30pm,,,,"LAB School mission driven activities: AIDS Action Day, World Majority Day, school wide reflection & presentation",,,,81,,,"Baseball, Basketball, Indoor Track, Soccer",,,,,,,8:20am-3:30pm,9 to 12,2019-20 Marking Period Grades - 50%,0.94,,ASD/ACES Program,,,,,Priority to District 2 students or residents,0.0,,,,,
Discovery High School,,,,Y,,,,,,,,NY,,,Open,,,,,,,ksanchez@schools.nyc.gov,,,,,,,10th Grade Seats Available,BRONX,,,11,,,,,,,3:45pm,,,,,,,,85,,,"Baseball, Basketball, Bowling, Handball, Outdoor Track, Soccer, Volleyball",,,,,,,8:45am-3:45pm,9 to 12,,0.88999999,,,,,,,Priority to Bronx students or residents,1.0,,,,,
"Michael J. Petrides School, The",,,,Y,,,,,,,,NY,,,Ed. Opt.,,,,,,,atabbit@schools.nyc.gov,,R15U,,,,,"College Trips,Online Grading System",STATEN IS,,,50,Open only to Staten Island students or residents.,,,,,,2:20pm,,,,"STEM offerings include courses in: Computer Science, Drone Science, Engineering, Film Making and Theater Tech",,,,102,,,"Baseball, Basketball, Bowling, Cross Country, Fencing, Football, Handball, Indoor Track, Outdoor Track, Soccer, Swimming, Tennis, Wrestling",,,,,,,8:00am-2:20pm,PK to 12,,0.92000002,,D75 Special Education Inclusive Services,,,,,Priority to continuing 8th graders,0.0,,,,,
"Global Learning Collaborative, The",,,,Y,,,,,,,,NY,,,Ed. Opt.,,,,,,,casillas@theglcnyc.org,,,,,,,"College Trips,Community Service Expected,Extended Day Tutoring,Health Center,LYFE (Living For The Young Family Through Education),Online Grading System,Orientation",MANHATTAN,,,6,,,,,,,2:52pm,,,,"College Partners: College Now at Hunter College, DDC at Columbia University, NYU Advising Corps",,,,85,,,"Baseball, Basketball, Bowling, Soccer, Volleyball",,,,,,,8:32am-2:52pm,9 to 12,,0.86000001,,,,,,,Priority to Manhattan students or residents,0.0,,,,,
Flushing High School,Zoned,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,jsurage@schools.nyc.gov,,Q18B,,,,,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community School,Orientation,Summer Bridge",QUEENS,,,20,,,,,,,3:28pm,,,,,Open to New York City residents,,,120,,,"Badminton, Baseball, Basketball, Bowling, Football, Handball, Soccer, Table Tennis, Tennis, Volleyball, Wrestling",,,,"As a registered testing center for Microsoft programs, students taking business courses with participation in the Virtual Enterprise Program are eligible for Microsoft MOUS certification. Students may also pursue CTE Business certification.",Science & Math,,8:00am-3:28pm,9 to 12,,0.83999997,,Ed. Opt.,,,Priority to students who live in the zoned area,,Open to New York City residents,1.0,,,,,
Academy for Careers in Television and Film (ACTV),,,,Y,,,,,,,,NY,,,Ed. Opt.,,,,,,,narboleda@actvf.org,,Q01Y,,,,,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Diversity in Admissions,Early College,Extended Day Program,Online Grading System,Orientation,Summer Internships,Weekend Programs",QUEENS,1.0,,26,,,,,,,3:30pm,,,,CTE program(s): Film and Video Production (NYSED-Approved),,,,107,,,"Baseball, Basketball, Soccer",,,,,,,9:00am-3:30pm,9 to 14,,0.93000001,,ASD/ACES Program,,,,,Open to New York City residents,1.0,,,,,
Mott Haven Village Preparatory High School,,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,mwilliams81@schools.nyc.gov,,,,,,,LYFE (Living For The Young Family Through Education),BRONX,,,17,,,,,,,2:20pm,,,,"Summer search, PSAT/SAT prep, double periods in ELA and math to enhance learning",,,,64,,,"Baseball, Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track, Rugby, Soccer, Tennis, Volleyball",,,,,,,8:00am-2:20pm,9 to 12,,0.76999998,,,,,,,Priority to Bronx students or residents,0.0,,,,,
Energy Tech High School,,,,Y,,,,,,,,NY,,,Ed. Opt.,,,,,,,admissions@energytechhs.org,,Q61U,,,,,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community Service Expected,Early College,Extended Day Tutoring,Internship Expected,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation,Weekend Programs",QUEENS,1.0,,26,,,,,,,3:45pm,,,,"Monthly Town Hall meetings, weekly advisory groups, extended day/week/year; tutoring and office hours available; student leadership opportunities.",,,,91,,,"Basketball, Handball",,,,,,,8:50am-3:45pm,9 to 14,,0.91000003,,D75 Special Education Inclusive Services,,,,,Priority to Queens students or residents,1.0,,,,,
Pan American International High School,,,,N,,,,,,,,NY,,,Screened: Language,,,,,,,ggonzalez3@schools.nyc.gov,,,,,,,"10th Grade Seats Available,College Trips,Community School,Community Service Expected,Dress Code,Extended Day Credit Recovery,Extended Day Program,Extended Day Tutoring,Health Center,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Orientation,Weekend Programs",QUEENS,,,25,Open only to New York City residents whose home language is Spanish,,,,,,2:40pm,,,,Languages other than English courses,,,,91,,,"Baseball, Basketball, Bowling, Cross Country, Outdoor Track, Soccer, Tennis, Volleyball",,,,,,,8:20am-2:40pm,9 to 12,,0.94,,,,,,,,1.0,,,,,
