schooldbn,geapps_prog5,code_prog8,neighborhood,geappsperseat_prog4,swdfilled_prog6,admissionsmethod_prog4,geappsperseat_prog1,gefilled_prog3,swdappsperseat_prog15,latitude,swdseats_prog7,eligibility_prog9,geseats_prog15,swdapps_prog15,swdfilled_prog3,geseats_prog6,admissionsmethod_prog8,swdseats_prog9,end_time,borough,name_prog11,priority3_prog3,name_prog12,geappsperseat_prog12,name_prog3,swdappsperseat_prog13,geapps_prog14,swdapps_prog4,name_prog6,swdseats_prog2,name_prog15,geappsperseat_prog15,gefilled_prog7,admissionsmethod_prog6,swdseats_prog14,swdapps_prog9,longitude
04M964,,,East Harlem,,,,4.0,,,40.785258,,,,,,,,,2:50pm,MANHATTAN,,,,,,,,,,,,,,,,,-73.941526
07X298,,,Melrose,,,,3.0,,,40.818874,,,,,,,,,3:15pm,BRONX,,,,,,,,,,0.0,,,,,,,-73.905927
06M324,,,Washington Heights,,,,2.0,,,40.839305,,,,,,,,,2:50pm,MANHATTAN,,,,,,,,,,,,,,,,,-73.936159
02M289,,,Battery Park,,,,6.0,,,40.716668,,,,,,,,,2:50pm,MANHATTAN,,,,,,,,,,,,,,,,,-74.013542
02M177,,,Upper East Side,,,,10.0,,,40.770419,,,,,,,,,3:20pm,MANHATTAN,,,,,,,,,,9.0,,,,,,,-73.951135
12X341,,,South Bronx,,,,3.0,,,40.822443,,,,,,,,,2:30pm,BRONX,,,,,,,,,,,,,,,,,-73.893902
10X254,,,Belmont,,,,7.0,,,40.858815,,,,,,,,,2:30pm,BRONX,,,,,,,,,,20.0,,,,,,,-73.890232
30Q126,,,Astoria,,,,4.0,False,,40.766264,,,,,True,,,,2:20pm,QUEENS,,,,,Zoned Program,,,,,9.0,,,,,,,-73.930709
14K157,,,Bedford Stuyvesant,,,,2.0,,,40.695417,,,,,,,,,2:20pm,BROOKLYN,,,,,,,,,,,,,,,,,-73.959571
12X286,,,South Bronx,,,,3.0,,,40.831165,,,,,,,,,4pm,BRONX,,,,,,,,,,,,,,,,,-73.887094
10X447,,,Tremont,,,,15.0,,,40.854872,,,,,,,,,2:20pm,BRONX,,,,,,,,,,29.0,,,,,,,-73.903458
05M514,,,Manhattanville,,,,2.0,,,40.819481,,,,,,,,,2:20pm,MANHATTAN,,,,,,,,,,,,,,,,,-73.95761
03M334,,,Upper West Side,,,,29.0,,,40.780822,,,,,,,,,2:40pm,MANHATTAN,,,,,,,,,,,,,,,,,-73.976855
29Q116,,,Jamaica,,,,2.0,,,40.700606,,,,,,,,,2:30pm,QUEENS,,,,,,,,,,,,,,,,,-73.782302
08X448,,,Soundview,,,,4.0,,,40.823526,,,,,,,,,2:20pm,BRONX,,,,,,,,,,,,,,,,,-73.859662
03M191,,,Upper West Side,,,,2.0,,,40.772883,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,-73.989609
04M224,,,East Harlem,,,,9.0,,,40.785671,,,,,,,,,2:20pm,MANHATTAN,,,,,,,,,,,,,,,,,-73.942548
21K121,,,Ocean Parkway,,,,2.0,,,40.623273,,,,,,,,,2:20pm,BROOKLYN,,,,,,,,,,,,,,,,,-73.978822
11X326,,,Williamsbridge,,,,5.0,,,40.862109,,,,,,,,,2:20pm,BRONX,,,,,,,,,,,,,,,,,-73.864577
05M362,,,Morningside Heights,,,,16.0,,,40.810431,,,,,,,,,2:30pm,MANHATTAN,,,,,,,,,,,,,,,,,-73.955809
29Q147,,,Cambria Heights,,,,2.0,,,40.697309,,,,,,,,,2:20pm,QUEENS,,,,,,,,,,,,,,,,,-73.740948
02M225,,,Upper East Side,,,,17.0,,,40.765359,,,,,,,,,2:50pm,MANHATTAN,,,,,,,,,,,,,,,,,-73.960059
20K936,,,,,,,2.0,,,40.643763,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,-74.020215
06M346,,,Washington Heights,,,,3.0,,,40.833687,,,,,,,,,2:50pm,MANHATTAN,,,,,,,,,,,,,,,,,-73.942072
25Q379,,,,,,,2.0,,,40.785327,,,,,,,,,,QUEENS,,,,,,,,,,,,,,,,,-73.843749
20K104,,,Fort Hamilton,,,,15.0,,,40.618415,,,,,,,,,2:30pm,BROOKLYN,,,,,,,,,,21.0,,,,,,,-74.028842
23K155,,,Ocean Hill,,,,1.0,,,40.677415,,,,,,,,,2:20pm,BROOKLYN,,,,,,,,,,,,,,,,,-73.908734
31R051,,,Meiers Corners,,,,5.0,,,40.622997,,,,,,,,,2:30pm,STATEN IS,,,,,,,,,,103.0,,,,,,,-74.144257
12X273,,,East Tremont,,,,3.0,,,40.848472,,,,,,,,,5:30pm,BRONX,,,,,,,,,,,,,,,,,-73.888561
03M860,,,Harlem,,,,3.0,,,40.802207,,,,,,,,,3:36pm,MANHATTAN,,,,,,,,,,,,,,,,,-73.954142
19K404,,,East New York,,,,3.0,,,40.657434,,,,,,,,,2:48pm,BROOKLYN,,,,,,,,,,,,,,,,,-73.874734
11X287,,,Williamsbridge,,,,1.0,,,40.880873,,,,,,,,,3pm,BRONX,,,,,,,,,,,,,,,,,-73.860904
13K265,,,Fort Greene,,,,1.0,,,40.696324,,,,,,,,,2:20pm,BROOKLYN,,,,,,,,,,,,,,,,,-73.97578
17K002,,,Prospect Lefferts Gardens,,,,4.0,,,40.656183,,,,,,,,,2:30pm,BROOKLYN,,,,,,,,,,16.0,,,,,,,-73.951583
12X383,,,West Farms,,,,5.0,,,40.839565,,,,,,,,,2:35pm,BRONX,,,,,,,,,,,,,,,,,-73.880358
03M333,,,Upper West Side,,,,7.0,,,40.791709,,,,,,,,,2:52pm,MANHATTAN,,,,,,,,,,,,,,,,,-73.970802
29Q283,,,Rochdale,,,,4.0,,,40.668235,,,,,,,,,3:10pm,QUEENS,,,,,,,,,,,,,,,,,-73.756839
11X529,,,Eastchester,,,,5.0,,,40.884953,,,,,,,,,2:20pm,BRONX,,,,,,,,,,,,,,,,,-73.840524
15K136,,,Sunset Park,,,,4.0,False,,40.651977,,,,,True,,,,2:20pm,BROOKLYN,,,,,Charles O. Dewey Middle School (I.S. 136),,,,,0.0,,,,,,,-74.006862
31R861,,,Graniteville,,,,4.0,,,40.620676,,,,,,,,,2:25pm,STATEN IS,,,,,,,,,,,,,,,,,-74.164277
04M057,,,East Harlem,,,,2.0,,,40.797577,,,,,,,,,2:20pm,MANHATTAN,,,,,,,,,,,,,,,,,-73.94128
26Q172,,,Floral park,,,,3.0,,,40.741944,,,,,,,,,2:20pm,QUEENS,,,,,,,,,,45.0,,,,,,,-73.712965
19K654,,,East New York,,,,2.0,,,40.66011,,,,,,,,,2:30pm,BROOKLYN,,,,,,,,,,,,,,,,,-73.885387
06M322,,,Washington Heights,,,,2.0,,,40.86079,,,,,,,,,3:20pm,MANHATTAN,,,,,,,,,,22.0,,,,,,,-73.930672
14K614,,,Williamsburg,,,,3.0,,,40.705204,,,,,,,,,2:30pm,BROOKLYN,,,,,,,,,,,,,,,,,-73.939407
27Q114,,,Belle Harbor,,,,2.0,,,40.578261,,,,,,,,,2:20pm,QUEENS,,,,,,,,,,,,,,,,,-73.854403
03M149,,,Harlem,,,,1.0,,,40.802136,,,,,,,,,4pm,MANHATTAN,,,,,,,,,,,,,,,,,-73.947828
20K259,,,Dyker Heights,,,,15.0,,,40.62668,,,,,,,,,2:55pm,BROOKLYN,,,,,,,,,,76.0,,,,,,,-74.01512
01M378,,,Lower East Side,,,,3.0,,,40.720581,,,,,,,,,2:20pm,MANHATTAN,,,,,,,,,,6.0,,,,,,,-73.985645
26Q158,,,Bayside,,,,7.0,,,40.756139,,,,,,,,,2:20pm,QUEENS,,,,,,,,,,56.0,,,,,,,-73.772862
22K014,,,Sheepshead Bay,,,,3.0,,,40.593521,,,,,,,,,2:05pm,BROOKLYN,,,,,,,,,,17.0,,,,,,,-73.937672
14K582,,,Williamsburg,,,,3.0,,,40.708723,,,,,,,,,2:20pm,BROOKLYN,,,,,,,,,,,,,,,,,-73.940002
24Q311,,,Corona,,,,1.0,,,40.745709,,,,,,,,,2:40pm,QUEENS,,,,,,,,,,,,,,,,,-73.865329
10X368,,,Spuyten Duyvil,,,,5.0,False,,40.879368,,,,,False,,,,2:44pm,BRONX,,Then to Bronx students and residents,,,Zoned Program,,,,,5.0,,,,,,,-73.909896
10X080,,,Norwood,,,,1.0,,,40.876299,,,,,,,,,3:35pm,BRONX,,,,,,,,,,41.0,,,,,,,-73.881532
10X086,,,,,,,1.0,,,40.869835,,,,,,,,,,BRONX,,,,,,,,,,,,,,,,,-73.89874
05M517,,,Manhattanville,,,,7.0,,,40.81242,,,,,,,,,2:55pm,MANHATTAN,,,,,,,,,,,,,,,,,-73.953315
07X551,,,Mott Haven,,,,3.0,,,40.813641,,,,,,,,,2:50pm,BRONX,,,,,,,,,,,,,,,,,-73.925313
11X498,,,Morris Park,,,,6.0,,,40.84473,,,,,,,,,2:30pm,BRONX,,,,,,,,,,,,,,,,,-73.858207
07X029,,,Melrose,,,,3.0,,,40.821515,,,,,,,,,2:40pm,BRONX,,,,,,,,,,,,,,,,,-73.917279
10X280,,,Norwood,,,,4.0,,,40.877202,,,,,,,,,2:45pm,BRONX,,,,,,,,,,,,,,,,,-73.881773
23K671,,,Brownsville,,,,3.0,,,40.666545,,,,,,,,,2:30pm,BROOKLYN,,,,,,,,,,,,,,,,,-73.910904
10X308,,,Norwood,,,,6.0,,,40.885116,,,,,,,,,2:50pm,BRONX,,,,,,,,,,6.0,,,,,,,-73.877679
30Q291,,,Hunters Point,,,,6.0,,,40.742956,,,,,,,,,2:35pm,QUEENS,,,,,,,,,,,,,,,,,-73.959196
14K071,,,Williamsburg,,,,3.0,,,40.703624,,,,,,,,,3:30pm,BROOKLYN,,,,,,,,,,,,,,,,,-73.953146
02M413,,,Flatiron District,,,,6.0,,,40.738952,,,,,,,,,3:20pm,MANHATTAN,,,,,,,,,,,,,,,,,-73.985479
05M161,,,Manhattanville,,,,1.0,,,40.81755,,,,,,,,,2:20pm,MANHATTAN,,,,,,,,,,,,,,,,,-73.953041
12X271,,,South Bronx,,,,4.0,,,40.836356,,,,,,,,,3:01pm,BRONX,,,,,,,,,,,,,,,,,-73.888361
09X339,,,South Bronx,,,,1.0,,,40.840878,,,,,,,,,2:40pm,BRONX,,,,,,,,,,,,,,,,,-73.904754
10X225,,,Tremont,,,,3.0,,,40.854515,,,,,,,,,2:50pm,BRONX,,,,,,,,,,,,,,,,,-73.896703
22K078,,,Georgetown,,,,4.0,,,40.621224,,,,,,,,,2:20 pm,BROOKLYN,,,,,,,,,,37.0,,,,,,,-73.91287
06M278,,,Inwood,,,,4.0,,,40.871245,,,,,,,,,2:20pm,MANHATTAN,,,,,,,,,,,,,,,,,-73.912141
25Q281,,,Flushing,,,,7.0,,,40.749545,,,,,,,,,2:20pm,QUEENS,,,,,,,,,,,,,,,,,-73.822073
27Q105,,,Far Rockaway,,,,0.0,,,40.595779,,,,,,,,,2:15pm,QUEENS,,,,,,,,,,,,,,,,,-73.781876
15K442,,,Windsor Terrace,,,,16.0,,,40.656944,,,,,,,,,2:20pm,BROOKLYN,,,,,,,,,,,,,,,,,-73.983115
08X131,,,Soundview,,,,3.0,,,40.823526,,,,,,,,,2:30pm,BRONX,,,,,,,,,,,,,,,,,-73.859662
32K349,,,Bushwick,,,,4.0,,,40.70069,,,,,,,,,3:45pm,BROOKLYN,,,,,,,,,,11.0,,,,,,,-73.927481
27Q232,,,Howard Beach,,,,1.0,,,40.665909,,,,,,,,,2:25pm,QUEENS,,,,,,,,,,,,,,,,,-73.851216
10X243,,,Belmont,,,,7.0,,,40.860043,,,,,,,,,3:05pm,BRONX,,,,,,,,,,,,,,,,,-73.888267
27Q053,,,Far Rockaway,,,,2.0,,,40.603622,,,,,,,,,3:20pm,QUEENS,,,,,,,,,,,,,,,,,-73.749097
05M123,,,Harlem,,,,2.0,,,40.819767,,,,,,,,,3:35pm,MANHATTAN,,,,,,,,,,,,,,,,,-73.944433
25Q185,,,Murray Hill,,,,3.0,,,40.775253,,,,,,,,,2:20pm,QUEENS,,,,,,,,,,,,,,,,,-73.819347
06M528,,,Washington Heights,,,,3.0,,,40.85051,,,,,,,,,4pm,MANHATTAN,,,,,,,,,,,,,,,,,-73.934485
28Q310,,,Jamaica Hills,,,,5.0,,,40.713218,,,,,,,,,2:40pm,QUEENS,,,,,,,,,,,,,,,,,-73.797237
08X071,,,Pelham Bay,,,,2.0,,,40.845787,,,,,,,,,2:20pm,BRONX,,,,,,,,,,,,,,,,,-73.829829
12X242,,,Soundview,,,,9.0,,,40.831416,,,,,,,,,2:55pm,BRONX,,,,,,,,,,,,,,,,,-73.877785
31R007,,,Huguenot,,,,1.0,,,40.523757,,,,,,,,,1:50pm,STATEN IS,,,,,,,,,,,,,,,,,-74.185941
02M297,,,Flatiron District,,,,5.0,,,40.730999,,,,,,,,,,MANHATTAN,,,,,,,,,,59.0,,,,,,,-74.007191
09X215,,,South Bronx,,,,5.0,,,40.833511,,,,,,,,,2:05pm,BRONX,,,,,,,,,,,,,,,,,-73.90449
09X229,,,Morris Heights,,,,1.0,,,40.852536,,,,,,,,,2:20pm,BRONX,,,,,,,,,,6.0,,,,,,,-73.921467
18K068,,,Canarsie,,,,3.0,False,,40.635553,,,,,True,,,,2:20pm,BROOKLYN,,,,,I.S. 68,,,,,6.0,,,,,,,-73.91079
05M499,,,Harlem,,,,1.0,,,40.824319,,,,,,,,,2:38pm,MANHATTAN,,,,,,,,,,,,,,,,,-73.93712
17K246,,,Flatbush,,,,6.0,,,40.648608,,,,,,,,,2:20pm,BROOKLYN,,,,,,,,,,16.0,,,,,,,-73.952821
04M096,,,East Harlem,,,,2.0,,,40.800256,,,,,,,,,2:20pm,MANHATTAN,,,,,,,,,,16.0,,,,,,,-73.937558
12X129,,,East Tremont,,,,2.0,,,40.845878,,,,,,,,,,BRONX,,,,,,,,,,,,,,,,,-73.886184
18K763,,,East Flatbush,,,,3.0,,,40.648423,,,,,,,,,2:40pm,BROOKLYN,,,,,,,,,,,,,,,,,-73.925948
11X370,,,Williamsbridge,,,,2.0,,,40.880873,,,,,,,,,4pm,BRONX,,,,,,,,,,,,,,,,,-73.860904
27Q146,,,Howard Beach,,,,1.0,,,40.659873,,,,,,,,,2:30pm,QUEENS,,,,,,,,,,,,,,,,,-73.835068
