nys_wms_rejection_code,cd_08,has_limited_english,cd_47,_45_64,has_reasonable_accommodation,unknown_race,cd_49,cd_36,has_limited_english_1,cd_50,_65,cd_26,cd_43
G92-Client Request-CA Only-Written,0,*,0,0,0,0,0,0,*,0,0,*,0
E30-Excess Earned income,185,"1,048",64,926,142,68,82,133,"4,137",19,100,60,51
V23-Failure to Provide Verification of Income from Parent/Spouse MA Sep Det,0,*,0,*,0,0,0,*,12,0,*,0,0
F53-Refusal by Parent to Apply for Child,0,*,0,*,*,0,*,0,*,0,0,0,0
U40-Excess Resources,0,0,0,0,0,0,0,0,*,0,0,0,0
M98 - Duplicate Assistance - Non AFIS in NYS,0,0,0,0,0,0,0,0,*,0,0,0,0
M98 - Duplicate Assistance - Non AFIS in NYS,*,*,*,*,*,0,0,0,28,0,*,*,0
F98-Client Request Child Care in Lieu of Temporary Assistance,0,0,0,*,0,0,0,0,13,0,0,0,0
Y99-Other,14,154,*,230,22,10,14,10,516,*,85,52,0
"N31-Voluntary Quit, 1st Occurrence",0,0,0,*,0,0,0,0,*,0,0,0,0
IP1-Intentional Program Violations,0,0,0,*,0,0,0,0,*,0,0,0,0
M97-Receiving Multiple Benefits,0,0,0,*,0,0,0,0,*,0,0,0,0
E10-Failure to Keep/Complete Interview: No Schedule Appointment,49,120,26,304,18,28,*,45,938,13,71,14,*
Y13 - Failure to keep Recertification Appointment,0,0,0,0,0,0,0,0,*,0,0,0,0
G89-Client Request-CA & MA-Written,*,*,*,*,*,0,0,0,32,0,*,0,*
E10-Failure to Keep/Complete Interview: No Schedule Appointment,244,2712,89,1889,153,253,90,159,6251,57,615,183,41
Y12-Client Active On A PA Case,92,435,31,710,181,*,50,62,2280,13,170,32,16
F53-Refusal by Parent to Apply for Child,0,*,0,*,0,0,0,0,*,0,0,0,0
Y50-Your application for public assistance is rejected MA Determination,*,*,*,*,0,0,0,0,16,0,*,0,*
G89-Client Request-CA & MA-Written,0,*,*,*,0,0,0,*,14,0,0,0,0
G92-Client Request-CA Only-Written,*,*,0,*,0,0,0,*,13,0,*,0,*
"M67-PA, FS - Part of Another PA, FS Application",15,133,11,132,*,*,*,16,424,*,44,*,*
N15-Failure to Keep Appt.- BEV/FEDS Home Visit,0,0,0,0,0,0,0,0,*,0,0,0,0
F71-Child Under Parental Control,*,*,*,*,0,0,0,*,17,0,0,*,0
G89-Client Request-CA & MA-Written,0,*,0,*,0,0,0,0,*,0,*,0,0
E72-Institutionalized,0,*,*,13,*,0,*,0,17,0,*,0,0
285-Other,0,0,0,*,0,0,0,0,*,0,0,0,0
F93-Failure to Sign Citizenship/Alien Declaration HH=1 MA Sep Determination,*,225,*,53,*,*,0,*,62,*,13,*,*
F71-Child Under Parental Control,*,*,0,*,0,0,0,0,12,0,0,0,0
E72-Institutionalized,0,*,*,*,0,0,0,0,11,0,*,0,0
M25-Failure to respond to a Computer Match Call-In,0,*,0,*,0,0,0,0,*,0,0,0,0
E75-Refusal of Everyone in Household to Apply,*,75,*,63,*,*,*,*,175,*,29,*,*
G99-Client Request-CA & MA-Verbal,0,10,*,11,0,0,*,0,24,0,*,*,0
N13-Failure to Use/Apply for Benefit/Resource,*,28,0,*,0,0,*,*,12,0,*,0,*
E35-Excess Unearned Income Ineligible Budget Required,45,178,*,512,17,11,16,39,"1,192",14,174,14,12
N14-Filing Unit Member Failed to Apply,*,76,*,31,*,*,*,*,93,*,*,*,0
F71-Child Under Parental Control,0,*,0,0,0,0,0,0,*,0,0,0,0
E34-Excess Income SSI Single Individual ineligible budget required MA Sep Det,19,126,*,245,67,*,11,16,495,*,204,11,*
N15-Failure to Keep Appt.- BEV/FEDS Home Visit,0,0,0,0,0,0,0,0,*,0,0,0,0
M27-Failure to Provide Verification of UIB Match,0,*,0,*,0,0,0,0,*,0,0,0,0
G89-Client Request-CA & MA-Written,*,11,*,16,*,0,*,*,37,0,*,*,*
"M67-PA, FS - Part of Another PA, FS Application",22,171,14,193,32,10,*,23,778,*,78,*,*
"M66-PA, FS - Receiving PA/FS in Another Case",113,923,55,940,127,*,68,67,2705,30,483,35,36
Y94-Client Request to Withdraw Application,*,53,*,65,*,0,*,*,203,*,29,*,*
N14-Filing Unit Member Failed to Apply,*,57,*,30,*,*,*,*,75,*,*,*,*
