globalid,from_level_code,l_low_hn,rwjurisdiction,pre_modifier,nonped,boroughcode,posted_speed,post_type,shape_length,collectionmethod
2a561d7a-1cf5-4ca6-8d1b-c70f775a7f98,13,103-007,,,,4,25.0,BLVD,87.63573217927019,
b1e2523f-c7eb-4d53-b4d0-a96e6c2630ff,13,,3.0,,D,5,,,121.12661698231408,
62e24011-3642-4180-8830-32082c5ee825,13,,,,,5,25.0,AVE,50.44837266738256,
a5680a9e-bec3-4a15-b4d7-cb215a7577c4,13,701,,,,4,25.0,AVE,104.87196861779783,
d0ca6bde-399e-4e96-a2d7-3ea521f2521d,13,,3.0,,,5,,DY,43.787478635339085,
f8786980-2856-4706-87ea-7868da3ecdde,13,,,,,3,25.0,BLVD,157.05523101103515,
84e5548c-ca1e-435f-a0d4-406caba8578b,13,,,,,1,,WAY,164.6475548635378,
03687184-ca33-4c0b-aa2b-5374b1c02ef0,13,2401,,,,3,25.0,,107.98688374850266,
1146ac04-d6ba-4619-85f1-4b1e6d46e2b0,13,370,,,,5,25.0,AVE,317.78831801474314,
dbdfe4f1-8c40-42bf-821e-f739a2fc71dd,13,6401,,,,3,25.0,,104.6204124563951,
68bf9dd6-fdff-412f-90b1-344625be9418,13,110,,,,5,25.0,AVE,144.2991365158233,
eb3b9c10-b213-4367-b6fd-77a21b470c12,13,,3.0,,,5,,DR,164.89908260970265,
1417f6ce-431d-4ece-aed2-c521582c679e,13,89,,,,3,25.0,AVE,114.763345138473,
c269c5f9-156e-4b0e-9819-13e0b1da60ae,13,25,,,,3,25.0,,104.6658230766952,
01282339-99b6-4b68-a477-5ee835719fd2,13,1801,,,,3,25.0,ST,344.0154141216773,
0146e5ad-8dab-409b-8998-876f15f82c8f,13,217,,,,3,25.0,AVE,106.29141007125286,
c635d45a-a8a8-4f0b-aa4b-26ed0277d736,13,250,,,,5,25.0,ST,100.61407957436596,
0b1025a7-45a4-4846-89cf-2863b9f32871,13,,,,,3,25.0,AVE,9.871802380910754,
e3792109-b5d4-4c49-aa03-15cfc6d67caf,13,601,,,,2,25.0,AVE,314.8804658245956,
912b5e30-9e33-40a8-a7cc-337223dc603f,13,,,,,3,25.0,PARK,33.857528406321904,
4507d4e2-4222-4349-9a84-dcc2eba0979b,13,,,,,4,,,74.88466085333806,
fe7a32c0-efba-45de-b38e-f6b8476eacfe,13,264-001,,,,4,25.0,AVE,104.50670803508991,
9646f856-965b-4c96-ba25-ab4384c6061e,13,2751,,,,2,25.0,AVE,107.9774127840936,
a3ab5d34-1d02-42be-b737-e80df06fe255,13,147-001,,,,4,25.0,AVE,281.9778529675149,
16c78736-e2ca-4e50-bc65-136b34fbfb13,13,917,,,,3,25.0,ST,161.15431803181488,
14057679-e259-473a-ac16-627b9b626bd9,13,,,,,2,,,34.253177584628745,
3e1c6938-2587-40c4-9e07-3c014271679a,13,228-027,,,,4,25.0,RD,122.40161520939616,
09fd1478-e9f3-4be4-aead-09079f89132c,13,139,,,,1,25.0,ST,204.2298360182752,
2a271d1b-52da-41f6-aa38-a983fa27ece1,13,2456,,,,1,25.0,BLVD,104.8939627795056,
8deafa3d-5ba6-44d5-bdbb-5f0d648a3650,17,,,,V,4,50.0,PKWY,197.23637822845205,
17099ab9-d9b9-4610-8499-4d155db9d88c,13,69-001,,,,4,25.0,ST,371.8327692208605,
b269acb3-031c-4c05-8cb1-4b8f28ef2006,13,2461,,,,1,25.0,AVE,105.03060144051032,
567a9835-806a-474d-acae-ef950f119c24,13,65-039,,,,4,30.0,BLVD,104.58646441243208,
afc0233b-b7cc-41eb-bf4d-0083b59de1ae,13,14-001,,,,4,25.0,PL,186.5144820374249,
a5840e8e-2926-41dc-8b33-5f7ee8b045eb,13,0,,,,3,25.0,AVE,34.718279124303855,
8075c590-1a0f-47bc-9544-8dd96b5b256b,13,,3.0,,D,3,,RD,19.340219665692764,
4f667d42-d3a2-47b2-b79c-18d3c556ab90,13,0,,,,1,25.0,ST,95.5700344028444,
e53da82c-8831-4fed-b571-5bb3ab699337,13,530,,,,5,25.0,AVE,108.90427285918696,
14fdd70a-1dad-418b-881a-d91f947ddabe,13,747,,,,3,25.0,,38.62780878360276,F
ee9da927-d46a-493d-bce7-4b1f255984f3,13,511,,,,5,30.0,AVE,103.83721555284716,
bbfafd60-3c12-4ed9-a165-d36d7f551584,13,23,,,,5,25.0,DR,55.94940169175638,
8950f29d-cf65-43ce-84d4-8c64f709d4bf,13,93-001,,,,4,25.0,AVE,104.5812206510556,
52dd9248-4b97-472f-afac-4610f6d8bb09,13,73,,,,3,25.0,ST,41.1583173986612,
48cac5fb-8b44-4db7-a5d2-1a16bfc56fd5,13,1,,,,3,25.0,PL,313.24999321376976,
9f565de5-f4fe-4d71-a0f8-43f68bc7afb0,13,833,,,,2,25.0,AVE,120.06301904141743,
39c9f157-ff7f-4f04-b242-9d6d2027d4f4,13,,,,D,2,,RD,365.331283133826,
8896ea35-6520-4f99-8a4f-b33aa67fab45,13,102-001,,,,4,25.0,AVE,142.99863416728735,
9b689e7c-2d04-48b2-9013-a81ebeb24e09,13,,,,,2,,PATH,78.44038705442675,
6296b4c6-1b1c-454e-8765-3c4805b0fd83,13,1385,,,,3,25.0,AVE,106.96535670693952,
c02b6d52-53ab-4715-9ca4-1a466bc79192,13,30-001,,,,4,25.0,ST,292.32202558740084,
138ae0d7-33fe-479e-bff5-3a91ff32df50,13,,3.0,,,5,,RD,108.28103525502344,
5dd87c56-b3dc-4542-9edf-e34c748ccd55,13,459,,,,5,25.0,AVE,104.55597703164302,
dfbbab99-c0b3-4340-a766-60b8112a4d2f,13,,,,,4,25.0,RD,50.04552998110606,
4cfa1500-5c18-49d9-881a-6df0bc65c47b,13,257-001,,,,4,25.0,DR,256.8410056416289,
91750922-b299-46c0-b7d0-c4279cd03c8f,13,1,,,,3,25.0,PL,108.511314770183,
dbf77b0c-8889-4a9c-92d0-b0850c1167c4,13,57-037,,,,4,25.0,ST,44.42513629486408,
dc63bfb4-5afe-4f82-bee4-4df549699226,13,801,,,,2,25.0,ST,347.345415673423,F
1041c290-aec7-4fec-a0ad-44efd061a331,13,1,,,,2,25.0,ST,185.10205626061904,
8e5e8551-fa6a-438f-bf1b-0c7416b4b4bc,13,105-001,,,,4,25.0,ST,273.00781289570045,
6b13f198-45fc-4850-825e-32682cddbb30,13,,,,,5,,TRL,60.152372803245385,
9676c1d7-4664-4cb5-a427-d06c674c77b3,13,,,,,4,25.0,ST,19.14085424154651,
4c7fb5d3-34b0-4c1a-827b-06346cb707e6,13,11,,,,3,25.0,CT,242.78216876115536,
be7c84c5-fa33-4b02-8168-ef40e2006985,13,92-001,,,,4,25.0,ST,215.3652373596902,
de0c8149-cb29-46a4-89e9-bd8184deb0a6,13,47-001,,,,4,25.0,ST,87.39590016799121,
1658880b-2ced-4c6b-abc8-3754b3988f91,13,120-001,,,,4,25.0,ST,155.77669496441737,
fc12bdb4-aa44-4fb4-88f0-bc26d256e018,13,40,,LITTLE,,1,25.0,ST,107.92497066653532,
b97d1971-5c61-470e-b89b-49db4eb3b060,13,169,,,,4,25.0,ST,171.19882912947253,
c4246a11-be9b-441b-b2fe-4ce60b264568,13,67-043,,,,4,25.0,ST,220.51387921961845,F
603baae9-026e-4619-b1b8-e0cd0f8a483f,13,76-001,,,,4,25.0,ST,140.1467821202507,
1aba319c-285d-4b15-81f9-7d1ce5b87afb,13,85-001,,,,4,25.0,ST,216.60864105095487,
47065ab7-2e3a-4612-be3b-1f203413b8c8,13,97,,,,5,25.0,AVE,96.6990174559852,
8d6aae5f-15a7-43d3-a7b2-a922048f699b,13,310,,,,5,25.0,AVE,140.3404438576562,
55fd6db8-8529-4a83-a693-772a45d3d26a,13,1901,,,,3,25.0,ST,313.28523352452,F
ab1d41dd-7be2-4c30-bf17-c2eedec190c2,13,5,,,,3,25.0,ST,223.48802658805,
74d5ff36-b2ae-44b4-b53a-bf0f262e74c4,13,,,,,3,25.0,AVE,17.479584509047775,
9254587c-b0eb-459c-a5c3-788af19de090,13,,,,,4,25.0,AVE,17.92543677841155,
5d6f12e7-68c0-48d7-a13b-947d1caa47e5,13,93-001,,,,4,25.0,AVE,103.0885550980534,
e2cbe66f-3977-45db-b70d-d9133b3af124,13,3401,,,,3,25.0,AVE,104.53629827192584,
2b4c42c8-436e-446c-a4b8-2e0bb2988754,13,23-001,,,,4,25.0,ST,292.04913546469066,
a72ccf33-5c4a-4e47-9a82-ca7b78401fe5,13,9017,,,,3,25.0,HWY,56.52434919526642,
316b88dc-64b3-4629-8e5b-0f01d1f3ec6e,13,21-027,,,,4,25.0,AVE,108.57626461333994,
22ff8eb5-983e-4784-abd2-a4f604f24585,13,110-001,,,,4,25.0,AVE,98.33652541045136,
0293f3a8-ba12-48c0-b51b-514a9dbfa2d6,13,,,,D,5,,,131.31170280275026,
2f7b4161-62b6-4efa-bcf6-e31be895664e,13,853,,,,3,25.0,ST,344.3168166618388,
09b943e2-b397-4af5-b046-170274358aa8,13,,,,D,4,25.0,PLZ,26.94952492154361,
605b9461-82f1-4f07-89d9-c8abe4dbc86a,13,103-001,3.0,,,4,,PL,86.4394556551142,
119f1ff0-64ae-4757-bfbc-7277c43e40a3,13,,,,,1,25.0,,16.161112956420865,
6484e041-56c8-473e-9cef-d6a0e3b6755b,13,419,,,,3,25.0,ST,103.79931767452968,
b790a5f2-6994-4927-a9f7-c0d119f16d43,13,2101,,,,3,25.0,AVE,114.50483556763734,
21d4d554-9084-4ae6-8d1d-15d4f8a7d857,13,783,,,,3,25.0,AVE,129.44652845999838,
6f3619db-57a1-4301-975d-b8211853af24,13,72-001,,,,4,25.0,ST,104.5448830482963,
