park_pay,transit_egress,depart_time,trip_distance,hh_member_6,d_purpose_category_imputed,day_num,taxi_cost,trip_num,o_purpose
995,995,2019-06-08T17:54:47.000,0.3,995,8,4,995,30,1
995,995,2019-06-02T12:04:10.000,0.2,995,8,1,995,9,63
995,995,2019-06-11T09:02:27.000,2.7,995,2,4,995,16,33
995,995,2019-06-07T13:48:22.000,0.5,995,10,3,995,8,1
995,995,2019-05-30T17:20:32.000,0.2,995,1,1,995,7,51
995,-9998,2019-06-04T13:05:32.000,0.4,995,-9998,4,995,22,-9998
995,1,2019-06-10T14:39:58.000,4.6,995,10,6,995,42,60
995,995,2019-06-10T16:07:05.000,0.2,995,6,2,995,3,33
995,995,2019-06-09T16:27:26.000,0.4,995,6,2,995,9,60
995,995,2019-06-11T11:59:09.000,0.2,995,7,1,995,4,10
995,995,2019-06-08T12:46:15.000,0.9,995,1,2,1,12,51
995,995,2019-06-03T13:35:24.000,0.2,995,8,1,995,2,51
995,995,2019-06-04T16:39:36.000,4.7,995,5,3,995,19,42
995,1,2019-06-08T16:59:09.000,0.3,995,6,2,995,19,63
995,995,2019-06-11T18:09:27.000,0.8,995,5,4,995,17,10
995,995,2019-06-11T10:03:28.000,1.3,995,11,7,995,37,33
995,995,2019-05-28T20:17:33.000,0.8,995,1,1,995,9,33
995,1,2019-05-30T17:12:28.000,2.1,995,7,3,995,23,10
995,1,2019-06-12T14:55:01.000,4.0,995,1,4,995,8,10
995,995,2019-06-15T10:22:57.000,0.4,995,7,5,995,49,33
995,995,2019-06-12T19:11:04.000,0.3,995,1,5,995,22,33
995,995,2019-06-07T17:31:24.000,0.3,995,8,3,995,27,1
995,995,2019-06-06T14:44:01.000,0.3,995,8,4,995,14,51
995,1,2019-06-14T12:41:13.000,8.4,995,6,5,995,21,1
995,995,2019-06-09T19:43:16.000,0.6,995,8,7,995,40,51
995,995,2019-05-27T14:12:14.000,3.2,995,11,4,995,6,33
995,1,2019-06-11T09:00:48.000,2.1,995,10,7,995,51,1
995,995,2019-06-12T16:56:30.000,0.1,995,7,2,995,6,1
995,995,2019-06-13T15:18:58.000,0.5,995,9,3,995,29,1
995,995,2019-06-17T12:50:00.000,0.5,995,8,1,995,6,997
995,1,2019-06-07T09:55:51.000,7.6,995,10,3,995,23,1
995,1,2019-06-11T09:21:03.000,2.9,995,3,7,995,53,14
4,1,2019-06-05T07:32:31.000,3.2,995,7,7,1,21,50
995,995,2019-06-11T17:38:50.000,1.0,995,11,1,995,8,997
995,1,2019-05-31T23:39:11.000,3.8,995,10,4,995,48,60
995,995,2019-06-09T19:20:30.000,0.4,0,6,7,995,28,1
995,995,2019-06-09T01:33:04.000,3.0,995,9,3,1,21,1
995,995,2019-05-28T16:53:18.000,1.8,995,6,1,995,6,10
995,995,2019-06-13T09:41:59.000,2.5,995,2,6,1,23,1
995,995,2019-06-13T07:22:40.000,3.0,995,9,3,995,20,50
995,-9998,2019-06-09T16:03:21.000,9.2,995,-9998,5,995,34,63
995,995,2019-06-02T16:16:40.000,0.2,995,8,1,995,6,51
995,995,2019-06-07T17:24:37.000,0.3,995,7,1,995,1,1
995,-9998,2019-06-03T12:21:25.000,0.2,995,-9998,5,995,29,-9998
995,995,2019-06-13T16:04:45.000,0.1,995,9,3,995,31,1
1,995,2019-06-07T14:19:30.000,1.5,995,6,6,995,54,41
995,995,2019-06-04T08:18:14.000,0.4,995,7,3,995,14,41
995,995,2019-06-13T19:05:56.000,1.0,995,1,3,995,35,50
995,995,2019-06-08T16:53:27.000,0.3,995,2,7,995,55,10
995,995,2019-06-03T13:45:36.000,1.4,995,8,1,995,3,51
995,995,2019-06-11T21:41:11.000,2.9,995,7,1,995,12,50
995,995,2019-06-05T07:37:04.000,0.7,995,5,4,995,25,1
995,1,2019-06-08T14:11:41.000,1.5,995,8,2,995,18,60
995,995,2019-06-13T19:11:16.000,82.5,995,10,4,995,18,60
995,995,2019-06-16T23:39:50.000,1.9,995,1,6,995,32,10
995,995,2019-06-03T08:04:49.000,1.3,995,5,2,995,10,1
995,1,2019-06-05T16:29:57.000,0.6,0,11,3,995,10,60
995,-9998,2019-06-04T14:50:16.000,0.1,995,-9998,4,995,24,-9998
995,995,2019-06-07T23:40:36.000,0.3,995,1,3,995,10,997
995,995,2019-06-17T15:50:00.000,1.0,995,9,1,995,10,997
995,1,2019-06-08T10:01:39.000,5.5,995,6,7,995,40,1
995,995,2019-06-13T14:51:52.000,14.0,995,3,7,1,30,11
995,-9998,2019-06-01T14:46:08.000,0.7,995,-9998,3,995,11,-9998
995,995,2019-06-06T10:00:00.000,1.9,995,6,1,2,1,997
995,1,2019-06-11T18:00:06.000,9.4,995,1,7,995,56,100
995,995,2019-06-05T14:18:21.000,0.3,995,1,4,995,34,41
995,-9998,2019-06-04T16:57:23.000,0.3,995,-9998,4,995,26,-9998
995,995,2019-06-15T11:07:59.000,0.9,995,6,5,995,51,1
995,995,2019-06-11T09:43:25.000,0.0,995,1,5,1,34,1
995,995,2019-06-08T18:36:41.000,0.7,995,7,1,995,3,63
995,995,2019-06-08T18:23:03.000,0.3,995,3,4,995,28,1
995,995,2019-06-07T20:21:48.000,0.4,995,5,3,995,28,63
995,-9998,2019-06-01T13:10:13.000,0.2,995,1,1,995,3,-9998
995,995,2019-06-10T14:23:14.000,0.2,995,10,6,995,40,1
995,1,2019-06-03T10:27:31.000,0.2,995,10,2,995,11,41
995,995,2019-06-07T18:06:55.000,0.7,995,2,3,995,21,1
995,995,2019-06-08T12:18:17.000,0.5,995,7,6,995,26,60
995,-9998,2019-06-07T10:14:15.000,0.1,0,-9998,5,995,21,21
995,1,2019-05-30T08:28:39.000,13.4,995,2,1,995,1,-9998
995,995,2019-06-16T14:17:02.000,0.5,995,3,5,995,3,1
995,995,2019-06-10T08:14:59.000,2.1,995,6,4,995,13,33
995,1,2019-06-05T23:14:26.000,0.7,995,10,1,995,3,10
995,995,2019-06-11T21:40:51.000,1.1,995,1,1,995,10,13
995,995,2019-06-06T12:39:01.000,1.1,995,6,5,995,35,1
995,995,2019-06-07T18:03:43.000,9.2,995,1,1,995,2,10
995,-9998,2019-06-02T17:15:36.000,3.7,995,-9998,2,995,11,-9998
995,995,2019-05-31T11:36:40.000,0.3,995,8,2,995,9,10
995,995,2019-05-28T19:45:06.000,0.8,995,6,1,995,8,1
995,995,2019-06-09T13:59:44.000,1.9,995,10,2,995,6,63
995,1,2019-06-01T18:21:54.000,2.3,995,10,5,995,56,60
995,995,2019-06-16T11:43:45.000,1.3,995,6,6,995,28,1
995,995,2019-06-08T19:46:49.000,0.2,995,1,4,995,29,11
995,1,2019-06-06T13:16:38.000,8.9,995,10,2,995,4,60
995,995,2019-06-09T01:13:14.000,10.0,995,11,3,1,20,33
995,1,2019-06-15T12:25:59.000,0.6,995,10,7,995,25,60
995,995,2019-05-30T07:40:00.000,,995,6,1,995,4,50
995,995,2019-06-11T12:19:30.000,16.5,995,10,2,995,11,997
995,995,2019-06-10T18:43:56.000,1.3,995,1,3,995,15,33
995,995,2019-06-11T12:08:23.000,0.2,995,7,1,995,5,50
995,995,2019-06-15T18:15:06.000,0.1,995,10,3,1,11,33
1,995,2019-06-05T15:10:29.000,0.6,995,6,1,995,3,50
995,995,2019-06-03T14:35:15.000,0.1,995,1,1,995,4,51
995,1,2019-05-30T18:36:06.000,6.1,995,10,3,995,26,60
995,995,2019-06-03T13:27:09.000,0.2,995,8,1,995,1,1
