fwc_total_shelter_placements,sa_unique_individuals_by_1,fwc_race_ethnicity_hoh_native,af_total_shelter_placements,fwc_unique_individuals_by_7,af_race_ethnicity_hoh_asian,fwc_race_ethnicity_hoh,fwc_unique_individuals_by_3,sa_total_shelter_placements,sa_unique_individuals_by_4,fwc_race_ethnicity_hoh_total,home_stat_clients_placed_into_permanent_housing_transitional_housing_and_other_settings,sa_race_ethnicity_hoh_total,sa_race_ethnicity_hoh_asian
764,6090,24,37,90,19,5473,1386,761,20226,14131,277,20226,91
866,9152,39,67,125,19,12182,2153,697,25220,20985,"1,334",25185,221
874,8719,38,46,118,22,11524,2025,812,24674,20152,"1,037",24667,194
786,6512,32,54,94,23,5262,1299,713,21321,13190,640,21320,86
530,4648,36,54,84,12,4884,1528,687,15961,13312,,15961,113
783,6309,28,74,90,22,5340,1323,805,20863,13649,304,20863,92
661,5935,25,38,85,18,5462,1347,634,19782,14016,254,19782,89
664,6832,29,38,75,23,4481,1061,533,22115,10983,780,22115,105
409,6742,29,30,67,15,4190,953,520,20802,9375,796,20802,99
407,6573,32,48,68,15,4059,924,435,20391,9234,474,20391,95
739,5206,27,43,77,17,5175,1375,702,17677,13742,133,17677,118
643,5166,28,40,72,17,5173,1347,586,17458,13730,157,17458,111
533,6444,31,23,77,25,4702,1152,415,21136,11686,"1,478",21135,93
710,4802,32,46,82,16,4933,1508,689,16506,13421,,16506,102
816,5721,24,49,74,14,5456,1439,797,19307,13962,330,19307,91
716,5280,26,41,82,16,5422,1423,677,17991,14177,206,17991,130
737,5325,29,46,82,16,5375,1418,686,17898,14049,256,17898,126
503,6665,30,54,70,16,4056,915,388,20591,9327,353,20591,98
628,4782,34,56,80,12,4837,1447,862,16233,13288,,16233,117
534,7262,30,54,66,17,5887,1114,669,21773,11547,593,21773,93
684,6244,30,34,93,23,5192,1270,777,20457,13060,236,20457,79
799,5183,29,64,77,18,5306,1386,690,17599,13982,206,17599,114
339,6342,31,34,60,17,3976,891,294,20004,9291,370,20004,98
985,9598,35,49,133,22,11772,2136,742,26361,20787,"1,250",26325,238
647,4804,32,64,80,11,4903,1447,678,16343,13409,,16366,104
851,8924,38,56,126,21,12006,2055,820,24757,20610,"1,342",24753,208
595,6705,31,32,85,22,4936,1198,647,21716,12310,843,21715,92
921,9162,38,66,135,18,12115,2168,711,25419,21079,"1,156",25379,228
572,8760,33,44,80,13,8120,1362,685,24979,13977,929,24979,165
