queens_condominiums_comparable_properties_address,queens_condominiums_comparable_properties_estimated_gross_income,comparable_rental_3_full_market_value,comparable_rental_2_year_built,queens_condominiums_comparable_properties_estimated_expense,comparable_rental_2_estimated_expense,queens_condominiums_comparable_properties_gross_income_per_sqft,queens_condominiums_comparable_properties_full_market_value,comparable_rental_3_boro_block_lot,postcode,census_tract,comparable_rental_3_year_built,comparable_rental_2_neighborhood,comparable_rental_2_boro_block_lot,comparable_rental_1_distance_from_condo_in_miles,queens_condominiums_comparable_properties_net_operating_income
79 45 AVENUE,366320,"973,000",1932.0,168037,426248.0,18.53,1176974,4-01508-0057,,,1961,ELMHURST,4-01525-0001,0.0,198283
38 108 STREET,1960223, ,1999.0,742805,37124.0,25.07,8390999,,,, ,FLUSHING-NORTH,4-05019-0100,1.23,1217418
13 JACKSON AVENUE,1576198, ,2007.0,484984,5463240.0,26.0,7118995,,,, ,LONG ISLAND CITY,4-00021-0060,0.23,1091214
46 171 STREET,166035,"793,000",1927.0,79109,99440.0,15.72,589604,4-05391-0026,,,1926,FLUSHING-NORTH,4-05423-0028,0.35,86926
88 51 AVENUE,882507,"4,845,000",1932.0,474047,494450.0,13.59,2508008,4-01581-0028,,,1963,ELMHURST,4-01581-0014,0.13,408460
47 39 PLACE,620340, ,1936.0,294000,269850.0,14.77,1946996,,,, ,SUNNYSIDE,4-00193-0055,0.1,326340
81 QUEENS BOULEVARD,588183, ,2002.0,192823,150341.0,24.22,2725001,,,, ,REGO PARK,4-03173-0022,0.46,395360
100 39 AVENUE,449741, ,2002.0,157837,150341.0,24.22,1991001,,,, ,REGO PARK,4-03173-0022,0.87,291904
23 31 AVENUE,592067,"3,857,000",1963.0,220585,355709.0,21.07,2719999,4-00576-0001,,,1929,ASTORIA,4-00576-0036,0.13,371482
14 28 AVENUE,437988,"5,550,000",2002.0,146910,395560.0,22.36,2078001,4-00531-0059,11363.0,1483.0,2001,ASTORIA,4-00531-0060,0.32,291078
19 80 STREET,463814, ,1922.0,223260,162680.0,14.75,1452014,,,, ,JACKSON HEIGHTS,4-01291-0060,1.54,240554
40 75 STREET,1041732, ,1951.0,361775,675047.0,23.18,4960005,,,, ,JACKSON HEIGHTS,4-01286-0030,0.0,679957
27 41 AVENUE,648709, ,2007.0,201020,1343416.0,25.01,3247998,,,, ,LONG ISLAND CITY,4-00414-0041,0.97,447689
132 MAPLE AVENUE,160200, ,1979.0,48060,148335.0,22.5,818001,,,, ,FLUSHING-NORTH,4-05048-0013,0.59,112140
91 34 AVENUE,821389, ,1963.0,296352,417367.0,16.63,2364996,,,, ,JACKSON HEIGHTS,4-01453-0010,0.0,525037
140 34 AVENUE,189825, ,2003.0,88079,56045.0,15.0,687001,,11363.0,1483.0, ,FLUSHING-NORTH,4-04955-0029,0.11,101746
83 BROADWAY,184800, ,1963.0,57120,358765.0,22.0,868000,,11414.0,884.0, ,ELMHURST,4-02474-0010,0.11,127680
37 149 STREET,385830,"643,000",1929.0,189000,61089.0,14.29,1311000,4-05004-0008,,,1929,FLUSHING-NORTH,4-05004-0006,0.13,196830
85 34 AVENUE,1129140, ,1927.0,553500,830529.0,15.3,3913994,,,, ,JACKSON HEIGHTS,4-01451-0012,0.14,575640
