site,senate_district,categoriesaccepted,dsny_zone,congressional_district
,11.0,Clothing/Personal Accessories,QE,3.0
Mobile Norway,23.0,,SI,11.0
African International Collaborative Center,36.0,"Appliances, Sports Equipment, Personal Care/Hygiene, Office Supplies/Stationary, Office Furniture/Furnishings, Musical Instruments, Kitchen Items, Household Furniture/Furnishings, HealthCare, Footwear, Food/Beverage, Electronics, Clothing/Personal Access",BX,15.0
St. Ann's of Morrisania,29.0,"Baby Care, Building Products, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, Kitchen Items, Lawn/Garden Supplies, Office Supplies/Stationary, Personal Care/Hygiene, Tools/Equipment",BX,14.0
1513 Forest Ave,23.0,"Clothing/Personal Accessories, Footwear",SI,11.0
950 Allerton Ave,33.0,"Clothing/Personal Accessories, Footwear",BX,15.0
Women's Facility,20.0,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Cleaning Products, Personal Care/Hygiene",BKN,9.0
Soho Thrift Shop,27.0,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",MN,10.0
25 Mcguinness Blvd,59.0,"Clothing/Personal Accessories, Footwear",BKN,7.0
Bike Plant,25.0,,BKN,8.0
City Harvest,26.0,"Food/Beverage, Baby Care",BKS,10.0
Unity Plaza Community Center,19.0,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Household Furniture/Furnishings, Lawn/Garden Supplies, Musical Instruments, Office Furniture/Furnishings, Office Supplies/Stationary, Sports Equipment, Toys/Ga",BKN,8.0
Los Redimidos en la Sangre de Cristo,33.0,Food/Beverage,BX,15.0
Brooklyn Community Pride Center,25.0,"Arts/Crafts, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, HealthCare, Office Supplies/Stationary, Personal Care/Hygiene, Tools/Equipment",BKN,8.0
Clothing,23.0,,SI,11.0
India Home Inc,11.0,"Appliances, Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Musical Instruments, Office Furniture/Furnishings, Toys/Games",QE,5.0
Staten Island Animal Care Center,24.0,"Automotive, Pet Care/Food, Appliances, Cleaning Products, Storage/Haulage Containers, Tools/Equipment",SI,11.0
569 Wilson Ave,18.0,"Clothing/Personal Accessories, Footwear",BKN,7.0
University Heights Educational c/o BCS,59.0,"Arts/Crafts, Baby Care, Clothing/Personal Accessories, Food/Beverage, Footwear, Musical Instruments, Office Supplies/Stationary, Personal Care/Hygiene, Sports Equipment, Toys/Games",BKN,7.0
126-06 15 Ave,11.0,"Clothing/Personal Accessories, Footwear",QE,14.0
Met Council Food Distribution Center,21.0,,BKS,9.0
181 Lexington Ave,25.0,"Clothing/Personal Accessories, Footwear",BKN,8.0
3055 Westchester Ave,34.0,"Clothing/Personal Accessories, Footwear",BX,14.0
Apple Bank,33.0,HealthCare,BX,15.0
The NY Race Track Chaplaincy,,"Clothing/Personal Accessories, Food/Beverage, Household Furniture/Furnishings",,
,12.0,Pet Care/Food,QW,14.0
265 Nagle Ave,31.0,"Clothing/Personal Accessories, Footwear",MN,13.0
Designer Optical of Pelham,33.0,HealthCare,BX,15.0
Applebee's Grill + Bar,24.0,Clothing/Personal Accessories,SI,11.0
New Dorp Lane,24.0,,SI,11.0
Record Shop,26.0,,BKS,10.0
