property_name,city,swimming_pool_location_of,retail_store_number_of_open,retail_store_worker_density,senior_care_community_gross,target_site_eui_kbtu_ft,hotel_number_of_rooms,k_12_school_weekend_operation,hospital_general_medical_3,energy_star_certification_4,electricity_use_grid_purchase_1,swimming_pool_months_in_use,multifamily_housing_number_1,energy_current_date,natural_gas_use_kbtu,supermarket_grocery_cooking,data_center_it_site_energy,fuel_oil_4_use_kbtu,district_hot_water_use_kbtu,space_alerts,office_gross_floor_area_ft,avoided_emissions_offsite,estimated_data_flag_district_2,refrigerated_warehouse_weekly,swimming_pool_approximate,energy_star_certification_2,fuel_oil_2_use_kbtu,custom_property_id_1_id,multifamily_housing_percent,hospital_general_medical_4,bank_branch_percent_that,office_computer_density_number,hotel_room_density_number,hotel_worker_density_number,office_percent_that_can_be,longitude,multifamily_housing_number_2,property_floor_area_buildings,county,year_built,natural_gas_use_therms,senior_care_community_maximum,data_center_gross_floor_area,non_refrigerated_warehouse,district_steam_use_kbtu,supermarket_grocery_number,nta,estimated_data_flag,worship_facility_computer,residence_hall_dormitory_3,multifamily_housing_number,release_date,multifamily_housing_government,worship_facility_cooking,bbl,borough,energy_star_certification,non_refrigerated_warehouse_5,non_refrigerated_warehouse_4,total_ghg_emissions_mtco2e
Walter & Samuels 419 Park Ave South,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,23-JAN-12,2594244.4,Not Available,Not Available,31-DEC-12,3922245.16,1,Not Available,Not Available,Not Available,Weekly operating hours is much lower than normal for vacant.<br>,165207,Not Available,Not Available,Not Available,Not Available,Application - Label Sent (26-JAN-12),Not Available,1018236,Not Available,Not Available,Not Available,3.83,Not Available,Not Available,100,-73.983721,Not Available,175307,NEW YORK,1927,39222.5,Not Available,Not Available,Not Available,Not Available,10,Murray Hill-Kips Bay,No,Not Available,Not Available,Not Available,2013-06-06T14:24:46.000,Not Available,Not Available,1008840084.0,MANHATTAN,Reviewed and Approved,Not Available,Not Available,1368.13
30 Vesey Street,New York,Not Available,0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,30-NOV-11,Not Available,Not Available,Not Available,Not Available,Not Available,Using default values for Space Use attributes.<br>,72000,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.2,Not Available,Not Available,100,-74.009865,Not Available,77000,NEW YORK,1911,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,SoHo-TriBeCa-Civic Center-Little Italy,Not Available,Not Available,Not Available,Not Available,2013-05-07T12:15:57.000,Not Available,Not Available,1000880010.0,MANHATTAN,Not Available,Not Available,Not Available,Not Available
"1480 Popham Realty, L.L.C.",Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,359380,Not Available,0,31-DEC-12,118400,Not Available,Not Available,6827867.53,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2008874,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.853325,48,60480,BRONX,1940,1184,Not Available,Not Available,Not Available,Not Available,Not Available,Pelham Parkway,No,Not Available,Not Available,0,2013-06-17T07:12:30.000,0,Not Available,2042730029.0,BRONX,Not Available,Not Available,Not Available,623.73
Sisters of Charity (SEM),Staten Island,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,233863.2,Not Available,3,31-JAN-13,3150429.03,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,5-00955-0025,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-74.128234,0,61320,RICHMOND,1999,31504.3,Not Available,Not Available,Not Available,Not Available,Not Available,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,No,Not Available,Not Available,0,2013-04-04T13:18:43.000,0,Not Available,5009550025.0,STATEN IS,Not Available,Not Available,Not Available,242.52
Hampton House Company LP,Brooklyn,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,554885.4,Not Available,Not Available,31-DEC-12,6625336.55,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.961258,Not Available,119106,KINGS,1954,66253.4,Not Available,Not Available,Not Available,Not Available,Not Available,Flatbush,No,Not Available,Not Available,Not Available,2013-04-23T07:00:03.000,0,Not Available,3051610033.0,BROOKLYN,Not Available,Not Available,Not Available,530.22
Pepsi Cola Avenue D,Brooklyn,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,4169316.1,Not Available,Not Available,31-JAN-13,25017100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,3844209,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.907488,Not Available,130000,KINGS,1968,250171,Not Available,Not Available,130000,Not Available,Not Available,East New York,No,Not Available,Not Available,Not Available,2013-03-19T10:17:34.000,Not Available,Not Available,3081230022.0,BROOKLYN,Not Available,0,128,2666.53
120 Fifth,New York,Not Available,0,0.72,Not Available,0,Not Available,Not Available,Not Available,Not Available,1276565.5,Not Available,Not Available,31-DEC-12,937038.71,Not Available,Not Available,Not Available,Not Available,Not Available,54820,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1015419,Not Available,Not Available,Not Available,5.49,Not Available,Not Available,100,-73.992123,Not Available,68781,NEW YORK,1906,9370.4,Not Available,Not Available,Not Available,Not Available,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,No,Not Available,Not Available,Not Available,2013-04-29T09:48:47.000,Not Available,Not Available,1008190037.0,MANHATTAN,Not Available,Not Available,Not Available,458.79
1544,REGO PARK,Not Available,0,0.27,Not Available,43.5,Not Available,Not Available,Not Available,Not Available,2827269,Not Available,Not Available,28-FEB-13,593300,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,4050415,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.862416,Not Available,197645,QUEENS,1996,5933,Not Available,Not Available,Not Available,Not Available,Not Available,Rego Park,No,Not Available,Not Available,Not Available,2013-04-29T06:43:48.000,Not Available,Not Available,4020840101.0,QUEENS,Not Available,Not Available,Not Available,937.26
STATEN ISLAND (2006),STATEN ISLAND,Not Available,45,0.64,Not Available,0,Not Available,Not Available,Not Available,Not Available,2632365.9,Not Available,Not Available,31-MAR-13,2641406,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,5149742,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-74.230733,Not Available,143876,RICHMOND,2006,26414.1,Not Available,Not Available,Not Available,Not Available,Not Available,Charleston-Richmond Valley-Tottenville,No,Not Available,Not Available,Not Available,2013-05-29T04:49:33.000,Not Available,Not Available,5074810001.0,STATEN IS,Not Available,Not Available,Not Available,983.79
Brush Ave,Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,2892536.8,Not Available,Not Available,31-JAN-13,8887932.26,Not Available,Not Available,Not Available,Not Available,Not Available,23000,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2831413,Not Available,Not Available,Not Available,1.09,Not Available,Not Available,100,-73.837902,Not Available,230000,BRONX,2009,88879.3,Not Available,Not Available,207000,Not Available,Not Available,Soundview-Castle Hill-Clason Point-Harding Park,No,Not Available,Not Available,Not Available,2013-03-19T10:17:34.000,Not Available,Not Available,2056100025.0,BRONX,Not Available,0,128,1399.45
201 West 72nd Street - The Alexandria House Condominium,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,2295638.7,Not Available,44,31-JAN-13,16108716,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1077846,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.982412,200,246461,NEW YORK,1938,161087.2,Not Available,Not Available,Not Available,Not Available,Not Available,Lincoln Square,No,Not Available,Not Available,220,2013-05-31T12:02:12.000,0,Not Available,1011647501.0,MANHATTAN,Not Available,Not Available,Not Available,1592.38
300 Madison Avenue,New York,Not Available,0,1.14,Not Available,0,Not Available,Not Available,Not Available,10-APR-13,29585420.6,Not Available,Not Available,28-FEB-13,880763.64,Not Available,0,Not Available,Not Available,Not Available,1004012,Not Available,Not Available,Not Available,Not Available,Application - Label Sent (19-APR-13),Not Available,1085972,Not Available,Not Available,Not Available,6.92,Not Available,Not Available,100,-73.979712,Not Available,1071012,NEW YORK,2003,8807.6,Not Available,60000,Not Available,25222059.42,Not Available,Murray Hill-Kips Bay,No,Not Available,Not Available,Not Available,2013-05-29T10:50:50.000,Not Available,Not Available,1012760058.0,MANHATTAN,Not Available,Not Available,Not Available,11515.65
1177 Avenue of the Americas,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,21037460,Not Available,Not Available,31-DEC-12,Not Available,Not Available,0,Not Available,Not Available,Not Available,976512,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1076173,Not Available,Not Available,Not Available,2.23,Not Available,Not Available,100,-73.982364,Not Available,981408,NEW YORK,1992,Not Available,Not Available,4896,Not Available,16545258,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-05-31T06:02:19.000,Not Available,Not Available,1009980029.0,MANHATTAN,Not Available,Not Available,Not Available,8070.98
641 Lexington Avenue,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,6506571.7,Not Available,Not Available,28-FEB-13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,420888,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1036482,Not Available,Not Available,Not Available,2.42,Not Available,Not Available,100,-73.970321,Not Available,429866,NEW YORK,1964,Not Available,Not Available,Not Available,Not Available,34579411.93,Not Available,Turtle Bay-East Midtown,No,Not Available,Not Available,Not Available,2013-05-30T09:10:55.000,Not Available,Not Available,1013090023.0,MANHATTAN,Not Available,Not Available,Not Available,4814.39
Trinity- 137 Varick,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,999437.4,Not Available,Not Available,31-JAN-13,Not Available,Not Available,Not Available,Not Available,Not Available,Weekly operating hours is much lower than normal for Vacant.<br>,79281,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1009745,Not Available,Not Available,Not Available,4.41,Not Available,Not Available,100,-74.005773,Not Available,85674,NEW YORK,1898,Not Available,Not Available,Not Available,Not Available,951405.39,Not Available,SoHo-TriBeCa-Civic Center-Little Italy,No,Not Available,Not Available,Not Available,2013-05-28T04:46:56.000,Not Available,Not Available,1005790070.0,MANHATTAN,Not Available,Not Available,Not Available,395.28
