property_name,alert_meter_has_overlaps,year_built,_3rd_largest_property_use,multifamily_housing_number_3,financial_office_gross_floor,multifamily_housing_government,hospital_general_medical_8,college_university_gross,medical_office_number_of_1,alert_meter_has_gaps,office_gross_floor_area_ft,avoided_emissions_onsite,metered_areas_energy,energy_power_station_gross,hospital_general_medical_11,address_2,national_median_source_eui,financial_office_number_of_1,municipally_supplied_potable,alert_data_center_does_not,movie_theater_gross_floor,energy_star_certification_1,percent_of_total_electricity,weather_normalized_site_1,weather_normalized_site_eui,office_percent_that_can_be_1,nta,college_university_number,outpatient_rehabilitation,convention_center_gross_floor,bank_branch_number_of,longitude,energy_star_score,wholesale_club_supercenter,fuel_oil_4_use_kbtu,metered_areas_water,weather_normalized_site_2,retail_store_gross_floor,property_gfa_epa_calculated_1,number_of_buildings,retail_store_open_or_closed,office_number_of_computers,adult_education_gross_floor,other_number_of_computers,hotel_gym_fitness_center,medical_office_number_of,district_hot_water_use_kbtu,_2nd_largest_property_use_1,multifamily_housing_number_6,national_median_total_ghg,site_energy_use_kbtu,weather_normalized_site_3,estimated_data_flag_1,automobile_dealership_gross,data_center_it_source_energy,outdoor_water_use_all_water,postcode,diesel_2_use_kbtu,avoided_emissions_offsite,council_district,multifamily_housing_number_2,worship_facility_gross_floor
First Housing Company Inc.,Ok,1953,Not Available,2.12,Not Available,100% Yes,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,148.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,27.8,Not Available,Pomonok-Flushing Heights-Hillcrest,Not Available,Not Available,Not Available,Not Available,-73.807356,97,Not Available,Not Available,Whole Building,Not Available,Not Available,350000.0,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,235,1373.7,10095903,2853584.2,Not Available,Not Available,Not Available,Not Available,11365,Not Available,0,24.0,47,Not Available
148 Lafayette,Ok,1913,Retail Store,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,126053,Not Available,Whole Building,Not Available,Not Available,Not Available,262.5,Not Available,Not Available,Ok,Not Available,10/16/2015,Not Available,0.2,70.6,100,SoHo-TriBeCa-Civic Center-Little Italy,Not Available,Not Available,Not Available,Not Available,-73.999553,79,Not Available,Not Available,Whole Building,28886.1,5000,142254.0,1,0,390.69,Not Available,Not Available,Not Available,Not Available,Not Available,11201,Not Available,4427.9,10054466.9,2095014.2,Not Available,Not Available,Not Available,Not Available,10013,Not Available,0,1.0,Not Available,Not Available
123 Apartments Corp,Ok,1924,Not Available,1.1644,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,125.5,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,77.6,Not Available,Upper West Side,Not Available,Not Available,Not Available,Not Available,-73.978776,67,Not Available,Not Available,Not Available,33773.3,Not Available,54105.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,272.6,4106697.8,240574.7,Not Available,Not Available,Not Available,Not Available,10023,Not Available,0,6.0,3,Not Available
Two Double Four Nought,Ok,1930,Not Available,1.64,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Common areas only,Not Available,Not Available,Not Available,127.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bedford Park-Fordham North,Not Available,Not Available,Not Available,Not Available,-73.895642,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,50000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,60,193.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10458,Not Available,Not Available,15.0,0,Not Available
TEN WEST THIRTH THIRD ASSOCIATES,Ok,1914,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,357630,Not Available,Whole Building,Not Available,Not Available,Not Available,237.5,Not Available,15784.9,Ok,Not Available,07/02/2015,Not Available,0.2,62.6,100,Midtown-Midtown South,Not Available,Not Available,Not Available,Not Available,-73.985607,80,Not Available,Not Available,Whole Building,66998.7,Not Available,382200.0,1,Not Available,500,Not Available,Not Available,Not Available,Not Available,Not Available,24570,Not Available,2648.5,24233971.3,5043508.4,Not Available,Not Available,Not Available,Not Available,10001,Not Available,0,4.0,Not Available,Not Available
2150 Wallace Avenue,Ok,1929,Not Available,1.54447,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,127.7,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.1,103.3,Not Available,Pelham Parkway,Not Available,Not Available,Not Available,Not Available,-73.864783,14,Not Available,5473394,Whole Building,7810,Not Available,69927.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29,456.4,7917174.3,487333,Not Available,Not Available,Not Available,Not Available,10462,Not Available,0,13.0,2,Not Available
Deepdale Gardens D13,Ok,1951,Not Available,1.87636,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,133.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1.1,131.2,Not Available,Douglas Manor-Douglaston-Little Neck,Not Available,Not Available,Not Available,Not Available,-73.730669,11,Not Available,Not Available,Not Available,57484.1,Not Available,51163.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4480,0,288,6657192.3,282270.7,Not Available,Not Available,Not Available,Not Available,11362,Not Available,0,23.0,3,Not Available
990 AvAmericas,Ok,1986,Parking,1.34752,Not Available,No,Not Available,Not Available,Not Available,Ok,53000,Not Available,Whole Building,Not Available,Not Available,Not Available,171.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.9,116,100,Midtown-Midtown South,Not Available,Not Available,Not Available,Not Available,-73.986776,37,Not Available,Not Available,Whole Building,295392.8,11000,346000.0,1,0.09091,180,Not Available,Not Available,Not Available,Not Available,Not Available,53000,0,2244.9,40393041.9,3102356,Not Available,Not Available,Not Available,Not Available,10018,Not Available,0,4.0,40,Not Available
Sojourner Truth Houses,Ok,1985,Not Available,1.0785,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,122.7,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,64.8,Not Available,Morningside Heights,Not Available,Not Available,Not Available,Not Available,-73.961739,96,Not Available,Not Available,Not Available,73756.1,Not Available,123320.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,92,692.5,7903464.9,179590.7,Not Available,Not Available,Not Available,Not Available,10025,Not Available,0,7.0,8,Not Available
3001 Henry Hudson Pkwy,Ok,1934,Not Available,1.57976,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,141,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.7,77.2,Not Available,Spuyten Duyvil-Kingsbridge,Not Available,Not Available,Not Available,Not Available,-73.9161,88,Not Available,Not Available,Whole Building,86283.9,Not Available,130400.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,778.7,9890600.2,420534.5,Not Available,Not Available,Not Available,Not Available,10463,Not Available,0,11.0,14,Not Available
