globalid,plantingspaceonstreet,overheadutilities,buildingnumber,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,stateassembly,crossstreet1
8EE97251-0953-4A33-9050-4950F2318BC8,,,405,75,10700,63.0,BRADLEY COURT
579DE376-9866-4338-8607-8B9EA8E2B43F,,,361,76,10693,64.0,BEND
9DE96956-164D-446F-9D78-940E9843CED2,,,OPP 3580,30,11605,83.0,EAST  213 STREET
4CE94CAF-701C-4694-9BF3-09B015D08926,,,28,76,10693,64.0,MALDEN PLACE
DF44105B-C2B3-4A09-A847-597DA7BE5682,,,5728,77,10696,62.0,HAYNES STREET
6D904278-B4B3-4197-A77F-0707135A8D2E,,,84,75,10700,63.0,SOREN STREET
2AAED972-EFB3-42D4-A957-982C193A7F0C,161 AVENUE,,81-19,64,15314,23.0,82 STREET
7870B4FE-3C49-4497-8506-0FD626664540,,,340,76,10693,64.0,BEND
4A17F607-63B1-4138-9BDD-475BBEF737DC,,,462,76,10693,64.0,PETER AVENUE
42850327-71C5-442B-B7BF-062100BA5A75,,,75-003,65,14508,25.0,UNION TURNPIKE
DA66345A-AF54-4D0A-ACCB-159B1A738909,,,57,76,10693,64.0,MANILA AVENUE
87B0B8DB-D1B2-42C5-ADE7-43E85808F7BE,,,371,76,10693,64.0,MILL ROAD
AF862ACF-05FF-4E0C-995A-DDE773ABF373,,,48,74,10691,61.0,QUINN STREET
FB52B131-EBBC-4296-BCDB-EEDEB8FD16BB,1x,,414,76,10692,64.0,NUGENT AVENUE
EE1E5A57-C963-49C3-9833-4CFFDDCD2BDD,,,242,76,10693,64.0,BEND
C759127D-4081-41BD-A758-912C0169A4C0,,,86,74,10691,61.0,QUINN STREET
C3D6C60F-79B4-460F-9A12-6FEDC025A7B9,,,2840,76,10693,64.0,MALDEN PLACE
D1181E4B-6F78-49D0-97A6-71098B1237E2,,,174,74,10369,63.0,DEAD END
EE7B83A9-F669-4458-9E90-C9C0C65E42E1,16 AVENUE,,212-09,67,14195,26.0,BELL BOULEVARD
D6431F9C-0CDE-4660-BA54-D37BCA58FDCA,,,30,74,10691,61.0,HARRISON STREET
8CCC1B16-3E05-4B8A-A5A2-711ECF8F6244,,,59-066,62,14788,30.0,60 AVENUE
2A03FB34-5BA6-40C5-9517-C9ECA1C4D142,2sx Mason Ave,,371,76,10692,64.0,MASON AVENUE
A80837D9-68BC-4FA4-8F65-BD8168F228CA,1f,,2844,76,10693,64.0,MALDEN PLACE
08E0C020-5012-42B9-8FEE-06FF3CCE25EE,88 ST,,626,41,13511,46.0,BATTERY AVENUE
82AE28DC-4F22-4A7E-9EF8-8E62350C6AEF,,,136,74,10369,63.0,BEND
8C627B0F-3A41-4C8D-BA90-249423C0A176,,,80-026,63,24336,24.0,SEWARD AVENUE
6AC474F7-0D16-43EC-A1F9-8C9B6C14F434,,,207,75,10700,63.0,BEND
