app_id,license_nbr,app_chairs,city,dpqa,send_package_dd,swc_tables,hearing_dd,cp,nan with business_name,Approved with business_name,Pending Review with business_name
26578-2019-RSWC,1459346-DCA,44,NEW YORK,Issued Temp Op Letter,2019-09-18T00:00:00.000,20,2020-04-17T00:00:00.000,Pending Review,,,"NARICHE, LLC"
3177-2020-RSWC,2057010-DCA,14,NEW YORK,Issued Temp Op Letter,2020-02-13T00:00:00.000,7,2020-04-08T00:00:00.000,Pending Review,,,"TOMINO, LLC"
3018-2020-RSWC,1382062-DCA,24,NEW YORK,Issued Temp Op Letter,2020-02-11T00:00:00.000,10,2020-04-07T00:00:00.000,Pending Review,,,753 WASHINGTON TRATTORIA INC.
20849-2019-RSWC,1271565-DCA,34,NEW YORK,Issued Temp Op Letter,2019-05-28T00:00:00.000,15,,Pending Review,,,"MAGNOLIA COLUMBUS AVENUE, LLC"
3108-2020-RSWC,1428232-dca,19,NEW YORK,Issued Temp Op Letter,2020-02-13T00:00:00.000,5,2020-04-08T00:00:00.000,Pending Review,,,SOUTH LAKE HOSPITALITY GROUP INC.
16864-2019-RSWC,1385967-DCA,10,NEW YORK,Issued Temp Op Letter,2019-04-04T00:00:00.000,5,2019-05-30T00:00:00.000,Pending Review,,,"TAPPO, INC."
3128-2020-RSWC,2023932-DCA,24,NEW YORK,Issued Temp Op Letter,,10,,Pending Review,,,EVIR CORP
36231-2019-RSWC,2054418-DCA,7,BROOKLYN,Issued Temp Op Letter,2019-12-26T00:00:00.000,3,2020-02-19T00:00:00.000,Pending Review,,,DAR 168 INC.
149-2013-RSWC,1131159-DCA,24,NEW YORK,Issued Temp Op Letter,2014-03-06T00:00:00.000,12,,Pending Review,FOUR GREEN FIELDS LLC.,,
6755-2019-ASWC,2089503-DCA,7,NEW YORK,Approved,2019-06-10T00:00:00.000,4,2019-08-07T00:00:00.000,,,RALPH LAUREN RETAIL INC,
18059-2017-RSWC,0851667-DCA,32,ASTORIA,Issued Temp Op Letter,2017-05-23T00:00:00.000,8,,Pending Review,,,"TOTORE PIZZERIA & RESTAURANT, INC."
34704-2019-RSWC,1454468-DCA,14,BRONX,Issued Temp Op Letter,2019-12-09T00:00:00.000,7,2020-01-29T00:00:00.000,Pending Review,,,"TIN MARIN BAR & LOUNGE, INC."
94-2011-RSWC,0819452-DCA,14,NEW YORK,Issued Temp Op Letter,2016-04-27T00:00:00.000,8,2016-06-17T00:00:00.000,,FRIEND OF A FARMER CORP.,,
4810-2018-RSWC,1379700-DCA,27,NEW YORK,Issued Temp Op Letter,2018-03-19T00:00:00.000,10,,Pending Review,,,MY MOST FAVORITE 72ND ST. CORP.
3070-2013-RSWC,1076713-DCA,35,NEW YORK,Issued Temp Op Letter,2016-06-09T00:00:00.000,18,2014-01-17T00:00:00.000,Pending Review,,,I MALATESTA TRATTORIA INC.
2953-2020-RSWC,1198574-DCA,14,BRONX,Issued Temp Op Letter,2020-02-11T00:00:00.000,7,2020-04-08T00:00:00.000,Pending Review,,,VANETT INC.
3757-2020-RSWC,201446 5-DCA,16,BRONX,Issued Temp Op Letter,2020-02-25T00:00:00.000,4,2020-04-17T00:00:00.000,Pending Review,,,PATRICIAS MORRIS PARK CORP.
12420-2019-ASWC,2093559-DCA,18,BROOKLYN,Approved,2019-10-31T00:00:00.000,9,2020-01-08T00:00:00.000,Pending Review,,CASA AZUL. INC,
2581-2020-RSWC,2051482-DCA,19,NEW YORK,Issued Temp Op Letter,2020-02-05T00:00:00.000,10,2020-03-25T00:00:00.000,Pending Review,,,HONEYBRAINS LAFAYETTE LLC
28073-2019-RSWC,2050849-DCA,42,LONG ISLAND CITY,Issued Temp Op Letter,2019-09-30T00:00:00.000,14,2019-11-27T00:00:00.000,Pending Review,,,NYS LEE INCORPORATED
33224-2019-RSWC,2055690-DCA,12,NEW YORK,Issued Temp Op Letter,2019-11-21T00:00:00.000,6,2020-01-24T00:00:00.000,Pending Review,,,SONNY LOU INC
36440-2019-RSWC,1414794-DCA,24,NEW YORK,Issued Temp Op Letter,2019-12-31T00:00:00.000,12,2020-02-19T00:00:00.000,Pending Review,,,"168 ORCHARD ST PARTNERS, INC."
27291-2019-RSWC,2048673-DCA,12,BROOKLYN,Issued Temp Op Letter,2019-09-23T00:00:00.000,6,2019-11-27T00:00:00.000,Pending Review,,,VABEH FIRST LLC
32327-2019-RSWC,1454964-DCA,16,NEW YORK,Process Completed,2020-01-23T00:00:00.000,8,2020-03-25T00:00:00.000,,"18 GREENWICH AVENUE, LLC",,
