q37_7,q32,q35_3,q27,q46_11,q37_9,q37_12,q12,q46_6
,6.0,2,1,2.0,,,1,2.0
,1.0,2,1,,,,1,
,,2,2,1.0,,,1,1.0
,6.0,1,1,,,,2,
,1.0,1,1,2.0,,,2,1.0
,3.0,1,1,,,,2,
,,2,2,,,,1,
,,2,3,,,,2,
2.0,,2,1,2.0,2.0,2.0,1,2.0
,,2,3,,,,1,
,6.0,2,1,,,,2,
1.0,,2,1,2.0,1.0,2.0,1,2.0
,,2,3,,,,1,
1.0,,1,1,1.0,2.0,2.0,1,2.0
2.0,,2,1,2.0,2.0,2.0,1,2.0
,,1,3,1.0,,,1,2.0
1.0,,1,1,1.0,1.0,1.0,1,2.0
2.0,,2,1,,2.0,2.0,1,
1.0,,2,1,1.0,2.0,2.0,1,2.0
,1.0,1,1,1.0,,,1,2.0
1.0,,2,1,1.0,1.0,2.0,3,2.0
,,1,2,1.0,,,1,2.0
,,2,3,1.0,,,1,1.0
1.0,,1,1,1.0,2.0,2.0,2,2.0
,5.0,2,1,2.0,,,1,2.0
,3.0,2,1,2.0,,,1,2.0
,6.0,2,1,2.0,,,1,2.0
,,1,3,1.0,,,1,2.0
,5.0,1,1,,,,1,
,1.0,1,1,,,,-1,
,2.0,2,1,,,,1,
,,2,3,2.0,,,1,2.0
1.0,,2,1,1.0,2.0,2.0,3,2.0
,6.0,2,1,,,,1,
,,2,2,,,,1,
2.0,,2,1,2.0,2.0,2.0,3,2.0
2.0,,1,1,2.0,2.0,2.0,1,2.0
1.0,,2,1,2.0,2.0,2.0,1,2.0
,,2,3,,,,2,
,7.0,2,1,1.0,,,2,1.0
,3.0,2,1,,,,1,
2.0,,2,1,2.0,2.0,2.0,1,2.0
,1.0,2,1,,,,1,
,5.0,2,1,,,,1,
,6.0,1,1,,,,1,
,6.0,2,1,2.0,,,2,2.0
,6.0,2,1,,,,1,
,,2,3,,,,1,
,6.0,2,1,,,,1,
2.0,,1,1,2.0,1.0,2.0,2,2.0
,9.0,2,1,1.0,,,1,1.0
1.0,,2,1,1.0,1.0,2.0,1,2.0
,5.0,1,1,,,,1,
,6.0,1,1,,,,1,
,,2,3,1.0,,,1,1.0
1.0,,2,1,,2.0,2.0,3,
,11.0,2,1,,,,1,
,1.0,2,1,,,,-1,
1.0,,2,1,1.0,1.0,2.0,1,2.0
,6.0,2,1,2.0,,,1,2.0
,1.0,2,1,,,,1,
2.0,,2,1,2.0,2.0,2.0,1,2.0
,6.0,2,1,,,,2,
,6.0,2,1,,,,1,
,3.0,1,1,,,,1,
,11.0,1,1,,,,1,
,3.0,1,1,,,,2,
,,1,3,1.0,,,2,2.0
1.0,,1,1,1.0,2.0,-1.0,3,2.0
,6.0,1,1,,,,2,
,6.0,2,1,2.0,,,1,2.0
,,1,3,,,,1,
,1.0,1,1,,,,1,
,6.0,2,1,,,,1,
,6.0,2,1,,,,1,
,3.0,2,1,,,,1,
,6.0,2,1,,,,1,
,6.0,2,1,2.0,,,1,2.0
,,1,2,1.0,,,2,2.0
2.0,,2,1,2.0,2.0,2.0,2,2.0
,,2,2,,,,2,
,6.0,2,1,,,,1,
1.0,,1,1,,1.0,-1.0,2,
2.0,,2,1,,2.0,2.0,2,
,,1,3,2.0,,,3,2.0
,1.0,2,1,,,,1,
,1.0,1,1,,,,1,
,6.0,2,1,,,,1,
,,1,1,1.0,,,1,2.0
,,1,3,,,,-1,
,2.0,1,1,2.0,,,1,2.0
2.0,,1,1,2.0,2.0,2.0,1,2.0
,,2,2,2.0,,,3,2.0
,,2,3,,,,-1,
,1.0,2,1,,,,1,
,,2,2,2.0,,,3,2.0
,6.0,2,1,,,,1,
,,1,3,2.0,,,1,2.0
,1.0,2,1,,,,1,
,,1,3,,,,-1,
,,1,3,1.0,,,2,2.0
,,1,3,1.0,,,3,2.0
2.0,,1,1,2.0,2.0,2.0,3,2.0
,6.0,2,1,,,,1,
,6.0,2,1,,,,1,
,6.0,2,1,,,,1,
,5.0,2,1,,,,1,
,10.0,2,1,1.0,,,1,2.0
,6.0,2,1,,,,1,
,,1,3,,,,1,
,2.0,1,1,,,,-1,
,2.0,1,1,,,,1,
,8.0,2,1,,,,1,
,,1,3,,,,1,
,,1,3,1.0,,,3,2.0
,6.0,2,1,,,,1,
1.0,,1,1,,2.0,2.0,1,
1.0,,1,1,1.0,2.0,2.0,1,2.0
,10.0,2,1,,,,1,
,6.0,2,1,,,,1,
,,1,3,1.0,,,1,1.0
,1.0,2,1,,,,1,
,1.0,1,1,,,,1,
,10.0,1,1,,,,1,
,,1,2,2.0,,,1,2.0
,1.0,1,1,,,,1,
,,2,2,1.0,,,2,2.0
2.0,,2,1,2.0,2.0,2.0,1,2.0
,3.0,2,1,,,,2,
1.0,,1,1,2.0,2.0,2.0,2,2.0
,6.0,2,1,,,,1,
,6.0,2,1,-1.0,,,1,-1.0
,7.0,1,1,2.0,,,1,2.0
,,2,2,,,,1,
,,2,3,1.0,,,3,2.0
2.0,,2,1,2.0,2.0,2.0,2,2.0
2.0,,2,1,2.0,2.0,2.0,2,2.0
,4.0,2,1,,,,1,
2.0,,1,1,1.0,2.0,-1.0,1,2.0
,1.0,1,1,2.0,,,-1,2.0
,,2,3,2.0,,,1,2.0
,,1,2,,,,1,
2.0,,1,1,2.0,2.0,2.0,1,2.0
,,1,0,,,,1,
,,2,3,1.0,,,3,2.0
,6.0,2,1,,,,1,
2.0,,1,1,,2.0,2.0,-1,
,,1,3,1.0,,,1,1.0
,,1,3,,,,-1,
,1.0,2,1,,,,1,
,,2,3,,,,3,
2.0,,2,1,2.0,2.0,2.0,1,2.0
,1.0,2,1,,,,1,
,,1,2,2.0,,,1,2.0
,6.0,2,1,2.0,,,1,2.0
,,1,2,,,,1,
,,1,3,1.0,,,1,2.0
,,1,3,1.0,,,2,2.0
,,2,2,2.0,,,2,2.0
1.0,,2,1,,1.0,2.0,1,
1.0,,2,1,,2.0,2.0,1,
2.0,,2,1,1.0,2.0,2.0,2,2.0
,6.0,2,1,,,,1,
1.0,,1,1,1.0,1.0,1.0,3,2.0
