council_district,doing_business_as_dba,borough,approved_for_roadway_seating,no with globalid,yes with globalid
11.0,Cocina Chente Mexican Cuisine,Bronx,yes,eaf2d072-c88f-4e7b-8692-5bf37a779f4a,
38.0,Golden Imperial Palace,Brooklyn,yes,{4198740B-C3D9-48AB-8B62-5DE64CA0AD3A},
34.0,Starr Queen LLC,Brooklyn,yes,723fd835-132d-4a2f-8074-a222935255e0,
25.0,LOS CAFETALES RESTAURANT,Queens,yes,{2E09FCBB-EE94-45AE-8802-0A11CE7FF7D1},
45.0,SIP N CHAT COCKTAIL,Brooklyn,yes,{136FEF73-8001-4B0B-8DF5-87DD4DB26360},
2.0,CYBELE LLC dba OEC BUN & RAMEN,Manhattan,yes,{3CB71A4F-382A-45A3-8D28-1433FF02FDB4},
3.0,ABOUT COFFEE,Manhattan,yes,{2CBACAD1-49B6-4D8D-8F25-A3F415A9C586},
6.0,DUNKIN DONUTS,Manhattan,no,{B6539D82-6A85-48C2-8B69-534FE7EC8DEC},
34.0,Cozy Royale,Brooklyn,yes,{16A798C5-7AFA-47BF-8301-BF1EF80112C3},
17.0,MCDONALD'S,Bronx,no,{57B3A5E8-923F-4584-8A4E-F2DF2E5D402C},
4.0,Morningstar Cafe Inc,Manhattan,yes,02a63244-7ec4-4712-8921-fb319e1c215a,
19.0,Ben & Teena's Ice Cream,Queens,no,{F3D223ED-E0B0-4C06-8857-39565B8CD406},
9.0,KEUR COUMBA RESTAURANT,Manhattan,no,{86DEF9C6-303A-46DE-8B86-EB1A87C6AB18},
4.0,KAZUNORI 28th Street LLC.,Manhattan,yes,{CB0789B5-B6FF-43E8-89BC-F2E84DB739E5},
2.0,SWEETGREEN,Manhattan,yes,,{08AD024A-1008-43D6-84CC-E9386E3C93F5}
20.0,JE JU ISLAND INC,Queens,yes,{6FE2C4D4-257C-4B93-81F0-B2B673D0B08E},
,zeppole Restaurant,Brooklyn,yes,{9D057292-7011-4112-81AB-47796C138C9B},
,Momo's Mediterranean Grill,Brooklyn,yes,{DD1BE493-35C0-478B-820C-93933A8B8A4C},
19.0,Brian Dempsey's,Queens,no,5110fb8b-9e66-4dea-81d7-f1d608b5855e,
6.0,Modern Bread & Bagel / Arba,Manhattan,yes,,{E97A333C-B760-4862-8BE2-58AAA72F7310}
20.0,DENG JI RESTAURANT,Queens,yes,{48608506-B844-4C95-8676-3AD64389230E},
20.0,On & On 168 Inc.,Queens,no,{3352695D-50F4-4CE0-8463-030F20B1EB28},
36.0,The Tasty Waffle Company LLC,Brooklyn,no,{6478A7DF-AB43-4548-8388-5F3983684EF7},
7.0,Home Sweet Harlem,Manhattan,yes,{18DF1FAC-E55B-408E-8C70-3263489924C3},
4.0,Le Pain Quotidien,Manhattan,yes,{3B6348D5-4FA5-477B-8590-1BE221D52BD7},
26.0,P J Horgan's,Queens,yes,cf1c71e2-79cc-4dc6-89f1-9246e3e82c32,
2.0,PIPA,Manhattan,yes,,{4DB1F11A-F550-40F4-8B9F-5BE6819A207E}
4.0,MK,Manhattan,no,{DC2D3953-BA67-4D82-8385-2F2B60BCA052},
2.0,Carra LLC,Manhattan,no,{2DDC7213-5F11-4534-883A-8622D0AA67E8},
1.0,Le Pain Quotidien,Manhattan,yes,{830805AA-3B17-4420-8B7F-0E660B27FF76},
3.0,RAMEN DANBO,Manhattan,no,,{4E49320F-19AB-49D3-8D3C-0DF508D8E378}
