address,version,ext,yearalter1,cb2010,lotarea,comarea,yearalter2,lotdepth,bsmtcode,schooldist,firm07_flag,bldgdepth,proxcode,ownertype
59 BEVY COURT,25v3.1,N,0,2020,1785,,0,52.5,5,22,,10.0,0,
201 STREET,25v3.1,,0,3004,2000,,0,100.0,5,29,,0.0,0,
2255 RYDER STREET,25v3.1,N,0,1009,2600,0.0,0,100.0,1,22,,46.0,2,
2181 KIMBALL STREET,25v3.1,G,0,1003,1900,0.0,0,95.0,1,22,,45.67,3,
8518 3 AVENUE,25v3.1,N,2010,2001,2000,990.0,0,100.0,2,20,,50.0,0,
7708 4 AVENUE,25v3.1,G,0,1003,2200,4319.0,0,100.0,2,20,,74.5,3,
65 MELHORN ROAD,25v3.1,G,0,1002,9600,0.0,0,100.0,2,31,,24.0,1,
2321 PLUMB 1 STREET,25v3.1,G,0,2002,1775,0.0,0,100.0,2,22,,35.0,2,
227 80 STREET,25v3.1,N,0,2002,2823,0.0,0,109.33,1,20,,40.0,2,
2049 COLEMAN STREET,25v3.1,N,0,1001,2067,0.0,0,100.0,2,22,,40.0,1,
2602 GERRITSEN AVENUE,25v3.1,N,0,2018,3360,3250.0,0,52.5,0,22,,50.0,0,
7 HYMEN COURT,25v3.1,N,2004,3009,1800,0.0,0,45.0,2,22,1.0,40.0,1,
337 83 STREET,25v3.1,G,0,1000,2500,0.0,0,100.0,1,20,,57.0,3,
368 80 STREET,25v3.1,N,0,3001,2733,0.0,0,109.33,1,20,,68.0,2,
435 HUNTER AVENUE,25v3.1,,2017,2002,74560,17503.0,0,614.0,0,11,1.0,0.0,1,
216 79 STREET,25v3.1,N,0,2002,3389,0.0,0,109.33,2,20,,40.0,1,
IVAN COURT,25v3.1,,0,3009,1800,,0,45.0,5,22,1.0,0.0,0,
32 CYRUS AVENUE,25v3.1,G,0,4027,3600,0.0,0,90.0,5,22,,38.0,1,
100 MARINE STREET,25v3.1,G,0,4009,2250,0.0,0,90.0,2,11,,35.0,1,
114 GARLAND COURT,25v3.1,N,0,2010,1785,0.0,0,52.5,1,22,,24.0,1,
14 MELBA COURT,25v3.1,N,0,4031,1800,0.0,0,45.0,1,22,1.0,40.0,1,
36 FANE COURT,25v3.1,N,0,1005,1785,0.0,0,52.5,2,22,,31.0,1,
365 84 STREET,25v3.1,G,0,1001,2450,0.0,0,100.0,2,20,,56.0,2,
441 MINNIEFORD AVENUE,25v3.1,N,0,1014,2500,0.0,0,100.0,2,11,1.0,30.0,1,
8317 3 AVENUE,25v3.1,N,0,1001,2000,1540.0,0,100.0,5,20,,77.0,0,
2386 FLATBUSH AVENUE,25v3.1,N,0,1000,8000,4200.0,0,100.0,0,22,,70.0,0,
337 KING AVENUE,25v3.1,G,0,3003,6121,0.0,0,122.42,2,11,,29.0,1,
102 JUST COURT,25v3.1,N,2009,4015,1800,0.0,0,45.0,5,22,1.0,35.0,1,
57 CELESTE COURT,25v3.1,G,0,2021,3570,0.0,0,52.5,2,22,,24.0,1,
49 DICTUM COURT,25v3.1,G,0,2022,3570,0.0,0,52.5,2,22,,24.0,1,
