assault_asian_pac_female,pop_white_female,expected_assault_black,expected_assault_hispanic,pop_asian_pac_male,expected_assault_asian_pac,pop_amer_indian_male,pop_amer_indian,pop_hispanic_female
6,126476,31,63,18596,35,201,495,33820
1,15491,72,17,1686,6,90,185,6731
2,16292,13,51,1542,4,229,269,23574
4,15140,153,60,1918,11,139,195,12162
2,17781,120,17,3934,10,94,166,7589
13,18945,15,23,21545,37,170,306,12919
10,25480,61,30,6161,19,66,150,9235
1,8881,155,67,1878,12,169,204,13528
16,41834,6,14,11074,27,67,130,5679
5,77825,2,6,7972,6,9,311,9924
358,247749,456,762,231460,687,1957,4264,252183
9,39852,9,32,10971,35,138,138,10685
2,18669,15,142,2499,6,103,190,64350
