mediumpriority_new_monthly_dohmh,highpriority_new_monthly_hpd,landlord,mediumpriority_closed_monthly_dohmh,mediumpriority_closed_monthly_fdny,mediumpriority_open_monthly_hpd,lowestpriority_new_monthly_dohmh,commissionerorder_open_monthly_dob,mediumpriority_new_monthly_fdny
0,0,0,0,0,0,0,0,0
0,0,NYC Owned (DHS),0,0,0,0,0,0
0,0,BAX PTRS LLC,0,0,0,0,0,0
0,0,YWCA OF BROOKLYN CONDOMINIUM,0,0,0,0,0,0
0,0,BROADWAY BRONX MOTEL LLC,0,0,0,0,0,0
0,0,BRONX BOULEVARD HOUSING DEVELOPMENT FUND CORP.,0,0,0,0,0,0
0,0,WILLOUGHBY AVENUE EQUITIES LLC,0,0,0,0,0,0
0,0,X HOSPITALITY LLC,0,0,0,0,0,0
0,0,J&X LLC,0,0,0,0,0,0
0,0,NYC Owned (DHS),0,0,0,0,0,0
0,0,TYLERS DIMES LLC,0,0,0,0,0,0
0,0,NYC Owned (DHS),0,0,0,0,0,0
0,0,X PARK DEVELOPMENT LLC,0,0,0,0,0,0
0,0,NYC Owned (DHS),0,0,0,0,0,0
0,0,X REALTY CO INC,0,0,0,0,0,0
0,0,CONCOURSE RES HOTEL,0,0,0,0,0,0
0,0,"X 2ND OWNR, LLC",0,0,0,0,0,0
0,0,UNAVAILABLE OWNER,0,0,0,0,1,0
0,0,NYC Owned (DHS),0,0,0,0,2,0
0,0,HIGHBRIDGE APARTMENTS ESTATES LLC,0,0,0,0,0,0
0,0,X STREET SAI LLC,0,0,0,0,0,0
0,0,CASA ESPERANZA HOUSING DEVEL. FUND,0,0,0,0,0,0
0,0,TURNING POINT HSNG DVLPT,0,0,0,0,0,0
0,0,NYC Owned (DHS),0,0,0,0,0,0
0,0,J&X LLC,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,"X 2ND OWNR, LLC",0,0,0,0,0,0
0,0,X EAST 178 LLC,0,0,0,0,0,0
0,0,NYC Owned (Parks),0,0,0,0,0,0
0,0,NH LLC,0,0,0,0,0,0
