id,referencenumber,statusdate,schoolhold,hurricanesandy,crossstreet1,oldreferencenumber
25023,CM09-0208A,2009-02-19T00:00:00.000,No,No,,
118668,CQ00-0819,2001-06-25T00:00:00.000,No,No,WHITESTONE EXPRESSWAY,CQ98-1083
120628,CK99-2059B,1999-11-24T00:00:00.000,No,No,,
22686,CQ08-0147A,2008-05-16T00:00:00.000,No,No,31 STREET,
119522,CM98-0971B,1998-08-19T00:00:00.000,No,No,FDR S/B SERV. RD.,
127925,CX04-1015A,2004-07-06T00:00:00.000,No,No,,
25376,CQ09-0530B,2009-05-07T00:00:00.000,No,No,,
22434,CK08-0023,2008-01-04T00:00:00.000,No,No,HOYT STREET,CK06-2040
141339,CK17-4033B,2018-01-23T00:00:00.000,No,No,4 AVENUE,
18619,CM06-0675B,2006-06-02T00:00:00.000,No,No,,
128225,CQ03-0023B,2003-02-14T00:00:00.000,No,No,8 STREET,
118752,CS98-1340B,1998-11-19T00:00:00.000,No,No,61 STREET,
20571,CS07-0300B,2007-02-26T00:00:00.000,No,No,FOREST HILL ROAD,
41675,CK15-1942B,2015-09-29T00:00:00.000,No,No,KINGSTON AVENUE,
124779,CK02-1325B,2002-10-23T00:00:00.000,No,No,BRIGHTON BEACH AVENUE,
24616,CX08-1948B,2008/12/04 00:00:00,No,No,,
17819,CX05-2148B,2006-01-18T00:00:00.000,No,No,WEST  246 STREET,
129958,CK04-0882B,2004-08-26T00:00:00.000,No,No,EAST    8 STREET,
18726,CM06-0803,2007-03-08T00:00:00.000,No,No,EAST   65 STREET,
124326,CM01-0612B,2001-06-11T00:00:00.000,No,No,WEST HOUSTON STREET,
17724,CX05-2075A,2006-02-09T00:00:00.000,No,No,LAFAYETTE AVENUE,
114962,CX16-0578B,,No,No,EAST  187 STREET,
116878,CQ99-0713B,1999-05-21T00:00:00.000,No,No,MOTT AVENUE,
126498,CK03-2283A,2004-04-07T00:00:00.000,No,No,TILLARY STREET,
125154,CQ01-1125B,2001/07/25 00:00:00,No,No,235 COURT,
126906,CK04-0968A,2004/06/14 00:00:00,No,No,LEXINGTON AVENUE,
136381,CK17-1037B,2017-09-14T00:00:00.000,No,No,KINGSTON AVENUE,
187645,CS23-0235B,2023-04-20T00:00:00.000,No,No,BRIELLE AVENUE,
33533,CK12-1841,2013-05-09T00:00:00.000,No,No,LOGAN STREET,CK10-0484
34936,CS13-0780B,2013-05-20T00:00:00.000,No,No,FOREST AVENUE @ STAPLES ENT./EXIT (BET.) MARIANNE STREET & CRYSTAL,
126250,CM03-1739B,2003/10/15 00:00:00,No,No,,
113546,CQ15-2819B,2016-01-06T00:00:00.000,No,No,66 STREET,
114157,CM15-2989B,2016-01-07T00:00:00.000,No,No,ORCHARD STREET,
118331,SK98-0255B,1998-12-17T00:00:00.000,No,No,17 STREET,98-0255B
38252,CK14-1545B,2017-01-28T00:00:00.000,No,No,EAST    2 STREET,
113348,CQ15-2631B,2015-11-20T00:00:00.000,No,No,ALDERTON STREET,
38057,CX14-1358B,2014-12-08T00:00:00.000,No,No,EAST TREMONT AVENUE,
126447,CM03-2030A,2004-02-09T00:00:00.000,No,No,,
22138,CX07-1833B,2007-11-15T00:00:00.000,No,No,EAST  167 STREET,
37812,CK14-1124B,2014-09-03T00:00:00.000,No,No,SANDS STREET,
22790,CX08-0248A,2008-03-11T00:00:00.000,No,No,,
114395,CS16-0061B,2016-02-19T00:00:00.000,No,No,REON AVENUE,
25288,CM09-0448B,2010-12-28T00:00:00.000,No,No,WEST   13 STREET,
138675,CK17-2347B,2017-12-05T00:00:00.000,No,No,CLIFTON PLACE,
126740,CQ04-0427A,2004-05-06T00:00:00.000,No,No,CONTINENTAL AVENUE,
114405,CK16-0069B,,No,No,EAST   35 STREET,
187266,CQ22-3532B,2022-12-19T00:00:00.000,No,No,64 AVENUE,
132500,CX05-1824,2007-01-12T00:00:00.000,No,No,PROSPECT AVENUE,CX99-1701
31752,CQ12-0129B,2012-05-08T00:00:00.000,No,No,YELLOWSTONE BOULEVARD,
119301,CQ99-0659B,1999-04-21T00:00:00.000,No,No,,
138646,CK17-2318B,2017-10-05T00:00:00.000,No,No,EAST   21 STREET,
41889,CK15-2122B,2015-10-13T00:00:00.000,No,No,ROSS STREET,
119405,CM00-0506B,2000/04/14 00:00:00,No,No,EAST   66 STREET,
118502,CQ00-0735B,2000-05-10T00:00:00.000,No,No,108 STREET,
22564,CM07-2003B,2008-04-04T00:00:00.000,No,No,EAST   89 STREET,
134260,CK16-2338B,2017-01-04T00:00:00.000,No,No,LEFFERTS AVENUE/MONTGOMERY/CROWN STREET,
22283,CQ07-1977A,2008-03-07T00:00:00.000,No,No,UNION TURNPIKE,
118853,CX98-1442B,1998-12-04T00:00:00.000,No,No,ROSEDALE AVENUE,
146274,CK19-0055B,2020-10-07T00:00:00.000,No,No,MC DONALD AVENUE,
28835,CK10-1662,2011-03-04T00:00:00.000,No,No,FULTON STREET,
182185,CQ22-2417B,2022-12-09T00:00:00.000,No,No,109 AVENUE,
119454,CQ00-1097B,2000-07-24T00:00:00.000,No,No,47,
127603,CQ02-1990B,2003-04-21T00:00:00.000,No,No,72 ROAD,
26505,CK09-1605A,2009-12-15T00:00:00.000,No,No,5 AVENUE,
40151,CQ15-0613B,2016-01-06T00:00:00.000,No,No,80 STREET,
119128,CQ99-0098B,2000-02-25T00:00:00.000,No,No,JACKSON AVENUE,
23704,CK08-1091A,2008-09-16T00:00:00.000,No,No,,
154053,CQ20-0870B,2020-11-20T00:00:00.000,No,No,32 STREET,
25779,CK09-0924B,2016-11-07T00:00:00.000,No,No,60 STREET,
25126,CK09-0298A,2009-03-31T00:00:00.000,No,No,MENAHAN STREET,
36009,CQ13-1844B,2020-11-13T00:00:00.000,No,No,120 STREET,
148392,CK19-1186B,2019-05-07T00:00:00.000,No,No,,
146127,CM18-3568B,2019-03-20T00:00:00.000,No,No,EAST  135 STREET,
26391,CS09-1496B,2009-10-28T00:00:00.000,No,No,WITTEMAN PLACE,
24421,CK08-1771B,2008-11-24T00:00:00.000,No,No,SANDS STREET,
3458,CQ9 6-1589,1996-09-24T00:00:00.000,No,No,108 STREET,
35028,CK13-0854,2014-07-07T00:00:00.000,No,No,KINGS HIGHWAY,
146089,CQ18-3530B,2019-03-13T00:00:00.000,No,No,58 STREET,
126677,CK04-0178A,2004-05-14T00:00:00.000,No,No,EAST   28 STREET,
145247,CQ18-2688B,2020-09-16T00:00:00.000,No,No,METROPOLITAN AVENUE,
114208,CQ15-3037B,2016-02-10T00:00:00.000,No,No,173 STREET,
126741,CQ04-0428A,2004-06-06T00:00:00.000,No,No,,
134747,CS16-2824B,2017-01-25T00:00:00.000,No,No,FOUR CORNERS ROAD,
145217,CM18-2658B,2018-12-10T00:00:00.000,No,No,,
37436,CM14-0775B,2014-10-09T00:00:00.000,No,No,EAST   83 STREET,
115513,CS02-0480B,2002-05-17T00:00:00.000,No,No,ARDEN AVENUE,
156877,CQ20-1726B,2020-10-13T00:00:00.000,No,No,OCEANIA STREET,
131255,CM04-2262B,2004-11-24T00:00:00.000,No,No,31ST STREET,
151645,CS19-3441B,2020-03-10T00:00:00.000,No,No,DECKER AVENUE,
32527,CM12-0865B,2012-11-23T00:00:00.000,No,No,WEST  135 STREET,
118443,CQ00-0715B,2000-05-31T00:00:00.000,No,No,,
120781,CS99-1893B,2000-02-01T00:00:00.000,No,No,SCHOOL ROAD,
123287,CM01-0781B,2001-06-20T00:00:00.000,No,No,,
34212,CK13-0104B,2013-05-20T00:00:00.000,No,No,ELDERT LANE,
137561,CM17-1233B,2017-07-19T00:00:00.000,No,No,WEST   81 STREET,
151436,CK19-3232B,2020-10-05T00:00:00.000,No,No,MIDWOOD STREET,
18071,CQ06-0139A,2006-02-01T00:00:00.000,No,No,,
153893,CS20-0710B,2020-10-27T00:00:00.000,No,No,HYLAN BOULEVARD,
29883,CK11-0605A,2016-10-28T00:00:00.000,No,No,THIRD,
132083,CM05-1118A,2005-08-02T00:00:00.000,No,No,125TH STREET,
