ad_group_id,date,_fivetran_synced,campaign_bidding_strategy,clicks,cost,impressions
421,2022-07-12,2022-10-14 12:07:33.105,autoForSales,15,30.5,5200
421,2022-07-15,2022-10-14 12:07:33.105,autoForSales,12,24.8,4500
421,2022-07-20,2022-10-14 12:07:33.105,autoForSales,10,20,3800
421,2022-07-25,2022-10-14 12:07:33.105,autoForSales,18,36.5,6000
422,2022-07-12,2022-10-14 12:07:33.105,autoForSales,8,16,3200
422,2022-07-18,2022-10-14 12:07:33.105,autoForSales,11,22.5,4100
422,2022-07-22,2022-10-14 12:07:33.105,autoForSales,14,28.2,4800
423,2022-07-13,2022-10-14 12:07:33.105,autoForSales,9,18.5,3500
423,2022-07-19,2022-10-14 12:07:33.105,autoForSales,13,26.4,4600
423,2022-07-26,2022-10-14 12:07:33.105,autoForSales,16,32.5,5300
501,2022-11-18,2022-12-13 11:26:56.575,legacy,8,12.8,3400
501,2022-11-19,2022-12-13 11:26:56.577,legacy,10,16,3800
501,2022-11-24,2022-12-13 11:31:52.126,legacy,12,19.2,4200
501,2022-11-25,2022-12-13 11:31:52.129,legacy,9,14.4,3600
501,2022-12-01,2022-12-13 11:35:56.899,legacy,11,17.6,4000
501,2022-12-02,2022-12-13 11:35:56.902,legacy,7,11.2,3200
501,2022-12-03,2022-12-13 11:35:56.905,legacy,13,20.8,4500
501,2022-12-04,2022-12-13 11:35:56.908,legacy,15,24,5000
501,2022-12-07,2022-12-13 17:20:57.402,legacy,14,22.4,4800
501,2022-12-11,2022-12-13 17:20:57.42,legacy,16,25.6,5200
502,2022-11-20,2022-12-13 11:35:56.905,legacy,10,16.5,3700
502,2022-11-25,2022-12-13 11:35:56.905,legacy,12,19.8,4100
502,2022-12-01,2022-12-13 11:35:56.905,legacy,14,23.1,4600
502,2022-12-05,2022-12-13 11:35:56.905,legacy,16,26.4,5100
503,2022-07-20,2022-10-14 12:07:33.105,autoForSales,11,18.7,3900
503,2022-07-25,2022-10-14 12:07:33.105,autoForSales,13,22.1,4400
503,2022-08-01,2022-10-14 12:07:33.105,autoForSales,15,25.5,4900
504,2022-07-21,2022-10-14 12:07:33.105,autoForSales,9,15.3,3500
504,2022-07-26,2022-10-14 12:07:33.105,autoForSales,12,20.4,4200
504,2022-08-02,2022-10-14 12:07:33.105,autoForSales,14,23.8,4700
505,2022-07-25,2022-10-14 12:07:33.105,autoForSales,10,17,3700
505,2022-08-02,2022-10-14 12:07:33.105,autoForSales,13,22.1,4300
506,2022-07-26,2022-10-14 12:07:33.105,autoForSales,11,18.7,3900
506,2022-08-03,2022-10-14 12:07:33.105,autoForSales,14,23.8,4500
507,2022-08-05,2022-10-14 12:07:33.105,legacyForSales,15,25.5,5200
507,2022-08-10,2022-10-14 12:07:33.105,legacyForSales,17,28.9,5700
508,2022-08-06,2022-10-14 12:07:33.105,legacyForSales,13,22.1,4800
508,2022-08-11,2022-10-14 12:07:33.105,legacyForSales,16,27.2,5300
509,2022-08-10,2022-10-14 12:07:33.105,autoForSales,18,30.6,6000
509,2022-08-15,2022-10-14 12:07:33.105,autoForSales,20,34,6500
510,2022-08-11,2022-10-14 12:07:33.105,autoForSales,16,27.2,5500
510,2022-08-16,2022-10-14 12:07:33.105,autoForSales,19,32.3,6200
511,2022-08-15,2022-10-14 12:07:33.105,autoForSales,12,20.4,4300
511,2022-08-20,2022-10-14 12:07:33.105,autoForSales,14,23.8,4800
512,2022-08-16,2022-10-14 12:07:33.105,autoForSales,11,18.7,4000
512,2022-08-21,2022-10-14 12:07:33.105,autoForSales,13,22.1,4500
