ad_group_id,campaign_id,date,keyword_id,_fivetran_synced,campaign_budget_amount,campaign_budget_currency_code,campaign_budget_type,clicks,cost,impressions,keyword_bid,search_term,targeting
421,2187,2022-07-12,9101112,2022-10-14 11:40:37.528,2000,USD,DAILY_BUDGET,35,59.5,12500,6,x wing parts,x wing parts
421,2187,2022-07-14,9101112,2022-10-14 11:40:37.528,2000,USD,DAILY_BUDGET,30,51,10800,6,x wing parts,x wing parts
421,2187,2022-08-15,9101112,2022-10-14 11:40:37.528,2000,USD,DAILY_BUDGET,25,42.5,9200,6,x wing parts,x wing parts
421,2187,2022-08-20,9101112,2022-10-14 11:40:37.528,2000,USD,DAILY_BUDGET,28,47.6,10400,6,x wing parts,x wing parts
421,2187,2022-08-25,9101112,2022-10-14 11:40:37.528,2000,USD,DAILY_BUDGET,22,37.4,8600,6,x wing parts,x wing parts
421,2187,2022-07-13,1234,2022-10-14 12:05:31.374,2000,USD,DAILY_BUDGET,18,30.6,7200,5.5,b wing parts,b wing parts
421,2187,2022-07-18,1234,2022-10-14 11:39:04.61,2000,USD,DAILY_BUDGET,20,34,8000,5.5,b wing parts,b wing parts
421,2187,2022-08-10,1234,2022-10-14 12:05:31.279,2000,USD,DAILY_BUDGET,16,27.2,6500,5.5,b wing parts,b wing parts
421,2187,2022-08-13,1234,2022-10-14 12:05:31.374,2000,USD,DAILY_BUDGET,19,32.3,7600,5.5,b wing parts,b wing parts
421,2187,2022-08-18,1234,2022-10-14 11:39:04.61,2000,USD,DAILY_BUDGET,17,28.9,7100,5.5,b wing parts,b wing parts
421,2187,2022-08-20,1234,2022-10-14 11:39:03.984,2000,USD,DAILY_BUDGET,21,35.7,8300,5.5,b wing parts,b wing parts
421,2187,2022-08-23,1234,2022-10-14 11:40:37.51,2000,USD,DAILY_BUDGET,15,25.5,6800,5.5,b wing parts,b wing parts
421,2187,2022-08-24,1234,2022-10-14 11:40:37.528,2000,USD,DAILY_BUDGET,14,23.8,6400,5.5,b wing parts,b wing parts
421,2187,2022-07-14,5678,2022-10-14 11:39:04.61,2000,USD,DAILY_BUDGET,15,25.5,6200,5,y wing parts,y wing parts
421,2187,2022-07-19,5678,2022-10-14 11:39:04.61,2000,USD,DAILY_BUDGET,17,28.9,7000,5,y wing parts,y wing parts
421,2187,2022-08-17,5678,2022-10-14 11:39:04.61,2000,USD,DAILY_BUDGET,13,22.1,5800,5,y wing parts,y wing parts
421,2187,2022-08-20,5678,2022-10-14 11:39:03.984,2000,USD,DAILY_BUDGET,16,27.2,6600,5,y wing parts,y wing parts
421,2187,2022-08-24,5678,2022-10-14 11:40:37.528,2000,USD,DAILY_BUDGET,14,23.8,6100,5,y wing parts,y wing parts
422,2187,2022-07-15,1235,2022-10-14 11:40:37.528,2000,USD,DAILY_BUDGET,20,34,7800,5.2,starfighter parts,starfighter parts
422,2187,2022-07-20,1235,2022-10-14 11:40:37.528,2000,USD,DAILY_BUDGET,23,39.1,8900,5.2,starfighter parts,starfighter parts
422,2187,2022-08-16,1235,2022-10-14 11:40:37.528,2000,USD,DAILY_BUDGET,18,30.6,7300,5.2,starfighter parts,starfighter parts
422,2187,2022-07-16,1236,2022-10-14 11:40:37.528,2000,USD,DAILY_BUDGET,22,37.4,8200,5.8,fighter pilot,fighter pilot
422,2187,2022-07-21,1236,2022-10-14 11:40:37.528,2000,USD,DAILY_BUDGET,25,42.5,9300,5.8,fighter pilot,fighter pilot
422,2187,2022-08-17,1236,2022-10-14 11:40:37.528,2000,USD,DAILY_BUDGET,20,34,7800,5.8,fighter pilot,fighter pilot
423,2187,2022-07-17,1237,2022-10-14 11:40:37.528,2000,USD,DAILY_BUDGET,24,40.8,8800,6.2,space combat,space combat
423,2187,2022-07-22,1237,2022-10-14 11:40:37.528,2000,USD,DAILY_BUDGET,27,45.9,9900,6.2,space combat,space combat
423,2187,2022-08-18,1237,2022-10-14 11:40:37.528,2000,USD,DAILY_BUDGET,22,37.4,8200,6.2,space combat,space combat
423,2187,2022-07-18,1238,2022-10-14 11:40:37.528,2000,USD,DAILY_BUDGET,21,35.7,8000,5.9,rebel alliance,rebel alliance
423,2187,2022-07-23,1238,2022-10-14 11:40:37.528,2000,USD,DAILY_BUDGET,24,40.8,9100,5.9,rebel alliance,rebel alliance
423,2187,2022-08-19,1238,2022-10-14 11:40:37.528,2000,USD,DAILY_BUDGET,19,32.3,7600,5.9,rebel alliance,rebel alliance
501,5555,2022-11-20,1239,2022-12-13 17:17:13.167,250,USD,DAILY_BUDGET,17,28.9,6500,4.8,millennium falcon,millennium falcon
501,5555,2022-11-25,1239,2022-12-13 17:17:13.167,250,USD,DAILY_BUDGET,20,34,7700,4.8,millennium falcon,millennium falcon
501,5555,2022-12-01,1239,2022-12-13 17:17:13.167,250,USD,DAILY_BUDGET,18,30.6,7100,4.8,millennium falcon,millennium falcon
501,5555,2022-12-05,1239,2022-12-13 17:17:13.167,250,USD,DAILY_BUDGET,22,37.4,8300,4.8,millennium falcon,millennium falcon
501,5555,2022-11-22,1240,2022-12-13 17:17:13.167,250,USD,DAILY_BUDGET,15,25.5,6100,5.1,smuggler ship,smuggler ship
501,5555,2022-11-28,1240,2022-12-13 17:17:13.167,250,USD,DAILY_BUDGET,18,30.6,7000,5.1,smuggler ship,smuggler ship
501,5555,2022-12-03,1240,2022-12-13 17:17:13.167,250,USD,DAILY_BUDGET,16,27.2,6600,5.1,smuggler ship,smuggler ship
502,5555,2022-11-23,1241,2022-12-13 17:17:13.167,250,USD,DAILY_BUDGET,19,32.3,7400,5.5,premium spacecraft,premium spacecraft
502,5555,2022-11-29,1241,2022-12-13 17:17:13.167,250,USD,DAILY_BUDGET,23,39.1,8500,5.5,premium spacecraft,premium spacecraft
502,5555,2022-12-04,1241,2022-12-13 17:17:13.167,250,USD,DAILY_BUDGET,21,35.7,7900,5.5,premium spacecraft,premium spacecraft
502,5555,2022-11-24,1242,2022-12-13 17:17:13.167,250,USD,DAILY_BUDGET,18,30.6,7100,6,fast ship,fast ship
502,5555,2022-11-30,1242,2022-12-13 17:17:13.167,250,USD,DAILY_BUDGET,22,37.4,8200,6,fast ship,fast ship
502,5555,2022-12-06,1242,2022-12-13 17:17:13.167,250,USD,DAILY_BUDGET,20,34,7700,6,fast ship,fast ship
