source_relation,_fivetran_synced,asin,height,link,marketplace_id,variant,width
amazon_selling_partner.public,2024-04-12 06:55:44,B0E7STG6605,500,amazon.com,MPIDRANDOM,MAIN,500
amazon_selling_partner.public,2024-07-11 07:45:16,B0E7STG6684,500,amazon.com,MPIDRANDOM,PT01,500
amazon_selling_partner.public,2024-02-08 06:24:11,B0E7STG4721,500,amazon.com,MPIDRANDOM,PT02,500
amazon_selling_partner.public,2024-07-31 11:21:12,B0E7STG7286,500,amazon.com,MPIDRANDOM,PT03,500
amazon_selling_partner.public,2024-01-27 16:13:49,B0E7STG6845,500,amazon.com,MPIDRANDOM,PT04,500
amazon_selling_partner.public,2025-01-19 09:21:28,B0E7STG9922,500,amazon.com,MPIDRANDOM,PT05,500
amazon_selling_partner.public,2024-09-24 01:51:33,B0E7STG1865,500,amazon.com,MPIDRANDOM,PT06,500
amazon_selling_partner.public,2024-12-29 02:34:50,B0E7STG4397,500,amazon.com,MPIDRANDOM,PT07,500
amazon_selling_partner.public,2024-09-26 06:32:51,B0E7STG6340,500,amazon.com,MPIDRANDOM,PT08,500
amazon_selling_partner.public,2024-05-16 21:05:57,B0E7STG1461,500,amazon.com,MPIDRANDOM,SWCH,500
amazon_selling_partner.public,2024-07-28 14:39:31,B0E7STG1446,500,amazon.com,MPIDRANDOM,MAIN,500
amazon_selling_partner.public,2025-01-07 08:17:22,B0E7STG5396,500,amazon.com,MPIDRANDOM,MAIN,500
amazon_selling_partner.public,2025-01-08 18:35:37,B0E7STG3434,500,amazon.com,MPIDRANDOM,PT01,500
amazon_selling_partner.public,2024-09-05 20:08:07,B0E7STG5263,500,amazon.com,MPIDRANDOM,PT02,500
amazon_selling_partner.public,2024-11-22 03:20:38,B0E7STG5688,500,amazon.com,MPIDRANDOM,PT03,500
amazon_selling_partner.public,2024-07-24 01:40:40,B0E7STG7997,500,amazon.com,MPIDRANDOM,PT04,500
amazon_selling_partner.public,2024-03-05 02:17:25,B0E7STG6585,500,amazon.com,MPIDRANDOM,PT05,500
amazon_selling_partner.public,2024-12-10 17:41:12,B0E7STG2159,500,amazon.com,MPIDRANDOM,PT06,500
amazon_selling_partner.public,2025-01-03 05:20:51,B0E7STG5684,500,amazon.com,MPIDRANDOM,PT07,500
amazon_selling_partner.public,2024-10-11 00:58:35,B0E7STG6114,500,amazon.com,MPIDRANDOM,PT08,500
amazon_selling_partner.public,2024-02-21 23:11:58,B0E7STG6075,500,amazon.com,MPIDRANDOM,SWCH,500
amazon_selling_partner.public,2024-05-21 13:25:55,B0E7STG7881,500,amazon.com,MPIDRANDOM,MAIN,500
amazon_selling_partner.public,2024-11-26 15:25:26,B0E7STG8292,500,amazon.com,MPIDRANDOM,MAIN,500
