id,modification_time,adam_id,budget_amount,budget_currency,budget_orders,daily_budget_amount,daily_budget_currency,deleted,end_time,loc_invoice_detail_buyer_email,loc_invoice_detail_buyer_name,loc_invoice_detail_client_name,loc_invoice_detail_order_number,name,organization_id,payment_model,serving_state_reasons,serving_status,start_time,status
973923054,2021-12-10 19:17:21.119,1589007550,100,USD,[],5,USD,f,2022-01-31 23:59:00,,,,,Tap Away,3219110,PAYG,,RUNNING,2021-12-09 00:00:00,ENABLED
973923054,2021-12-20 04:00:51.264,1589007550,100,USD,[],5,USD,f,2022-01-31 23:59:00,,,,,Tap Away,3219110,PAYG,"[""TOTAL_BUDGET_EXHAUSTED""]",NOT_RUNNING,2021-12-09 00:00:00,ENABLED
973923054,2021-12-27 00:33:15.302,1589007550,100,USD,[],5,USD,f,2022-01-31 23:59:00,,,,,Tap Away,3219110,PAYG,"[""TOTAL_BUDGET_EXHAUSTED"",""PAUSED_BY_USER""]",NOT_RUNNING,2021-12-09 00:00:00,PAUSED
973923055,2025-12-01 00:11:23.375291,1196311388,995,USD,[],43,USD,f,2026-01-15 23:59:00,,,,,Summer Special,3162550,PAYG,,NOT_RUNNING,2025-11-20 00:00:00,PAUSED
973923056,2025-12-05 00:11:23.375341,1108301924,378,USD,[],9,USD,f,2025-12-07 23:59:00,,,,,Holiday Sale,3162550,PAYG,,NOT_RUNNING,2025-10-17 00:00:00,PAUSED
973923057,2025-11-29 00:11:23.375371,1613159723,815,USD,[],12,USD,f,2025-12-11 23:59:00,,,,,Holiday Sale,3219110,PAYG,,RUNNING,2025-10-30 00:00:00,PAUSED
973923058,2025-12-05 00:11:23.375396,1346896308,726,USD,[],23,USD,f,2025-12-01 23:59:00,,,,,Holiday Sale,3219110,PAYG,,NOT_RUNNING,2025-10-20 00:00:00,ENABLED
973923059,2025-12-15 00:11:23.37542,1350927297,914,USD,[],5,USD,f,2025-11-12 23:59:00,,,,,Spring Launch,3219110,PAYG,,NOT_RUNNING,2025-10-02 00:00:00,PAUSED
973923060,2025-12-20 00:11:23.375445,1940721874,642,USD,[],19,USD,f,2025-12-06 23:59:00,,,,,User Acquisition,3219110,PAYG,,NOT_RUNNING,2025-11-01 00:00:00,PAUSED
973923061,2025-12-01 00:11:23.375475,1709269405,230,USD,[],49,USD,f,2026-01-01 23:59:00,,,,,New Feature,3219111,PAYG,,NOT_RUNNING,2025-11-23 00:00:00,ENABLED
973923062,2025-12-18 00:11:23.3755,1921033738,861,USD,[],33,USD,f,2025-12-06 23:59:00,,,,,Holiday Sale,3219111,PAYG,"[""TOTAL_BUDGET_EXHAUSTED""]",RUNNING,2025-10-09 00:00:00,ENABLED
973923063,2025-11-28 00:11:23.375524,1244525630,181,USD,[],49,USD,f,2026-01-08 23:59:00,,,,,Summer Special,3219111,PAYG,,NOT_RUNNING,2025-11-19 00:00:00,PAUSED
973923064,2025-11-27 00:11:23.375548,1817728363,541,USD,[],28,USD,f,2025-11-19 23:59:00,,,,,New Feature,3219111,PAYG,,NOT_RUNNING,2025-10-14 00:00:00,ENABLED
973923065,2025-12-15 00:11:23.375573,1498406705,576,USD,[],20,USD,f,2025-12-19 23:59:00,,,,,Spring Launch,3219112,PAYG,"[""TOTAL_BUDGET_EXHAUSTED""]",RUNNING,2025-11-12 00:00:00,PAUSED
973923066,2025-11-27 00:11:23.375596,1684654544,147,USD,[],9,USD,f,2025-12-21 23:59:00,,,,,User Acquisition,3219112,PAYG,,RUNNING,2025-11-07 00:00:00,ENABLED
973923067,2025-12-22 00:11:23.37562,1227261916,744,USD,[],6,USD,f,2025-12-21 23:59:00,,,,,Spring Launch,3219112,PAYG,"[""TOTAL_BUDGET_EXHAUSTED""]",RUNNING,2025-11-06 00:00:00,PAUSED
973923068,2025-12-21 00:11:23.375645,1879557271,487,USD,[],42,USD,f,2025-11-29 23:59:00,,,,,Summer Special,3219113,PAYG,"[""TOTAL_BUDGET_EXHAUSTED""]",NOT_RUNNING,2025-10-02 00:00:00,PAUSED
973923069,2025-12-15 00:11:23.375669,1439128291,921,USD,[],37,USD,f,2025-12-12 23:59:00,,,,,Spring Launch,3219113,PAYG,,RUNNING,2025-11-12 00:00:00,ENABLED
973923070,2025-12-11 00:11:23.375696,1505174966,986,USD,[],23,USD,f,2025-11-12 23:59:00,,,,,User Acquisition,3219113,PAYG,"[""TOTAL_BUDGET_EXHAUSTED""]",RUNNING,2025-10-12 00:00:00,PAUSED
973923071,2025-12-03 00:11:23.375721,1797008917,281,USD,[],49,USD,f,2025-11-30 23:59:00,,,,,Summer Special,3219114,PAYG,"[""TOTAL_BUDGET_EXHAUSTED""]",RUNNING,2025-10-12 00:00:00,PAUSED
973923072,2025-12-08 00:11:23.375744,1995702798,832,USD,[],16,USD,f,2025-12-02 23:59:00,,,,,New Feature,3219114,PAYG,"[""TOTAL_BUDGET_EXHAUSTED""]",NOT_RUNNING,2025-10-05 00:00:00,PAUSED
973923073,2025-12-14 00:11:23.37577,1585934389,725,USD,[],43,USD,f,2025-12-06 23:59:00,,,,,Spring Launch,3219115,PAYG,"[""TOTAL_BUDGET_EXHAUSTED""]",NOT_RUNNING,2025-11-05 00:00:00,ENABLED
973923074,2025-12-25 00:11:23.375796,1007408085,910,USD,[],25,USD,f,2025-12-25 23:59:00,,,,,Summer Special,3219115,PAYG,"[""TOTAL_BUDGET_EXHAUSTED""]",RUNNING,2025-11-12 00:00:00,ENABLED
