date,account_id,device_os,device_type,network,currency_code,ad_distribution,bid_match_type,delivered_match_type,top_vs_other,clicks,impressions,spend,conversions_qualified,conversions,revenue,all_conversions_qualified
2019-04-25,150175881,Android,Smartphone,AOL search,USD,Search,Broad,Broad,AOL search - Top,0,0,0.0,0,0,0.0,0
2019-03-15,150175881,Unknown,Computer,AOL search,USD,Search,Broad,Broad,AOL search - Top,0,0,0.0,,,,
2019-05-11,150175881,Windows,Computer,AOL search,USD,Search,Phrase,Phrase,AOL search - Top,0,0,0.0,0,0,0.0,0
2019-04-21,150175881,Android,Smartphone,AOL search,USD,Search,Broad,Broad,AOL search - Top,0,0,0.0,0,0,0.0,0
2019-04-15,150175881,iOS,Tablet,AOL search,USD,Search,Broad,Broad,AOL search - Top,0,0,0.0,0,0,0.0,0
2019-04-22,150175881,Unknown,Computer,AOL search,USD,Search,Broad,Broad,AOL search - Top,0,0,0.0,0,0,0.0,0
2018-12-06,150175881,Unknown,Computer,AOL search,USD,Search,Phrase,Phrase,AOL search - Top,0,0,0.0,0,0,0.0,0
2019-04-15,150175881,Windows,Computer,AOL search,USD,Search,Broad,Broad,AOL search - Top,0,0,0.0,0,0,0.0,0
2019-04-16,150175881,Unknown,Computer,AOL search,USD,Search,Broad,Broad,AOL search - Top,0,0,0.0,0,0,0.0,0
2018-12-26,150175881,Windows,Computer,AOL search,USD,Search,Broad,Phrase,AOL search - Top,4,5,0.0,1,2,0.01,3
2021-08-01,150175882,Windows,Computer,Bing and Yahoo! search,USD,Search,Broad,Broad,Bing and Yahoo! search - Top,125,2500,150.50,5,8,850.00,5
2021-08-02,150175882,iOS,Smartphone,Bing and Yahoo! search,USD,Search,Exact,Exact,Bing and Yahoo! search - Top,88,1800,98.75,3,6,620.00,3
2021-08-01,150175883,Windows,Computer,Bing and Yahoo! search,USD,Search,Phrase,Phrase,Bing and Yahoo! search - Top,95,2200,112.30,4,7,740.00,4
2021-08-02,150175883,Android,Tablet,Bing and Yahoo! search,USD,Search,Broad,Broad,Bing and Yahoo! search - Mainline,62,1500,75.80,2,4,480.00,2
