recordid,censusblock_2010,:@computed_region_92fq_4b7q,species,street,bin,spc_common,x,condition,zip_original,bbl,council_district
1,2000,50.0,PLAC,E 17 ST,1019566.0,LONDON PLANETREE,988618.9688,Unknown,10003,1008980025.0,2.0
317,1000,10.0,ULAM,Avenue of the Amer,1000000.0,"ELM, AMERICAN",982993.1534,Poor,10012,1004900027.0,3.0
716,1005,10.0,GLTR,GREENWICH ST,1011729.0,HONEYLOCUST,982182.7302,Excellent,10013,1006300021.0,3.0
553,1018,10.0,PYCA,GREENWICH ST,1076084.0,"PEAR, CALLERY",981711.3252,Excellent,10013,1005957501.0,3.0
881,5001,50.0,PYCA,E 10 ST,1006457.0,"PEAR, CALLERY",988429.4585,Good,10003,1004520040.0,2.0
538,3003,10.0,PS,HUDSON ST,1009742.0,PLANTING SITE,982158.9202,Planting Space,10013,1005790047.0,3.0
482,3001,10.0,GLTR,CHARLTON ST,1007828.0,HONEYLOCUST,982993.2738,Good,10014,1005060016.0,3.0
11817,1003,35.0,GIBI,W 110 ST,,GINKGO,1000219.199,Good,10029,,6.0
171,1016,32.0,OSVI,BROADWAY,1083094.0,EASTERN HOP HORNBEAM,982635.7128,Excellent,10007,1001540001.0,1.0
124,4010,32.0,PYCA,READE ST,1001514.0,"PEAR, CALLERY",981500.4983,Excellent,10013,1001410012.0,1.0
395,3009,10.0,ULAM,Avenue of the Amer,1007378.0,"ELM, AMERICAN",982983.6202,Poor,10013,1004910016.0,3.0
420,2003,10.0,PYCA,W HOUSTON ST,1008380.0,"PEAR, CALLERY",983422.1751,Excellent,10014,1005280001.0,3.0
558,3008,10.0,AIAL,BROOME ST,1009732.0,TREE OF HEAVEN,982394.6149,Excellent,10013,1005780077.0,3.0
912,4000,50.0,COMA,2 AV,1006404.0,"CHERRY, CORNELIAN",987903.2301,Unknown,0,1004510006.0,2.0
91,2004,10.0,PYCA,HUDSON ST,,"PEAR, CALLERY",982228.6014,Good,10014,,
947,1000,50.0,TICO,E 14 ST,1085790.0,"LINDEN, LITTLE LEAF",987492.5501,Good,10003,1005590022.0,2.0
180,3000,32.0,QUPA,CHAMBERS ST,1066406.0,"OAK, PIN",980845.5519,Excellent,10013,1001420050.0,1.0
275,2003,32.0,SOJA,W BROADWAY,1007113.0,JAPANESE PAGODA TREE,983223.4381,Good,10013,1004760081.0,1.0
904,1001,50.0,GLTR,2 AV,1006870.0,HONEYLOCUST,988203.8589,Good,10003,1004680038.0,2.0
69,1016,32.0,OSVI,BROADWAY,1083094.0,EASTERN HOP HORNBEAM,982635.7128,Excellent,10007,1001540001.0,1.0
293,1001,10.0,TICO,SULLIVAN ST,1007345.0,"LINDEN, LITTLE LEAF",983125.3828,Good,10012,1004890006.0,3.0
130,4010,32.0,PYCA,READE ST,1079166.0,"PEAR, CALLERY",981612.9281,Excellent,10013,1001410002.0,1.0
301,1001,10.0,UNKSTMP,SULLIVAN ST,1007351.0,UNKNOWN STUMP,983252.932,Stump,10012,1004890014.0,3.0
424,1000,10.0,PYCA,HUDSON ST,1010379.0,"PEAR, CALLERY",982270.8533,Excellent,10014,1005990064.0,3.0
327,2006,32.0,PLAC,Avenue of the Amer,1088405.0,LONDON PLANETREE,982807.5002,Excellent,10013,1002270052.0,1.0
143,1017,32.0,GLTR,CHAMBERS ST,1079215.0,HONEYLOCUST,982619.2276,Excellent,10007,1001530001.0,1.0
423,1000,10.0,PYCA,HUDSON ST,1010379.0,"PEAR, CALLERY",982270.8533,Excellent,10014,1005990064.0,3.0
585,1002,32.0,PS,WASHINGTON ST,1001059.0,PLANTING SITE,980416.8378,Planting Space,10006,1000540001.0,1.0
135,4010,32.0,FRPE,HUDSON ST,1001511.0,"ASH, GREEN",981700.097,Excellent,10013,1001410001.0,1.0
457,3002,10.0,PLAC,HUDSON ST,1009746.0,LONDON PLANETREE,982199.4862,Good,10013,1005807501.0,3.0
163,1016,32.0,OSVI,BROADWAY,1083094.0,EASTERN HOP HORNBEAM,982635.7128,Excellent,10007,1001540001.0,1.0
28,3000,32.0,GLTR,HARRISON ST,1001539.0,HONEYLOCUST,981273.0117,Poor,10013,1001420017.0,1.0
783,4000,50.0,QUPA,E 9 ST,1006421.0,"OAK, PIN",988017.2916,Good,10006,1004510044.0,2.0
192,2001,32.0,GLTR,GREENWICH ST,1066187.0,HONEYLOCUST,981195.2289,Excellent,10007,1001377502.0,1.0
389,1000,10.0,ULAM,Avenue of the Amer,1007371.0,"ELM, AMERICAN",983123.0955,Excellent,10013,1004900021.0,3.0
862,3000,50.0,GIBI,E 10 ST,1077990.0,GINKGO,987349.9418,Good,10003,1004660048.0,2.0
168,1016,32.0,OSVI,BROADWAY,1083094.0,EASTERN HOP HORNBEAM,982635.7128,Excellent,10007,1001540001.0,1.0
5051,1003,51.0,PYCA,5 AV,,"PEAR, CALLERY",990897.8989,Excellent,10019,,
139,1020,32.0,GLTR,CHAMBERS ST,1001670.0,HONEYLOCUST,982941.4458,Excellent,10007,1001530024.0,1.0
172,3000,32.0,GLTR,CHAMBERS ST,1066406.0,HONEYLOCUST,980845.5519,Excellent,10013,1001420050.0,1.0
7,2001,32.0,ACPL,N MOORE ST,1083157.0,"MAPLE, NORWAY",981330.4271,Excellent,10013,1001420025.0,1.0
755,2002,50.0,PLAC,ASTOR PL,,LONDON PLANETREE,986834.2702,Poor,10012,,
483,3001,10.0,ULAM,CHARLTON ST,1007828.0,"ELM, AMERICAN",982993.2738,Poor,10014,1005060016.0,3.0
73,2002,32.0,GLTR,GREENWICH ST,1082816.0,HONEYLOCUST,981441.5639,Excellent,10013,1002160001.0,1.0
919,4001,50.0,PYCA,1 AV,1005979.0,"PEAR, CALLERY",988868.4929,Good,10003,1004407501.0,2.0
823,3002,50.0,ACPL,STUYVESANT ST,1006787.0,"MAPLE, NORWAY",987399.9706,Good,10013,1004650032.0,2.0
239,2006,32.0,GIBI,PARK PL,,GINKGO,980624.981,Good,10007,,
144,2001,32.0,GLTR,CHAMBERS ST,1001491.0,HONEYLOCUST,981304.071,Excellent,10007,1001370026.0,1.0
802,2001,50.0,GLTR,E 9 ST,1008962.0,HONEYLOCUST,987037.1136,Good,10012,1005550028.0,2.0
235,2006,32.0,GIBI,PARK PL,,GINKGO,980624.981,Excellent,10007,,
220,2006,32.0,GIBI,BARCLAY ST,1001416.0,GINKGO,980953.9963,Good,10007,1001280002.0,1.0
931,7000,50.0,QURU,1 AV,1006381.0,"OAK, NORTHERN RED",988401.4391,Good,10003,1004500031.0,2.0
503,2005,10.0,ACPL,KING ST,1008096.0,"MAPLE, NORWAY",983263.5968,Excellent,10014,1005190027.0,3.0
131,4010,32.0,PYCA,READE ST,1079166.0,"PEAR, CALLERY",981612.9281,Excellent,10013,1001410002.0,1.0
998,5002,50.0,GIBI,E 14 ST,1020389.0,GINKGO,988472.8782,Good,10003,1009210006.0,2.0
784,2001,32.0,SOJA,SPRING ST,1007484.0,JAPANESE PAGODA TREE,985597.9686,Good,10006,1004930041.0,1.0
184,2001,32.0,QUPA,GREENWICH ST,1066187.0,"OAK, PIN",981195.2289,Excellent,10007,1001377502.0,1.0
41,1016,32.0,OSVI,BROADWAY,1083094.0,EASTERN HOP HORNBEAM,982635.7128,Excellent,10007,1001540001.0,1.0
701,2004,32.0,GLTR,WEST ST,1087238.0,HONEYLOCUST,979917.2251,Excellent,10009,1000167514.0,1.0
109,4010,32.0,GLTR,GREENWICH ST,,HONEYLOCUST,981285.4153,Excellent,10013,,
593,1004,32.0,SOJA,CANAL ST,1010332.0,JAPANESE PAGODA TREE,981616.7861,Excellent,10013,1005950038.0,1.0
56,2001,,GIBI,GREENWICH ST,,GINKGO,1.0,Excellent,0,,
405,3006,10.0,OSVI,Avenue of the Amer,1007385.0,EASTERN HOP HORNBEAM,983125.3896,Good,10013,1004910046.0,3.0
449,1012,10.0,SOJA,VAN DAM ST,1010365.0,JAPANESE PAGODA TREE,981917.9097,Excellent,10013,1005970037.0,3.0
767,7000,50.0,TICO,E 9 ST,1006363.0,"LINDEN, LITTLE LEAF",987835.5816,Excellent,10006,1004500008.0,2.0
1005,6001,50.0,COMA,E 13 ST,1006486.0,"CHERRY, CORNELIAN",988579.5478,Good,10003,1004540031.0,2.0
24,3000,32.0,TICO,HARRISON ST,1001539.0,"LINDEN, LITTLE LEAF",981273.0117,Excellent,10013,1001420017.0,1.0
472,3001,10.0,GIBI,VAN DAM ST,1007835.0,GINKGO,983066.9238,Excellent,10013,1005060046.0,3.0
545,1015,10.0,SOJA,SPRING ST,1087493.0,JAPANESE PAGODA TREE,982000.0401,Excellent,10013,1005947506.0,3.0
537,3003,10.0,PYCA,HUDSON ST,1009742.0,"PEAR, CALLERY",982158.9202,Excellent,10013,1005790047.0,3.0
623,5003,32.0,GIBI,MULBERRY ST,1003083.0,GINKGO,984826.6102,Good,10013,1002360031.0,1.0
699,2004,32.0,GLTR,WEST ST,1087238.0,HONEYLOCUST,979917.2251,Excellent,10009,1000167514.0,1.0
934,1000,50.0,ACPL,1 AV,1005859.0,"MAPLE, NORWAY",988373.7358,Poor,10003,1004360002.0,2.0
339,1003,32.0,ACSA1,W BROADWAY,1007310.0,"MAPLE, SILVER",983544.2458,Excellent,10013,1004870012.0,1.0
51,1016,32.0,OSVI,BROADWAY,1083094.0,EASTERN HOP HORNBEAM,982635.7128,Excellent,10007,1001540001.0,1.0
511,2005,10.0,COMA,KING ST,1008086.0,"CHERRY, CORNELIAN",982949.3167,Poor,10014,1005190014.0,3.0
520,2002,10.0,PYCA,KING ST,1008142.0,"PEAR, CALLERY",983155.4844,Excellent,10014,1005207501.0,3.0
928,3000,50.0,PYCA,1 AV,1005970.0,"PEAR, CALLERY",988773.2781,Good,10003,1004390006.0,2.0
791,4000,50.0,PLAC,E 9 ST,1006428.0,LONDON PLANETREE,987887.6803,Good,10012,1004510054.0,2.0
265,2006,32.0,PLAC,THOMPSON ST,1002947.0,LONDON PLANETREE,982990.626,Excellent,10013,1002270055.0,1.0
827,1001,50.0,PLAC,BOWERY,1008488.0,LONDON PLANETREE,986496.5939,Good,10013,1005300036.0,1.0
720,1001,32.0,UNKNOWN,ELIZABETH ST,1077742.0,UNKNOWN LIVE TREES,985700.955,Good,10013,1004790021.0,1.0
687,2004,32.0,GLTR,WEST ST,1087238.0,HONEYLOCUST,979917.2251,Excellent,10009,1000167514.0,1.0
842,3002,50.0,PLAC,E 10 ST,1006777.0,LONDON PLANETREE,987614.1842,Good,10013,1004650021.0,2.0
522,2002,10.0,ULAM,KING ST,1008131.0,"ELM, AMERICAN",983212.6834,Excellent,10014,1005200045.0,3.0
454,1012,10.0,PS,HUDSON ST,1010374.0,PLANTING SITE,982209.2589,Planting Space,10013,1005970055.0,3.0
19,3000,32.0,TICO,HARRISON ST,1001536.0,"LINDEN, LITTLE LEAF",981330.2107,Good,10013,1001420013.0,1.0
725,2002,32.0,GLTR,GREENWICH ST,1002813.0,HONEYLOCUST,981445.1063,Excellent,10013,1002160001.0,1.0
487,3001,10.0,SOJA,CHARLTON ST,1007826.0,JAPANESE PAGODA TREE,982867.946,Excellent,10014,1005060012.0,3.0
574,1009,32.0,AIAL,WOOSTER ST,1007285.0,TREE OF HEAVEN,983839.9773,Excellent,10012,1004860009.0,1.0
440,1002,10.0,AIAL,WASHINGTON ST,1010356.0,TREE OF HEAVEN,981634.857,Good,10013,1005960001.0,3.0
368,3011,10.0,PYCA,BROOME ST,1088504.0,"PEAR, CALLERY",982612.4143,Excellent,10013,1004770042.0,3.0
83,2001,32.0,FRPE,N MOORE ST,1083157.0,"ASH, GREEN",981330.4271,Excellent,10013,1001420025.0,1.0
61,1016,32.0,OSVI,BROADWAY,1083094.0,EASTERN HOP HORNBEAM,982635.7128,Excellent,10007,1001540001.0,1.0
643,3009,32.0,TICO,Avenue of the Amer,1002736.0,"LINDEN, LITTLE LEAF",982788.0974,Excellent,10003,1002127503.0,1.0
273,2005,32.0,TICO,GRAND ST,1002945.0,"LINDEN, LITTLE LEAF",983180.2489,Excellent,10013,1002270022.0,1.0
287,2001,10.0,UNKDEAD,WATTS ST,1007099.0,UNKNOWN DEAD TREES,982973.9498,Dead,10013,1004760015.0,3.0
361,3016,,PLAC,GRAND ST,,LONDON PLANETREE,1.0,Excellent,0,,
355,2006,32.0,CR,Avenue of the Amer,,"HAWTHORN, OTHER",982816.2466,Excellent,10013,,1.0
1222,3000,10.0,GIBI,SULLIVAN ST,,GINKGO,983785.1523,Excellent,10003,,
278,2009,32.0,UNKSTMP,W BROADWAY,1007060.0,UNKNOWN STUMP,983315.0002,Stump,10013,1004757507.0,1.0
13,2001,32.0,QUPA,N MOORE ST,1083157.0,"OAK, PIN",981330.4271,Poor,10013,1001420025.0,1.0
181,3000,32.0,QUPA,CHAMBERS ST,1066406.0,"OAK, PIN",980845.5519,Excellent,10013,1001420050.0,1.0
369,3011,10.0,COMA,BROOME ST,1000000.0,"CHERRY, CORNELIAN",982642.7384,Excellent,10013,1004770044.0,3.0
890,5001,50.0,COMA,E 10 ST,1006468.0,"CHERRY, CORNELIAN",988035.5416,Good,10003,1004520053.0,2.0
620,1000,32.0,GIBI,SPRING ST,1007138.0,GINKGO,985770.6683,Good,10012,1004780019.0,1.0
223,2006,32.0,QUPA,PARK PL,,"OAK, PIN",980624.981,Good,10007,,
577,1005,32.0,GIBI,SPRING ST,1007622.0,GINKGO,984287.0181,Excellent,10012,1004990037.0,1.0
978,6000,50.0,GIBI,E 14 ST,1006511.0,GINKGO,988499.0866,Good,10003,1004550005.0,2.0
658,3009,32.0,TICO,Avenue of the Amer,1002736.0,"LINDEN, LITTLE LEAF",982788.0974,Excellent,10012,1002127503.0,1.0
551,1018,10.0,PYCA,GREENWICH ST,1076084.0,"PEAR, CALLERY",981711.3252,Excellent,10013,1005957501.0,3.0
587,1003,32.0,PS,WATTS ST,,PLANTING SITE,981500.0827,Planting Space,10013,,
638,3009,32.0,PYCA,Avenue of the Amer,1002736.0,"PEAR, CALLERY",982788.0974,Excellent,10012,1002127503.0,1.0
175,1016,32.0,OSVI,BROADWAY,1083094.0,EASTERN HOP HORNBEAM,982635.7128,Excellent,10007,1001540001.0,1.0
670,3011,32.0,SOJA,W BROADWAY,1002740.0,JAPANESE PAGODA TREE,982734.9363,Excellent,10003,1002127501.0,1.0
678,2001,32.0,GLTR,N MOORE ST,1083157.0,HONEYLOCUST,981330.4271,Excellent,10009,1001420025.0,1.0
