school_name,parent_safety_and_respect,teacher_communication_score,teacher_horizon_academic,safety_and_respect_score,communication_score,parent_academic_expectations,teacher_safety_and_respect,student_academic_expectations,parent_horizon_communication
Pablo Neruda Academy for Architecture and World Studies,7.6,5.1,0.32,6.7,6.0,7.4,6.3,6.6,0.56
George Washington Educational Campus YABC,9.2,8.6,0.89,8.7,7.7,8.6,8.8,7.8,1.0
Jill Chaifetz Transfer High School,8.3,5.5,0.26,7.2,6.5,7.7,6.3,7.3,0.27
High School for Service & Learning at Erasmus,7.7,8.4,0.97,7.2,7.3,7.8,7.8,7.3,0.73
Leadership and Public Service High School,7.9,7.2,0.67,7.3,6.6,7.3,7.6,7.1,0.5
Queens High School for the Sciences at York College,8.6,7.5,0.84,7.9,6.8,7.6,8.0,7.8,0.5
P.S./I.S. 210 - 21st Century Academy for Community Leadership,9.3,7.0,0.7,8.5,7.4,8.6,8.1,8.1,0.98
I.S. 98 Bay Academy,8.6,7.3,0.73,7.8,6.8,7.7,8.2,7.5,0.49
Urban Assembly Academy of Civic Engagement,8.5,6.9,0.73,7.2,7.4,8.5,6.7,7.5,0.93
University Neighborhood High School,7.3,4.5,0.41,6.3,5.6,7.1,5.6,6.9,0.53
Port Richmond High School,7.2,7.0,0.69,6.7,6.2,7.3,7.1,6.7,0.39
M.S. 224 Manhattan East School for Arts & Academics,8.2,6.8,0.65,7.5,7.0,8.3,7.3,8.1,0.78
Validus Preparatory Academy: An Expeditionary Learning School,8.6,6.9,0.74,7.6,6.9,8.2,7.3,7.2,0.84
Isaac Newton Middle School for Math & Science,8.6,8.0,0.88,7.9,7.6,8.4,8.0,8.1,0.85
M.S. 243 Center School,9.3,8.4,0.96,9.1,8.1,9.1,9.7,8.4,0.93
J.H.S. M044 William J. O'Shea,8.2,5.2,0.44,7.1,6.2,7.2,6.3,7.4,0.56
River East Elementary,9.1,6.5,0.56,8.5,7.5,8.8,8.0,,1.0
Bronx Latin,7.6,6.7,0.73,7.1,6.6,7.4,7.7,7.0,0.55
Brooklyn Democracy Academy,9.3,7.1,0.65,8.0,7.4,9.2,7.3,7.7,0.84
DreamYard Preparatory School,8.1,4.9,0.35,6.5,6.2,8.0,5.2,6.9,0.84
Multicultural High School,8.2,5.5,0.54,7.2,6.3,7.6,6.9,6.8,0.84
M.S. 223 The Laboratory School of Finance and Technology,8.9,6.9,0.67,8.0,7.3,8.8,7.8,8.2,0.96
P.S. 207 Elizabeth G. Leary,8.9,8.2,0.91,8.2,7.6,8.5,8.8,7.8,0.81
P.S. 051 Elias Howe,8.9,8.1,0.87,9.0,8.1,8.4,9.1,,0.79
Queens Vocational and Technical High School,8.0,6.4,0.58,7.1,6.1,7.2,6.8,6.8,0.39
Eleanor Roosevelt High School,8.9,7.5,0.89,8.2,7.1,8.1,8.0,7.7,0.67
I.S. 072 Rocco Laurie,7.6,7.8,0.75,7.0,6.7,7.4,7.3,7.5,0.38
High School for Contemporary Arts,8.6,7.8,0.84,7.7,6.9,8.0,7.9,6.9,0.73
"Mathematics, Science Research and Technology Magnet High School",7.5,4.7,0.26,6.5,5.6,7.2,6.0,7.0,0.39
Grace Dodge Career and Technical Education High School,7.6,7.2,0.69,6.8,6.3,7.3,7.0,6.4,0.46
