principal,school_type
Ivan Cohen,High School
Nicholas Politis,YABC
Anne Fennelly,Transfer School
Leonard Kassan,High School
Lawrence Pendergast,High School
Jie Zhang,High School
Evelyn Linares,Elementary/ Middle School
Mrs. Marian Nagler,Middle School
Cameron Berube,Middle School
Robert Miller,High School
Timothy M. Gannon,High School
Liliana Sarro,Middle School
Brady Smith,High School
Lisa Nelson,Middle School
Elaine Schwartz,Middle School
Liza Ortiz,Middle School
Alison Mckenzie,Elementary School
Leticia Pineiro,Middle/ High School
Thomas Mckenna,Transfer School
Rod Bowen,High School
Altagracia Liciaga,High School
Ramon Gonzalez,Middle School
Mary Bosco,Elementary/ Middle School
Nancy Sing Bock,Elementary School
Denise Vittor,High School
Dimitri Saliani,High School
Peter Macellari,Middle School
Francisco Sanchez,High School
Andrea G. Holt,High School
Roberto Hernandez,High School
Donna Gioello,Elementary School
Barbara D. Freeman,Elementary School
Nancy Mann,High School
George Young,Elementary School
Pamela Craig,Elementary School
Geraldine Maione,High School
Stephen Noonan,High School
Alessandro Weiss,High School
Melissa Rodriguez,Elementary School
Brunhilda Perez-Ortiz,Elementary/ Middle School
David Raubvogel,High School
William Cooper,Middle School
Javier Guzman,High School
Ari Hoogenboom,YABC
Alexander Castillo,Middle School
Diahann E. Malcolm,High School
Anne Tully,Middle School
Ron Tabano & Marc Donald,Transfer School
Spencer Holder,High School
Robert Mercedes,Middle School
Delise Jones,Middle School
Marisol Carmen Bradbury,Transfer School
Lajuan White,Middle School
Mathew Willoughby,High School
Jeanette Vargas,Middle School
Aimee Horowitz,High School
Sandye Johnson,Middle/ High School
Nathan Dudley,High School
Neifi Acosta,Middle School
Jeanene Worrell-Breeden,Elementary School
Ron Gorsky,Transfer School
Mark Cannizzaro,Middle School
Winston Mccarthy,Transfer School
William Mulqueen,High School
Ana R. Zambrano-Burakov,High School
Nicholas Politis,High School
Denise Jamison,Middle School
Joseph Frantz Henry,Elementary/ Middle School
Julie Kennedy,Middle School
Carleton Gordon,Middle School
Jonathan Foy,High School
Musa Ali Shama,High School
Arnette Crocker,Middle/ High School
Anne Cohen,Elementary/ Middle School
Dimitres Pantelidis,Elementary/ Middle School
Lovey Mazique-Rivera,Middle School
Laura Galloway,Elementary School
Karen Melendez Hutt,Elementary School
Howard Fineman,Middle/ High School
Charyn Koppelson Cleary,Elementary School
Jacqui Getz,Elementary School
Anne Geiger,High School
Elaine Ruiz Lopez,High School
John Scalice,Middle School
Rahesha Amon,Middle/ High School
Mauriciere Degovia,Middle School
Joseph Miller,Middle School
Matthew Corallo,High School
Harla Joy Musoff-Weiss,Elementary/ Middle School
Jill Bloomberg,Middle/ High School
Andrea Dapolito,Middle School
Harry Sherman,Middle School
Patricia J. Tubridy,Middle/ High School
Kelly Demonaco & Kiri Soares,Middle School
Suzane Joseph,Middle School
Eloise Messineo,High School
Jeffrey Litt,Elementary/ Middle School
Mary Moss& Alisa Berger,High School
Monica Klehr,Middle School
Kenneth Baum,Middle/ High School
Buffie Simmons-Peart,Middle School
Ron Smolkin,Transfer School
Margarita Colon,Elementary School
April Leong,Transfer School
Michael S. Steele,High School
Eddice Mebane-Griffin,Elementary/ Middle School
Linda Hamil,High School
Clemente Lopes,Middle School
Laurie Shapiro,Elementary/ Middle School
Carmen Rivera,Middle School
Pablo Lasalle,Elementary School
Willis Perry,Middle School
Xiomara Nova,Elementary School
Maria N Herrera,High School
Ellen Reddon Flanagan,Middle/ High School
James Waslawski,Elementary/ Middle School
