grade_1,total_enrollment,poverty_2,english_language_learners_1,female_1
113,594,29.3,36,305
0,323,83.9,64,129
0,1476,69.2,18,867
42,203,84.7,6,100
0,225,76.4,9,113
0,815,25.9,19,408
128,638,19.0,31,309
90,850,8.7,14,400
89,613,33.6,68,306
37,155,11.0,0,81
40,252,98.0,24,123
31,152,31.6,27,72
99,653,75.5,225,307
35,335,40.0,10,174
54,272,27.6,50,135
0,1357,33.6,51,645
0,492,25.0,4,230
0,443,81.7,19,190
0,400,27.3,8,210
0,763,33.7,8,373
29,371,87.3,36,182
104,575,72.3,81,259
27,450,92.9,88,209
109,646,10.1,26,344
0,443,84.2,45,245
112,1735,28.2,2,894
0,235,11.9,0,124
0,523,74.2,11,377
0,179,82.1,16,102
0,722,92.8,380,305
0,1798,82.5,46,1679
0,745,88.7,363,346
0,242,69.4,1,199
0,1073,62.2,69,517
0,365,11.2,0,220
0,420,65.2,25,119
0,186,85.5,11,121
0,410,84.1,12,222
0,414,80.9,26,125
0,307,84.7,17,166
0,319,85.3,44,142
69,552,96.6,180,261
91,721,4.0,14,375
0,150,63.3,1,85
48,503,92.0,47,265
0,411,35.8,7,219
0,229,10.9,0,112
157,889,7.5,24,446
0,398,92.0,34,293
63,561,47.1,1,283
0,235,75.7,7,103
0,235,81.3,8,129
57,604,71.2,83,294
63,391,73.7,48,202
79,500,91.0,87,248
59,350,5.1,0,184
73,759,80.1,130,363
0,331,62.5,256,173
32,393,94.9,25,196
0,546,34.4,1,407
0,269,91.1,174,124
0,428,75.9,69,201
0,483,81.2,42,161
0,266,93.6,199,123
35,391,83.9,62,189
46,220,10.9,4,102
0,432,85.9,30,202
0,258,66.7,10,120
14,124,90.3,24,58
0,599,36.7,4,333
0,342,48.8,9,168
71,320,7.5,7,163
0,234,6.4,0,123
48,384,97.7,32,174
90,599,52.1,43,283
0,531,28.4,2,286
0,222,79.3,4,130
0,482,18.9,0,232
52,472,96.2,41,247
0,456,59.0,8,259
0,401,84.0,33,243
0,411,55.0,10,224
59,370,77.3,39,200
64,359,4.2,1,179
0,3296,45.5,2,1359
98,442,3.8,19,213
0,349,73.4,13,176
0,312,89.7,256,153
0,343,88.3,47,148
0,573,32.5,2,286
0,164,95.1,18,82
0,447,63.3,12,166
97,576,9.7,21,282
47,183,92.3,17,84
0,542,93.4,56,183
40,255,46.7,13,130
0,450,66.4,6,268
0,412,30.6,9,232
0,3327,43.1,0,1419
0,141,53.2,2,70
0,270,20.7,3,206
31,320,33.4,3,159
0,441,68.0,24,291
38,285,74.7,25,141
0,149,86.6,10,67
0,559,33.3,390,248
0,74,81.1,3,44
0,534,53.6,14,186
72,279,12.5,13,146
0,138,83.3,26,55
0,495,49.7,2,401
111,1753,27.3,7,885
0,588,92.9,73,188
0,194,68.0,4,88
39,372,80.4,46,173
0,334,85.3,262,169
0,198,89.4,48,109
20,134,92.5,23,60
63,439,90.4,40,214
0,1343,44.2,52,634
0,395,91.6,85,160
0,255,88.2,9,140
29,380,76.3,65,198
0,416,88.7,98,221
0,362,89.0,303,156
0,417,73.4,91,200
42,533,63.2,83,268
0,157,68.2,12,91
0,159,89.3,24,73
0,1134,43.8,47,529
16,231,16.0,1,120
28,214,83.6,14,91
0,354,80.2,41,122
0,305,80.7,19,134
0,971,72.9,104,472
0,1034,66.6,72,487
0,598,72.4,65,291
0,541,21.3,0,327
72,687,85.7,74,326
50,299,22.1,2,144
0,454,72.5,6,276
48,395,60.3,49,177
0,431,92.1,27,298
83,540,58.3,93,265
118,778,14.8,32,393
0,266,87.2,14,142
21,195,64.1,9,97
0,267,73.8,20,137
0,641,73.8,56,356
0,223,60.5,5,98
53,340,46.2,19,163
91,560,73.4,86,257
43,161,7.5,9,77
0,541,30.3,6,212
0,178,71.3,12,80
0,279,81.7,9,148
0,483,87.4,45,153
0,174,76.4,1,89
115,627,10.0,19,329
55,295,48.1,12,140
139,848,10.1,13,421
0,472,69.7,10,101
0,462,75.5,5,265
44,453,73.7,36,230
0,326,82.8,15,192
0,606,63.2,18,342
49,92,18.5,1,38
97,485,36.3,31,230
91,775,73.4,129,380
0,271,77.1,23,138
125,962,46.2,141,473
0,713,37.7,5,362
85,416,53.1,20,201
57,378,21.4,9,202
48,489,86.7,77,216
0,378,82.8,26,116
48,591,70.9,36,299
162,970,48.5,126,470
0,423,82.5,22,197
0,435,83.9,58,213
57,538,50.2,0,270
0,352,73.0,15,174
73,453,58.5,35,232
0,684,74.6,45,395
0,565,36.5,1,423
