school_name,total_students,expgrade_span_max,campus_name,subway,start_time,psal_sports_girls,priority10,grade_span_min
Bronx Leadership Academy II High School,515.0,,Mott Haven Educational Campus,"2, 4, 5 to 149th St-Grand Concourse ; B, D to 161st St-Yankee Stadium",8:30 AM,"Basketball & JV Basketball, Rugby, Softball, Volleyball, Wrestling",,9.0
Brooklyn Preparatory High School,489.0,,Harry Van Arsdale Educational Campus,"G to Metropolitan Ave-Lorimer St ; J, M, Z to Marcy Ave ; L to Bedford Ave",8:20 AM,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Volleyball",,9.0
PROGRESS High School for Professional Careers,1083.0,,Grand Street Educational Campus,L to Grand St,8:00 AM,"Basketball & JV Basketball, Cross Country, Handball, Soccer, Softball, Tennis, Volleyball & JV Volleyball",,9.0
Francis Lewis High School,4058.0,,,,8:30 AM,"Basketball & JV Basketball, Bowling, Cross Country, Fencing, Handball, Indoor Track, JV Volleyball, Outdoor Track, Soccer, Softball & JV Softball, Swimming, Tennis, Volleyball, Wrestling",,9.0
Thurgood Marshall Academy for Learning and Social Change,572.0,,,"2, 3, B, C to 135th St ; A, D to 125th St",8:30 AM,Basketball,,6.0
Epic High School – South,,12.0,,,9:00 AM,Based on student interest.  ,,9.0
Herbert H. Lehman High School.,2059.0,,Herbert H. Lehman Educational Campus,6 to Westchester Sq - East Tremont Ave,8:15 AM,"Basketball & JV Basketball, Bowling, Cross Country, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball & JV Softball, Tennis, Volleyball",,9.0
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,2730.0,,,"1 to 66th St - Lincoln Center ; 2, 3 to 72nd St ; A, B, C, D to 59th St-Columbus Circle",8:00 AM,"Basketball, Bowling, Cross Country, Fencing, Gymnastics, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Volleyball",,9.0
Inwood Early College for Health and Information Technologies,,14.0,,1 to Dyckman St ; A to Dyckman St-200th St,8:30 AM,,,9.0
Frederick Douglass Academy VII High School,328.0,,,3 to Rockaway Ave,9:07 AM,"Basketball, Football, Volleyball",,9.0
Pelham Lab High School,95.0,12.0,Herbert H. Lehman Educational Campus,6 to Westchester Sq - East Tremont Ave,8:00 AM,"Basketball & JV Basketball, Bowling, Cross Country, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball & JV Softball, Tennis, Volleyball",,9.0
High School for Violin and Dance,378.0,,Morris Educational Campus,"2, 5 to Intervale Ave",8:00 AM,"Basketball, Softball, Volleyball",,9.0
Institute for Health Professions at Cambria Heights,82.0,12.0,Campus Magnet Educational Campus,,8:35 AM,"Basketball, Bowling, Gymnastics, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,9.0
Martin Van Buren High School,2096.0,,,,7:45 AM,"Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball & JV Volleyball",,9.0
Mott Haven Village Preparatory High School,344.0,,South Bronx Educational Campus,"2, 5 to Jackson Ave",8:30 AM,"Basketball & JV Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Volleyball & JV Volleyball",,9.0
Richard R. Green High School of Teaching,593.0,,Broadway Educational Campus,"1, R to Rector St ; 1, R to Whitehall St-South Ferry ; 2, 3 to Wall St ; 4, 5 to Bowling Green ; A, C to Fulton St-Broadway-Nassau ; E to World Trade Center ; J, Z to Broad St",8:30 AM,"Basketball, Softball",,9.0
Bronx Envision Academy,239.0,,Herman Ridder Educational Campus,"2, 5 to 174th St",8:25 AM,,,9.0
Beacon High School,1276.0,,,"1 to 66th St - Lincoln Center ; A, B, C, D to 59th St-Columbus Circle",8:00 AM,"Basketball & JV Basketball, Bowling, Cross Country, Fencing, Indoor Track, Outdoor Track, Soccer, Softball, Tennis",,9.0
"Science, Technology and Research Early College High School at Erasmus",532.0,,Erasmus Hall Educational Campus,"2, 5, B, Q to Church Ave",8:00 AM,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Swimming, Tennis, Volleyball",,6.0
Validus Preparatory Academy: An Expeditionary Learning School,374.0,,,,8:15 AM,Softball,,9.0
Brooklyn Lab School,364.0,,Franklin K. Lane Educational Campus,"J, Z to Elderts Lane-75th St",8:22 AM,"Basketball & JV Basketball, Bowling, Softball & JV Softball, Tennis, Volleyball & JV Volleyball",,9.0
Academy for Software Engineering,241.0,,Washington Irving Educational Campus,"1, 2, 3, F, M to 14th St - 6th Ave ; 4, 5, 6, L, N, Q, R to 14th St-Union Square ; L to 3rd Ave",8:45 AM,"Basketball, Softball, Volleyball & JV Volleyball",,9.0
Nelson Mandela School for Social Justice,,12.0,,"A, C to Utica Ave",8:30 AM,"Basketball, Cross Country, Handball, Indoor Track, Outdoor  Track, Soccer, Softball, Tennis, Volleyball",,9.0
The Brooklyn School for Math and Research,203.0,,Bushwick Educational Campus,"L, M to Myrtle Ave-Wyckoff Ave",8:15 AM,"Baseball, Bowling, Soccer, Softball, Volleyball",,9.0
Knowledge and Power Preparatory Academy International High School (Kappa),467.0,,Theodore Roosevelt Educational Campus,"B, D to Fordham Rd",7:30 AM,"Softball, Swimming, Volleyball",,9.0
Millennium High School,619.0,,,"1, R to Whitehall St-South Ferry ; 2, 3 to Wall St ; 4, 5 to Bowling Green ; A, C to Fulton St-Broadway-Nassau ; E to World Trade Center ; J, Z to Broad St",8:30 AM,"Basketball, Swimming",,9.0
New Utrecht High School,3362.0,,,D to 79th St,8:00 AM,"Basketball & JV Basketball, Bowling, Handball, Soccer, Softball & JV Softball, Swimming, Tennis, Volleyball & JV Volleyball",,9.0
World Journalism Preparatory: A College Board School,609.0,,,,8:00 AM,"Basketball & JV Basketball, Bowling, Cross Country, Fencing, Handball, Indoor Track, Outdoor Track, Soccer, Softball & JV Softball, Swimming, Tennis, Volleyball & JV Volleyball",,6.0
The High School for Global Citizenship,256.0,,Prospect Heights Educational Campus,"2, 3, 4, 5, F, S to Botanic Garden ; B, Q to Prospect Park",8:00 AM,"Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball",,9.0
Belmont Preparatory High School,410.0,,Theodore Roosevelt Educational Campus,"B, D to Fordham Rd",8:15 AM,"Basketball, Indoor Track, Softball, Volleyball",,9.0
