grade_8,grade_k,math_l3_l4_1,grade_6,male_2,math_level_4_2
,,s,,s,s
,31,,,0.5476190476190477,
,s,s,,s,s
,,,,s,
,s,s,,s,s
,25,70,,0.532051282051282,0.8169014084507042
,s,,,s,
,11,s,,0.5111111111111111,s
,,,,s,
6,s,s,s,0.4444444444444444,s
,23,,,0.525,
7,,s,12,0.5483870967741935,s
,s,27,,0.425531914893617,0.6060606060606061
,,,,s,
s,,s,s,s,s
,12,,,s,
,7,63,,0.44545454545454544,0.6666666666666666
,16,,,0.38461538461538464,
,s,,,s,
,,,,s,
,s,,,s,
,s,,,s,
,8,s,,0.46875,s
,s,s,,s,s
,10,,,0.5666666666666667,
,s,s,,s,s
,,s,,s,s
,15,s,,0.5151515151515151,s
28,10,s,27,0.5388888888888889,s
,s,s,,0.6,s
,s,s,,s,s
,s,,,s,
,s,,,s,
,17,,,0.7446808510638298,
,s,s,,0.7083333333333334,s
,30,87,,0.4702702702702703,0.7692307692307693
,18,s,,0.43137254901960786,s
,s,,,s,
11,,s,7,0.56,s
,11,s,,0.48717948717948717,s
,16,,,0.4375,
,23,,,0.525,
,13,,,s,
s,,s,,s,s
,s,,,s,
,11,s,7,0.5555555555555556,s
,10,s,,0.43333333333333335,s
,,s,,0.5,s
,,s,8,s,s
52,,s,,0.5822784810126582,s
,,s,,s,s
,,s,s,s,s
,,s,,s,s
,s,,,s,
,6,,,s,
s,,s,,s,s
s,,s,s,s,s
,s,,,0.5384615384615384,
s,,s,s,s,s
,s,,,s,
,,s,8,s,s
s,,s,,s,s
,,,,s,
,s,,,s,
,,7,,0.5384615384615384,s
,17,,,0.5882352941176471,
,35,s,,0.5328467153284672,s
,28,11,,0.5106382978723404,s
,157,96,,0.5253521126760563,0.19215686274509805
,s,s,,s,s
,,s,6,s,s
,s,,,s,
,,s,6,s,s
11,,7,s,s,s
,s,,,s,
,10,,,0.5666666666666667,
,,s,,s,s
,,,,s,
,s,,,0.5161290322580645,
,,s,,s,s
,18,,,0.49056603773584906,
,28,,,0.4943820224719101,
,s,,,s,
,s,s,,0.5714285714285714,s
,8,21,,0.5087719298245614,0.7727272727272727
,,s,,s,s
,,s,,s,s
,,s,,s,s
,,s,,s,s
,s,s,,s,s
,18,,,0.4090909090909091,
,s,s,,0.36363636363636365,s
,s,,,s,
,,6,s,0.52,s
,,s,,s,s
,s,14,,0.6521739130434783,0.625
,,s,,s,s
,s,,,s,
,,8,,0.6,s
,,s,,s,s
,7,s,,0.5471698113207547,s
,s,,,s,
,s,,,s,
,s,,,s,
,s,,,s,
,10,s,s,0.45161290322580644,s
,,s,s,s,s
,,s,,0.6363636363636364,s
,,s,,0.46875,s
10,,s,8,0.375,s
7,,s,s,s,s
,s,s,,0.47368421052631576,s
,,s,,0.4838709677419355,s
,10,s,s,0.45161290322580644,s
,s,s,,s,s
,,s,,s,s
,s,,,s,
,,s,,s,s
,s,,,s,
,s,,,s,
,s,,,s,
,,s,10,s,s
,13,s,,s,s
,,,,s,
,23,84,,0.5174418604651163,0.7752808988764045
16,,s,8,0.4473684210526316,s
,s,,,s,
,,24,,0.2903225806451613,0.36666666666666664
,23,95,,0.5023474178403756,0.9789473684210527
,10,,,0.42857142857142855,
,28,,,0.4943820224719101,
,6,s,,0.5,s
,,,,s,
,s,s,,s,s
s,s,s,s,0.5645161290322581,s
,20,7,,0.4166666666666667,s
,s,,,s,
,12,s,,0.5660377358490566,s
,s,,,0.5333333333333333,
,10,s,,0.5882352941176471,s
17,s,s,8,0.5333333333333333,s
,,51,,0.5340909090909091,0.22988505747126436
,12,,,0.6666666666666666,
,,s,s,s,s
,51,,,0.4864864864864865,
,49,206,,0.4859335038363171,0.6981981981981982
,,s,,s,s
,s,,,s,
,,s,,s,s
,s,9,,0.5454545454545454,s
,s,,,s,
,s,,,s,
,,,,s,
,,s,,s,s
,,s,s,s,s
,,s,,s,s
,s,,,s,
,s,9,,0.6521739130434783,0.5384615384615384
,,s,,s,s
,,9,,0.6,s
,8,,,0.5,
,7,s,,0.3888888888888889,s
,6,22,,0.5510204081632653,0.4
,14,s,,0.5192307692307693,s
24,,s,9,0.5740740740740741,s
,15,,,0.4722222222222222,
,25,70,,0.532051282051282,0.8169014084507042
,,26,,0.4666666666666667,0.7692307692307693
