location_code,geographical_district_code,avgofprop_n,:@computed_region_efsh_h5xi,schools,bin,:@computed_region_sbqj_enih,bbl,engroupa,avgofnocrim_n,avgofoth_n
K670,13,0.75,10369.0,1,3054323.0,74.0,3018880034.0,4C,1.74,1.11
M047,2,,3081.0,2,,,,2C,,
Q014,24,1.39,14510.0,1,4437311.0,68.0,4019540037.0,6C,3.64,2.12
K553,13,0.98,17618.0,3,3051641.0,51.0,3018230038.0,5C,2.38,1.71
K373,14,,4966.0,2,3048352.0,,3017260014.0,3C,,
K041,23,0.63,17614.0,1,3082389.0,46.0,3036040001.0,3C,1.67,0.9
M194,5,,2263.0,3,1060432.0,,1020290011.0,3C,,
K104,20,1.72,10741.0,1,3154775.0,,3060880001.0,7C,5.77,3.02
M084,3,0.98,27946.0,2,1081042.0,,1012050006.0,5C,2.38,1.71
Q008,28,2.55,24668.0,1,4216655.0,61.0,4101780001.0,9C,7.25,3.5
M212,2,0.51,3685.0,1,1025092.0,,1010380014.0,2C,1.71,0.71
K179,20,0.63,1887.0,1,3126001.0,,3053710001.0,3C,1.67,0.9
M452,3,,27330.0,3,1030178.0,,1011480014.0,4C,,
K628,16,,13516.0,2,3047054.0,52.0,3016740011.0,2C,,
M042,2,0.75,32746.0,1,1003998.0,,1003090001.0,4C,1.74,1.11
K285,18,0.63,30177.0,1,3104599.0,,3047440001.0,3C,1.67,0.9
K738,22,,13512.0,4,3203631.0,36.0,3074250002.0,2C,,
R021,31,0.75,10371.0,1,5026335.0,75.0,5011350001.0,4C,1.74,1.11
K078,22,,22350.0,2,3236496.0,,3083880002.0,4C,,
M408,2,,3685.0,2,1025092.0,,1010380014.0,3C,,
K712,16,,4196.0,2,3045047.0,,3016430036.0,2C,,
K147,14,0.75,17213.0,1,3071418.0,56.0,3030910001.0,4C,1.74,1.11
K195,22,0.75,9954.0,1,3246519.0,,3087520035.0,4C,1.74,1.11
M234,2,,11728.0,3,1001533.0,1.0,1001420001.0,3C,,
K580,13,,16865.0,2,3348041.0,54.0,3001310001.0,3C,,
K630,22,,13512.0,4,3203631.0,36.0,3074250002.0,3C,,
X368,10,,11272.0,3,2112838.0,33.0,2057160725.0,3C,,
X434,10,3.63,10936.0,6,2011810.0,31.0,2030590001.0,10C,17.44,7.16
