location_name,location_code,building_name,prop_n,borough,:@computed_region_yeji_bk3q,avgofvio_n
Benjamin Banneker Academy,K670,,1.0,K,1.0,0.53
223 EAST 23 STREET CONSOLIDATED LOCATION,M047,223 EAST 23 STREET CONSOLIDATED LOCATION,,M,,
P.S. 014 Fairview,Q014,,0.0,Q,3.0,1.05
Brooklyn Academy High School,K553,1700 FULTON STREET CONSOLIDATED LOCATION,5.0,K,2.0,0.82
P.S. 373 - Brooklyn Transition Center,K373,325 BUSHWICK AVENUE CONSOLIDATED LOCATION,,K,,
P.S. 041 Francis White,K041,,0.0,K,2.0,0.44
P.S. 194 Countee Cullen,M194,500 WEST 138 STREET CONSOLIDATED LOCATION,,M,,
P.S./I.S. 104 The Fort Hamilton School,K104,,0.0,K,,1.54
P.S. 084 Lillian Weber,M084,219 EAST 109 STREET CONSOLIDATED LOCATION,1.0,M,,0.82
108-35 167 STREET CONSOLIDATED LOCATION,Q008,,2.0,Q,3.0,1.45
P.S. 212 Midtown West,M212,,1.0,M,,0.32
P.S. 179 Kensington,K179,,1.0,K,,0.44
P.S. 452,M452,100 WEST  77 STREET CONSOLIDATED LOCATION,,M,,
Brooklyn Brownstone School,K628,272 MACDONOUGH STREET CONSOLIDATED LOCATION,,K,2.0,
P.S. 042 Benjamin Altman,M042,,0.0,M,,0.53
I.S. 285 Meyer Levin,K285,,0.0,K,,0.44
New Visions Charter High School for Advanced Math,K738,3000 AVENUE X CONSOLIDATED LOCATION,,K,2.0,
P.S. 21 Margaret Emery-Elm Park,R021,,2.0,R,1.0,0.53
J.H.S. 078 Roy H. Mann,K078,1420 East 68 Street CONSOLIDATED LOCATION,,K,,
Professional Performing Arts High School,M408,328 WEST  48 STREET CONSOLIDATED LOCATION,,M,,
EXCELLENCE GIRLS CHARTER SCHOOL(BN),K712,794 MONROE STREET CONSOLIDATED LOCATION,,K,,
P.S. 147 Isaac Remsen,K147,,0.0,K,2.0,0.53
P.S. 195 Manhattan Beach,K195,,0.0,K,,0.53
P.S. 234 Independence School,M234,4600 BROADWAY CONSOLIDATED LOCATION,,M,4.0,
105 TECH PLACE CONSOLIDATED LOCATION,K580,105 TECH PLACE CONSOLIDATED LOCATION,,K,2.0,
Professional Pathways High School,K630,3000 AVENUE X CONSOLIDATED LOCATION,,K,2.0,
In-Tech Academy (M.S. / High School 368),X368,921 EAST 228TH STREET CONSOLIDATED LOCATION,,X,4.0,
Belmont Preparatory High School,X434,2780 RESERVOIR AVENUE CONSOLIDATED LOCATION,1.0,X,5.0,3.94
P.S. M094,M094,,0.0,M,4.0,0.53
1700 FULTON STREET CONSOLIDATED LOCATION,K455,1700 FULTON STREET CONSOLIDATED LOCATION,,K,2.0,
P.S. 158 Bayard Taylor,M158,319 EAST 117 STREET CONSOLIDATED LOCATION,3.0,M,4.0,0.44
325 SOUTH  3 STREET CONSOLIDATED LOCATION,K414,325 SOUTH  3 STREET CONSOLIDATED LOCATION,0.0,K,,0.53
32 WEST  92 STREET CONSOLIDATED LOCATION,M084,32 WEST  92 STREET CONSOLIDATED LOCATION,,M,,
34 WEST 118 STREET,M149,,1.0,M,,0.44
P.S. 031 Samuel F. Dupont,K031,,0.0,K,2.0,0.53
THE SCIENCE AND MEDICINE MIDDLE SCHOOL,K366,,1.0,K,2.0,0.44
999 JAMAICA AVENUE CONSOLIDATED LOCATION,K420,999 JAMAICA AVENUE CONSOLIDATED LOCATION,,K,,
The Mott Hall School,M223,4600 BROADWAY CONSOLIDATED LOCATION,,M,4.0,
333 EAST 151 STREET CONSOLIDATED LOCATION,X600,333 EAST 151 STREET CONSOLIDATED LOCATION,,X,,
P.S. 284 Lew Wallace,K284,,0.0,K,,0.82
Midwood High School,K405,2630 BENSON AVENUE CONSOLIDATED LOCATION,4.0,K,,1.45
P.S. 176 Cambria Heights,Q176,,0.0,Q,,0.82
P.S. M079 - Horan School,M079,,2.0,M,,0.53
P.S. 243K- The Weeksville School,K243,755 EAST 100 STREET,0.0,K,2.0,0.32
4200 16 AVENUE CONSOLIDATED LOCATION,K223,4200 16 AVENUE CONSOLIDATED LOCATION,,K,,
"New Explorations into Science, Technology and Math",M539,,2.0,M,2.0,0.53
Bronx Community High School,X377,1980 LAFAYETTE AVENUE CONSOLIDATED LOCATION,,X,,
Satellite East Middle School,K301,280 HART STREET CONSOLIDATED LOCATION,1.0,K,,0.44
"City Polytechnic High School of Engineering, Archi",K674,105 TECH PLACE CONSOLIDATED LOCATION,,K,2.0,
430 HOWARD AVENUE CONSOLIDATED LOCATION,K012,430 HOWARD AVENUE CONSOLIDATED LOCATION,0.0,K,,0.44
The Highbridge Green School,X361,,0.0,X,5.0,0.44
Elijah Stroud Middle School,K353,750 CLASSON AVENUE CONSOLIDATED LOCATION,,K,2.0,
P.S. 099 Isaac Asimov,K099,,0.0,K,,0.82
P.S. 192 Jacob H. Schiff,M192,,2.0,M,,0.82
The Maurice Sendak Community School,K118,,1.0,K,,0.44
Harlem Renaissance High School,M285,,0.0,M,,0.32
P.S. 173,M173,19 EAST 103 STREET CONSOLIDATED LOCATION,,M,,
Brooklyn School of Inquiry,K686,50 AVENUE P CONSOLIDATED LOCATION,,K,,
P.S. 124 Silas B. Dutcher,K124,,0.0,K,,0.53
P.S. 191 Amsterdam,M191,,1.0,M,,0.44
P.S. 192 - The Magnet School for Math and Science,K192,,3.0,K,2.0,0.32
SUCCESS ACADEMY HIGH SCHOOL OF THE LIBERAL ARTS(MS),M351,131 AVENUE OF THE AMERICAS CONSOLIDATED LOCATION,,M,4.0,
South Brooklyn Community High School,K698,,2.0,K,2.0,0.32
"Collaborative Academy of Science, Technology, & La",M345,220 HENRY STREET CONSOLIDATED LOCATION,,M,,
Brooklyn School for Global Studies,K429,284 BALTIC STREET CONSOLIDATED LOCATION,,K,,
P.S. 011 Purvis J. Behan,K011,,1.0,K,,0.82
P.S. 121 Queens,Q121,,0.0,Q,,0.53
East Brooklyn Community High School,K673,,0.0,K,2.0,0.44
P.S. 001 The Bergen,K001,,0.0,K,,1.54
