male_1,ell_arabic_1,ela_level_3_1,white_1,hispanic_1,ela_test_takers,math_level_4_1,ell_russian,black_1,ell_korean,ela_level_4,math_l3_l4_1,other_1
53.7%,,33.0%,4.1%,67.0%,109,s,,24.5%,,s,s,2.1%
37.5%,,s,26.2%,37.5%,s,s,,30.6%,,s,s,s
53.8%,,s,s,73.3%,46,s,,24.3%,,s,s,s
s,s,s,s,s,s,s,s,s,s,s,s,s
17.8%,,38.8%,10.7%,47.5%,49,s,,33.9%,,s,s,s
s,s,s,s,58.3%,s,s,s,s,s,s,s,s
43.9%,,27.6%,11.7%,46.1%,29,s,,22.8%,,14,s,3.9%
30.7%,,26.1%,6.0%,58.0%,92,s,,20.6%,,s,s,2.8%
25.9%,,37.4%,6.1%,48.5%,107,s,,35.8%,,13,s,5.9%
44.2%,,s,s,72.1%,s,s,,27.9%,,s,s,s
s,,s,s,43.4%,63,s,,54.7%,,s,s,s
54.6%,,s,4.6%,67.9%,59,s,,19.8%,,s,s,3.1%
40.5%,,s,s,64.3%,13,s,,33.3%,,s,s,s
27.3%,,s,50.0%,s,s,s,,27.3%,,s,s,s
48.8%,,s,3.1%,69.2%,70,s,,26.3%,,s,s,s
53.2%,,31.1%,2.5%,68.5%,90,s,,25.1%,,s,s,2.0%
52.9%,,s,s,35.3%,s,s,,41.2%,,s,s,s
s,,s,s,53.8%,s,s,,s,,s,s,s
54.6%,5.9%,s,1.7%,76.8%,21,s,s,14.8%,s,s,s,2.2%
9.8%,,29.4%,s,64.1%,34,s,,30.4%,,s,s,s
39.6%,,30.2%,64.1%,12.2%,116,64.7%,,3.3%,,74,86.8%,3.5%
53.0%,,,8.8%,33.1%,,,,10.1%,,,,2.7%
s,,s,23.0%,37.7%,10,s,,32.8%,,s,s,s
52.6%,,s,31.6%,36.8%,6,s,,s,,s,s,s
56.1%,7.6%,s,5.4%,78.1%,23,s,s,s,s,s,s,s
31.0%,,s,s,40.2%,21,s,,54.0%,,s,s,s
20.3%,,49.5%,14.2%,42.9%,111,6.7%,,30.8%,,s,31.5%,8.6%
41.7%,s,s,s,s,19,s,s,s,s,s,s,s
46.2%,,,s,40.4%,,,,51.9%,,,,s
55.2%,s,s,s,98.3%,6,s,s,s,s,s,s,s
55.6%,,s,s,44.4%,s,s,,33.3%,,s,s,s
48.8%,,26.5%,s,73.4%,83,s,,23.5%,,s,s,1.6%
70.6%,,32.1%,3.1%,59.2%,56,s,,29.4%,,s,s,4.3%
46.2%,,s,s,100.0%,36,s,,s,,s,s,s
35.9%,,s,6.5%,51.1%,s,s,,37.0%,,s,s,s
43.6%,,40.6%,7.9%,47.1%,96,s,,34.6%,,7,s,4.1%
40.0%,,s,s,30.0%,s,s,,55.0%,,s,s,s
s,,s,s,s,s,s,,s,,s,s,s
64.4%,,s,s,78.0%,15,s,,11.9%,,s,s,s
s,,,s,58.3%,,,,s,,,,s
69.8%,,s,s,64.0%,84,s,,30.2%,,s,s,s
52.5%,,s,s,72.5%,8,s,,25.0%,,s,s,s
39.2%,,37.5%,2.0%,5.2%,80,33.8%,,2.0%,,16,74.6%,1.7%
76.3%,,44.6%,3.6%,59.7%,56,s,,25.7%,,s,s,2.8%
29.7%,,25.9%,5.1%,61.9%,85,s,,19.2%,,s,s,1.8%
54.5%,,s,s,100.0%,s,s,,s,,s,s,s
46.2%,,s,s,100.0%,9,s,,s,,s,s,s
40.4%,,41.5%,18.9%,33.8%,106,23.2%,,13.6%,,40,64.6%,4.7%
34.6%,,s,59.6%,17.3%,18,s,,s,,s,s,s
64.3%,,s,s,60.7%,9,s,,32.1%,,s,s,s
36.1%,,s,s,38.9%,10,s,,50.0%,,s,s,s
s,,s,s,s,s,,,s,,s,,s
81.0%,,s,s,57.1%,6,s,,36.5%,,s,s,s
s,,s,s,s,s,s,,s,,s,s,s
69.4%,s,s,s,83.3%,9,s,s,s,s,s,s,s
