ela_level_2_1,black_1,ell_haitian_creole_1,math_level_1,hispanic,grade_8,ell_urdu_1
0.338,s,s,112,201,37,s
0.306,1.6%,,5756,22293,3419,
0.253,5.8%,s,1313,2634,248,0.4%
0.282,21.1%,,901,1606,257,
0.325,23.7%,,4714,10564,1665,
0.325,22.8%,,287,834,85,
0.311,33.2%,,2834,2948,1527,
0.313,72.3%,,2531,2001,1273,
0.336,27.0%,,5720,15240,2440,
0.315,72.7%,,842,813,320,
0.295,20.0%,,347,840,116,
0.335,67.9%,,323,188,197,
0.252,31.8%,,582,1259,562,
0.314,1.1%,s,847,1670,187,3.5%
0.319,33.9%,,404,700,228,
0.285,78.1%,,790,518,609,
0.294,3.1%,0.6%,874,1486,237,2.0%
0.264,14.1%,,1096,3171,782,
0.296,17.3%,,2066,6343,1134,
0.311,72.6%,,528,415,197,
0.32,72.6%,,1032,539,304,
0.318,14.1%,,9008,26856,3747,
0.23,23.7%,,1734,2627,418,
0.331,25.5%,,595,1324,329,
0.276,9.2%,,2572,4989,2100,
0.337,14.0%,,3395,3942,1027,
0.254,3.3%,0.8%,841,1581,222,s
0.311,16.9%,,4774,9130,2392,
0.273,19.8%,,3185,6623,2519,
0.309,20.1%,,3904,10586,1744,
0.343,29.7%,,401,731,124,
0.348,8.7%,,517,640,226,
0.304,36.4%,,411,594,176,
0.202,5.9%,,471,751,1054,
0.305,22.0%,,4484,10326,2688,
0.327,0.4%,0.2%,1757,2340,651,2.9%
0.329,38.9%,,1346,956,377,
0.244,7.8%,,3059,5878,3082,
0.274,38.0%,,2457,2821,669,
0.31,88.9%,,384,124,234,
