math_level_2,ela_level_1,ell_spanish,ela_level_3_1,grade_3,female,ell_french,other,math_level_4_1,ela_l3_l4
50,113,199.0,s,58,207,s,s,13.1%,s
5448,5482,,27.4%,3756,15605,,255,19.9%,8787
388,1226,2646.0,s,382,1378,63,19,1.1%,s
310,878,,10.8%,300,911,,28,4.3%,209
2557,3971,,19.5%,1845,7394,,242,8.0%,2520
193,245,,21.5%,138,622,,18,10.9%,203
2689,2396,,28.5%,1869,7698,,336,20.9%,4360
1720,1918,,26.8%,1144,5108,,243,15.1%,2793
3843,4861,,22.2%,2517,10695,,174,9.9%,4047
424,430,,26.4%,324,1476,,133,27.2%,1084
497,1231,1933.0,6.3%,438,1483,71,38,2.5%,120
2477,3291,,23.0%,1679,7226,,279,11.9%,3019
765,2176,,8.1%,637,1905,,49,2.2%,332
145,380,973.0,s,145,583,9,14,3.6%,s
1039,894,,30.9%,885,4072,,243,36.5%,3231
833,1392,3607.0,10.6%,605,2272,s,39,4.3%,285
763,1262,1189.0,10.5%,511,2011,s,45,11.1%,262
484,437,,28.0%,217,1238,,26,18.5%,906
2963,2572,,32.2%,2769,12391,,415,39.3%,9624
3405,2725,,29.3%,2057,9455,,260,24.5%,6269
181,284,167.0,16.6%,178,665,s,14,24.9%,112
1047,3073,,8.6%,926,2623,,70,2.5%,491
541,676,,25.7%,437,1678,,57,13.6%,689
142,179,,27.4%,132,592,,27,25.4%,300
1077,1501,,20.9%,730,2948,,146,10.8%,1333
303,779,,11.5%,298,873,,44,4.3%,225
185,220,,23.7%,121,469,,15,7.4%,202
359,547,,18.7%,268,1128,,47,9.7%,352
226,499,677.0,9.2%,187,719,24,20,4.6%,88
206,695,,6.2%,180,550,,13,1.7%,80
62,34,,33.7%,40,209,,12,41.7%,177
163,195,,25.5%,171,557,,21,13.5%,189
481,576,,21.9%,167,1119,,33,11.0%,555
176,586,1451.0,s,206,706,s,8,1.1%,s
897,2051,,12.0%,690,2023,,248,5.5%,553
2137,2021,,32.0%,1929,8557,,191,36.6%,6174
619,713,,23.7%,462,1751,,24,13.6%,634
1654,3241,8405.0,8.2%,1406,4816,11,52,3.5%,479
155,161,,27.1%,84,526,,57,22.2%,353
