bk_cypress_hills_city_line,bx_woodlawn_wakefield,qn_ft_totten_bay_terrace,bx_fordham_south,bx_longwood,bk_west_brighton,qn_woodhaven,qn_queensbridge_ravenswood,bk_north_side_south_side,bk_ocean_parkway_south,borough,bx_rikers_island,bk_rugby_remsen_village,qn_glen_oaks_floral_park,bx_allerton_pelham_gardens,bx_mott_haven_port_morris,bk_prospect_heights,si_port_richmond,bx_co_op_city,mn_lenox_hill_roosevelt_island,bx_van_nest_morris_park,bx_belmont,bx_williamsbridge_olinville,bk_fort_greene,mn_central_harlem_north_polo,bk_sunset_park_east,qn_north_corona,qn_astoria,qn_elmhurst,qn_elmhurst_maspeth,bk_bay_ridge,si_todt_hill_emerson_hill,mn_clinton,qn_baisley_park,organization_city_agency,qn_st_albans,bk_east_williamsburg,qn_ozone_park,qn_richmond_hill,bk_east_flatbush_farragut,bx_east_tremont,qn_douglas_manor_douglaston,mn_midtown_midtown_south,bx_spuyten_duyvil_kingsbridge,bk_east_new_york,mn_battery_park_city_lower,mn_hamilton_heights
,,,,,,,,,,MANHATTAN,,,,,,,Port Richmond,,,,,,,,,,,,,,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,,,Pace University,,,,,,,,,,,,
,,,,,,,,,,STATEN IS,,,,,,,,,,,,,,,,,,,,,,,,SCORE - Staten Island,,,,,,,,,,,,
,,,,,,,,,,STATEN IS,,,,,,,,,,,,,,,,,,,,,,,,Project Hospitality,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bay Ridge,,,,Playworks Education Energized,,,,,,,,,,,,
,,,,,,,,,,QUEENS,,,,,,,,,,,,,,,,,,,,,,,,Brooks Senior Center,,,,,,,,,,,,
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,PSS,,,,,,,,,,,,
,,,,,,,,,,QUEENS,,,,,,,,,,,,,,,,,,,,,,,,Sunnyside Community Services,,,,,,,,,,,,
Cypress Hills-City Line,Woodlawn-Wakefield,Ft. Totten-Bay Terrace-Clearview,Fordham South,Longwood,West Brighton,Woodhaven,Queensbridge-Ravenswood-Long Island City,North Side-South Side,Ocean Parkway South,QUEENS,Rikers Island,Rugby-Remsen Village,Glen Oaks-Floral Park-New Hyde Park,Allerton-Pelham Gardens,Mott Haven-Port Morris,Prospect Heights,Port Richmond,Co-op City,Lenox Hill-Roosevelt Island,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,Fort Greene,Central Harlem North-Polo Grounds,Sunset Park East,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,Bay Ridge,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Clinton,Baisley Park,"New York City Department of Environmental Protection, Organizational Development and Human Resources",St. Albans,East Williamsburg,Ozone Park,Richmond Hill,East Flatbush-Farragut,East Tremont,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,East New York,Battery Park City-Lower Manhattan,Hamilton Heights
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,Fort Greene,,,,,,,,,,,Trees New York,,,,,,,,,,,,
,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,,,,,"My Friends Place NY, Inc.",,,,,,,,,,,,
,Woodlawn-Wakefield,,Fordham South,Longwood,,,,,,MANHATTAN,Rikers Island,,,Allerton-Pelham Gardens,Mott Haven-Port Morris,,,Co-op City,Lenox Hill-Roosevelt Island,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,,Central Harlem North-Polo Grounds,,,,,,,,Clinton,,Historic Districts Council,,,,,,East Tremont,,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,,Battery Park City-Lower Manhattan,Hamilton Heights
,,,,,,,Queensbridge-Ravenswood-Long Island City,,,BRONX,,,,,Mott Haven-Port Morris,,,,,,,,,,,,,,,,,,,South Bronx United,,,,,,,,,,East New York,,
,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,Central Harlem North-Polo Grounds,,,,,,,,,,Grupo Juego y Lectura de Sunset Park,,,,,,,,,,,,
,,,,,,,,,,MANHATTAN,,,,,Mott Haven-Port Morris,,,Co-op City,,,,,,Central Harlem North-Polo Grounds,Sunset Park East,,,Elmhurst,Elmhurst-Maspeth,Bay Ridge,,,,"Selfhelp Community Services, Inc. - Holocaust Survivor Program",,East Williamsburg,,Richmond Hill,East Flatbush-Farragut,East Tremont,,,,East New York,,
,Woodlawn-Wakefield,,,,,,,,,MANHATTAN,,,,Allerton-Pelham Gardens,,,,Co-op City,,Van Nest-Morris Park-Westchester Square,,Williamsbridge-Olinville,,,,,,,,,,,,Lighthouse Guild International,,,,,,,,,Spuyten Duyvil-Kingsbridge,,,
,Woodlawn-Wakefield,Ft. Totten-Bay Terrace-Clearview,Fordham South,Longwood,,Woodhaven,Queensbridge-Ravenswood-Long Island City,,,BROOKLYN,Rikers Island,,Glen Oaks-Floral Park-New Hyde Park,Allerton-Pelham Gardens,Mott Haven-Port Morris,,Port Richmond,Co-op City,Lenox Hill-Roosevelt Island,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,,Central Harlem North-Polo Grounds,,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Clinton,Baisley Park,READ 718,St. Albans,,Ozone Park,Richmond Hill,,East Tremont,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,,Battery Park City-Lower Manhattan,Hamilton Heights
Cypress Hills-City Line,Woodlawn-Wakefield,Ft. Totten-Bay Terrace-Clearview,Fordham South,Longwood,West Brighton,Woodhaven,Queensbridge-Ravenswood-Long Island City,North Side-South Side,Ocean Parkway South,BROOKLYN,Rikers Island,Rugby-Remsen Village,Glen Oaks-Floral Park-New Hyde Park,Allerton-Pelham Gardens,Mott Haven-Port Morris,Prospect Heights,Port Richmond,Co-op City,Lenox Hill-Roosevelt Island,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,Fort Greene,Central Harlem North-Polo Grounds,Sunset Park East,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,Bay Ridge,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Clinton,Baisley Park,Bonnie Youth Club (aka Bonnie Boys Club),St. Albans,East Williamsburg,Ozone Park,Richmond Hill,East Flatbush-Farragut,East Tremont,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,East New York,Battery Park City-Lower Manhattan,Hamilton Heights
Cypress Hills-City Line,Woodlawn-Wakefield,Ft. Totten-Bay Terrace-Clearview,Fordham South,Longwood,West Brighton,Woodhaven,Queensbridge-Ravenswood-Long Island City,North Side-South Side,Ocean Parkway South,BROOKLYN,Rikers Island,Rugby-Remsen Village,Glen Oaks-Floral Park-New Hyde Park,Allerton-Pelham Gardens,Mott Haven-Port Morris,Prospect Heights,Port Richmond,Co-op City,Lenox Hill-Roosevelt Island,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,Fort Greene,Central Harlem North-Polo Grounds,Sunset Park East,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,Bay Ridge,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Clinton,Baisley Park,Sephardic Multi Service Senior Center,St. Albans,East Williamsburg,Ozone Park,Richmond Hill,East Flatbush-Farragut,East Tremont,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,East New York,Battery Park City-Lower Manhattan,Hamilton Heights
Cypress Hills-City Line,Woodlawn-Wakefield,Ft. Totten-Bay Terrace-Clearview,Fordham South,Longwood,West Brighton,Woodhaven,Queensbridge-Ravenswood-Long Island City,North Side-South Side,Ocean Parkway South,MANHATTAN,Rikers Island,Rugby-Remsen Village,Glen Oaks-Floral Park-New Hyde Park,Allerton-Pelham Gardens,Mott Haven-Port Morris,Prospect Heights,Port Richmond,Co-op City,Lenox Hill-Roosevelt Island,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,Fort Greene,Central Harlem North-Polo Grounds,Sunset Park East,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,Bay Ridge,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Clinton,Baisley Park,StreetWise Partners,St. Albans,East Williamsburg,Ozone Park,Richmond Hill,East Flatbush-Farragut,East Tremont,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,East New York,Battery Park City-Lower Manhattan,Hamilton Heights
,,,Fordham South,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,Canaan Senior Service Center,,,,,,,,,,,,
,,,,,,,,,,BRONX,,,,,,,,,,,,,,,,,,,,,,,,Bronx Rockets,,,,,,,,,,,,
,,,,Longwood,,,,,,MANHATTAN,,,,,,Prospect Heights,,,,,,,,,,,,,,,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,,,Union Settlement - Senior Services,,,Ozone Park,,East Flatbush-Farragut,,,,,East New York,,
Cypress Hills-City Line,Woodlawn-Wakefield,Ft. Totten-Bay Terrace-Clearview,Fordham South,Longwood,West Brighton,Woodhaven,Queensbridge-Ravenswood-Long Island City,North Side-South Side,Ocean Parkway South,MANHATTAN,Rikers Island,Rugby-Remsen Village,Glen Oaks-Floral Park-New Hyde Park,Allerton-Pelham Gardens,Mott Haven-Port Morris,Prospect Heights,Port Richmond,Co-op City,Lenox Hill-Roosevelt Island,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,Fort Greene,Central Harlem North-Polo Grounds,Sunset Park East,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,Bay Ridge,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Clinton,Baisley Park,New York Institute of Technology,St. Albans,East Williamsburg,Ozone Park,Richmond Hill,East Flatbush-Farragut,East Tremont,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,East New York,Battery Park City-Lower Manhattan,Hamilton Heights
,,,,,,,Queensbridge-Ravenswood-Long Island City,,,BROOKLYN,,,,,,,Port Richmond,Co-op City,,,Belmont,,,Central Harlem North-Polo Grounds,,,,,,,,,Baisley Park,Spanish Speaking Elderly Council-RAICES,St. Albans,,Ozone Park,,,East Tremont,,,,East New York,,
Cypress Hills-City Line,Woodlawn-Wakefield,Ft. Totten-Bay Terrace-Clearview,Fordham South,Longwood,West Brighton,Woodhaven,Queensbridge-Ravenswood-Long Island City,North Side-South Side,Ocean Parkway South,QUEENS,Rikers Island,Rugby-Remsen Village,Glen Oaks-Floral Park-New Hyde Park,Allerton-Pelham Gardens,Mott Haven-Port Morris,Prospect Heights,Port Richmond,Co-op City,Lenox Hill-Roosevelt Island,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,Fort Greene,Central Harlem North-Polo Grounds,Sunset Park East,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,Bay Ridge,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Clinton,Baisley Park,HarborLAB,St. Albans,East Williamsburg,Ozone Park,Richmond Hill,East Flatbush-Farragut,East Tremont,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,East New York,Battery Park City-Lower Manhattan,Hamilton Heights
