male,students_with_disabilities_1,poverty,black_1,grade_8,english_language_learners
271,0.056,45,0.036,74,0
181,0.081,336,0.132,0,3
904,0.098,422,0.074,139,22
135,0.207,272,0.336,0,13
187,0.216,120,0.127,134,7
414,0.193,132,0.053,0,34
197,0.291,314,0.259,42,50
204,0.191,117,0.128,0,17
193,0.211,323,0.266,0,39
379,0.192,134,0.06,0,23
166,0.182,423,0.251,0,22
157,0.15,329,0.113,0,7
157,0.176,86,0.053,0,4
98,0.198,162,0.481,0,4
532,0.13,1365,0.157,0,76
369,0.187,117,0.106,58,7
284,0.217,265,0.196,0,10
139,0.123,188,0.227,32,1
115,0.407,172,0.245,90,17
226,0.364,Above 95%,0.329,53,30
370,0.24,335,0.253,0,20
225,0.194,442,0.399,0,22
133,0.262,229,0.304,0,5
252,0.239,308,0.242,0,37
114,0.252,204,0.553,12,10
178,0.25,204,0.115,0,83
90,0.255,229,0.54,16,9
198,0.198,185,0.123,0,5
756,0.178,428,0.068,467,41
390,0.202,257,0.114,89,8
163,0.032,358,0.022,0,54
71,0.05,79,0.191,25,2
299,0.155,74,0.022,0,17
346,0.245,301,0.168,0,5
200,0.368,Above 95%,0.156,0,26
122,0.215,232,0.383,0,13
461,0.15,253,0.069,0,24
201,0.298,197,0.16,52,48
156,0.152,206,0.208,35,1
174,0.275,251,0.16,122,14
212,0.258,246,0.228,0,35
437,0.102,368,0.004,0,238
302,0.135,211,0.114,21,101
280,0.268,356,0.311,54,23
91,0.258,161,0.274,0,8
231,0.22,352,0.125,0,61
145,0.086,Above 95%,0.037,0,184
215,0.224,350,0.229,0,45
372,0.259,321,0.228,0,19
166,0.418,273,0.215,0,26
129,0.267,214,0.169,0,4
182,0.169,302,0.136,0,6
165,0.175,1321,0.304,0,51
89,0.224,147,0.276,0,8
247,0.255,408,0.06,139,142
144,0.151,45,0.01,128,1
198,0.294,217,0.266,0,19
145,0.304,217,0.204,0,13
312,0.147,55,0.02,0,7
307,0.182,53,0.029,0,16
292,0.154,69,0.013,0,28
197,0.187,24,0.012,0,16
298,0.176,282,0.164,0,40
49,0.257,160,0.307,0,9
143,0.183,215,0.571,0,8
211,0.221,341,0.252,0,29
353,0.167,44,0.02,0,22
267,0.034,56,0.043,62,1
291,0.192,386,0.215,0,15
87,0.271,128,0.243,0,20
439,0.328,348,0.202,90,17
175,0.185,99,0.136,133,13
269,0.249,261,0.209,0,5
291,0.228,Above 95%,0.053,0,180
451,0.128,154,0.081,282,14
330,0.234,591,0.125,0,69
103,0.33,165,0.185,0,5
97,0.152,26,0.054,0,4
279,0.233,409,0.349,0,22
285,0.179,67,0.027,0,34
378,0.256,311,0.216,0,22
196,0.12,267,0.147,0,2
171,0.253,157,0.103,0,11
192,0.155,358,0.322,0,22
118,0.26,173,0.426,58,9
305,0.052,213,0.165,84,5
142,0.21,230,0.295,0,14
203,0.134,223,0.262,0,10
225,0.226,394,0.18,0,49
304,0.212,353,0.079,0,88
868,0.047,478,0.087,137,7
171,0.245,Above 95%,0.76,56,37
302,0.431,384,0.217,0,84
89,0.212,145,0.358,0,11
194,0.29,194,0.113,0,21
155,0.197,66,0.087,0,2
143,0.0,249,0.109,0,199
184,0.041,180,0.158,0,230
320,0.201,Above 95%,0.056,0,191
229,0.187,437,0.275,0,27
226,0.078,121,0.04,0,1
294,0.193,56,0.019,0,21
339,0.127,365,0.0,0,172
290,0.257,321,0.35,0,29
45,0.169,162,0.287,0,1
159,0.162,94,0.045,0,5
74,0.161,17,0.045,0,0
413,0.16,97,0.028,0,38
155,0.431,263,0.26,0,24
433,0.193,573,0.244,0,44
112,0.2,172,0.276,0,9
96,0.333,196,0.3,0,31
164,0.03,339,0.018,0,58
205,0.425,330,0.354,0,35
101,0.335,175,0.606,74,13
200,0.242,291,0.279,0,74
212,0.158,31,0.032,145,0
348,0.229,297,0.176,0,11
211,0.252,246,0.123,0,100
374,0.183,270,0.111,102,6
28,0.422,59,0.188,0,4
104,0.209,42,0.102,0,25
452,0.183,586,0.221,0,39
230,0.165,Below 5%,0.019,0,19
418,0.173,366,0.004,0,127
114,0.273,55,0.062,75,4
145,0.214,132,0.04,93,9
318,0.156,65,0.013,0,11
157,0.141,326,0.12,0,5
136,0.296,187,0.223,0,49
186,0.254,222,0.096,127,31
50,0.351,Above 95%,0.546,0,15
156,0.166,52,0.051,94,3
191,0.181,325,0.385,0,26
245,0.179,151,0.055,0,2
147,0.236,264,0.396,0,14
151,0.174,259,0.199,0,46
416,0.187,114,0.045,0,22
124,0.26,Above 95%,0.591,27,40
433,0.075,646,0.3,0,389
306,0.24,376,0.285,0,34
137,0.151,75,0.085,0,49
213,0.155,106,0.026,0,0
510,0.136,1399,0.147,0,79
106,0.119,132,0.335,0,4
138,0.175,232,0.232,0,33
111,0.261,69,0.087,76,3
303,0.112,172,0.114,30,97
247,0.194,157,0.231,76,0
98,0.549,125,0.215,7,9
384,0.208,165,0.057,0,24
135,0.41,183,0.209,0,8
210,0.029,250,0.161,0,0
128,0.261,344,0.276,0,35
60,0.064,67,0.177,19,5
285,0.289,382,0.314,36,47
280,0.152,159,0.024,184,4
203,0.156,352,0.242,0,10
177,0.221,322,0.162,0,25
97,0.246,53,0.071,0,4
423,0.194,627,0.093,113,131
134,0.234,265,0.367,0,16
405,0.282,714,0.243,100,91
243,0.118,292,0.065,0,8
205,0.142,185,0.173,0,5
200,0.325,287,0.118,56,45
213,0.175,Below 5%,0.022,0,16
71,0.033,85,0.25,23,0
436,0.195,600,0.237,0,48
242,0.243,326,0.137,0,63
164,0.234,260,0.28,0,46
429,0.117,202,0.086,282,9
200,0.278,309,0.248,0,45
252,0.073,466,0.004,0,247
72,0.224,97,0.399,41,16
74,0.336,124,0.537,0,23
147,0.25,265,0.306,0,12
329,0.114,121,0.061,0,31
146,0.282,219,0.39,0,13
409,0.118,621,0.332,0,365
175,0.196,82,0.113,0,12
352,0.187,Below 5%,0.016,0,16
194,0.135,226,0.058,0,1
325,0.164,215,0.02,181,8
210,0.203,343,0.261,0,51
155,0.257,280,0.295,0,24
278,0.053,264,0.248,52,1
295,0.173,118,0.055,0,20
214,0.254,360,0.186,0,38
82,0.226,182,0.005,64,61
262,0.118,129,0.191,75,4
0,0.168,154,0.492,0,13
253,0.037,341,0.244,0,354
214,0.235,363,0.276,0,16
366,0.224,265,0.285,0,16
282,0.096,63,0.025,59,0
106,0.289,163,0.269,0,23
148,0.271,231,0.345,0,12
302,0.163,65,0.024,0,28
373,0.218,301,0.114,94,8
89,0.278,184,0.01,64,48
241,0.311,418,0.267,78,88
453,0.167,396,0.008,0,137
114,0.11,29,0.148,56,0
65,0.237,159,0.269,0,11
278,0.19,356,0.335,0,20
192,0.159,383,0.318,0,8
216,0.148,351,0.24,0,35
109,0.347,247,0.283,0,18
238,0.095,47,0.054,0,0
255,0.028,335,0.266,0,374
170,0.284,299,0.325,0,31
169,0.308,260,0.286,0,34
183,0.266,328,0.275,51,47
174,0.204,30,0.024,0,4
225,0.248,Above 95%,0.752,58,41
415,0.275,732,0.26,98,85
61,0.108,91,0.271,0,0
182,0.286,228,0.109,129,24
185,0.202,244,0.251,0,16
357,0.23,273,0.247,0,17
214,0.142,120,0.033,0,0
314,0.184,133,0.048,0,15
359,0.247,506,0.367,0,56
316,0.13,298,0.119,0,25
96,0.331,144,0.251,84,20
266,0.178,196,0.117,0,44
124,0.223,224,0.287,0,9
363,0.204,533,0.084,111,89
178,0.17,385,0.331,0,28
329,0.153,164,0.018,174,6
197,0.392,330,0.161,65,27
576,0.162,484,0.075,377,54
226,0.18,349,0.274,0,22
175,0.0,298,0.175,0,255
392,0.217,299,0.111,103,13
119,0.188,212,0.23,0,11
173,0.289,213,0.209,0,20
213,0.127,237,0.098,0,14
183,0.299,182,0.079,122,17
