permitid,fullapplicationno,axle2weight,totalnoofaxle,axle3loadrating,loadindescription,axle4space,loadoutheight,vehicletype,loadoutdescription,overalllength,leasecompanyname,vehicletypeother,steeringnooftires
3245,New1-2015116-84,36000.0,2.0,,,,,,,41.05,,,
4123,con-2015821-872,23000.0,3.0,24020.0,,,,Other Single,,34.0,,Utility,2.0
2560,Bov-2014814-830,,,,,,,Tractor Trailer,,,,,
2467,ISL-201472-737,,,,,,,Tractor Trailer,,,,,
6621,Atl-20171128-729,23294.0,3.0,,,,,,,27.09,,,
2561,NEW3-2014814-831,29500.0,3.0,26600.0,,,,Dump Truck,,28.0,,,2.0
3992,Cor1-201588-831,23000.0,3.0,5750.0,,,,Cement Truck,,29.01,,,2.0
2736,con-2014922-1006,23000.0,3.0,5750.0,,,,Other Single,,34.0,,tank,2.0
2489,The1-201478-759,25000.0,3.0,7660.0,,,,Dump Truck,,31.06,,,2.0
4269,NYC1-20151019-1018,,,,Bulk Raw Milk,,11.06,,Empty,,,,
3937,NYC1-2015720-776,,,,Raw Bulk Milk,,12.03,,Empty,,,,
2711,con-2014919-981,23000.0,3.0,5750.0,,,,Other Single,,34.0,,UTILITY,2.0
3052,Lon-20141210-1322,10355.0,4.0,,,4.06,,,,33.06,,,
2921,K &-2014117-1191,29500.0,3.0,32400.0,,,,Dump Truck,,26.0,,,2.0
3736,L&M-2015525-575,21000.0,4.0,,,4.06,,,,45.0,,,
2634,SJ-2014915-904,26000.0,3.0,8800.0,,,,Other Single,,34.05,,,2.0
3274,Cra-2015122-113,36700.0,2.0,,,,,,,43.07,,,
3981,NYC1-201586-820,,,,Bulk Raw Milk,,11.06,,Empty,,,,
4156,CAS1-2015831-905,28640.0,3.0,28640.0,,,,Cement Truck,,33.06,,,2.0
3459,Wor-2015317-298,,,,Bulk Raw Milk,,12.03,,Empty,,,,
4426,con-2015112-1175,23000.0,3.0,5750.0,,,,Other Single,,34.0,,UTILITY,2.0
2716,con-2014919-986,23000.0,3.0,5750.0,,,,Dump Truck,,34.0,,,2.0
4468,con-2015113-1217,23000.0,3.0,5750.0,,,,Other Single,,34.0,,VACTOR,2.0
3055,Bay-20141211-1325,33000.0,2.0,,,,,,,41.02,,,
2453,Wor-2014626-723,,,,Bulk Raw Milk,,12.03,,Empty,,,,
4451,con-2015112-1200,23000.0,3.0,5750.0,,,,Other Single,,34.0,,tank truck,2.0
2970,Wor-20141125-1240,,,,Bulk Raw Milk,,11.06,,Empty,,,,
3750,Yon-2015529-589,,,,,,,Tractor Trailer,,,,,
4472,con-2015113-1221,23000.0,3.0,24050.0,,,,Other Single,,34.0,,utility,2.0
2546,Val-2014811-816,29000.0,3.0,8800.0,,,,Other Single,,31.03,,CONCRETE MIXER,2.0
2855,con-20141020-1125,23000.0,3.0,24020.0,,,,Other Single,,30.0,,STAK,2.0
5438,Bed-2016928-710,,,,,,,Tractor Trailer,,,Bedford Carp Construction Corp,,
