tru,start_date,end_date,latitude,council_district,facility_aka,acm_type,street_activity
TRU1035BX22,2022-08-08T00:00:00.000,2023-07-26T00:00:00.000,40.870293,11.0,MS/HS 3420 @ Walton HS (X430),Red paint  on steel beam,No
TRU0764BK24,2024-06-26T00:00:00.000,2025-04-18T00:00:00.000,40.685695,41.0,K005,Lintel Caulking,No
TRU0817MN24,2024-05-09T00:00:00.000,2025-04-08T00:00:00.000,40.797342,7.0,Douglass I Bldg. # 9,Lintel as ACM,No
TRU0282BK22,2022-03-22T00:00:00.000,2023-02-10T00:00:00.000,40.710689,34.0,"NYCHA Williamsburg, Bld. #2, SH #12",Pipe Insulation at Bathroom & Kitchen Riser,No
TRU0061BX22,2022-01-24T00:00:00.000,2023-01-11T00:00:00.000,40.826624,17.0,Melrose Public Library,Pipe Insulation,No
TRU0698BK24,2024-05-06T00:00:00.000,2025-04-10T00:00:00.000,40.57364,47.0,Bldg SG-1-Coney Island Houses GR 1904063,Tank Insulation,No
TRU1749BK19,2019-10-15T00:00:00.000,2020-10-13T00:00:00.000,40.57762,47.0,"Carey Gardens (2824,2834,2836)",Floor Tile and Mastic,No
TRU2268MN20,2021-01-13T00:00:00.000,2021-12-28T00:00:00.000,40.755236,4.0,,VAT & Associated Mastic,No
TRU2188BK25,2025-12-08T00:00:00.000,2026-11-18T00:00:00.000,40.668475,41.0,PS 396/327,Door insulation,No
TRU0812BK22,2022-04-28T00:00:00.000,2023-04-24T00:00:00.000,40.573956,47.0,Coney Island Site 4&5,Floor Tile & Mastic,No
TRU2704MN25,2025-11-28T00:00:00.000,2026-11-10T00:00:00.000,40.771149,5.0,,Waterproofing tar at shelf angle,No
TRU1515MN24,2024-07-29T00:00:00.000,2025-06-30T00:00:00.000,40.777819,6.0,,Concealed Vertical Pipe Insulation,No
TRU0711QN21,2021-07-14T00:00:00.000,2022-07-01T00:00:00.000,40.751866,26.0,,VAT and mastic,No
TRU0037BK25,2025-01-27T00:00:00.000,2026-01-09T00:00:00.000,40.649425,42.0,Breukelen Houses - Bldg 14,VAT,No
TRU2347MN24,2024-10-07T00:00:00.000,2025-09-22T00:00:00.000,40.691201,1.0,NY Harbor School Annex,Exterior Window Caulking,No
TRU6203MN17,2017-12-19T00:00:00.000,2018-12-11T00:00:00.000,40.752003,4.0,New York Public Library,Pipe Insulation,No
TRU0979BK25,2025-08-05T00:00:00.000,2026-06-05T00:00:00.000,40.693835,35.0,Whitman Houses Bldg.#15,Exterior Window Caulking,No
TRU2203MN19,2019-09-03T00:00:00.000,2020-08-13T00:00:00.000,40.762083,4.0,,ACM Caulking,No
TRU1252BK25,2025-09-10T00:00:00.000,2026-07-15T00:00:00.000,40.670554,42.0,Bldg 2,Exposed horizontal pipe Insulation,No
TRU2679MN25,2026-03-16T00:00:00.000,2026-11-05T00:00:00.000,40.758224,4.0,,Concealed Vertical Pipe Insulation ,No
TRU1635BK21,2021-10-20T00:00:00.000,2022-10-11T00:00:00.000,40.57417,47.0,Bldg OG4-Coney Island Houses GR 1904063,Tank Insulation,No
TRU0713MN21,2021-04-22T00:00:00.000,2022-04-14T00:00:00.000,40.760549,4.0,,Perimeter Wall Tar,No
TRU0517BK21,2021-05-25T00:00:00.000,2022-04-13T00:00:00.000,40.649601,42.0,"NYCHA Breukelen, Bld. #7 - Contract RF1625124",Bricks Contam. with ACM Tar / Flashing at Lintel,No
TRU1279MN19,2019-06-03T00:00:00.000,2020-05-20T00:00:00.000,40.750256,4.0,,Pipe Insulation and Fittings,No
TRU1253QN24,2025-09-05T00:00:00.000,2025-11-24T00:00:00.000,40.734606,21.0,,Concealed mirror mastic,No
TRU0189BK25,2025-04-10T00:00:00.000,2026-02-04T00:00:00.000,40.671149,41.0,"NYCHA 2413067 Howard, Bld. #1",Bricks Contam. with ACM Tar / Flashing at Spandrel,No
TRU0633QN23,2023-06-08T00:00:00.000,2024-05-29T00:00:00.000,40.781742,19.0,F9-2,Exposed Horizontal Pipe Insulation,No
TRU1252BK25,2025-09-10T00:00:00.000,2026-07-15T00:00:00.000,40.670554,42.0,Bldg 2,Wallboard with associated joint compound,No
TRU1064MN22,2022-05-10T00:00:00.000,2023-04-27T00:00:00.000,40.810328,7.0,Grace Dodge Hall,Duct Insulation,No
TRU2484MN25,2025-11-20T00:00:00.000,2026-10-19T00:00:00.000,40.81709,7.0,Manhattanville Houses Bldg #2,Concealed Vertical Pipe Insulation,No
TRU1444BK20,2020-12-05T00:00:00.000,2021-11-27T00:00:00.000,40.635555,39.0,,pipes,No
TRU0811BK25,2025-05-28T00:00:00.000,2026-05-08T00:00:00.000,40.692179,35.0,,floor tile and mastic,No
TRU1453BX24,2025-03-10T00:00:00.000,2025-11-04T00:00:00.000,40.869406,12.0,Bldg. 7; Stair Hall #11,VAT & Mastic,No
TRU0863MN24,2024-05-28T00:00:00.000,2025-04-11T00:00:00.000,40.708546,1.0,,Tar Caulking,No
TRU0982QN23,2023-09-26T00:00:00.000,2024-08-14T00:00:00.000,40.728721,29.0,,Horizontal Pipe Insulation,No
TRU1709MN23,2023-07-25T00:00:00.000,2024-07-16T00:00:00.000,40.709932,1.0,,floor tile,No
TRU0627QN25,2025-07-30T00:00:00.000,2026-07-22T00:00:00.000,40.706571,24.0,Shelton Houses Bldg #1,Floor Tile,No
TRU1765BK25,2025-10-09T00:00:00.000,2026-09-24T00:00:00.000,40.672537,41.0,"NYCHA 2413067 Howard, Bld. #9",Tar / Flashing at Spandrel Beam,No
TRU2469BK24,2024-12-26T00:00:00.000,2025-12-16T00:00:00.000,40.708723,34.0,K196,Exposed Horizontal Pipe Insulation,No
TRU0571MN19,2019-04-16T00:00:00.000,2020-03-10T00:00:00.000,40.78135,6.0,,Pipe Riser Insulation,No
TRU0348QN19,2019-04-21T00:00:00.000,2020-04-09T00:00:00.000,40.717074,29.0,,roof flashing,No
TRU0309BX23,2023-03-04T00:00:00.000,2024-03-05T00:00:00.000,40.837931,18.0,IS-127X,Pipe insulation,No
TRU1085BK25,2025-07-31T00:00:00.000,2026-06-19T00:00:00.000,40.67284,41.0,"NYCHA 2413067 Howard, Bld. #7",Window Sills Contaminated with ACM Caulking,No
TRU0442BX20,2020-06-17T00:00:00.000,2021-06-09T00:00:00.000,40.822401,17.0,Jackson Houses Bldg# 3,Exterior Louver Caulking,No
TRU1506BK22,2022-08-29T00:00:00.000,2023-07-31T00:00:00.000,40.710259,34.0,"Bldg8. 143-151 Ten Eyck Walk,142,144,146 Maujer St",Window Caulking,No
TRU0745BK20,2020-07-13T00:00:00.000,2021-06-30T00:00:00.000,40.650587,40.0,,VAT,No
TRU0596MN25,2025-04-01T00:00:00.000,2026-03-12T00:00:00.000,40.763898,4.0,East Building,Concealed Horizontal/Vertical Pipe Insulation,No
TRU0534BK22,2022-03-28T00:00:00.000,2023-03-17T00:00:00.000,40.704513,33.0,Switch House,Drain Flashing,No
TRU2679MN25,2026-03-16T00:00:00.000,2026-11-05T00:00:00.000,40.758224,4.0,,Concealed Vertical Pipe Insulation,No
TRU0242BX22,2022-02-28T00:00:00.000,2023-02-17T00:00:00.000,40.81502,8.0,"Patterson Houses, Building#06",Floor Tiles,No
TRU1576BK22,2022-08-19T00:00:00.000,2023-08-09T00:00:00.000,40.589268,47.0,,pipe elbows in sink cabinet,No
TRU0007BX20,2020-01-20T00:00:00.000,2021-01-04T00:00:00.000,,,,floor tile,Yes
TRU1972BK23,2023-11-13T00:00:00.000,2024-10-09T00:00:00.000,40.624782,46.0,GEORGETOWNE SHOPPING CENTER,ROOF MEMBRANE,No
TRU0713BX23,2023-06-02T00:00:00.000,2024-05-23T00:00:00.000,40.836953,16.0,"Highbridge Gardens, Building #06",Floor Tiles,No
TRU1159BX21,2021-10-11T00:00:00.000,2022-10-03T00:00:00.000,40.858921,14.0,,Exterior Window/Door Frame Caulking,No
TRU1358BX19,2020-08-19T00:00:00.000,2020-11-24T00:00:00.000,40.827746,17.0,,roof membrane,No
TRU1056BX24,2024-11-04T00:00:00.000,2025-08-01T00:00:00.000,40.884088,12.0,1165 226th Drive,Tar on lintel,No
TRU1234MN25,2025-08-04T00:00:00.000,2026-05-28T00:00:00.000,40.789473,8.0,Gaylord White Houses,Popcorn Ceiling / Textured Paint,No
TRU3142MN23,2024-04-08T00:00:00.000,2024-12-20T00:00:00.000,40.758754,4.0,,tar pipe wrap,No
TRU0410BK25,2025-05-20T00:00:00.000,2026-03-09T00:00:00.000,40.616479,44.0,K597,Fire Rated Door Insulation,No
TRU1363BK23,2023-07-14T00:00:00.000,2024-07-05T00:00:00.000,40.704881,33.0,Boiler House,Elbow Insulation to Cork Pipe Insulation,No
TRU0495QN23,2023-05-01T00:00:00.000,2024-04-26T00:00:00.000,40.731203,30.0,,Roof Debris,No
TRU2772MN21,2022-01-04T00:00:00.000,2022-12-09T00:00:00.000,40.723838,2.0,LES Rehab (GR.5) Bldg.#2 Contract #RF 1835767,ACM Flashing /Mastic,No
TRU1201BX24,2024-08-30T00:00:00.000,2025-08-29T00:00:00.000,40.835236,16.0,Highbridge Houses Bldg#1,Pipe Penetration Packing,No
TRU0243BX25,2025-07-17T00:00:00.000,2026-03-06T00:00:00.000,40.834647,16.0,"NYCHA 2413060 Morris I, Bld. #2",Bricks Contaminated with ACM Tar / Flashing,No
TRU1528MN20,2020-09-14T00:00:00.000,2021-09-02T00:00:00.000,40.76828,4.0,,Tar,No
TRU0054BK25,2025-03-24T00:00:00.000,2026-01-13T00:00:00.000,40.691881,35.0,Pratt Insitute,Exterior Window Caulk,No
TRU0067BX24,2024-03-01T00:00:00.000,2025-01-17T00:00:00.000,40.874091,12.0,X455,Concealed Vertical Pipe Insulation,No
TRU5898MN18,2018-04-24T00:00:00.000,2019-04-16T00:00:00.000,40.758612,4.0,,floor tile,No
TRU1834BK23,2024-04-08T00:00:00.000,2024-09-17T00:00:00.000,40.711071,34.0,Bldg. 15; Stairhall #100,Pipe/ Fitting Insulation,No
TRU0120MN23,2023-03-20T00:00:00.000,2024-01-19T00:00:00.000,40.790446,6.0,,Joint compound on wall,No
TRU2420BK22,2023-04-02T00:00:00.000,2023-12-20T00:00:00.000,40.674679,39.0,,joint compound on walls,No
TRU1781BK25,2025-11-30T00:00:00.000,2026-09-28T00:00:00.000,40.68342,33.0,"NYCHA GR2413474 Wyckoff Gardens, Bld. #3",Waste Riser Duct Seal to Floor (Concealed),No
TRU3105MN23,2024-01-04T00:00:00.000,2024-12-16T00:00:00.000,40.827545,9.0,,WALL PLASTER,No
TRU0787MN22,2022-04-11T00:00:00.000,2023-03-30T00:00:00.000,40.745492,2.0,,floor tiles,No
TRU0095MN22,2022-01-21T00:00:00.000,2023-01-13T00:00:00.000,40.71276,1.0,M001,Wall Plaster,No
TRU0428MN23,2023-06-14T00:00:00.000,2024-02-27T00:00:00.000,40.733521,2.0,,Pipe Insulation,No
TRU0475MN21,2021-03-24T00:00:00.000,2022-03-15T00:00:00.000,40.757987,3.0,,Tar,No
TRU0953MN19,2019-05-03T00:00:00.000,2020-04-17T00:00:00.000,40.718216,1.0,,WALL PLASTER,No
TRU1239MN21,2021-07-06T00:00:00.000,2022-06-20T00:00:00.000,40.771054,4.0,Frick Museum,Duct Insulation,No
TRU1062MN19,2019-05-15T00:00:00.000,2020-04-30T00:00:00.000,40.830365,9.0,Polo Grounds Towers Bldg.#2 Contract #BW1519750,Window Caulking,No
TRU7758MN18,2018-11-13T00:00:00.000,2019-10-22T00:00:00.000,40.792106,6.0,,Acoustical Ceiling,No
TRU0697MN20,2020-04-20T00:00:00.000,2021-04-16T00:00:00.000,40.792839,8.0,Wards Island WWTP,Influent Trough Pipe Gaskets,No
TRU1108BX23,2023-08-07T00:00:00.000,2024-07-29T00:00:00.000,40.826645,16.0,"Forest, Building #04",Floor Tiles,No
TRU7278BK18,2019-01-13T00:00:00.000,2019-12-26T00:00:00.000,40.653731,40.0,,ROOF MEMBRANE,No
TRU1113BX20,2020-12-30T00:00:00.000,2021-12-17T00:00:00.000,40.805141,8.0,MILL BROOK Bldg 5,Floor Tile,No
TRU0975BK25,2025-09-09T00:00:00.000,2026-06-04T00:00:00.000,40.671675,42.0,Bldg 1,Wallboard with associated joint compound,No
TRU1318MN21,2021-07-14T00:00:00.000,2022-06-28T00:00:00.000,40.704553,1.0,,Fireproofing,No
TRU0820BK22,2022-05-09T00:00:00.000,2023-04-25T00:00:00.000,40.67817,39.0,,Skyline Opening/Roof Membrane,No
TRU0593QN19,2019-07-01T00:00:00.000,2020-06-10T00:00:00.000,40.761557,20.0,,Transite Siding,No
