service_area_linear_feet,total_marketing_materials,sanitation,days_per_week_sanitation,total_revenue,sanitation_workers_employed,planters_and_hanging_baskets,interest_income,streetscape_and_beautification,marketing_materials,hours_dedicated_to_public,g_a_miscellaneous_g_a,g_a_rent_and_utilities,bid_provides_supplemental,public_art_installations,public_events_coordinated,g_a_salaries_and_payroll,misc_income,part_time_staff,street_furniture_elements,bid_provides_supplemental_1,type_of_duties_assigned_to_1,assessment_revenue
10270,5000.0,364242.0,7.0,1439462.0,6.0,0.0,,,"Event-specific posters/flyers/postcards, Coupon books and/or gift cards",1560.0,26160.0,119145.0,True,0.0,1.0,402420.0,,5.0,37.0,True,"Street Patrol/Ambassadors, Coordination with City Agencies (NYPD, DSNY, DOT, etc.), Homeless/Social Service Outreach, Monitoring / Reporting dangerous conditions to appropriate city agencies",1240462
9110,550.0,171308.0,7.0,459365.0,3.0,12.0,,96273.0,"District guides/Maps/Directories, Event-specific posters/flyers/postcards, BID-branded merchandise",0.0,4049.0,8767.0,True,1.0,6.0,,,0.0,0.0,False,,350000
18290,3700.0,175000.0,7.0,561750.0,3.0,37.0,250.0,8000.0,"District guides/Maps/Directories, Event-specific posters/flyers/postcards, BID-branded merchandise",208.0,48700.0,8500.0,True,1.0,32.0,153000.0,20000.0,2.0,115.0,True,"Coordination with City Agencies (NYPD, DSNY, DOT, etc.), Homeless/Social Service Outreach, Report Quality of Life Issues to 311",360000
5520,1185.0,102884.0,7.0,485746.0,2.0,0.0,30054.0,60201.0,"District guides/Maps/Directories, Event-specific posters/flyers/postcards, Coupon books and/or gift cards, BID-branded merchandise",0.0,10986.0,1868.0,True,3.0,15.0,150400.0,486.0,0.0,0.0,False,,240000
10870,7750.0,1175731.0,7.0,2201545.0,7.0,88.0,,,"Event-specific posters/flyers/postcards, Coupon books and/or gift cards, BID-branded merchandise",0.0,274796.0,,True,1.0,587.0,,2154.0,5.0,2.0,False,,1575000
19611,2050.0,128000.0,4.0,525000.0,5.0,,,13555.0,"District guides/Maps/Directories, Event-specific posters/flyers/postcards, BID-branded merchandise",1000.0,,28187.0,True,,10.0,228519.0,,0.0,,True,"Monitoring Security Cameras, Crime Prevention Workshops, Traffic Mitigation, Coordination with City Agencies (NYPD, DSNY, DOT, etc.), Homeless/Social Service Outreach, Report Quality of Life Issues to 311, GatewayJFK Public Safety Town Halls",500000
27630,835.0,192950.0,5.0,619091.0,3.25,4.0,1234.0,72002.0,"Event-specific posters/flyers/postcards, Coupon books and/or gift cards, BID-branded merchandise, Hello from the BID brochure",0.0,4008.0,25767.0,True,1.0,25.0,189505.0,16.0,0.0,8.0,False,,500000
22220,29100.0,1204599.0,7.0,8803474.0,12.0,0.0,9634.0,312976.0,"District guides/Maps/Directories, Event-specific posters/flyers/postcards, Holiday ornaments",37440.0,241865.0,67906.0,True,2.0,7.0,554122.0,,2.0,0.0,True,"Crime Prevention Workshops, Street Patrol/Ambassadors, Coordination with City Agencies (NYPD, DSNY, DOT, etc.), Homeless/Social Service Outreach, Report Quality of Life Issues to 311, Engage with illegal peddlers, pedicabs and vendors in violation of regulations",8054663
55560,27942.0,1290260.0,7.0,2013504.0,22.0,27.0,82104.0,5850.0,"District guides/Maps/Directories, Event-specific posters/flyers/postcards, Coupon books and/or gift cards, BID-branded merchandises, moke detectors/PPEs",52.0,69808.0,142856.0,True,5.0,117.0,343491.0,,3.0,134.0,True,"Monitoring Security Cameras, Crime Prevention Workshops, Coordination with City Agencies (NYPD, DSNY, DOT, etc.), Report Quality of Life Issues to 311",1800000
10340,0.0,117830.0,5.0,439404.0,2.0,0.0,415.0,,BID-branded merchandise,0.0,9090.0,39742.0,True,0.0,12.0,94853.0,,2.0,0.0,False,"Coordination with City Agencies (NYPD, DSNY, DOT, etc.), Report Quality of Life Issues to 311",275000
