maprojid,commit_ccnonexempt,adopt_nccother,typecategory,totalplannedcommit,adopt_nccfederal,maxdate,commit_noncitycost,commit_total,allocate_nccstate,commit_citycost,spent_total,commit_nccstate,magencyname,allocate_ccnonexempt,nccstate,magencyacro
850HL99NYUDC,0.0,0.0,Fixed Asset,0,0.0,2032-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Design and Construction,0.0,0,DDC
846SANDY3-07,0.0,0.0,Fixed Asset,0,0.0,2033-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Parks and Recreation,0.0,0,DPR
111PO185-11M,775276.0,0.0,"ITT, Vehicles, and Equipment",0,0.0,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,775276.0,0.0,Unknown,-276.0,0,UK
801HRDN842A,0.0,0.0,Fixed Asset,1000000,0.0,2033-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Small Business Services,1000000.0,0,SBS
850RWQ005,8559628.4,0.0,Fixed Asset,93000,0.0,2031-06-01T00:00:00.000,0.0,76748.95,0.0,76748.95,8559628.4,0.0,Department of Design and Construction,11735622.65,0,DDC
806NTIMBALE,0.0,0.0,,1300000,0.0,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Housing Preservation and Development,1300000.0,0,HPD
806HAM21UPCC,0.0,0.0,Fixed Asset,165000,0.0,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Housing Preservation and Development,165000.0,0,HPD
850SEQ002709,6347.7,7000.0,Lump Sum,26000,0.0,2031-06-01T00:00:00.000,0.0,180061.24,0.0,180061.24,2634196.98,0.0,Department of Design and Construction,28652.3,0,DDC
850LNEA08MHV,6102433.44,0.0,Fixed Asset,1638000,0.0,2026-06-01T00:00:00.000,0.0,384138.38,0.0,384138.38,6102433.44,0.0,Department of Design and Construction,1917428.18,0,DDC
850HLDNUCBIO,0.0,0.0,"ITT, Vehicles, and Equipment",60000,0.0,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Design and Construction,60000.0,0,DDC
850PWDGMEN,441945.18,0.0,,0,0.0,2028-06-01T00:00:00.000,0.0,0.0,0.0,0.0,441945.18,0.0,Department of Design and Construction,54.82,0,DDC
826WI-282-L,0.0,0.0,Fixed Asset,0,0.0,2028-06-01T00:00:00.000,0.0,0.0,0.0,0.0,11571.87,0.0,Department of Environmental Protection,0.0,0,DEP
801PWDGOD,7684774.25,0.0,Fixed Asset,0,0.0,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,7684774.25,0.0,Department of Small Business Services,7567225.75,0,SBS
801CWFSHOMEP,54470708.27,0.0,,28000,0.0,2026-06-01T00:00:00.000,0.0,456368.29,0.0,456368.29,54470708.27,0.0,Department of Small Business Services,28923.44,0,SBS
806COUN234,1866148.0,0.0,Lump Sum,1822000,0.0,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,1866148.0,0.0,Housing Preservation and Development,1822852.0,0,HPD
850WTM4SPRW,4764049.09,0.0,Fixed Asset,1515000,0.0,2028-06-01T00:00:00.000,0.0,1716059.11,0.0,1716059.11,4764049.09,0.0,Department of Design and Construction,1665891.8,0,DDC
042YC001-023,0.0,0.0,,1500000,0.0,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,City University of New York,1500000.0,0,CUNY
850QED-991,3884257.06,635000.0,Fixed Asset,130000,0.0,2029-06-01T00:00:00.000,0.0,1882944.17,0.0,1882944.17,90568840.83,0.0,Department of Design and Construction,130373.13,0,DDC
856PW77DAK01,406999.63,0.0,Fixed Asset,37000,0.0,2031-06-01T00:00:00.000,0.0,0.0,0.0,0.0,406999.63,0.0,Department of Citywide Administrative Services,37000.37,0,DCAS
850HWM12AVE,1307364.7,50000000.0,,9437000,0.0,2026-06-01T00:00:00.000,0.0,275636.45,0.0,275636.45,1307364.7,0.0,Department of Design and Construction,10808998.85,0,DDC
850PW311STLS,2719067.77,0.0,Lump Sum,0,0.0,2031-06-01T00:00:00.000,0.0,249642.9,0.0,249642.9,11447552.7,0.0,Department of Design and Construction,32289.33,0,DDC
846P-503CLSN,0.0,0.0,Fixed Asset,0,0.0,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Parks and Recreation,0.0,0,DPR
850SEQ200604,753000.0,0.0,Fixed Asset,275000,0.0,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,753000.0,0.0,Department of Design and Construction,375000.0,0,DDC
856EO26-0082,0.0,0.0,,6000,0.0,2026-06-01T00:00:00.000,0.0,70716.0,0.0,70716.0,0.0,0.0,Department of Citywide Administrative Services,6284.0,0,DCAS
801HWQWILLET,0.0,0.0,,0,0.0,2033-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Small Business Services,0.0,0,SBS
806HAM21DYEL,4607356.82,0.0,Fixed Asset,89000,0.0,2026-06-01T00:00:00.000,0.0,1802954.0,0.0,1802954.0,4607356.82,0.0,Housing Preservation and Development,739689.18,0,HPD
126PV464-PAV,0.0,0.0,,1600000,0.0,2028-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Cultural Affairs,1600000.0,0,DCLA
850SANDHWSI,2627008.29,0.0,,2463000,2826000.0,2032-06-01T00:00:00.000,382569.94,887557.91,0.0,504987.97,5066645.75,0.0,Department of Design and Construction,2469003.74,0,DDC
