person_id,tnc_use_juno,weight,student,tnc_mode,school_mode_own,school_cms_zone,missing_work_location,license,disability_seeing,work_scooter_park,tnc_use_uber,harassment,disability_mobility,tnc_mode_ferry,school_vehicle_pass_period,drive_cbd_freq,telework_freq,bike_share_user,work_mode_taxi,employment,school_mode_scooter,bike_purpose_errands,harassment_alone,work_mode_own,harassment_route,race_native_hawaiian,bike_share_lime,harassment_attention,bike_purpose_other,school_type,no_bike_nyc_bike_lanes,bike_purpose_commute,num_transit_trips,disability_dressing,survey_mode,english_proficiency,school_mode_taxi,num_days_complete,school_park_location,packages_distance,car_share_enterprise,age,work_mode_scooter,no_bike_nyc_modes,tnc_mode_bike,no_bike_nyc_other,no_bike_share_uncomfortable,race_american_indian,school_mode_rail,work_park_pay,jobs_count,harassment_trip,work_bike_park,race_other,work_park_amount_week,vehicle,num_complete_weekdays,no_bike_share_neighborhood,industry
1924473902,995,0.0,0,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,2,995,995,995,995,995,995,995,995,995,995,995,995,,995,1,995,995,,995,995,995,8,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
1907683703,995,0.0,1,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,,995,1,995,995,,995,995,995,2,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
1952448801,0,634.52436,0,105,995,,0,1,0,995,0,4,0,995,995,995,8,0,995,1,995,995,995,995,995,0,0,995,995,995,0,995,12.0,0,1,1,995,7.0,995,995,0,7,995,1,995,0,1,0,995,995,1,995,995,0,,995,5.0,0,7
1930714402,995,0.0,0,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,3,995,995,995,995,995,995,995,995,995,995,995,995,,995,1,995,995,,995,995,995,6,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
19715989703,995,0.0,1,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,7,995,995,,995,1,995,995,,995,995,995,3,995,995,995,995,995,995,30,995,995,995,995,995,,995,,995,995
19377275501,1,242.25892,0,105,995,,0,1,0,995,1,4,0,995,995,995,4,0,995,3,995,995,995,995,995,0,0,995,995,995,0,995,13.0,0,1,1,995,5.0,995,995,1,8,995,0,995,1,1,0,995,995,1,995,995,0,,995,5.0,0,4
1905156303,995,0.0,0,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,6,995,995,995,995,995,995,995,995,995,995,995,995,,995,1,995,995,,995,995,995,8,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
1923461102,995,0.0,0,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,1,995,995,995,995,995,995,995,995,995,995,995,995,,995,1,995,995,,995,995,995,6,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
1940794102,995,0.0,0,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,1,995,995,995,995,995,995,995,995,995,995,995,995,,995,1,995,995,,995,995,995,6,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
1973080001,0,214.97935,0,100,995,,1,1,0,995,1,4,0,995,995,6,5,0,995,1,995,995,995,995,995,0,0,995,995,995,0,995,1.0,0,1,1,995,5.0,995,3,0,7,995,0,995,0,1,0,995,995,1,995,995,0,,1,4.0,0,14
1966264603,995,0.0,1,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,,995,1,995,995,,995,995,995,2,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
1923032402,995,0.0,1,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,,995,1,995,995,,995,995,995,2,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
1916498401,0,353.77498,0,100,995,,0,1,0,995,0,1,0,995,995,7,8,0,995,1,995,995,0,995,1,0,0,1,995,995,0,995,9.0,0,1,1,995,4.0,995,995,0,6,995,0,995,0,0,0,995,995,1,0,995,0,,1,2.0,0,15
1944612202,995,0.0,0,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,6,995,995,995,995,995,995,995,995,995,995,995,995,,995,1,995,995,,995,995,995,10,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
1915494503,995,0.0,2,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,1,995,995,995,995,995,995,995,995,995,-9998,995,995,,995,1,995,995,,995,995,995,5,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
1931621702,995,0.0,0,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,1,995,995,995,995,995,995,995,995,995,995,995,995,,995,1,995,995,,995,995,995,5,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
1991743401,0,1460.6185,0,995,995,,0,0,0,995,0,4,0,995,995,8,995,0,995,1,995,995,995,995,995,999,0,995,995,995,0,995,15.0,0,1,1,995,2.0,995,995,0,5,995,0,995,0,0,999,995,995,1,995,995,999,,996,0.0,0,8
1901849903,995,0.0,0,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,1,995,995,995,995,995,995,995,995,995,995,995,995,,995,1,995,995,,995,995,995,5,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
1959130503,995,0.0,0,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,1,995,995,995,995,995,995,995,995,995,995,995,995,,995,1,995,995,,995,995,995,4,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
1934020801,0,73342.34226,0,106,995,,0,1,0,995,1,1,0,995,995,7,995,0,995,1,995,995,0,995,0,999,0,0,995,995,0,995,0.0,0,1,1,995,4.0,995,995,0,8,995,0,995,1,0,999,995,995,2,0,995,999,,1,2.0,0,7
1992924701,0,98.62084,0,102,995,,0,1,0,995,1,4,0,995,995,7,8,0,995,1,995,995,995,6,995,0,0,995,995,995,0,995,0.0,0,1,1,995,7.0,995,995,0,7,995,0,995,0,0,0,995,1,2,995,995,0,,1,5.0,1,8
1933824001,0,113.59161,0,995,995,,0,0,0,995,0,4,0,995,995,995,995,0,995,6,995,995,995,995,995,0,0,995,995,995,0,995,8.0,0,1,1,995,7.0,995,995,0,7,995,0,995,0,0,0,995,995,995,995,995,0,,995,5.0,1,995
1900816702,995,0.0,1,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,7,995,995,,995,1,995,995,,995,995,995,3,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
19715989701,0,474.11182,0,100,995,,0,1,0,995,1,2,0,995,995,8,8,0,995,1,995,995,0,6,0,0,0,1,995,995,1,995,0.0,0,1,1,995,6.0,995,2,0,7,995,0,995,0,0,0,995,1,1,0,995,0,,1,5.0,1,7
1959130501,0,353.24505,0,995,995,,0,1,0,995,0,4,0,995,995,7,995,0,995,6,995,995,995,995,995,0,0,995,995,995,0,995,1.0,0,1,1,995,6.0,995,995,0,9,995,0,995,0,0,0,995,995,995,995,995,0,,1,5.0,1,995
1990801403,995,0.0,1,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,5,995,995,,995,1,995,995,,995,995,995,2,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
1910728304,995,0.0,0,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,6,995,995,995,995,995,995,995,995,995,995,995,995,,995,1,995,995,,995,995,995,9,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
1900889603,995,0.0,1,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,7,995,995,,995,1,995,995,,995,995,995,3,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
1916498404,995,0.0,0,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,2,995,995,995,995,995,995,995,995,995,995,995,995,,995,1,995,995,,995,995,995,5,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
1955889102,995,0.0,0,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,1,995,995,995,995,995,995,995,995,995,995,995,995,,995,1,995,995,,995,995,995,6,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
1901844201,0,6293.25987,0,106,995,,0,0,0,995,0,4,0,995,995,995,5,0,995,2,995,995,995,995,995,0,0,995,995,995,0,995,20.0,0,1,1,995,6.0,995,995,0,6,995,1,995,0,1,0,995,995,1,995,995,0,,995,4.0,0,8
1942480801,0,3346.53523,1,102,995,,0,1,0,995,0,4,0,995,995,995,8,1,995,1,995,995,995,995,995,0,0,995,995,11,1,995,2.0,0,1,1,995,2.0,995,995,0,5,995,0,995,0,-9998,0,995,995,1,995,995,0,,995,2.0,-9998,18
1967584502,995,0.0,0,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,1,995,995,995,995,995,995,995,995,995,995,995,995,,995,1,995,995,,995,995,995,6,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
1985395303,995,0.0,0,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,1,995,995,995,995,995,995,995,995,995,995,995,995,,995,1,995,995,,995,995,995,5,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
1907683701,0,93.8309,0,995,995,,1,1,0,995,0,3,0,995,995,8,8,0,995,1,995,0,0,995,0,0,0,0,0,995,995,0,0.0,0,1,1,995,7.0,995,4,0,7,995,995,995,995,0,0,995,995,1,0,995,0,,1,5.0,0,11
1995354601,0,424.11583,0,105,995,,0,1,0,995,1,1,0,995,995,8,5,0,995,2,995,995,0,995,0,0,0,1,995,995,1,995,4.0,0,1,1,995,7.0,995,995,0,5,995,0,995,0,1,0,995,995,1,0,995,0,,996,5.0,1,7
1912140802,995,0.0,0,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,1,995,995,995,995,995,995,995,995,995,995,995,995,,995,1,995,995,,995,995,995,6,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
1946881202,995,0.0,2,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,1,995,995,995,995,995,995,995,995,995,-9998,995,995,,995,1,995,995,,995,995,995,6,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
1982481602,995,0.0,0,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,6,995,995,995,995,995,995,995,995,995,995,995,995,,995,1,995,995,,995,995,995,7,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
1999408001,0,92.85849,1,102,995,Northern Bronx,0,0,0,995,1,3,0,995,995,7,995,1,995,6,995,0,0,995,0,999,0,0,0,7,995,0,5.0,0,1,1,995,6.0,995,995,0,4,995,995,995,995,-9998,999,995,995,995,0,995,999,,996,4.0,-9998,995
1928397203,995,0.0,1,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,6,995,995,995,995,995,995,995,995,995,-9998,995,995,,995,1,995,995,,995,995,995,4,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
1990964102,995,0.0,0,995,995,,0,995,995,995,995,995,995,995,995,995,995,995,995,1,995,995,995,995,995,995,995,995,995,995,995,995,,995,1,995,995,,995,995,995,5,995,995,995,995,995,995,995,995,995,995,995,995,,995,,995,995
