hh_member_8,travel_date_dow,hh_member_2,unlinked_trip,scooter_park_location,mode_type,d_distance_work,long_distance_flag,o_location_type
995,6,1900904002,0,995,9,,0,1
995,7,1900765002,0,995,9,,0,4
995,2,0,0,995,9,17.2,0,1
995,5,0,0,995,9,6655.0,0,1
995,4,0,0,995,9,315.9,0,4
995,2,0,0,995,995,,0,4
995,1,0,1,995,6,,0,4
995,1,995,0,995,9,4190.0,0,4
995,7,0,0,995,9,6320.9,0,4
995,2,0,0,995,9,225.5,0,2
995,6,995,0,995,2,,0,4
995,1,1900785402,0,995,9,14418.0,0,4
995,2,0,0,995,7,4910.3,0,4
995,6,0,1,995,4,,0,4
995,2,0,0,995,9,1313.9,0,2
995,2,0,0,995,7,87.1,0,4
995,2,0,0,995,9,3230.0,0,4
995,4,0,0,995,6,3026.8,0,2
995,3,0,1,995,4,6469.0,0,2
995,6,0,0,995,7,4560.6,0,4
995,3,0,0,995,9,3640.1,0,4
995,5,0,0,995,9,,0,1
995,4,1900785402,0,995,9,14371.4,0,4
995,5,995,0,995,6,,0,1
995,7,1900785402,0,995,9,14363.6,0,4
995,1,0,0,995,7,,0,4
995,2,0,1,995,6,,0,1
995,3,1900296202,0,995,9,,0,1
995,4,0,0,995,7,4505.1,0,1
995,1,995,995,995,9,,0,4
995,5,0,1,995,6,,0,1
995,2,0,1,995,6,,0,4
995,3,0,0,995,2,5217.6,0,4
995,2,0,0,995,7,2361.5,0,4
995,5,1900447402,1,995,6,3217.6,0,4
995,7,1900751102,0,995,9,,0,1
995,7,0,0,995,2,,0,4
995,2,0,0,995,9,2916.5,0,2
995,4,0,0,995,1,21.0,0,1
995,4,0,0,995,7,1089.3,0,1
995,7,0,0,995,995,,0,4
995,7,0,0,995,9,51.2,0,4
995,5,995,0,995,9,,0,1
995,1,0,0,995,995,944.6,0,4
995,4,0,0,995,7,4362.7,0,1
995,5,1900765002,0,995,7,,0,4
995,2,0,0,995,9,8833.3,0,4
995,4,0,0,995,7,4460.7,0,4
995,6,0,0,995,8,26.5,0,4
995,1,1900785402,0,995,9,14485.6,0,4
995,6,0,1,995,9,9818.3,0,4
995,4,0,0,995,1,,0,4
995,5,0,0,995,8,59.1,0,4
995,4,0,0,7,10,3240.0,0,1
995,6,0,1,995,6,11184.5,0,4
995,7,995,1,995,9,,0,1
995,5,0,1,995,9,,0,4
995,3,0,0,995,9,,0,4
995,5,995,0,995,9,,0,4
995,7,0,0,995,7,1964.1,0,1
995,4,995,1,995,9,6100.7,0,4
995,2,1901280402,1,995,4,1872.0,0,4
995,5,0,0,995,6,,0,4
995,6,1900785402,0,995,9,14364.6,0,4
995,4,0,1,995,4,,0,4
995,7,0,1,995,6,8625.2,0,4
995,7,1900751102,0,995,9,,0,4
995,3,0,1,995,6,6767.5,0,1
995,3,0,1,995,6,2352.9,0,4
995,3,0,1,995,6,,0,4
995,3,0,0,995,6,,0,4
995,6,1900610702,1,995,6,5243.7,0,4
995,3,0,0,995,7,13.3,0,1
995,5,1900610702,0,995,9,8605.6,0,4
995,6,0,0,995,7,13491.1,0,1
995,6,0,0,995,7,,0,1
995,5,0,0,995,995,79.8,0,4
995,1,1900296202,1,995,9,,0,4
995,2,995,0,995,995,,0,4
995,1,995,995,995,9,,0,4
995,1,1900169402,0,995,7,,0,4
995,4,0,1,995,9,10949.2,0,4
995,2,1901224302,1,995,6,,0,4
995,4,0,0,995,7,11829.1,0,4
995,6,0,0,995,9,,0,4
995,7,1900765002,0,995,7,,0,4
995,2,995,1,995,9,,0,1
995,7,995,1,995,9,,0,4
995,1,0,0,995,995,135.8,0,2
995,1,0,0,995,9,,0,4
995,5,0,995,995,9,11982.5,0,4
995,4,0,0,995,7,,0,4
995,4,0,0,995,9,,0,4
995,2,0,0,995,7,4472.0,0,2
995,1,0,0,995,6,4251.7,0,4
995,7,995,1,995,6,,0,4
995,3,0,0,995,7,105.3,0,4
995,4,1900765002,0,995,7,,0,4
995,4,1900296202,0,995,9,,0,4
995,4,995,0,995,10,,0,4
995,4,1900296202,0,995,9,,0,1
995,7,0,0,995,6,,0,4
995,2,0,0,995,7,4252.1,0,1
995,2,0,0,995,7,7.1,0,1
995,7,1900765002,0,995,7,,0,4
995,2,0,0,995,9,4750.5,0,4
995,4,0,1,995,4,,0,4
995,7,1900765002,0,995,7,,0,4
995,6,0,1,995,6,529.3,0,4
995,7,995,0,995,2,,0,4
995,1,0,0,995,7,4503.2,0,1
995,7,1900765002,0,995,7,,0,4
995,6,0,0,995,7,1624.7,0,4
995,6,0,0,995,9,,0,4
995,1,0,0,995,7,28.5,0,1
995,4,0,0,995,9,,0,4
995,7,0,0,995,9,4252.8,0,4
995,6,1900422602,0,995,7,4463.7,0,4
995,6,0,0,995,7,13501.6,0,4
995,5,0,0,995,995,5204.9,0,2
995,2,0,1,995,6,1421.3,0,4
995,4,0,1,995,9,,0,1
995,5,1900785402,0,995,9,15225.9,0,1
995,6,1900785402,0,995,9,6732.3,0,4
995,5,0,0,995,7,843.1,0,2
995,2,0,1,995,3,5077.5,0,2
995,6,0,1,995,6,8701.0,0,1
995,2,0,0,995,9,7269.9,0,1
995,7,1900765002,0,995,7,,0,4
995,1,0,0,995,7,2121.5,0,1
995,6,1900447402,1,995,9,3238.1,0,1
995,1,0,0,995,4,7012.2,0,4
995,7,0,0,995,7,,0,4
995,5,0,0,995,7,,0,1
995,4,1900785402,0,995,9,14374.1,0,4
995,7,0,0,995,7,58260.7,0,4
995,3,0,1,995,6,,0,4
995,1,0,0,995,7,18856.8,0,4
995,4,0,0,995,9,8784.4,0,4
995,5,995,1,995,6,,0,4
995,1,0,1,995,6,5572.9,0,2
995,5,0,0,995,7,201.4,0,4
995,2,0,1,995,6,,0,1
995,5,0,0,995,7,,0,1
995,7,0,0,995,9,3654.6,0,4
995,4,0,0,995,7,13478.6,0,1
995,4,0,0,995,7,2816.8,0,2
995,6,995,1,995,9,19187.9,0,1
995,5,0,0,995,7,4479.7,0,4
995,2,0,1,995,6,,0,4
995,6,995,0,995,2,,0,4
995,5,0,0,995,7,3186.4,0,1
995,2,0,0,995,1,,0,4
995,3,0,0,995,9,0.0,0,1
995,5,0,1,995,6,10754.5,0,4
995,7,0,0,995,7,2384.5,0,1
995,7,0,995,995,4,6300.9,0,2
995,1,0,1,995,6,5824.3,0,4
995,5,995,0,995,9,,0,4
995,6,0,0,995,7,11838.4,0,4
995,2,0,1,995,6,16.1,0,4
995,5,1900785402,0,995,9,14363.6,0,4
995,2,0,0,995,9,4905.6,0,4
995,5,0,0,995,9,9307.3,0,1
995,5,0,0,995,9,1213.2,0,2
995,7,0,0,995,9,8946.9,0,4
995,7,0,0,995,7,41.2,0,1
995,5,0,0,995,5,11425.1,0,4
995,5,1900889602,0,995,10,,0,4
995,4,0,0,995,9,57.4,0,1
995,2,0,0,995,7,4631.6,0,1
995,6,995,0,995,2,,0,1
995,1,0,0,995,9,6514.9,0,4
995,7,995,0,995,9,,0,4
995,4,1900785402,0,995,9,14995.4,0,1
995,3,0,0,995,9,506.6,0,2
995,7,1900765002,0,995,7,,0,4
995,2,0,0,995,4,,0,4
995,4,0,0,995,7,4497.6,0,1
995,1,0,0,995,7,4461.7,0,4
995,1,0,0,995,9,6707.8,0,4
995,2,995,0,995,6,4725.1,0,4
995,5,995,0,995,4,24137.6,0,4
995,4,0,0,995,7,4078.8,0,1
995,4,0,0,995,7,4507.6,0,4
995,2,0,1,995,9,12.1,0,4
