fwc_unique_individuals_by_1,sa_race_ethnicity_hoh_native,sa_race_ethnicity_hoh_unknown,sa_race_ethnicity_hoh_black,af_race_ethnicity_hoh_unknown,sa_avg_daily_census_individual_1,fwc_average_school_attendance,sa_unique_individuals_by_2,af_unique_individuals_by_2,sa_race_ethnicity_hoh_hispanic,sa_unique_individuals_by,af_race_ethnicity_hoh_total
10418,1.0,864,11893,71,4404,86%,9406,1456,5455,3331,2764
15075,20.0,1345,15120,65,5001,0%,8740,1153,6419,5244,2145
14486,14.0,1343,14610,120,5052,85%,9088,1467,6418,4821,2513
9845,3.0,932,12528,74,4666,84%,9870,1391,5689,3313,2676
10863,4.0,666,9381,65,3578,85%,7652,1196,4146,2704,2407
10100,0.0,873,12256,79,4436,85%,9680,1476,5630,3429,2747
8522,3.0,995,12302,62,4522,,9957,1205,5703,3034,2299
6599,6.0,897,11827,46,4029,81%,9089,842,5388,2903,1698
9887,2.0,890,12182,61,4562,87%,9701,1438,5552,3223,2737
14636,15.0,1472,15258,93,5034,84%,9027,1312,6541,5299,2321
10269,1.0,873,11870,75,4428,84%,9369,1434,5446,3326,2748
6982,3.0,957,12664,56,4326,84%,9873,957,5728,3018,1900
8973,3.0,980,12278,62,4619,NA due to Corona,9886,1325,5637,3129,2493
15024,13.0,1708,14733,135,5031,83%,9167,1531,7237,5494,2570
6837,3.0,935,12456,57,4252,79%,9628,926,5579,2983,1848
10379,3.0,611,9734,56,3730,,7881,1275,4507,2839,2545
14998,12.0,1782,14404,150,5073,85%,9203,1544,7548,5594,2582
6523,7.0,952,12199,49,4114,81%,9162,814,5525,3121,1620
6462,0.0,0,0,46,4036,84%,9161,764,0,3219,1527
10495,6.0,684,9772,60,3433,,8428,1163,4264,2395,2330
10485,3.0,642,10169,71,3791,84%,8188,1366,4656,2919,2732
10542,4.0,627,10060,62,3882,84%,8112,1326,4561,2839,2623
8449,1.0,1018,12355,64,4540,68%,10005,1176,5780,3058,2252
10744,3.0,605,9818,61,3791,84%,7908,1322,4505,2799,2625
10233,0.0,728,11086,69,4170,83%,8865,1475,5068,3111,2705
10546,2.0,671,10583,71,4041,85%,8583,1488,4982,3048,2752
6568,6.0,957,12171,54,4148,83%,9222,817,5507,3077,1640
12362,8.0,1563,12942,48,4668,83%,9030,2119,10250,6192,3306
10216,3.0,739,9579,57,3718,82%,8002,1270,4468,2671,2524
