dobrundate,professional_cert,city,borough,street_name,owner_s_first_name,job__,owner_s_business_name
01/29/2015 00:00:00,,NEW YORK       ,1,EAST 69TH STREET                ,LAZAR          ,122176019,201 EAST 69TH ST LLC C/O TF CORN
04/15/2015 00:00:00,Y,NEW YORK       ,1,POLICE PLAZA                    ,PAULINO        ,122267288,NYC POLICE DEPARTMENT           
02/26/2014 00:00:00,,NEW YORK       ,1,3 AVENUE                        ,TOM            ,121844077,AKARI EQUITIES LLC              
07/25/2014 00:00:00,,BROOKLYN       ,1,WEST 112 ST                     ,MEYER          ,122008077,306-310 W 112 LLC               
03/24/2015 00:00:00,,ALPINE         ,1,6TH AVE                         ,JAESUL         ,121737102,THE KIM FAMILY JOINT REVOCABLE  
11/26/2014 00:00:00,,PARSIPPANY     ,1,EAST 74TH STREET                ,TIM            ,122053213,SMARTLINK LLC                   
12/07/2013 00:00:00,,NEW YORK       ,1,10TH AVENUE                     ,GERALD         ,121842088,SITE FIVE HOUSING DEVELOPMENT FU
12/11/2014 00:00:00,,NEW YORK       ,1,10TH AVENUE                     ,BRANDON        ,122165977,657-10 LLC                      
09/07/2013 00:00:00,,NEW YORK       ,1,EAST 59TH STREET                ,DAVID          ,121729086,BRAUSE REALTY                   
09/05/2013 00:00:00,,NEW YORK       ,1,FORT WASHINGTON AVENUE          ,WENDY          ,121690143,FW REALTY                       
07/02/2015 00:00:00,,NEW YORK       ,1,WEST 174TH STREET               ,ROBERT         ,122203999,DIAGONAL REALTY LLC             
12/28/2013 00:00:00,,NEW YORK       ,1,WATER STREET                    ,THOMAS         ,121777880,AMERICAN INTERNATIONAL REALTY GR
03/15/2014 00:00:00,,NEW YORK       ,1,WEST 127 STREET                 ,LESLEY         ,121839626,TRYOUT REALTY CORP              
04/15/2015 00:00:00,Y,NEW YORK       ,1,WEST 87 STREET                  ,PATRICK        ,122366340,RIVERVIEW OPERATING CO. LLC     
12/09/2015 00:00:00,,JAMAICA        ,1,WATER STREET                    ,ANDREW         ,122254103,40 WATER STRRET LLC             
07/30/2015 00:00:00,,NEW YORK       ,1,WEST 80TH STREET                ,ROBERT         ,122204033,101 WEST 80TH STREET OWNERS CORP
12/10/2013 00:00:00,,NEW YORK       ,1,BROADWAY                        ,KAYPHET        ,121842104,TIMES SQUARE HOTEL OWNER LLC    
02/27/2015 00:00:00,,NEW YORK       ,1,8TH AVE                         ,ANDREW         ,122191733,A.M.A.A. REALTY CORP.           
05/22/2013 00:00:00,,NEW YORK       ,1,1ST AVENUE                      ,MCDADE         ,121590956,NEWMARK GRUBB KNIGHT FRANK      
06/27/2015 00:00:00,,NEW YORK       ,1,WEST 36TH STREET                ,MARK           ,122366162,"KAUFMAN ARCADE ASSOCIATES, LP   "
10/20/2015 00:00:00,,NEW YORK       ,1,WEST 47TH STREET                ,ROBERT         ,122333466,328-30 WEST 47 STREET ASSOCIATES
03/16/2017 00:00:00,,NEW YORK       ,1,10 AVENUE                       ,ROBERT         ,122204603,SACKMAN ENTERPRISES INC.        
07/13/2016 00:00:00,,PARSIPPANY     ,1,WEST 13TH STREET                ,ROBERT         ,122380164,T-MOBILE                        
06/23/2018 00:00:00,,PARSIPPANY     ,1,EAST 36TH STREET                ,ROBERT         ,122373840,T-MOBILE                        
10/10/2014 00:00:00,,NEW YORK       ,1,LENOX AVE                       ,JASON          ,122074986,"537 LENOX RESIDENCES, LLC       "
05/25/2013 00:00:00,,NEW YORK       ,1,EAST 94TH STREET                ,BENJAMIN       ,121612567,CARNEGIE PARK ASSOCIATES LP     
03/31/2015 00:00:00,,BRONX          ,1,ST. NICHOLAS AVENUE             ,RAM            ,122092699,HEIGHTS REALTY ASSOCIATES       
03/04/2015 00:00:00,,NEW YORK       ,1,YORK AVENUE                     ,ALEXANDER      ,122219982,THE ROCKEFELLER UNIVERSITY      
12/09/2014 00:00:00,,NEW YORK       ,1,RUTGERS STREET                  ,JAY            ,121987528,RUTGERS/ EAST BROADWAY ASSOC.LLC
05/11/2013 00:00:00,,NEW YORK       ,1,1ST AVE                         ,MIKE           ,121567321,2333 1ST CORP                   
03/05/2016 00:00:00,,PARSIPPANY     ,1,RECTOR STREET                   ,ROBERT         ,122388870,T-MOBILE                        
10/23/2014 00:00:00,,NEW YORK       ,1,PARK AVENUE                     ,VINCENT        ,122098443,61ST & PARK AVENUE CORP.        
04/26/2014 00:00:00,,JAMAICA        ,1,MURRAY STREET                   ,IBOLYA         ,121964507,ST JOHN'S UNIVERSITY            
04/02/2015 00:00:00,,NEW YORK       ,1,BROADWAY                        ,MARK           ,122234554,1255 COMPANY                    
08/07/2014 00:00:00,,BRONX          ,1,ST. NICHOLAS PL                 ,ABE            ,122061204,79 SN REALTY CORP               
09/26/2013 00:00:00,,NEW YORK       ,1,EAST 36TH STREET                ,JEFFREY        ,121769318,"BERDAR EQUITIES, LLC            "
09/24/2016 00:00:00,,BRONX          ,1,7TH AVENUE                      ,ROBERT         ,122203944,GALIL MANAGEMENT                
08/30/2014 00:00:00,,NEW YORK       ,1,WEST 84TH STREET                ,STACEY         ,121842532,201 WEST 84TH STREET LLC.       
06/18/2015 00:00:00,,BLOOMFIELD     ,1,PARK AVENUE                     ,DAN            ,122362219,"BECHTEL, AS AGENT FOR TENANT    "
08/22/2013 00:00:00,,NEW YORK       ,1,WEST 19 STREET                  ,BRIAN          ,121690580,435 WEST &19TH ST REALTY LLC    
12/10/2014 00:00:00,,NEW YORK       ,1,BROADWAY                        ,ALEX           ,121960495,FELDMAN REALTY                  
