other,owner_s__house_street,zoning_distr_1,landmarked,block,special_distr_1,proposed_occupancy,pre_filing_date,zoning_distr_2,fully_permitted,owner_type_description
X,PARK AVENUE SOUTH               ,C1-9        ,,1424,,RES ,2014-10-24T00:00:00.000,,2015-01-28T00:00:00.000,PARTNERSHIP                             
X,POLICE PLAZA                    ,C6-4        ,,119,,COM ,2015-02-20T00:00:00.000,,2015-04-14T00:00:00.000,OTHER GOV'T AGENCY                      
X,EAST 45TH STREET                ,C4-4D       ,,1783,,RES ,2014-01-31T00:00:00.000,,2014-02-25T00:00:00.000,PARTNERSHIP                             
X,FLATBUSH AVENUE                 ,R7A         ,,1846,,RES ,2014-05-14T00:00:00.000,,2014-07-24T00:00:00.000,PARTNERSHIP                             
X,CASSANDRA DR                    ,C6-4X       ,,804,,COM ,2013-08-08T00:00:00.000,,2015-03-23T00:00:00.000,INDIVIDUAL                              
X,WALSH DRIVE                     ,C1-8X       ,Y,1409,,RES ,2014-06-27T00:00:00.000,,2014-11-25T00:00:00.000,PARTNERSHIP                             
X,WEST 55TH STREET                ,C2-7        ,,1083,CL    ,RES ,2013-11-14T00:00:00.000,,2013-12-06T00:00:00.000,CORPORATION                             
X,10TH AVENUE                     ,R8          ,,1075,CL    ,RES ,2014-10-23T00:00:00.000,,2014-12-10T00:00:00.000,PARTNERSHIP                             
X,VANDERBILT AVENUE               ,R8          ,,1351,,COM ,2013-08-05T00:00:00.000,,2013-09-06T00:00:00.000,PARTNERSHIP                             
X,FORT WASHINGTON AVE             ,R8          ,,2136,,RES ,2013-06-26T00:00:00.000,,2013-09-04T00:00:00.000,PARTNERSHIP                             
X,WEST 71ST STREET                ,R7-2        ,,2131,,RES ,2014-12-23T00:00:00.000,,2015-07-01T00:00:00.000,PARTNERSHIP                             
X,WATER STREET                    ,C5-3        ,,71,LM    ,COM ,2013-11-07T00:00:00.000,,2013-12-27T00:00:00.000,PARTNERSHIP                             
X,WEST 127TH STREET               ,R7-2        ,,1725,,A   ,2013-11-12T00:00:00.000,,2014-03-14T00:00:00.000,CORPORATION                             
X,LEXINGTON AVE                   ,R10A        ,,1235,,COM ,2015-04-13T00:00:00.000,,2015-04-14T00:00:00.000,PARTNERSHIP                             
X,147TH AVE                       ,C5-5        ,,30,LM    ,COM ,2015-01-22T00:00:00.000,,2015-12-08T00:00:00.000,PARTNERSHIP                             
X,SEVENTH AVENUE                  ,C1-8A       ,Y,1211,,RES ,2014-11-26T00:00:00.000,,2015-07-29T00:00:00.000,CORPORATION                             
X,BROADWAY                        ,C6-7T       ,,999,MID   ,J-1 ,2013-11-14T00:00:00.000,C6-5.5      ,2013-12-09T00:00:00.000,CORPORATION                             
X,8TH AVE                         ,C6-3X       ,,780,,COM ,2014-11-10T00:00:00.000,,2015-02-26T00:00:00.000,CORPORATION                             
X,PARK AVE                        ,C5-2        ,,1336,U     ,COM ,2013-05-01T00:00:00.000,,2013-05-21T00:00:00.000,PARTNERSHIP                             
X,7TH AVENUE                      ,M1-6        ,,811,GC    ,COM ,2015-05-22T00:00:00.000,,2015-06-26T00:00:00.000,PARTNERSHIP                             
X,BOX 20213 GREELEY SQUARE STATION,R8          ,,1037,CL    ,RES ,2015-03-11T00:00:00.000,,2015-10-19T00:00:00.000,PARTNERSHIP                             
X,WEST 73RD STREET                ,R8          ,,1060,CL    ,RES ,2014-12-09T00:00:00.000,,2017-03-15T00:00:00.000,PARTNERSHIP                             
X,SYLVAN WAY                      ,C6-2        ,,576,,PUB ,2015-04-28T00:00:00.000,C6-4        ,2016-07-12T00:00:00.000,CORPORATION                             
X,SYLVAN WAY                      ,R9          ,,916,,RES ,2015-04-21T00:00:00.000,,2018-06-22T00:00:00.000,CORPORATION                             
X, 7TH AVENUE                     ,R7-2        ,,2006,,COM ,2014-07-22T00:00:00.000,,2014-10-09T00:00:00.000,PARTNERSHIP                             
X,EAST 94TH STREET                ,C4-6        ,,1539,,RES ,2013-05-13T00:00:00.000,,2013-05-24T00:00:00.000,PARTNERSHIP                             
