device_id,physical_address,elevator_doorfeatures,compensation_means,cwtgovernor_ropes_material,cargovernor_type,car_buffer_type,car_hoist_opening,car_counterweight_ropes_size,car_inside_area,cwtgovernor_ropes_ultimate,escalator_rise_inches,escalator_model,multicompartment,powertype,elevator_capacity_lbs,car_counterweight_ropes,counterweight_buffer,escalator_angle_of_inclination,machine_manufacturer,elevator_speed_fpm,escalator_speed,elevator_sub_type,hoist_safety_serial_number,car_hoist_cwt_or_noncwt,plunger_type,car_buffer_stroke_feet,car_to_counterweight_ratio,car_buffer_engagement_speed,car_buffer_manufacturer,counter_weight_buffer_1,conveyor_configuration,number_of_openings_rear,device_job_description,fire_service_access_elevator,car_buffer,hoist_safety_expiration_date,counter_weight_safety_type_1
1P19021,338 5 AVENUE,Interlocks,Chain,,Centrifugal,Oil,,,42.25,,,,No,AC,4000,,,,Otis,700.0,,,,,Double Plunger,1.0,1600.0,500.0,Oleo,500.0,,0.0,Pin doors on the 37th floor; remove from service for this device. All work to comply with ASME A17.1,No,,,
4P5917,108-15 48 AVENUE,Interlocks,,,,Spring,,,24.08,,,,No,AC,2100,,,,canton,150.0,,,,,,0.0,,150.0,ex,,,0.0,"FURNISH AND INSTALL THE FOLLOWING: HALL STATIONS-ALL LANDING SERVED, CAR STATION 8.7.3.31.8, POWER U",No,,,
1P37080,686 BROADWAY,Interlocks,,,,Spring,,,24.31,,,,No,AC,2000,,,,,85.0,,,,,,0.0,,85.0,existing,,,0.0,Remove device # 1P37080 and permanently discontinued as per NYC appendix K rule 8.11.14.1.2 Test / i,No,,,
1P21006,1 EAST 75 STREET,Locks & Contacts,,,,Spring,,,15.33,,,,No,AC,1400,,,,Existing,100.0,,,,,Double Plunger,0.0,40.0,100.0,Exisitng,100.0,,0.0,Provide door lock monitoring system to meet NYC Code requirements.  All work to comply with  A17.3 o,No,,,
1P0989462,1912 1 AVENUE,Interlocks,Chain,,Centrifugal,Oil,,,37.78,,,,No,AC,3500,,,,Hollister Whitney,350.0,,Elevator Used for Construction,,,Double Plunger,0.0,,350.0,Hollister Whitney,350.0,,3.0,Furnish and Install New overhead MRL Duplex elevator 2:1 roping as per ASME 17.1S 2005 / RCNY 103-08,No,,,
1P11985,268 PARK AVENUE SOUTH,Interlocks,Chain,Steel,Centrifugal,Oil,,,29.23,,,,No,AC,2500,,,,Hollister Whitney,350.0,,,,,Single Plunger,1.0,,350.0,A.B.See,350.0,,0.0,Filing this application to furnish and install a new software/hardware to existing controller to pro,No,,,
2P4966,1010 EAST  163 STREET,Interlocks,,,Centrifugal,Spring,,,23.5,,,,No,AC,2000,,,,HW,100.0,,,,,Double Plunger,0.0,1000.0,100.0,EX,100.0,,0.0,"FURNISH AND INSTALL THE FOLLOWING: HALL STATIONS-ALL LANDING SERVED 8.7.2.28, CAR STATION 8.7.2.28,",No,,,
4P11428,83-30 KEW GARDENS ROAD,Interlocks,,,,Spring,,,24.08,,,,No,AC,2000,,,,existing,200.0,,,,,Double Plunger,0.0,,200.0,existing,,,0.0,Provide door lock monitoring system to meet NYC Code requirements.  All work to comply with  A17.3 o,No,,,
4P3077,167-15 12 AVENUE,Interlocks,,,Centrifugal,Spring,,,20.71,,,,No,AC,2000,,,,TITAN,150.0,,,,,Single Plunger,0.0,40.0,150.0,EXISTING,150.0,,0.0,"To comply with ASME A17.3 of 2002, as modified by Chapter K3 of Appendix K Section 3.10.12 of the Ne",No,,,
1P3256,53 5 AVENUE,Interlocks,Chain,,Centrifugal,Oil,,,40.44,,,,No,AC,3900,,,,Hollister,300.0,,,,,Double Plunger,0.0,1600.0,300.0,oleo,300.0,,0.0,Modernization of device: Furnish and install the following new equipment:  car door contacts 8.7.2.1,No,,,
1P47939,112 EAST 73 STREET,Interlocks,,,Centrifugal,Oil,,,24.0,,,,No,AC,2500,,,,,0.0,,,,,,0.0,,0.0,,,,0.0,-Modification to the existing controller to install Door Position Monitoring System (DPM) as per req,No,,,
4P10596,118-02 111 AVENUE,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,
1P35609,268 CANAL STREET,Interlocks,,,,Spring,,,33.53,,,,No,AC,3000,,,,,100.0,,,,,,0.0,,100.0,Dover,,,0.0,PROVIDE NEW DOOR LOCK MONITORING SYSTEM PER SECTION 3.10.12 OF CHAPTER K3 OF APPENDIX K OF THE NEW Y,No,,,
1P45731,540 WEST  120 STREET,Interlocks,,,Centrifugal,Oil,,,31.89,,,,No,AC,3000,,,,IMPERIAL,700.0,,,,,Double Plunger,3.0,1200.0,700.0,HW,700.0,,0.0,"REGROOVE TRACTION SHEAVE ALL WORK TO COMPLY WITH ASME A17.1-2013 PART 2, SAFETY CODE FOR ELEVATORS A",No,,,
