block,owner_s__phone__,special_dist_name,professional_cert,efiling_filed,sign_height_roof,job_status_descrp,community___board,fully_permitted,non_profit,zoning_distr_2,zoning_distr_3,zoning_distr_1,approved
7452,7189660303,,Y,Y,0,PLAN EXAM - APPROVED                    ,503,,,,,C4-1        ,2017-08-25T00:00:00.000
5010,2126092656,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,407,2017-08-17T00:00:00.000,,,,R6          ,2017-08-17T00:00:00.000
4938,5163265353,,,Y,0,APPLICATION PROCESSED - ENTIRE          ,407,,,,,R2A         ,
806,2122576600,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,105,2017-08-03T00:00:00.000,,M1-6        ,,C6-4X       ,2017-08-03T00:00:00.000
1227,2127443300,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,107,2017-08-31T00:00:00.000,,,,C4-6A       ,2017-08-31T00:00:00.000
6241,7182246300,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,411,2017-10-03T00:00:00.000,,R4          ,,R6B         ,2017-10-03T00:00:00.000
10496,5163265353,,,Y,0,APPLICATION PROCESSED - ENTIRE          ,412,,,,,R4          ,
353,6467346681,,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,103,,,,,C6-2A       ,
7445,9142888100,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,315,2017-09-26T00:00:00.000,,,,R4          ,2017-09-26T00:00:00.000
8591,7182737575,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,318,2017-10-11T00:00:00.000,,,,C8-1        ,2017-10-11T00:00:00.000
1909,2128698580,125   ,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,110,2017-08-02T00:00:00.000,,,,C6-3        ,2017-08-02T00:00:00.000
763,7184853000,HY    ,Y,Y,0,PLAN EXAM - APPROVED                    ,104,,,,,C6-4        ,2017-09-20T00:00:00.000
1893,2126499400,,Y,Y,0,PLAN EXAM - APPROVED                    ,302,,,C5-3        ,,R7A         ,2017-08-01T00:00:00.000
1094,2125642246,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,104,2017-10-11T00:00:00.000,,,,M2-3        ,2017-10-11T00:00:00.000
838,2125639290,MID   ,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,105,2017-09-06T00:00:00.000,,C6-6        ,,M1-6        ,2017-09-06T00:00:00.000
814,2039472825,MID   ,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,105,2017-08-03T00:00:00.000,,,,C5-3        ,2017-08-03T00:00:00.000
