queens_condominium_property_address,comparable_rental_1_year_built,comparable_rental_2_est_gross_income,queens_condominium_property_neighborhood,comparable_rental_1_full_market_value,comparable_rental_1_neighborhood,comparable_rental_1_address,comparable_rental_1_total_units,postcode,community_board,comparable_rental_2_market_value_per_sqft,queens_condominium_property_market_value_per_sqft,comparable_rental_2_boro_block_lot
42-15 81 STREET,1999,1369718.0,ELMHURST,3540000,FLUSHING-NORTH,140-26 FRANKLIN AVENUE,54,11373.0,4.0,92.0,67.0,4-00531-0059
94-31 60 AVENUE,1959,1268897.0,ELMHURST,13100000,ELMHURST,80-15 41 AVENUE,287,11373.0,4.0,44.0,42.0,4-01505-0037
41-28 71 STREET,1961,142477.0,ELMHURST,658000,ELMHURST,40-10 77 STREET,18,11377.0,2.0,44.4,43.6,4-01285-0053
43-30 BEACH 46 STREET,1937,1084929.0,SUNNYSIDE,2150000,SUNNYSIDE,41-19 41 STREET,49,,,55.0,43.6,4-00189-0019
14-34 110 STREET,2000,947099.0,COLLEGE POINT,5470000,FLUSHING-NORTH,136-14 NORTHERN BOULEVARD,63,11356.0,7.0,66.0,87.0,4-05182-0009
78-10 153 AVENUE,1967,791930.0,HOWARD BEACH,1090000,OZONE PARK,94-20 ALBERT ROAD,36,11414.0,10.0,44.7,49.0,4-15739-0001
144-77 ROOSEVELT AVENUE,1999,2128510.0,FLUSHING-NORTH,3540000,FLUSHING-NORTH,140-26 FRANKLIN AVENUE,54,11354.0,7.0,70.0,67.0,4-05013-0038
175-32 56 AVENUE,1976,377128.0,FLUSHING-NORTH,499000,FLUSHING-NORTH,144-22 34 AVENUE,14,11365.0,11.0,42.3,51.0,4-08276-0658
85-15 MAIN STREET,1966,2897928.0,BRIARWOOD,3730000,BRIARWOOD,142-02 84 DRIVE,90,11435.0,8.0,65.0,63.0,4-09644-0001
36-20 168 STREET,1942,1298909.0,FLUSHING-NORTH,3030000,FLUSHING-NORTH,36-35 167 STREET,73,11358.0,7.0,49.9,49.1,4-05287-0020
104-19 39 AVENUE,2001,370481.0,CORONA,2280000,REGO PARK,99-22 67 ROAD,29,11368.0,3.0,90.0,91.0,4-03166-0067
41-14 68 STREET,1990,213287.0,WOODSIDE,595000,CORONA,40-37 97 STREET,16,11377.0,2.0,90.0,65.0,4-01317-0074
133-36 41 ROAD,1987,1356721.0,FLUSHING-NORTH,2560000,FLUSHING-NORTH,140-74 34 AVENUE,44,11355.0,7.0,78.0,71.0,4-05025-0008
139-87 35 AVENUE,1999,1352211.0,FLUSHING-NORTH,3540000,FLUSHING-NORTH,140-26 FRANKLIN AVENUE,54,11354.0,7.0,75.0,75.0,4-04977-0021
27-16 41 AVENUE,2001,625842.0,LONG ISLAND CITY,5670000,ASTORIA,14-56 31 DRIVE,63,11101.0,1.0,106.0,104.0,4-00040-0015
135-08 82 AVENUE,1962,1102141.0,BRIARWOOD,3140000,JAMAICA,88-09 148 STREET,70,11435.0,8.0,56.0,51.0,4-09712-0161
65-36 WETHEROLE STREET,1939,835237.0,REGO PARK,2830000,REGO PARK,93-54 QUEENS BOULEVARD,65,11374.0,6.0,43.3,43.6,4-03086-0002
38-11 108 STREET,1999,550569.0,CORONA,3540000,FLUSHING-NORTH,140-26 FRANKLIN AVENUE,54,11368.0,3.0,101.0,87.0,4-03169-0021
63-47 BOOTH STREET,1998,550569.0,REGO PARK,5270000,REGO PARK,66-02 AUSTIN STREET,66,11374.0,6.0,101.0,89.0,4-03169-0021
79-39 CALAMUS AVENUE,1998,519388.0,ELMHURST,1530000,REGO PARK,68-12 AUSTIN STREET,17,11373.0,4.0,75.0,89.0,4-00573-0046
2-21 BEACH 80 STREET,2004,1465042.0,HAMMELS,3910000,HAMMELS,2-14 BEACH 96 STREET,72,11693.0,14.0,111.0,87.0,4-09760-0022
102-02 ROCKAWAY BEACH BOU,2004,1465042.0,ROCKAWAY PARK,3910000,HAMMELS,2-14 BEACH 96 STREET,72,11694.0,14.0,111.0,95.0,4-09760-0022
35-50 78 STREET,1937,769482.0,JACKSON HEIGHTS,2960000,JACKSON HEIGHTS,34-20 74 STREET,65,11372.0,3.0,36.0,42.8,4-01275-0061
46-22 171 STREET,1989,156469.0,FLUSHING-NORTH,915000,FLUSHING-NORTH,43-41 162 STREET,18,,,75.0,51.0,4-07315-0034
41-05 COLLEGE POINT BOULE,1999,1465042.0,FLUSHING-NORTH,3540000,FLUSHING-NORTH,140-26 FRANKLIN AVENUE,54,,,111.0,75.0,4-09760-0022
36-25 UNION STREET,1971,1281976.0,FLUSHING-NORTH,5880000,FLUSHING-NORTH,139-81 35 AVENUE,103,11354.0,7.0,54.0,64.0,4-05022-0018
5-15 49 AVENUE,1970,625842.0,LONG ISLAND CITY,4750000,ASTORIA,27-37 27 STREET,30,11101.0,2.0,106.0,116.0,4-00040-0015
41-58 73 STREET,1991,1416012.0,ELMHURST,811000,ELMHURST,40-23 ITHACA STREET,21,11377.0,4.0,48.3,51.0,4-01566-0021
36-41 UNION STREET,1999,445365.0,FLUSHING-NORTH,3540000,FLUSHING-NORTH,140-26 FRANKLIN AVENUE,54,11354.0,7.0,39.6,52.0,4-04954-0131
160-21 SANFORD AVENUE,1926,312424.0,FLUSHING-NORTH,1100000,FLUSHING-NORTH,41-05 158 STREET,31,11358.0,7.0,54.0,49.0,4-05357-0001
106-19 50 AVENUE,2000,1369718.0,CORONA,5470000,FLUSHING-NORTH,136-14 NORTHERN BOULEVARD,63,11368.0,4.0,92.0,103.0,4-00531-0059
43-04 158 STREET,1987,751370.0,FLUSHING-NORTH,2560000,FLUSHING-NORTH,140-74 34 AVENUE,44,11358.0,7.0,53.0,51.0,4-04995-0034
14-25 BROADWAY,2005,216560.0,ASTORIA,2590000,LONG ISLAND CITY,10-28 JACKSON AVENUE,25,11106.0,1.0,96.0,104.0,4-01285-0065
132-48 MAPLE AVENUE,1991,265798.0,FLUSHING-NORTH,453000,FLUSHING-NORTH,134-10 BLOSSOM AVENUE,12,11355.0,7.0,148.0,58.0,4-04996-0007
66-83 70 STREET,2005,550569.0,MIDDLE VILLAGE,2590000,LONG ISLAND CITY,10-28 JACKSON AVENUE,25,11379.0,5.0,101.0,200.0,4-03169-0021
41-33 PARSONS BOULEVARD,1999,1320010.0,FLUSHING-NORTH,3540000,FLUSHING-NORTH,140-26 FRANKLIN AVENUE,54,11355.0,7.0,104.0,75.0,4-04977-0017
76-03 DITMARS BOULEVARD,1929,291790.0,JACKSON HEIGHTS,1020000,JACKSON HEIGHTS,35-42 73 STREET,32,11370.0,1.0,43.8,42.0,4-01291-0060
118-82 METROPOLITAN AVENU,2000,1271409.0,KEW GARDENS,5470000,FLUSHING-NORTH,136-14 NORTHERN BOULEVARD,63,11415.0,9.0,91.0,90.0,4-03155-0019
137-11 32 AVENUE,1980,1352211.0,FLUSHING-NORTH,3730000,REGO PARK,63-36 98 PLACE,66,11354.0,7.0,75.0,56.0,4-04977-0021
13-15 JACKSON AVENUE,1970,625842.0,LONG ISLAND CITY,4750000,ASTORIA,27-37 27 STREET,30,11101.0,2.0,106.0,116.0,4-00040-0015
85-24 57 AVENUE,1999,370481.0,ELMHURST,722000,ASTORIA,26-39 30 STREET,14,11373.0,4.0,90.0,76.0,4-03166-0067
41-40 UNION STREET,1961,1537751.0,FLUSHING-NORTH,8400000,FLUSHING-NORTH,41-10 BOWNE STREET,157,11355.0,7.0,49.1,67.0,4-05052-0036
111-28 37 AVENUE,2005,1176751.0,CORONA,2590000,LONG ISLAND CITY,10-28 JACKSON AVENUE,25,11368.0,3.0,105.0,108.0,4-00531-0060
23-22 30 ROAD,1928,730563.0,ASTORIA,4120000,ASTORIA,32-35 30 STREET,86,11102.0,1.0,52.0,54.0,4-00582-0049
62-10 WOODSIDE AVENUE,1964,682230.0,WOODSIDE,3790000,WOODSIDE,67-14 41 AVENUE,90,11377.0,2.0,54.0,54.0,4-01336-0052
78-03 19 DRIVE,1929,291790.0,JACKSON HEIGHTS,1020000,JACKSON HEIGHTS,35-42 73 STREET,32,11370.0,1.0,43.8,42.0,4-01291-0060
142-36 38 AVENUE,1999,876995.0,FLUSHING-NORTH,3540000,FLUSHING-NORTH,140-26 FRANKLIN AVENUE,54,11354.0,7.0,75.0,67.0,4-05104-0027
35-20 LEVERICH STREET,1964,967925.0,JACKSON HEIGHTS,2900000,JACKSON HEIGHTS,31-16 68 STREET,74,11372.0,3.0,55.0,50.0,4-01453-0010
42-51 HUNTER STREET,2005,1369718.0,LONG ISLAND CITY,2590000,LONG ISLAND CITY,10-28 JACKSON AVENUE,25,11101.0,2.0,92.0,104.0,4-00531-0059
139-35 35 AVENUE,1970,2128510.0,FLUSHING-NORTH,1860000,FLUSHING-NORTH,142-09 BARCLAY AVENUE,42,11354.0,7.0,70.0,56.0,4-05013-0038
63-26 99 STREET,1962,1289329.0,REGO PARK,13900000,FLUSHING-NORTH,42-49 COLDEN STREET,284,11374.0,6.0,93.0,73.0,4-03104-0108
72-34 AUSTIN STREET,1932,801480.0,FOREST HILLS,3140000,FOREST HILLS,71-50 AUSTIN STREET,53,11375.0,6.0,56.0,64.0,4-03258-0023
175-10 56 AVENUE,1976,377128.0,FLUSHING-NORTH,499000,FLUSHING-NORTH,144-22 34 AVENUE,14,11365.0,11.0,42.3,51.0,4-08276-0658
44-27 PURVIS STREET,2002,625842.0,LONG ISLAND CITY,4870000,ASTORIA,31-64 21 STREET,52,11101.0,2.0,106.0,104.0,4-00040-0015
149-30 88 STREET,1962,3173629.0,HOWARD BEACH,6780000,JAMAICA ESTATES,183-11 HILLSIDE AVENUE,168,11414.0,10.0,64.0,49.9,4-09950-0009
42-10 82 STREET,1927,216520.0,ELMHURST,1010000,ELMHURST,42-55 80 STREET,32,11373.0,4.0,49.0,42.8,4-01532-0016
