bronx_cooperatives_comparable_properties_address,comparable_rental_1_year_built,census_tract,comparable_rental_1_dist_from_coop_in_miles,community_board,comparable_rental_2_boro_block_lot,bronx_cooperatives_comparable_properties_est_gross_income,comparable_rental_2_full_market_value,bbl,comparable_rental_1_full_market_value,comparable_rental_2_dist_from_coop_in_miles,bronx_cooperatives_comparable_properties_gross_sqft,comparable_rental_1_market_value_per_sqft
"{'latitude': '40.877230807923', 'longitude': '-73.917899032971', 'human_address': '{""address"": ""2500 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954,29302.0,0.85,8.0,2-05920-0687,6063200,8100000.0,2057160500.0,4990000,0.9,466400,48.3
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2265 DR"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1930,,0.1,,2-03225-0094,364554,1200000.0,,1040000,0.1,46440,24.13
"{'latitude': '40.816607228367', 'longitude': '-73.89665312146', 'human_address': '{""address"": ""1019 LONGWOOD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1929,89.0,1.2,2.0,2-03071-0039,184647,447000.0,2027210042.0,473000,2.45,18300,33.0
"{'latitude': '40.825929563903', 'longitude': '-73.891991861798', 'human_address': '{""address"": ""1111 SOUTHERN BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1925,12701.0,0.3,2.0,2-02740-0007,178623,554000.0,2027270039.0,499000,0.55,21917,22.69
"{'latitude': '40.810692987625', 'longitude': '-73.924626342746', 'human_address': '{""address"": ""330 139 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1905,,0.0,,2-02301-0025,112980,250000.0,,480000,0.0,9415,41.6
"{'latitude': '40.888291972044', 'longitude': '-73.908047846175', 'human_address': '{""address"": ""525 238 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1927,,4.45,,2-05776-0605,1173393,2150000.0,,2320000,0.4,117929,24.63
"{'latitude': '40.84872487509', 'longitude': '-73.912729781876', 'human_address': '{""address"": ""1780 DAVIDSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1928,217.0,1.15,5.0,2-02506-0022,292905,1030000.0,2028610119.0,864000,1.05,42450,21.18
"{'latitude': '40.888634689386', 'longitude': '-73.903146797717', 'human_address': '{""address"": ""3875 WALDO AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1929,335.0,0.55,8.0,2-05845-1799,1485000,5080000.0,2057780879.0,2590000,0.95,150000,29.6
"{'latitude': '40.833798555414', 'longitude': '-73.921043810762', 'human_address': '{""address"": ""85 MC CLELLAN STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1926,197.0,0.4,4.0,2-02438-0080,411720,960000.0,2024790001.0,1540000,0.35,56400,23.28
"{'latitude': '40.812545732512', 'longitude': '-73.902603237709', 'human_address': '{""address"": ""590 SOUTHERN BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1924,83.0,1.9,2.0,,280791,,2026030024.0,1290000,,26742,36.0
"{'latitude': '40.848609151379', 'longitude': '-73.912813102948', 'human_address': '{""address"": ""1770 DAVIDSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1929,217.0,1.05,5.0,2-02505-0064,652016,2990000.0,2028610114.0,2380000,1.15,81502,24.54
"{'latitude': '40.879047623611', 'longitude': '-73.916693498923', 'human_address': '{""address"": ""609 KAPPOCK STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1951,29302.0,0.1,8.0,,866250,,2057250767.0,3580000,,82500,38.6
"{'latitude': '40.834743862967', 'longitude': '-73.920728376782', 'human_address': '{""address"": ""1175 GERARD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1910,197.0,1.05,4.0,2-02400-0015,409530,635000.0,2024880036.0,729000,1.05,51000,64.0
"{'latitude': '40.878456957937', 'longitude': '-73.881613428952', 'human_address': '{""address"": ""91 208 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1925,,1.8,,2-03196-0029,519680,1450000.0,,1820000,1.9,56000,32.6
"{'latitude': '40.888557878984', 'longitude': '-73.915598599857', 'human_address': '{""address"": ""3750 HUDSON MANOR TERRACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1959,309.0,0.25,8.0,2-05787-0137,1819778,4070000.0,2059190448.0,9500000,0.35,163944,40.1
"{'latitude': '40.882067054382', 'longitude': '-73.907373929873', 'human_address': '{""address"": ""315 232 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1964,,0.15,,2-05760-0112,833217,5020000.0,,1920000,0.2,75747,27.6
"{'latitude': '40.828982618893', 'longitude': '-73.924794421228', 'human_address': '{""address"": ""100 162 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1916,,0.9,,2-02505-0017,111293,685000.0,,849000,0.35,13425,42.6
"{'latitude': '40.8827465541', 'longitude': '-73.889400427016', 'human_address': '{""address"": ""3975 SEDGWICK AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1962,281.0,2.8,8.0,2-04347-0007,3663456,8130000.0,2032520052.0,9960000,1.95,393920,34.8
"{'latitude': '40.881142378294', 'longitude': '-73.9081399706', 'human_address': '{""address"": ""3125 TIBBETT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1973,289.0,3.15,8.0,2-03650-0001,2398500,4660000.0,2057140164.0,6620000,4.35,234000,29.8
"{'latitude': '40.886696758224', 'longitude': '-73.909690411599', 'human_address': '{""address"": ""3601 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1962,297.0,0.5,8.0,2-05787-0137,1329365,4070000.0,2057990073.0,5020000,0.2,115597,39.1
"{'latitude': '40.879602192154', 'longitude': '-73.836663182984', 'human_address': '{""address"": ""3410 DE REIMER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1983,46202.0,6.1,12.0,2-03895-0001,2739200,7380000.0,2052590016.0,8760000,3.5,256000,34.0
"{'latitude': '40.847569538062', 'longitude': '-73.910185559477', 'human_address': '{""address"": ""1770 WALTON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1923,22701.0,0.35,5.0,2-02829-0042,279424,873000.0,2028260011.0,923000,0.35,29600,31.1
