restaurant_item_name,calories_100g,protein,year,cholesterol,sugar_100g,trans_fat_100g
"Baskin Robbins Chocolate Fudge Ice Cream, 2.5 oz Scoop",211.0,3.0,2018,30.0,17.0,0.0
"Baskin Robbins Freeze w/ Orange Sherbet, Small",77.0,3.0,2018,15.0,13.0,0.0
"Auntie Anne's Raspberry Sweet Iced Tea, 20 fl oz",28.0,0.0,2018,0.0,7.0,0.0
"Applebee's Honey Pepper Chicken Tenders, Lunch",,26.0,2018,40.0,,
"Baskin Robbins Jamoca Ice Cream, 4 oz Scoop",195.0,5.0,2018,55.0,15.0,0.0
Baskin Robbins Brownie a la Mode,333.0,3.0,2018,20.0,33.0,0.0
Baskin Robbins Banana Royale Sundae,204.0,10.0,2018,85.0,19.0,0.0
"Baskin Robbins Chocolate Chip Milkshake, Medium",151.0,22.0,2018,185.0,15.0,0.0
7 Eleven Breakfast Sandwiches,,,2018,,,
"Baskin Robbins Extra Thick Shake, Vanilla, Large",107.0,24.0,2018,100.0,14.0,0.0
Baskin Robbins OREO Layered Sundae,283.0,13.0,2018,100.0,27.0,0.0
"Auntie Anne's Peach Sweet Iced Tea, 16 fl oz",26.0,0.0,2018,0.0,7.0,0.0
7 Eleven Caprese Side Salad,,,2018,,,
Auntie Anne's Pepperoni Pretzel,303.0,15.0,2018,30.0,7.0,0.0
7 Eleven Classic Chicken Sandwich,,,2018,,,
"Arby's Curly Fries, Large",323.0,8.0,2018,0.0,0.0,0.0
Arby's Chicken Biscuit,291.0,13.0,2018,15.0,1.0,0.0
Auntie Anne's Cinnamon Sugar Nuggets,279.0,9.0,2018,0.0,21.0,0.0
7 Eleven Fudge Brownie,,,2018,,,
Auntie Anne's 14 Pepperoni Pretzel Nuggets,,,2018,,,
Baskin Robbins Oreo n Cake Ice Cream Quart,263.0,3.0,2018,25.0,25.0,0.0
"Baskin Robbins Oreo n Cookies Cappuccino Blast, Small",108.0,7.0,2018,45.0,12.0,0.0
Applebee's All Day Brunch Burger,,58.0,2018,355.0,,
"Applebee's Honey BBQ Sauce, for Riblets Initial Order",,2.0,2018,0.0,,
7 Eleven Balsamic Chicken Salad,,,2018,,,
"Baskin Robbins Mint Chocolate Chip Milkshake, Small",152.0,15.0,2018,125.0,15.0,0.0
"Baskin Robbins Chocolate Chip Cookie Dough Ice Cream, 4 oz Scoop",248.0,5.0,2018,55.0,20.0,0.0
"Applebee's Chicken Fajita Rollup, Lunch",,34.0,2018,115.0,,
Applebee's Double Crunch Shrimp,,34.0,2018,200.0,,
Arby's Bacon & Cheese Croissant,398.0,13.0,2018,50.0,4.0,0.0
"Auntie Anne's Frozen Lemonade, 20 oz",53.0,0.0,2018,0.0,13.0,0.0
"Baskin Robbins Gold Medal Ribbon Milkshake, Large",151.0,28.0,2018,220.0,16.0,0.0
Applebee's Sun Orchard Lemonade,31.0,0.0,2018,0.0,7.0,0.0
Applebee's Grilled Chicken Breast,,38.0,2018,125.0,,
"Baskin Robbins Chocolate Chip Cookie Dough Milkshake, Small",168.0,14.0,2018,125.0,17.0,0.0
"Auntie Anne's Raspberry Unsweetened Iced Tea, 20 fl oz",0.0,0.0,2018,0.0,0.0,0.0
7 Eleven Brookie,,,2018,,,
Applebee's New England Fish & Chips,,55.0,2018,160.0,,
Baskin Robbins Brownie Sundae,288.0,13.0,2018,110.0,26.0,0.0
Applebee's Mango Iced Tea,,0.0,2018,0.0,,
"Arby's Ham, Egg & Cheese Biscuit",232.0,21.0,2018,165.0,2.0,0.0
Arby's Loaded Italian,221.0,32.0,2018,100.0,2.0,0.0
Applebee's Irish Peach Sour,,0.0,2018,0.0,,
Arby's Smokehouse Pork Belly Sandwich,347.0,29.0,2018,105.0,5.0,0.0
"Baskin Robbins Mango Banana Smoothie, Medium",91.0,8.0,2018,5.0,19.0,0.0
"Baskin Robbins Coke Float, Small",88.0,5.0,2018,80.0,10.0,0.0
"Baskin Robbins Mango Banana Smoothie, Small",97.0,5.0,2018,0.0,20.0,0.0
"Baskin Robbins Extra Thick Shake, Strawberry, Small",126.0,11.0,2018,50.0,19.0,0.0
"Applebee's Thai Shrimp Salad, Salads",,25.0,2018,140.0,,
Applebee's Wood Fired Grilled Veggies,,2.0,2018,15.0,,
Applebee's Sierra Mist,22.0,0.0,2018,0.0,6.0,0.0
"Arby's Jamocha Shake, Small",131.0,13.0,2018,55.0,19.0,0.0
"Baskin Robbins Extra Thick Shake, Jamoca, Small",121.0,14.0,2018,60.0,16.0,0.0
"Baskin Robbins No Sugar Added Peanut Buttery Bar Blast Ice Cream, 2.5 oz Scoop",211.0,4.0,2018,15.0,6.0,0.0
Baskin Robbins Pistachio Almond Fudge Ice Cream Quart,237.0,4.0,2018,30.0,16.0,0.0
Applebee's Pomegranate Sparkler,,0.0,2018,0.0,,
"Applebee's Texas Style BBQ Sauce, for Applebees Riblets Platter",,1.0,2018,5.0,,
Auntie Anne's 12 Mini Pretzel Dogs,275.0,25.0,2018,85.0,4.0,0.0
Applebee's Chicken Tenders Platter,,54.0,2018,110.0,,
Applebee's Lemon Olive Oil Vinaigrette,,0.0,2018,0.0,,
"Baskin Robbins Made w/ M&M's 31� Below, Medium",220.0,22.0,2018,80.0,28.0,0.0
"Arby's Curly Fries, Medium",324.0,6.0,2018,0.0,0.0,0.0
7 Eleven Big Gulp Drink Plus One,,,2018,,,
Applebee's Chicken Mac N Cheese,,41.0,2018,135.0,,
Applebee's Cheddar Cheese,,5.0,2018,20.0,,
Applebee's Wildberry Frozen Lemonade,,1.0,2018,0.0,,
"Baskin Robbins Mocha Cappuccino Blast, Medium",90.0,9.0,2018,80.0,10.0,0.0
"Applebee's Riblets, Refill Order",,33.0,2018,110.0,,
Applebee's Pomegranate Iced Tea,,0.0,2018,0.0,,
"Applebee's Coke Zero, 16 oz",0.0,0.0,2018,0.0,0.0,0.0
Baskin Robbins Chocolate Mint Cake,259.0,4.0,2018,40.0,24.0,0.0
"Auntie Anne's Orange Fanta, 21 oz",37.0,0.0,2018,0.0,10.0,0.0
"Baskin Robbins Oreo 31� Below, Medium",159.0,19.0,2018,70.0,17.0,0.0
"Auntie Anne's Coca Cola Diet, 16 oz",0.0,0.0,2018,0.0,0.0,0.0
"Baskin Robbins Extra Thick Shake, Strawberry, Large",110.0,19.0,2018,80.0,17.0,0.0
7 Eleven 6 Mini Breakfast Sausage Empanadas,,,2018,,,
Applebee's Pepper Crusted Sirloin & Whole Grains,,30.0,2018,60.0,,
7 Eleven 100% Colombian Coffee,,,2018,,,
7 Eleven Homestyle Turkey Chili,,,2018,,,
7 Eleven Blueberry Muffin,,,2018,,,
Applebee's Extra Bacon,,7.0,2018,20.0,,
Baskin Robbins Cakes,,,2018,,,
7 Eleven Go!Yum Candy Bars,,,2018,,,
"Applebee's Honey BBQ Sauce, for Combo Sauces & Build Your Sampler",,1.0,2018,0.0,,
"7 Eleven Energy Shot, Watermelon",,,2018,,,
7 Eleven Cheese Lasagna w/ Meat Sauce,,,2018,,,
Applebee's Chicken Grillers,,38.0,2018,125.0,,
"Baskin Robbins Oreo Cookies n Cream Ice Cream, 4 oz Scoop",230.0,5.0,2018,50.0,18.0,0.0
"Baskin Robbins Pink Bubblegum Ice Cream, 2.5 oz Scoop",225.0,3.0,2018,30.0,24.0,0.0
Applebee's Spinach & Artichoke Chicken Cavatappi,,50.0,2018,85.0,,
