female_count,hispanic_or_latino_a,american_indian_or_alaskan,decline_to_answer_percentage
544,14.32,9,4.39
17,0.0,0,
98,0.0,0,
16,0.07,1,0.21
16,0.5,0,0.0
775,44.25,23,1.32
1,0.03,0,0.0
67,0.1,0,0.03
18,0.46,0,0.0
138,5.32,1,0.1
44,0.0,2,
32,0.14,0,0.21
984,52.07,17,0.0
11,0.0,0,
856,14.89,6,0.46
437,14.53,7,3.17
6,0.1,0,0.0
343,20.0,7,2.78
3,0.03,0,0.0
440,8.39,9,0.35
2,0.0,0,
28,0.0,0,
11,0.35,0,0.0
145,1.46,1,1.6
1,0.0,0,
11,0.17,0,0.14
67,1.82,0,0.0
1736,81.75,25,1.25
43,0.0,1,
16,0.25,4,0.03
0,0.0,0,
1,0.0,0,0.03
20,0.28,0,0.0
2,0.07,0,0.0
2,0.03,0,0.0
2,0.0,0,0.0
10,0.25,0,0.0
46,0.5,2,0.85
3,0.1,0,0.0
3,0.03,0,0.0
2,0.03,0,0.0
991,36.32,14,0.92
12,0.0,0,
105,0.0,3,
0,0.1,0,0.0
49,0.0,0,
5,0.07,0,0.0
188,0.35,0,0.07
24,0.64,2,0.07
4,0.17,0,0.0
46,2.17,0,0.71
8,0.03,0,0.0
148,0.0,1,
12,0.64,1,0.0
18,0.0,0,
15,0.07,0,0.03
193,0.0,4,
5,0.17,0,0.0
114,1.42,0,0.25
24,0.89,0,0.28
228,6.92,4,0.64
19,0.28,0,0.07
1,0.0,0,
131,0.57,0,0.89
10,0.67,0,0.07
10,0.53,0,0.0
3,0.21,1,0.0
7,0.32,1,0.1
10,0.0,0,
34,1.64,0,0.0
1,0.03,0,0.0
3,0.0,0,
14,0.25,0,0.21
84,0.0,0,
9,0.07,0,0.0
27,0.85,0,0.03
316,3.42,7,0.53
20,1.14,0,0.07
9,0.03,0,0.0
246,5.71,2,0.17
15,0.6,1,0.28
5,0.1,1,0.07
661,5.78,3,0.39
101,0.06,3,
46,1.21,0,0.35
9,0.35,2,0.0
11,0.1,0,0.0
203,0.0,2,
1,0.07,1,0.0
44,0.0,2,
195,0.0,0,
9,0.14,0,0.35
484,0.37,1,
851,45.61,25,11.64
0,0.0,0,0.0
80,2.35,0,0.0
3,0.07,0,0.03
0,0.0,0,
7,0.14,0,0.0
401,3.07,1,0.14
10,0.0,0,
135,8.53,10,0.25
60,0.0,2,
70,0.0,2,
9,0.0,0,
626,7.78,6,6.21
18,0.0,0,
1,0.03,0,0.0
32,0.0,0,
204,0.0,2,
77,0.25,0,0.21
343,9.25,3,3.35
31,0.96,0,0.0
644,1.54,7,
65,1.92,1,1.5
19,0.5,0,0.03
3,0.07,0,0.0
95,2.03,0,0.0
8,0.1,0,0.0
38,0.03,0,0.25
29,0.0,0,
27,0.67,0,0.07
203,12.6,5,0.64
109,4.1,0,0.07
56,2.14,2,0.25
24,1.1,0,0.0
747,0.3,5,
1,0.0,0,0.0
5,0.0,0,
6,0.28,1,0.0
104,1.46,4,2.32
3,0.03,0,0.0
445,8.67,2,0.17
36,0.35,1,0.03
1,0.0,0,
13,0.1,1,0.03
127,0.0,0,
2,0.0,0,0.0
2,0.07,0,0.07
165,8.46,4,0.5
3,0.07,0,0.0
28,0.0,0,
13,0.67,0,0.0
5,0.0,0,
79,0.0,0,
586,8.28,1,6.07
620,22.32,15,1.82
125,0.75,2,0.5
21,0.07,0,0.0
280,4.03,0,3.92
45,0.06,0,
35,1.42,0,0.07
3,0.03,0,0.0
29,0.46,2,0.28
4,0.0,0,
1,0.03,0,0.0
54,0.0,0,
5,0.1,1,0.03
1,0.0,0,0.0
29,1.35,0,0.0
7,0.14,0,0.03
1,0.0,0,0.0
6,0.0,0,
0,0.0,0,0.0
21,1.03,1,0.03
2,0.0,0,0.0
5,0.03,1,0.0
1486,16.78,7,0.0
408,8.14,6,3.35
0,0.03,0,0.0
70,0.0,0,
3,0.0,0,
6,0.21,2,0.0
5,0.1,0,0.14
17,0.21,0,0.0
0,0.07,0,0.0
149,7.17,5,1.21
8,0.28,0,0.03
4,0.0,1,
6,0.0,0,
626,15.46,8,3.03
11,0.07,0,0.0
109,3.92,0,0.17
1,0.03,0,0.0
14,0.0,0,0.0
8,0.21,0,0.0
