provider_name,personnel_amt,expense_amt,total_meals_cost,bin,postcode,address2,council_district,prep_for_others1,ultilization
QUEENSBRIDGE-RIIS NSC,356386.22,453165.55,8.57,4433386.0,11101,,26,No,100%+
REGO PARK NSC,429057.79,462254.74,7.75,4050408.0,11374,,29,No,100%+
TILDEN NEIGHBORHOOD SENIOR CENTER,307469.4,156932.97,6.2,3326549.0,11212,,42,Yes,100%+
MARBLE HILL NEIGHBORHOOD SENIOR CENTER,303090.65,169189.2,5.65,1082782.0,10463,,10,No,25%
SOUNDVIEW HOUSE SOCIAL CLUB,105680.06,608816.77,7.2,2092638.0,10473,,18,,100%+
STANLEY ISAACS NEIGHBORHOOD SENIOR CTR,666950.45,472213.8,11.67,1082367.0,10128,,5,No,100%+
SAMUEL FIELD NEIGHBORHOOD SENIOR CENTER,362152.95,709500.74,7.51,4173029.0,11362,,23,No,100%+
MOTT STREET NEIGHBORHOOD SENIOR CENTER,459775.37,320768.83,6.1,1007156.0,10012,,1,No,100%+
REMSEN NEIGHBORHOOD SENIOR CENTER,490748.45,410685.77,11.18,3111409.0,11203,,41,No,100%+
THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,690100.67,482027.16,8.12,2010507.0,10460,1 Floor,17,No,100%+
WASHINGTON HEIGHTS NEIGHBORHOOD SR CTR,472884.19,370812.74,6.25,1075520.0,10033,,10,No,100%+
HUGH GILROY NEIGHBORHOOD SENIOR CENTER,314188.8,342940.1,10.9,,11233,,41,No,100%+
SHEUER HOUSE OF CI NEIGHBORHOOD SR CTR,265636.47,585700.46,7.95,3321762.0,11224,,47,No,100%+
DREISER NEIGHBORHOOD SENIOR CENTER,279794.04,428553.86,10.46,2097469.0,10475,,12,No,100%+
SWINGING 60S SENIOR CENTER,233050.89,285610.26,10.47,3069039.0,11211,,33,No,100%+
N SHOPP LEON NEIGHBORHOOD SENIOR CENTE,383588.16,492922.13,11.13,2091979.0,10455,,8,No,100%+
WEST 65TH STREET CENTER,325824.98,337085.38,11.2,1079511.0,10024,,6,No,100%+
TERESA MOORE NEIGHBORHOOD SENIOR CENTER,345443.06,573780.62,10.21,3326995.0,11208,,37,No,100%+
SEDGWICK HOUSES SOCIAL CLUB,130534.29,509225.38,4.46,2092105.0,10453,,14,,100%+
CCNS DELLAMONICA-STEINWAY NSC,525611.78,882558.02,11.89,4006560.0,11106,,22,No,100%+
HANAC INC,708084.29,934850.26,7.23,4537921.0,11102,,22,No,100%+
SR CITIZENS LEAGUE OF FLATBUSH NBH SR CT,461175.81,745466.95,13.62,3170453.0,11230,,40,No,100%+
CARTER BURDEN ISC,796655.84,1300429.0,8.56,1074278.0,10029,,8,Yes,100%+
SETH LOW SOCIAL CLUB,171338.91,724614.86,7.13,3327015.0,11212,,42,No,100%+
CORSI HOUSE NEIGHBORHOOD SENIOR CENTER,385304.55,180557.28,5.79,1079357.0,10029,,8,Yes,100%+
VAN CORTLANDT NEIGHBORHOOD SENIOR CENT,304198.46,423586.73,14.64,2086830.0,10463,,10,No,100%+
OCEAN PARKWAY NEIGHBORHOOD SENIOR CENTER,378822.94,414207.89,8.73,3178703.0,11223,,44,Yes,100%+
CENTRAL HARLEM KENNEDY SENIOR CENTER,463742.39,286034.6,18.14,1083985.0,10037,,9,Yes,100%+
ARMSTRONG SOCIAL CLUB,75403.51,517893.87,0.0,3350437.0,11216,1M,36,No,100%+
ALLEN COMMUNITY NEIGHBORHOOD SENIOR CT,358273.3,595824.93,9.49,4435290.0,11434,Suite1,27,Yes,100%+
JASA ONE STOP,344606.79,391642.56,0.0,,10115,,7,,100%+
FIND AID FOR THE AGED INC,1001096.95,1115001.48,9.87,1030011.0,10023,,6,No,100%+
PENN WORTMAN NEIGHBORHOOD SENIOR CENTER,289675.37,316762.82,5.59,3324011.0,11207,,42,No,79%
YOUNG ISRAEL SR SERVICES NBH SR CTR,358052.59,615848.26,10.13,3180733.0,11230,,40,No,100%+
MIDWOOD NEIGHBORHOOD SENIOR CENTER,258833.13,175050.07,9.56,3218178.0,11234,,45,No,100%+
SUMNER HOUSE SOCIAL CLUB,119205.0,154187.28,34.08,3324728.0,11206,,34,,100%+
MELTZER TOWER SOCIAL CLUB,144222.93,557701.51,10.23,1005537.0,10002,,1,No,100%+
RAIN GUNHILL NEIGHBORHOOD SENIOR CENTER,307995.55,448063.82,10.85,2087299.0,10467,,11,Yes,100%+
KRAKUS LUNCHEON CLUB NEIGHBORHOOD SC,439518.7,124968.0,13.14,3064615.0,11222,,33,Yes,100%+
KING TOWERS SOCIAL CLUB,167613.93,345863.78,0.0,1083312.0,10026,,9,No,100%+
VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIRED,587697.4,755918.89,6.33,1014949.0,10011,Selis Manor,3,,100%+
COUNCIL CENTER FOR SENIOR CITIZENS NSC,587059.65,671201.23,6.81,3176314.0,11223,,44,No,100%+
STAPLETON NEIGHBORHOOD SENIOR CENTER,229490.24,400703.73,5.98,,10314,,50,No,100%+
WILLIAM HODSON NEIGHBORHOOD SENIOR CTR,471528.0,392112.7,8.21,2092074.0,10456,,16,No,100%+
GOOD COMPANIONS NEIGHBORHOOD SENIOR CENT,521018.37,705837.2,9.66,1077526.0,10002,,1,No,100%+
CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,204597.79,420444.92,7.46,3413856.0,11212,,42,No,100%+
GRAND COALITION OF SENIORS NSC,452530.99,825989.97,7.62,1084357.0,10002,,1,No,100%+
SHALOM NEIGHBORHOOD SENIOR CENTER,288719.71,765251.78,13.93,3038418.0,11203,,41,No,100%+
BAY RIDGE NEIGHBORHOOD SENIOR CENTER,442775.86,446509.97,15.61,3145772.0,11209,,43,Yes,100%+
LOS SURES DAVID SANTIAGO NEIGHBORHOOD SC,271397.47,482594.06,10.11,3321304.0,11211,,33,No,100%+
RAIN EASTCHESTER NEIGHBORHOOD SENIOR C,421557.81,20665.71,9.77,2093501.0,10469,,12,No,100%+
HOPE GARDENS MULTI SERVICE NSC,433365.31,369154.35,7.77,3076116.0,11221,,37,No,100%+
NEW LANE NEIGHBORHOOD SENIOR CENTER,376961.88,405789.26,9.82,5042254.0,10305,,50,No,100%+
THROGS NECK NEIGHBORHOOD SENIOR CENTER,243819.72,336599.67,7.06,2080423.0,10465,,13,No,100%+
SHOREFRONT NEIGHBORHOOD SENIOR CENTER,328765.7,437560.25,6.64,3326880.0,11235,,48,No,100%+
BROOKVILLE NSC,321679.54,323207.3,9.04,4279577.0,11422,LL,31,No,0%
SAINT NICHOLAS SOCIAL CLUB,184911.48,619646.57,10.87,1081515.0,10027,,7,No,100%+
RIDGEWOOD OLDER ADULT NEIGHBORHOOD SC,387192.0,279262.37,9.46,4084122.0,11385,,30,No,100%+
QUEENS VALLEY NSC,289251.24,310113.99,13.46,4143547.0,11367,,24,No,100%+
SR CITIZENS LEAGUE OF MIDWOOD NBH SR. CT,448447.47,273461.02,13.12,3208316.0,11230,,40,Yes,100%+
CCNS OZONE PARK NSC,324498.36,886221.17,10.48,4198392.0,11416,,28,Yes,100%+
HEIGHTS NEIGHBORHOOD SENIOR CENTER,365472.57,107832.5,6.23,2008966.0,10453,,14,Yes,100%+
CPC NAN SHAN NSC,252123.34,538044.55,7.06,4617434.0,11355,,20,No,100%+
WEINBERG CENTER FOR BALANCED LIVING,615540.57,680343.53,9.14,1003704.0,10002,,1,No,100%+
INTERNATIONAL TOWERS SENIOR CENTER,197171.02,81265.3,12.93,4209721.0,11432,,24,,100%+
FARRAGUT SENIOR CENTER,113276.57,80696.25,18.95,3325909.0,11201,,33,No,100%+
MOUNT LORETTO NEIGHBORHOOD SENIOR CEN,468567.02,490465.47,9.92,5123970.0,10309,BLD #6,51,No,56%
STEIN NEIGHBORHOOD SENIOR CENTER,390780.48,610103.26,15.39,1019664.0,10010,,2,No,100%+
ABE STARK NEIGHBORHOOD SENIOR CENTER,319782.74,716773.85,5.72,3229152.0,11236,,42,Yes,84%
RED HOOK NEIGHBORHOOD SENIOR CENTER,350557.17,498759.29,8.59,3339412.0,11231,,39,No,100%+
LAGUARDIA NEIGHBORHOOD SENIOR CENTER,502968.09,720685.71,3.84,1003211.0,10002,,1,No,100%+
CCNS WOODHAVEN NSC,300529.42,622013.61,7.6,4185709.0,11421,,32,No,100%+
