property_id,property_name,address_1,difference_from_national_2,strip_mall_gross_floor_area,estimated_data_flag_1,difference_from_national_1,hospital_general_medical_8,alert_meter_has_overlaps,office_gross_floor_area_ft,estimated_values,data_center_pdu_output_meter,electricity_use_grid_purchase,office_number_of_workers,medical_office_mri_machine,municipally_supplied_potable,primary_property_type_self,data_quality_checker_date,hospital_general_medical_15,financial_office_number_of,electricity_use_grid_purchase_1,estimated_data_flag_fuel_1,fuel_oil_5_6_use_kbtu,hospital_general_medical_14,metered_areas_energy,energy_cost,performing_arts_gross_floor,convention_center_gross_floor,costar_property_id,fitness_center_health_club,direct_ghg_emissions_metric,hotel_worker_density_number,energy_star_certification_3,college_university_gross,multifamily_housing_number_6,weather_normalized_site_energy,medical_office_number_of_1,data_center_it_equipment,natural_gas_cost,data_quality_checker_run,multifamily_housing_total_1,restaurant_gross_floor_area,multifamily_housing_total,other_number_of_workers_on,weather_normalized_site_1,energy_star_certification_1,medical_office_number_of,hospital_general_medical_2,nyc_building_identification,k_12_school_gross_floor_area,release_date,ambulatory_surgical_center,office_percent_that_can_be,energy_star_certification_2,community_board,fuel_oil_4_use_kbtu,office_worker_density_number,national_median_energy_cost,retail_store_open_or_closed,national_median_site_eui,electricity_use_generated_2,estimated_savings_from_energy,default_values,district_steam_use_kbtu,hospital_general_medical_11,bank_branch_number_of,difference_from_national,county,multifamily_housing_number,data_center_ups_system
2610158,Research and Learning Center,3840 Corlear Avenue,Not Available,Not Available,Not Available,0.6,Not Available,Ok,Not Available,No,Not Available,2338653,Not Available,Not Available,Not Available,Other - Education,Not Available,Not Available,Not Available,2338653,Not Available,Not Available,Not Available,Whole Building,125568.81,Not Available,Not Available,Not Available,Not Available,38.6,Not Available,No,Not Available,Not Available,2989906.1,Not Available,Not Available,8839.4,No,Not Available,Not Available,Not Available,Not Available,0.1,Not Available,Not Available,Not Available,2084004,Not Available,2015-04-01T12:27:22.000,Not Available,Not Available,Not Available,208.0,Not Available,Not Available,124880.11,Not Available,53.5,Not Available,0,No,Not Available,Not Available,Not Available,0.6,Not Available,Not Available,Not Available
2607208,"Advanced: Crestwood Bayview, Inc.",130 Bay Ridge Parkway,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,78,Not Available,Not Available,Not Available,Not Available,No,1.29689,Not Available,78,Not Available,Not Available,Not Available,Not Available,Not Available,3128654,Not Available,2015-05-01T17:56:43.000,Not Available,Not Available,Not Available,310.0,Not Available,Not Available,85625.76,Not Available,59.6,Not Available,0,No,Not Available,Not Available,Not Available,Not Available,Kings,42,Not Available
2640594,192-10 69 Ave,192-10 69 Ave,Not Available,Not Available,Not Available,142.4,Not Available,Ok,Not Available,No,Not Available,967520.3,Not Available,Not Available,Not Available,Multifamily Housing,2015-04-23,Not Available,Not Available,967520.4,Not Available,Not Available,Not Available,Whole Building,63127.32,Not Available,Not Available,Not Available,Not Available,282.7,Not Available,No,Not Available,0,6293781.5,Not Available,Not Available,0,Yes,3.62319,Not Available,50,Not Available,3.9,Not Available,Not Available,Not Available,4443994,Not Available,2015-04-24T12:18:05.000,Not Available,Not Available,Not Available,408.0,Not Available,Not Available,26043.68,Not Available,188,Not Available,0,No,Not Available,Not Available,Not Available,142.4,Not Available,87,Not Available
2638823,939 Eighth Ave,939 Eigth Avenue,Not Available,Not Available,Not Available,69.1,Not Available,Ok,Not Available,No,Not Available,1743020.9,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,1743020.9,Not Available,4533329.2,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,447.7,Not Available,No,Not Available,31,Not Available,Not Available,Not Available,Not Available,No,0.60297,Not Available,31,Not Available,Not Available,Not Available,Not Available,Not Available,1080916,Not Available,2015-04-29T17:00:59.000,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,87.1,Not Available,0,Yes,Not Available,Not Available,Not Available,69.1,Not Available,71.98,Not Available
2562061,"ROSENBERG: 2527 Valentine Realty, L.L.C.",1919 Williamsbridge Road,Not Available,Not Available,Not Available,-8.8,Not Available,Ok,Not Available,No,Not Available,938750.3,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,938750.4,No,Not Available,Not Available,Whole Building,0,Not Available,Not Available,Not Available,Not Available,466.4,Not Available,No,Not Available,54,6961235.9,Not Available,Not Available,0,No,0.98945,Not Available,54,Not Available,0.1,Not Available,Not Available,Not Available,2013613,Not Available,2015-04-30T20:46:12.000,Not Available,Not Available,Not Available,211.0,5945704.1,Not Available,0,Not Available,145.5,Not Available,0,No,Not Available,Not Available,Not Available,-8.8,Bx.,199,Not Available
2606006,865 Walton,865 Walton Avenue,Not Available,Not Available,Not Available,-1.9,Not Available,Ok,2665,No,Not Available,1609547.1,17,Not Available,Not Available,Multifamily Housing,2015-04-24,Not Available,Not Available,1609547.2,Not Available,1884930,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,143.7,Not Available,No,Not Available,46,3526141.6,Not Available,Not Available,655.55,Yes,0.95214,3255,46,1,0,Not Available,Not Available,Not Available,2002910,Not Available,2015-04-27T14:28:25.000,Not Available,100,Not Available,204.0,Not Available,6.37899,Not Available,Not Available,64.5,Not Available,0,No,Not Available,Not Available,Not Available,-1.9,Bronx,70,Not Available
2564478,257 West 117th Street,257 West 117th Street,Not Available,Not Available,Not Available,-26.7,Not Available,Ok,Not Available,No,Not Available,1842585.3,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,1842585.4,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,93.8,Not Available,No,Not Available,47,3615948.9,Not Available,Not Available,Not Available,No,0.47054,Not Available,47,Not Available,0.2,Not Available,Not Available,Not Available,1058390,Not Available,2015-07-31T15:12:54.000,Not Available,Not Available,Not Available,110.0,Not Available,Not Available,Not Available,Not Available,49.3,Not Available,0,No,Not Available,Not Available,Not Available,-26.7,Not Available,62,Not Available
2383984,25 East 83rd Street,25 East 83rd Street,Not Available,Not Available,Not Available,-29.6,Not Available,Ok,Not Available,No,Not Available,2722299.3,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,2722299.3,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,29,Not Available,No,Not Available,0,3283906.9,Not Available,Not Available,0,No,0.94368,Not Available,88,Not Available,0.1,Not Available,Not Available,Not Available,1046802,Not Available,2015-07-31T15:12:54.000,Not Available,Not Available,Not Available,108.0,Not Available,Not Available,Not Available,Not Available,49.8,Not Available,0,No,Not Available,Not Available,Not Available,-29.6,Not Available,154,Not Available
2636859,2691 Reservoir Avenue,2691 Reservoir Avenue,Not Available,Not Available,Not Available,62.4,Not Available,Ok,Not Available,No,Not Available,2160816.5,Not Available,Not Available,Not Available,Multifamily Housing,2015-04-21,Not Available,Not Available,2160816.5,Not Available,Not Available,Not Available,Whole Building,0,Not Available,Not Available,Not Available,Not Available,349.3,Not Available,No,Not Available,64,8737496.4,Not Available,Not Available,0,Yes,1.16201,Not Available,64,Not Available,1.2,Not Available,Not Available,Not Available,2015248,Not Available,2015-04-26T11:32:24.000,Not Available,Not Available,Not Available,208.0,Not Available,Not Available,0,Not Available,97.7,Not Available,0,No,Not Available,Not Available,Not Available,62.4,Not Available,120,Not Available
2214240,55 Broadway,55 Broadway,Not Available,Not Available,Not Available,-31.2,Not Available,Ok,363378,No,Not Available,21244905.5,1000,Not Available,Not Available,Office,2015-04-20,Not Available,Not Available,21244906.7,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,17.5,Not Available,Yes,Not Available,Not Available,28285915.6,Not Available,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,0,03/04/2013,Not Available,Not Available,1000807,Not Available,2015-04-23T09:54:48.000,Not Available,100,09/30/2013,101.0,Not Available,2.75196,Not Available,Not Available,115.2,Not Available,0,No,7239287.8,Not Available,Not Available,-31.2,Not Available,Not Available,Not Available
