latitude,longitude,non_refrigerated_warehouse,distribution_center_gross,release_date,electricity_use_grid_purchase_2,retail_store_open_or_closed,convention_center_gross_floor,occupancy,office_percent_that_can_be_1,museum_gross_floor_area_ft,data_center_it_site_energy,third_party_certification,percent_of_electricity_that,office_percent_that_can_be,estimated_values_water,multifamily_housing_number,weather_normalized_source,national_median_reference,data_center_gross_floor_area,data_center_national_median,office_worker_density_number,hospital_general_medical_4,number_of_buildings,electricity_use_generated_1,largest_property_use_type_1,water_current_date,food_sales_gross_floor_area,estimated_data_flag_district,multifamily_housing_percent_1,repair_services_vehicle_shoe,property_gfa_self_reported,nta,financial_office_computer,retail_store_percent_that,natural_gas_use_kbtu,courthouse_gross_floor_area,parking_gross_floor_area,alert_energy_meter_has_less,leed_us_project_id,total_ghg_emissions_metric,multifamily_housing_government,hospital_general_medical_8,alert_data_center_issue_with,wholesale_club_supercenter,energy_star_certification_1,supermarket_grocery_open,property_gfa_calculated_1,alert_energy_meter_has,percent_of_total_electricity,last_modified_date_non,parent_property_name,enclosed_mall_gross_floor
40.753383,-73.978871,Not Available,Not Available,2019-04-26T17:17:04.000,50523394.7,0,Not Available,100,100,Not Available,276063,Not Available,0,100,No,Not Available,198.7,CBECS - Office & Bank/Financial,1824,Not Available,5.33944,Not Available,1,Not Available,797649.0,03/31/2019,Not Available,No,Not Available,Not Available,810475,Midtown-Midtown South,Not Available,100,Not Available,Not Available,Not Available,Ok,Not Available,5391.4,Not Available,Not Available,Ok,Not Available,07/26/2018,Not Available,810475.0,Ok,Not Available,04/25/2019 08:11 PM EDT,Not Applicable: Standalone Property,Not Available
40.694125,-73.790675,Not Available,Not Available,2019-05-01T15:32:48.000,2257379.2,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,111.9,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,126525.0,Not Available,Not Available,Not Available,Not Available,Not Available,126525,South Jamaica,Not Available,Not Available,6511600.2,Not Available,Not Available,Ok,Not Available,618,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,126525.0,Ok,Not Available,04/11/2019 11:58 AM EDT,Not Applicable: Standalone Property,Not Available
40.879368,-73.909896,Not Available,Not Available,2019-05-01T15:32:48.000,6662953.6,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,155.7,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,162677.0,Not Available,Not Available,Not Available,Not Available,Not Available,162677,Spuyten Duyvil-Kingsbridge,Not Available,Not Available,6647400,Not Available,Not Available,Ok,Not Available,967.7,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,162677.0,Ok,Not Available,04/09/2019 02:10 PM EDT,Not Applicable: Standalone Property,Not Available
40.641157,-73.993482,Not Available,Not Available,2019-05-01T15:32:48.000,1639124.8,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,105.4,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,103200.0,Not Available,Not Available,Not Available,Not Available,Not Available,103200,Borough Park,Not Available,Not Available,57300,Not Available,Not Available,Ok,Not Available,588.2,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,103200.0,Ok,Not Available,04/09/2019 04:47 PM EDT,Not Applicable: Standalone Property,Not Available
40.709196,-74.012022,Not Available,Not Available,2019-05-01T15:32:48.000,4461531.2,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,226.4,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,115125.0,Not Available,Not Available,No,Not Available,Not Available,115125,Battery Park City-Lower Manhattan,Not Available,Not Available,46700,Not Available,Not Available,Ok,Not Available,1126.8,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,115125.0,Ok,Not Available,04/09/2019 04:46 PM EDT,Not Applicable: Standalone Property,Not Available
40.716668,-74.013542,Not Available,Not Available,2019-05-01T15:32:48.000,4080752,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,114125.0,Not Available,Not Available,Not Available,Not Available,Not Available,114125,Battery Park City-Lower Manhattan,Not Available,Not Available,4307000.1,Not Available,Not Available,Ok,Not Available,605.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,114125.0,Ok,Not Available,04/09/2019 04:47 PM EDT,Not Applicable: Standalone Property,Not Available
40.739246,-73.822057,Not Available,Not Available,2019-05-01T15:32:48.000,5022464,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,136.1,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,136900.0,Not Available,Not Available,Not Available,Not Available,Not Available,136900,Kew Gardens Hills,Not Available,Not Available,3864700,Not Available,Not Available,Ok,Not Available,697.2,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,136900.0,Ok,Not Available,04/09/2019 02:10 PM EDT,Not Applicable: Standalone Property,Not Available
40.829232,-73.856734,Not Available,Not Available,2019-05-01T15:32:48.000,1879329.6,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,77.8,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,175325.0,Not Available,Not Available,Not Available,Not Available,Not Available,175325,Soundview-Bruckner,Not Available,Not Available,80000,Not Available,Not Available,Ok,Not Available,759.8,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,175325.0,Ok,Not Available,04/09/2019 02:10 PM EDT,Not Applicable: Standalone Property,Not Available
40.742129,-74.002198,Not Available,Not Available,2019-05-01T15:32:48.000,2579293.2,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,17.4546,Not Available,Unable to Check (not enough data),Not Available,80.6,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,131947.6,180175.0,Not Available,Not Available,Not Available,Not Available,Not Available,180175,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,Not Available,65700,Not Available,Not Available,Ok,Not Available,791,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,180175.0,Ok,17.4546,04/09/2019 04:47 PM EDT,Not Applicable: Standalone Property,Not Available
40.831827,-73.906607,Not Available,Not Available,2019-05-01T15:32:48.000,1579346.6,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,97,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,117725.0,Not Available,Not Available,Not Available,Not Available,Not Available,117725,Claremont-Bathgate,Not Available,Not Available,58800,Not Available,Not Available,Ok,Not Available,644.8,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,117725.0,Ok,Not Available,04/09/2019 02:10 PM EDT,Not Applicable: Standalone Property,Not Available
