property_name,refrigerated_warehouse_gross,courthouse_gross_floor_area,distribution_center_gross,weather_normalized_site_eui,hospital_general_medical_3,hospital_general_medical_4,largest_property_use_type_1,medical_office_percent_that_1,water_use_all_water_sources,electricity_use_grid_purchase,egrid_output_emissions_rate,fitness_center_health_club,hospital_general_medical_12,indoor_water_use_all_water,difference_from_national_1,nta,estimated_data_flag_1,property_gfa_calculated_2,energy_star_certification_2,district_hot_water_use_kbtu,propane_use_kbtu,avoided_emissions_onsite,multifamily_housing_percent_1,borough,data_center_cooling_equipment,electricity_use_generated_3,site_eui_kbtu_ft,electricity_use_generated_1,financial_office_gross_floor,green_power_onsite_and_offsite,address_2,senior_care_community_gross,energy_star_certification_1,_2nd_largest_property_use_1,alert_energy_meter_has_less,residence_hall_dormitory,multifamily_housing_resident,hospital_general_medical_1,property_gfa_self_reported,financial_office_number_of,office_percent_that_can_be_1,national_median_energy_star,multifamily_housing_number_6,third_party_certification_1,multifamily_housing_number_5,multifamily_housing_number_4,estimated_data_flag,green_power_offsite_kwh,indoor_water_use_intensity,energy_star_certification,alert_energy_meter_has_gaps,multifamily_housing_number,green_power_onsite_kwh,nyc_building_identification,food_service_gross_floor
X171-0201229,Not Available,Not Available,Not Available,91.3,Not Available,Not Available,40375.0,Not Available,Not Available,1536764.8,79.5,Not Available,Not Available,Not Available,46.9,Claremont-Bathgate,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,92.7,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,40375,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,2100071,Not Available
X040-0200076,Not Available,Not Available,Not Available,54.3,Not Available,Not Available,108000.0,Not Available,0,1629571.3,79.5,Not Available,Not Available,0,-31.3,Mott Haven-Port Morris,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,54,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,108000,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,0,Not Available,Ok,Not Available,Not Available,2000308,Not Available
X138-0200182,Not Available,Not Available,Not Available,82.1,Not Available,Not Available,88375.0,Not Available,24607.6,1562423.1,79.5,Not Available,Not Available,24607.6,1.6,Soundview-Castle Hill-Clason Point-Harding Park,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,82.4,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,88375,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,278.45,Not Available,Ok,Not Available,Not Available,2022289,Not Available
X074-0200112,Not Available,Not Available,Not Available,70.1,Not Available,Not Available,166975.0,Not Available,Not Available,4288201.8,79.5,Not Available,Not Available,Not Available,-32,Hunts Point,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,71.8,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,166975,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,2006566,Not Available
NE - 111 WALL STREET,Not Available,Not Available,Not Available,69.6,Not Available,Not Available,885474.0,Not Available,4235.5,35213678.3,84.7,Not Available,Not Available,4235.5,-20.5,Battery Park City-Lower Manhattan,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,69.6,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,885474,Not Available,73.99,50,Not Available,Not Available,Not Available,Not Available,No,0,4.78,Not Available,Ok,Not Available,Not Available,1000868,Not Available
K175-0300178,Not Available,Not Available,Not Available,78.6,Not Available,Not Available,106800.0,Not Available,17099.9,1799352.3,79.5,Not Available,Not Available,17099.9,-15.3,Brownsville,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,79,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,106800,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,160.11,Not Available,Ok,Not Available,Not Available,3081419,Not Available
Q038-0400036,Not Available,Not Available,Not Available,101.9,Not Available,Not Available,39960.0,Not Available,Not Available,639545.3,79.5,Not Available,Not Available,Not Available,19.8,Rosedale,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,101.8,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,39960,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,4284236,Not Available
K104-0300114,Not Available,Not Available,Not Available,62.5,Not Available,Not Available,116400.0,Not Available,1656.4,1868411.2,79.5,Not Available,Not Available,1656.4,-26.4,Bay Ridge,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,60.7,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,116400,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,14.23,Not Available,Ok,Not Available,Not Available,3154775,Not Available
K151-0300153,Not Available,Not Available,Not Available,86.4,Not Available,Not Available,67200.0,Not Available,Not Available,1071095,79.5,Not Available,Not Available,Not Available,24.6,Bushwick North,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,85.7,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,67200,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,3078654,Not Available
K100-0300111,Not Available,Not Available,Not Available,80.6,Not Available,Not Available,93600.0,Not Available,8248.2,1208666.9,79.5,Not Available,Not Available,8248.2,-19.4,West Brighton,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,77.8,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,93600,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,88.12,Not Available,Ok,Not Available,Not Available,3196595,Not Available
